Adj Close,Close,High,Low,Open,Volume
ABBA.JK,ABBA.JK,ABBA.JK,ABBA.JK,ABBA.JK,ABBA.JK
72.0,72.0,76.0,71.0,72.0,17057000
72.0,72.0,74.0,71.0,73.0,11784200
72.0,72.0,73.0,71.0,72.0,2565500
71.0,71.0,73.0,69.0,72.0,6094400
70.0,70.0,72.0,70.0,72.0,2549800
70.0,70.0,71.0,69.0,71.0,4177800
70.0,70.0,71.0,69.0,70.0,2255000
69.0,69.0,70.0,63.0,63.0,5310800
68.0,68.0,69.0,67.0,69.0,3012200
70.0,70.0,71.0,67.0,68.0,10967400
69.0,69.0,71.0,68.0,70.0,2506400
67.0,67.0,70.0,67.0,70.0,4827700
68.0,68.0,70.0,67.0,67.0,6730900
67.0,67.0,69.0,66.0,68.0,4572700
69.0,69.0,71.0,67.0,67.0,42616400
68.0,68.0,70.0,67.0,70.0,6479000
67.0,67.0,68.0,66.0,68.0,4205600
67.0,67.0,70.0,66.0,66.0,11180600
65.0,65.0,70.0,64.0,68.0,23273600
63.0,63.0,66.0,59.0,59.0,18308300
57.0,57.0,65.0,57.0,63.0,31211700
56.0,56.0,58.0,55.0,55.0,8703900
51.0,51.0,57.0,51.0,51.0,37693700
52.0,52.0,54.0,50.0,52.0,42410400
52.0,52.0,52.0,51.0,52.0,1714900
51.0,51.0,52.0,50.0,52.0,3672000
51.0,51.0,54.0,50.0,51.0,27468100
52.0,52.0,52.0,50.0,51.0,3300900
51.0,51.0,52.0,50.0,52.0,6711300
50.0,50.0,52.0,50.0,51.0,4148700
52.0,52.0,52.0,50.0,51.0,1131500
52.0,52.0,54.0,51.0,52.0,55315100
52.0,52.0,54.0,52.0,52.0,2353800
54.0,54.0,55.0,52.0,52.0,3231500
54.0,54.0,54.0,53.0,54.0,979500
55.0,55.0,55.0,53.0,54.0,15631700
54.0,54.0,55.0,54.0,55.0,864300
53.0,53.0,55.0,53.0,55.0,1534500
54.0,54.0,54.0,52.0,53.0,1064000
54.0,54.0,54.0,53.0,54.0,681600
54.0,54.0,54.0,52.0,53.0,1794100
53.0,53.0,54.0,52.0,54.0,656200
53.0,53.0,54.0,52.0,53.0,4905100
53.0,53.0,53.0,52.0,53.0,864500
52.0,52.0,53.0,51.0,53.0,5281800
52.0,52.0,55.0,51.0,52.0,38590300
51.0,51.0,53.0,50.0,52.0,15007600
52.0,52.0,54.0,50.0,51.0,64886400
51.0,51.0,53.0,50.0,51.0,21437900
52.0,52.0,53.0,51.0,51.0,6379000
51.0,51.0,52.0,51.0,52.0,6412800
51.0,51.0,53.0,50.0,51.0,27007600
51.0,51.0,53.0,50.0,52.0,7238300
51.0,51.0,52.0,50.0,52.0,622200
52.0,52.0,52.0,50.0,51.0,11104000
51.0,51.0,52.0,51.0,52.0,246800
52.0,52.0,53.0,51.0,51.0,32614900
52.0,52.0,53.0,51.0,52.0,439400
51.0,51.0,53.0,51.0,52.0,2673700
52.0,52.0,53.0,51.0,51.0,7727000
53.0,53.0,53.0,51.0,51.0,8011800
53.0,53.0,58.0,53.0,54.0,46501400
52.0,52.0,55.0,52.0,53.0,7384300
52.0,52.0,53.0,51.0,52.0,6908800
52.0,52.0,52.0,51.0,52.0,1629600
51.0,51.0,52.0,50.0,52.0,12495300
51.0,51.0,52.0,50.0,51.0,7438200
51.0,51.0,53.0,50.0,51.0,23618000
51.0,51.0,54.0,51.0,51.0,20102900
53.0,53.0,55.0,52.0,52.0,37215100
53.0,53.0,56.0,52.0,53.0,50696300
52.0,52.0,53.0,52.0,53.0,8553100
51.0,51.0,53.0,51.0,52.0,3987900
51.0,51.0,53.0,51.0,51.0,9013300
53.0,53.0,54.0,51.0,51.0,26251800
51.0,51.0,55.0,51.0,54.0,47519200
52.0,52.0,52.0,51.0,52.0,1363700
52.0,52.0,52.0,51.0,51.0,1764000
51.0,51.0,52.0,51.0,52.0,5094100
