Adj Close,Close,High,Low,Open,Volume
AGAR.JK,AGAR.JK,AGAR.JK,AGAR.JK,AGAR.JK,AGAR.JK
132.0,132.0,132.0,132.0,132.0,0
119.0,119.0,119.0,119.0,119.0,300
119.0,119.0,119.0,119.0,119.0,900
119.0,119.0,119.0,119.0,119.0,400
119.0,119.0,119.0,119.0,119.0,600
119.0,119.0,119.0,119.0,119.0,0
117.0,117.0,117.0,117.0,117.0,100
117.0,117.0,117.0,117.0,117.0,0
117.0,117.0,117.0,117.0,117.0,400
117.0,117.0,117.0,117.0,117.0,200
117.0,117.0,117.0,117.0,117.0,2600
117.0,117.0,117.0,117.0,117.0,200
117.0,117.0,117.0,117.0,117.0,0
117.0,117.0,117.0,117.0,117.0,400
117.0,117.0,117.0,117.0,117.0,400
117.0,117.0,117.0,117.0,117.0,400
117.0,117.0,117.0,117.0,117.0,400
117.0,117.0,117.0,117.0,117.0,400
117.0,117.0,117.0,117.0,117.0,100
117.0,117.0,117.0,117.0,117.0,0
117.0,117.0,117.0,117.0,117.0,0
117.0,117.0,117.0,117.0,117.0,0
117.0,117.0,117.0,117.0,117.0,0
117.0,117.0,117.0,117.0,117.0,0
117.0,117.0,117.0,117.0,117.0,0
117.0,117.0,117.0,117.0,117.0,0
117.0,117.0,117.0,117.0,117.0,0
117.0,117.0,117.0,117.0,117.0,500
117.0,117.0,117.0,117.0,117.0,100
106.0,106.0,106.0,106.0,106.0,1000
106.0,106.0,106.0,106.0,106.0,100
106.0,106.0,106.0,106.0,106.0,0
106.0,106.0,106.0,106.0,106.0,0
106.0,106.0,106.0,106.0,106.0,0
106.0,106.0,106.0,106.0,106.0,0
106.0,106.0,106.0,106.0,106.0,300
106.0,106.0,106.0,106.0,106.0,0
106.0,106.0,106.0,106.0,106.0,0
106.0,106.0,106.0,106.0,106.0,0
106.0,106.0,106.0,106.0,106.0,0
106.0,106.0,106.0,106.0,106.0,400
106.0,106.0,106.0,106.0,106.0,0
106.0,106.0,106.0,106.0,106.0,0
106.0,106.0,106.0,106.0,106.0,0
106.0,106.0,106.0,106.0,106.0,0
106.0,106.0,106.0,106.0,106.0,0
106.0,106.0,106.0,106.0,106.0,0
106.0,106.0,106.0,106.0,106.0,0
106.0,106.0,106.0,106.0,106.0,0
106.0,106.0,106.0,106.0,106.0,100
106.0,106.0,106.0,106.0,106.0,0
104.0,104.0,104.0,104.0,104.0,200
100.0,100.0,100.0,100.0,100.0,600
100.0,100.0,100.0,100.0,100.0,200
100.0,100.0,100.0,100.0,100.0,100
100.0,100.0,100.0,100.0,100.0,2100
100.0,100.0,100.0,100.0,100.0,0
100.0,100.0,100.0,100.0,100.0,900
100.0,100.0,100.0,100.0,100.0,600
100.0,100.0,100.0,100.0,100.0,100
100.0,100.0,100.0,100.0,100.0,0
100.0,100.0,100.0,100.0,100.0,0
100.0,100.0,100.0,100.0,100.0,0
100.0,100.0,100.0,100.0,100.0,0
90.0,90.0,90.0,90.0,90.0,100
90.0,90.0,90.0,90.0,90.0,700
90.0,90.0,90.0,90.0,90.0,100
90.0,90.0,90.0,90.0,90.0,100
90.0,90.0,90.0,90.0,90.0,0
90.0,90.0,90.0,90.0,90.0,1100
90.0,90.0,90.0,90.0,90.0,600
90.0,90.0,90.0,90.0,90.0,0
90.0,90.0,90.0,90.0,90.0,0
90.0,90.0,90.0,90.0,90.0,0
90.0,90.0,90.0,90.0,90.0,200
90.0,90.0,90.0,90.0,90.0,0
90.0,90.0,90.0,90.0,90.0,0
90.0,90.0,90.0,90.0,90.0,0
90.0,90.0,90.0,90.0,90.0,200
90.0,90.0,90.0,90.0,90.0,100
90.0,90.0,90.0,90.0,90.0,0
90.0,90.0,90.0,90.0,90.0,0
90.0,90.0,90.0,90.0,90.0,400
90.0,90.0,90.0,90.0,90.0,300
90.0,90.0,90.0,90.0,90.0,0
90.0,90.0,90.0,90.0,90.0,0
90.0,90.0,90.0,90.0,90.0,100
90.0,90.0,90.0,90.0,90.0,20200
88.0,88.0,88.0,86.0,86.0,30500
88.0,88.0,88.0,88.0,88.0,20300
90.0,90.0,90.0,90.0,90.0,100800
91.0,91.0,91.0,90.0,90.0,61400
92.0,92.0,92.0,91.0,91.0,60700
91.0,91.0,92.0,91.0,92.0,64800
91.0,91.0,91.0,91.0,91.0,75700
91.0,91.0,91.0,91.0,91.0,60500
93.0,93.0,93.0,92.0,92.0,61100
93.0,93.0,93.0,93.0,93.0,82200
94.0,94.0,94.0,94.0,94.0,100000
94.0,94.0,94.0,94.0,94.0,60600
94.0,94.0,94.0,94.0,94.0,77000
94.0,94.0,95.0,94.0,94.0,54000
95.0,95.0,95.0,94.0,94.0,89000
96.0,96.0,96.0,95.0,95.0,116000
96.0,96.0,96.0,96.0,96.0,104800
96.0,96.0,96.0,96.0,96.0,57000
95.0,95.0,96.0,95.0,96.0,54200
95.0,95.0,95.0,95.0,95.0,70000
95.0,95.0,95.0,95.0,95.0,60100
96.0,96.0,96.0,96.0,96.0,78500
97.0,97.0,97.0,96.0,96.0,72200
97.0,97.0,97.0,97.0,97.0,110000
97.0,97.0,97.0,96.0,96.0,65400
98.0,98.0,98.0,97.0,97.0,81300
98.0,98.0,98.0,98.0,98.0,68700
97.0,97.0,98.0,97.0,98.0,62300
96.0,96.0,97.0,96.0,97.0,100300
96.0,96.0,96.0,96.0,96.0,65900
96.0,96.0,96.0,96.0,96.0,83800
98.0,98.0,98.0,97.0,97.0,84300
99.0,99.0,99.0,98.0,98.0,59800
99.0,99.0,99.0,99.0,99.0,99000
98.0,98.0,99.0,98.0,98.0,72600
132.0,132.0,132.0,99.0,99.0,65900
178.0,178.0,178.0,137.0,137.0,1700
240.0,240.0,240.0,178.0,178.0,12000
300.0,300.0,300.0,260.0,260.0,541300
300.0,300.0,300.0,300.0,300.0,0
374.0,374.0,374.0,300.0,300.0,720200
374.0,374.0,374.0,374.0,374.0,0
374.0,374.0,374.0,374.0,374.0,0
374.0,374.0,374.0,374.0,374.0,0
374.0,374.0,374.0,374.0,374.0,0
374.0,374.0,374.0,374.0,374.0,0
374.0,374.0,374.0,374.0,374.0,0
374.0,374.0,374.0,374.0,374.0,0
374.0,374.0,374.0,374.0,374.0,0
