Adj Close,Close,High,Low,Open,Volume
AIMS.JK,AIMS.JK,AIMS.JK,AIMS.JK,AIMS.JK,AIMS.JK
336.0,336.0,344.0,316.0,338.0,55900
334.0,334.0,340.0,306.0,330.0,37200
334.0,334.0,340.0,322.0,330.0,3618400
322.0,322.0,334.0,316.0,334.0,857100
320.0,320.0,338.0,316.0,334.0,10700
320.0,320.0,332.0,312.0,316.0,8800
324.0,324.0,328.0,308.0,328.0,36400
314.0,314.0,324.0,310.0,310.0,19500
314.0,314.0,316.0,314.0,314.0,38500
320.0,320.0,320.0,310.0,314.0,71900
352.0,352.0,352.0,316.0,316.0,683800
386.0,386.0,386.0,366.0,376.0,639500
424.0,424.0,424.0,388.0,402.0,1122200
448.0,448.0,466.0,430.0,430.0,1157200
492.0,492.0,492.0,448.0,448.0,488200
540.0,540.0,540.0,540.0,540.0,438400
550.0,550.0,590.0,486.0,500.0,1462000
605.0,605.0,605.0,585.0,590.0,270200
650.0,650.0,665.0,545.0,605.0,5263500
650.0,650.0,650.0,650.0,650.0,0
705.0,705.0,705.0,620.0,650.0,2124000
705.0,705.0,705.0,705.0,705.0,0
705.0,705.0,705.0,705.0,705.0,0
705.0,705.0,705.0,705.0,705.0,0
705.0,705.0,705.0,705.0,705.0,0
705.0,705.0,705.0,705.0,705.0,0
705.0,705.0,705.0,705.0,705.0,0
705.0,705.0,705.0,705.0,705.0,0
700.0,700.0,745.0,635.0,690.0,2942900
715.0,715.0,715.0,630.0,700.0,1326700
785.0,785.0,785.0,745.0,755.0,2462000
860.0,860.0,860.0,810.0,815.0,4679000
945.0,945.0,945.0,880.0,890.0,6744500
1035.0,1035.0,1035.0,965.0,965.0,4147900
1135.0,1135.0,1135.0,1100.0,1135.0,3576600
1245.0,1245.0,1245.0,1235.0,1235.0,1259100
1255.0,1255.0,1365.0,1125.0,1255.0,10498300
1165.0,1165.0,1285.0,1130.0,1285.0,4648000
1050.0,1050.0,1165.0,1050.0,1165.0,3172000
945.0,945.0,1045.0,945.0,1045.0,3635700
