Adj Close,Close,High,Low,Open,Volume
ALKA.JK,ALKA.JK,ALKA.JK,ALKA.JK,ALKA.JK,ALKA.JK
525.0,525.0,575.0,500.0,550.0,89800
525.0,525.0,555.0,515.0,525.0,57800
535.0,535.0,540.0,520.0,535.0,31700
515.0,515.0,545.0,510.0,535.0,31600
525.0,525.0,535.0,505.0,515.0,49600
535.0,535.0,570.0,510.0,515.0,38200
520.0,520.0,540.0,520.0,535.0,29400
550.0,550.0,650.0,520.0,535.0,3918700
510.0,510.0,530.0,505.0,530.0,335200
520.0,520.0,575.0,515.0,515.0,278900
520.0,520.0,550.0,505.0,520.0,108300
535.0,535.0,540.0,510.0,510.0,85300
530.0,530.0,535.0,510.0,535.0,92100
510.0,510.0,535.0,510.0,530.0,32300
464.0,464.0,530.0,460.0,530.0,266400
454.0,454.0,470.0,448.0,470.0,107900
515.0,515.0,560.0,410.0,454.0,2056800
488.0,488.0,535.0,478.0,515.0,379900
464.0,464.0,515.0,464.0,486.0,233100
448.0,448.0,505.0,442.0,460.0,223800
422.0,422.0,496.0,404.0,472.0,196200
525.0,525.0,525.0,420.0,422.0,955600
525.0,525.0,565.0,478.0,550.0,418000
525.0,525.0,550.0,510.0,520.0,83700
510.0,510.0,555.0,436.0,525.0,87500
490.0,490.0,505.0,470.0,500.0,66000
496.0,496.0,500.0,484.0,498.0,71100
492.0,492.0,510.0,488.0,505.0,29600
496.0,496.0,510.0,488.0,494.0,66100
486.0,486.0,500.0,468.0,496.0,38800
486.0,486.0,500.0,480.0,486.0,10800
486.0,486.0,486.0,478.0,482.0,45700
496.0,496.0,496.0,474.0,484.0,61000
494.0,494.0,515.0,482.0,496.0,16900
486.0,486.0,496.0,482.0,482.0,119800
482.0,482.0,490.0,480.0,480.0,27000
472.0,472.0,494.0,472.0,482.0,36000
424.0,424.0,480.0,424.0,476.0,78300
530.0,530.0,530.0,450.0,450.0,877100
476.0,476.0,570.0,472.0,570.0,291600
480.0,480.0,580.0,480.0,494.0,2059400
480.0,480.0,480.0,480.0,480.0,0
478.0,478.0,486.0,468.0,480.0,63500
472.0,472.0,505.0,460.0,480.0,386900
452.0,452.0,480.0,450.0,466.0,172000
462.0,462.0,478.0,456.0,456.0,90700
462.0,462.0,478.0,456.0,462.0,130100
458.0,458.0,464.0,444.0,462.0,22900
462.0,462.0,472.0,454.0,472.0,24700
460.0,460.0,460.0,450.0,454.0,58200
446.0,446.0,460.0,446.0,452.0,33500
420.0,420.0,462.0,410.0,462.0,76600
450.0,450.0,520.0,440.0,444.0,1931200
446.0,446.0,480.0,440.0,452.0,166900
450.0,450.0,478.0,440.0,446.0,159500
464.0,464.0,474.0,450.0,450.0,142800
466.0,466.0,490.0,452.0,460.0,212200
462.0,462.0,474.0,452.0,474.0,64100
450.0,450.0,462.0,450.0,462.0,35400
414.0,414.0,466.0,410.0,450.0,89600
494.0,494.0,515.0,434.0,434.0,1413300
470.0,470.0,515.0,452.0,498.0,307400
446.0,446.0,520.0,440.0,480.0,157800
452.0,452.0,474.0,442.0,450.0,186300
444.0,444.0,454.0,440.0,452.0,113800
456.0,456.0,482.0,444.0,444.0,54000
440.0,440.0,456.0,430.0,456.0,97500
436.0,436.0,448.0,432.0,440.0,113900
446.0,446.0,454.0,436.0,436.0,54200
452.0,452.0,454.0,446.0,452.0,18500
444.0,444.0,446.0,442.0,446.0,15900
444.0,444.0,466.0,442.0,444.0,70400
444.0,444.0,448.0,438.0,444.0,18000
438.0,438.0,450.0,432.0,450.0,41900
436.0,436.0,462.0,434.0,438.0,76800
442.0,442.0,450.0,430.0,436.0,105900
426.0,426.0,444.0,410.0,442.0,45200
430.0,430.0,436.0,428.0,436.0,30600
428.0,428.0,440.0,428.0,438.0,22000
428.0,428.0,480.0,428.0,432.0,149000
412.0,412.0,436.0,412.0,430.0,128400
420.0,420.0,430.0,418.0,426.0,59700
426.0,426.0,430.0,420.0,422.0,102900
428.0,428.0,458.0,426.0,430.0,47200
430.0,430.0,438.0,428.0,428.0,40100
430.0,430.0,436.0,420.0,436.0,18300
444.0,444.0,460.0,434.0,460.0,435300
432.0,432.0,450.0,428.0,450.0,18100
436.0,436.0,460.0,432.0,436.0,69800
434.0,434.0,440.0,434.0,436.0,6300
428.0,428.0,440.0,428.0,434.0,11700
430.0,430.0,468.0,426.0,428.0,181100
430.0,430.0,436.0,414.0,430.0,127700
432.0,432.0,436.0,424.0,430.0,34900
428.0,428.0,436.0,418.0,432.0,134000
400.0,400.0,430.0,396.0,430.0,139600
364.0,364.0,424.0,358.0,412.0,177700
374.0,374.0,384.0,370.0,370.0,19700
378.0,378.0,382.0,366.0,382.0,7100
374.0,374.0,378.0,366.0,378.0,72600
374.0,374.0,408.0,364.0,374.0,122400
364.0,364.0,374.0,358.0,374.0,62600
370.0,370.0,370.0,360.0,362.0,493200
366.0,366.0,370.0,356.0,370.0,21000
356.0,356.0,366.0,340.0,366.0,72900
348.0,348.0,356.0,340.0,356.0,288300
352.0,352.0,352.0,346.0,346.0,14100
350.0,350.0,360.0,350.0,360.0,30400
362.0,362.0,378.0,350.0,350.0,114000
364.0,364.0,376.0,350.0,362.0,3700
364.0,364.0,364.0,354.0,354.0,8500
362.0,362.0,364.0,352.0,354.0,20100
356.0,356.0,362.0,354.0,362.0,16000
358.0,358.0,360.0,352.0,360.0,53100
358.0,358.0,358.0,348.0,358.0,61300
350.0,350.0,358.0,350.0,358.0,22700
350.0,350.0,358.0,346.0,354.0,16200
350.0,350.0,356.0,344.0,356.0,20100
346.0,346.0,350.0,346.0,350.0,17300
342.0,342.0,350.0,332.0,346.0,17800
338.0,338.0,350.0,308.0,342.0,65300
332.0,332.0,336.0,328.0,336.0,7500
330.0,330.0,336.0,322.0,332.0,1900
318.0,318.0,328.0,318.0,328.0,11800
316.0,316.0,318.0,302.0,316.0,16100
288.0,288.0,316.0,266.0,316.0,78600
288.0,288.0,296.0,262.0,290.0,17400
352.0,352.0,360.0,272.0,288.0,651000
322.0,322.0,354.0,304.0,354.0,264700
302.0,302.0,326.0,300.0,322.0,58500
328.0,328.0,342.0,288.0,300.0,27500
314.0,314.0,336.0,314.0,328.0,29300
332.0,332.0,366.0,312.0,312.0,152900
320.0,320.0,332.0,320.0,332.0,13500
290.0,290.0,330.0,290.0,330.0,18500
288.0,288.0,306.0,288.0,290.0,15000
300.0,300.0,300.0,290.0,300.0,7300
