Adj Close,Close,High,Low,Open,Volume
APEX.JK,APEX.JK,APEX.JK,APEX.JK,APEX.JK,APEX.JK
204.0,204.0,212.0,204.0,210.0,3332000
218.0,218.0,220.0,204.0,208.0,12170700
214.0,214.0,220.0,212.0,218.0,4273200
208.0,208.0,216.0,208.0,210.0,3902800
214.0,214.0,222.0,208.0,210.0,7227400
210.0,210.0,218.0,210.0,216.0,3503500
208.0,208.0,214.0,202.0,210.0,2511700
208.0,208.0,212.0,206.0,206.0,2215800
206.0,206.0,210.0,206.0,210.0,1761700
208.0,208.0,212.0,206.0,208.0,1493600
212.0,212.0,216.0,206.0,208.0,5854300
210.0,210.0,216.0,210.0,214.0,3201800
208.0,208.0,214.0,208.0,210.0,3309500
204.0,204.0,210.0,204.0,208.0,5254400
193.0,193.0,208.0,189.0,206.0,13662600
188.0,188.0,197.0,186.0,193.0,8942200
181.0,181.0,191.0,181.0,188.0,3497600
168.0,168.0,184.0,168.0,182.0,5036400
170.0,170.0,180.0,160.0,169.0,7058700
163.0,163.0,184.0,163.0,170.0,7025200
168.0,168.0,170.0,154.0,154.0,2272300
162.0,162.0,170.0,160.0,160.0,1472500
164.0,164.0,173.0,162.0,164.0,4210700
170.0,170.0,171.0,163.0,164.0,2765100
162.0,162.0,171.0,160.0,162.0,2259500
167.0,167.0,172.0,162.0,162.0,6533400
172.0,172.0,175.0,168.0,168.0,6026600
168.0,168.0,172.0,163.0,163.0,3976400
169.0,169.0,170.0,162.0,162.0,1342900
169.0,169.0,176.0,168.0,170.0,4799700
167.0,167.0,172.0,166.0,169.0,1915600
166.0,166.0,169.0,165.0,167.0,1341500
168.0,168.0,168.0,164.0,165.0,889500
167.0,167.0,168.0,159.0,160.0,2011400
224.0,224.0,224.0,165.0,165.0,172951000
193.0,193.0,240.0,184.0,226.0,79376300
204.0,204.0,220.0,184.0,184.0,58455800
191.0,191.0,208.0,190.0,208.0,11490800
193.0,193.0,206.0,188.0,188.0,17382900
189.0,189.0,195.0,184.0,184.0,6705200
196.0,196.0,208.0,190.0,194.0,34509500
194.0,194.0,202.0,191.0,197.0,12000300
190.0,190.0,194.0,187.0,194.0,6215600
190.0,190.0,193.0,188.0,190.0,5271900
189.0,189.0,193.0,188.0,192.0,5784600
189.0,189.0,194.0,189.0,190.0,4641300
183.0,183.0,190.0,182.0,189.0,5743900
200.0,200.0,210.0,184.0,186.0,69502300
190.0,190.0,204.0,186.0,202.0,24815700
189.0,189.0,195.0,187.0,192.0,8730400
182.0,182.0,195.0,182.0,191.0,12253700
184.0,184.0,190.0,182.0,188.0,6438100
176.0,176.0,185.0,171.0,185.0,7299300
171.0,171.0,178.0,170.0,176.0,4285300
170.0,170.0,173.0,163.0,163.0,3205900
168.0,168.0,172.0,161.0,161.0,1998800
164.0,164.0,171.0,164.0,168.0,3399000
167.0,167.0,170.0,164.0,165.0,2359800
172.0,172.0,172.0,165.0,167.0,6843200
169.0,169.0,175.0,163.0,163.0,3404900
166.0,166.0,171.0,165.0,165.0,2454500
167.0,167.0,170.0,158.0,158.0,3682500
169.0,169.0,169.0,158.0,158.0,1340100
164.0,164.0,171.0,160.0,160.0,1946700
168.0,168.0,174.0,164.0,166.0,3617200
165.0,165.0,169.0,165.0,169.0,1234700
168.0,168.0,170.0,166.0,167.0,2455000
167.0,167.0,170.0,166.0,168.0,2094200
166.0,166.0,168.0,164.0,167.0,1964100
167.0,167.0,170.0,165.0,166.0,1216100
166.0,166.0,172.0,166.0,168.0,4069000
166.0,166.0,169.0,165.0,166.0,2897500
167.0,167.0,170.0,165.0,166.0,1832000
168.0,168.0,173.0,167.0,169.0,5001400
166.0,166.0,169.0,166.0,168.0,1385900
166.0,166.0,168.0,163.0,166.0,1741900
166.0,166.0,168.0,165.0,166.0,1359200
167.0,167.0,167.0,165.0,167.0,1701100
167.0,167.0,178.0,166.0,169.0,3284500
167.0,167.0,170.0,167.0,167.0,2421500
173.0,173.0,173.0,168.0,168.0,5564300
173.0,173.0,177.0,170.0,174.0,5054900
185.0,185.0,198.0,172.0,173.0,15885700
183.0,183.0,194.0,183.0,186.0,11534800
179.0,179.0,185.0,175.0,181.0,4218800
176.0,176.0,183.0,176.0,179.0,1603700
175.0,175.0,178.0,169.0,178.0,1592000
181.0,181.0,185.0,174.0,185.0,4297400
172.0,172.0,183.0,172.0,182.0,3819900
165.0,165.0,175.0,165.0,175.0,3608800
156.0,156.0,165.0,152.0,165.0,4851000
163.0,163.0,169.0,150.0,156.0,2037800
169.0,169.0,178.0,166.0,167.0,5296000
168.0,168.0,172.0,166.0,171.0,1319900
168.0,168.0,174.0,167.0,168.0,1991000
177.0,177.0,181.0,170.0,174.0,8171900
