Adj Close,Close,High,Low,Open,Volume
ARGO.JK,ARGO.JK,ARGO.JK,ARGO.JK,ARGO.JK,ARGO.JK
800.0,800.0,800.0,800.0,800.0,12100
810.0,810.0,810.0,810.0,810.0,10400
810.0,810.0,810.0,810.0,810.0,0
815.0,815.0,815.0,815.0,815.0,6300
815.0,815.0,815.0,815.0,815.0,0
815.0,815.0,815.0,815.0,815.0,0
825.0,825.0,825.0,825.0,825.0,12700
825.0,825.0,825.0,825.0,825.0,12800
835.0,835.0,835.0,835.0,835.0,12600
835.0,835.0,835.0,835.0,835.0,0
845.0,845.0,845.0,845.0,845.0,12300
860.0,860.0,895.0,860.0,895.0,9400
840.0,840.0,840.0,840.0,840.0,11800
860.0,860.0,860.0,840.0,840.0,10500
870.0,870.0,870.0,860.0,860.0,10100
885.0,885.0,885.0,885.0,885.0,10800
900.0,900.0,900.0,900.0,900.0,11200
910.0,910.0,910.0,910.0,910.0,12500
915.0,915.0,915.0,910.0,910.0,10100
920.0,920.0,920.0,920.0,920.0,11900
920.0,920.0,920.0,920.0,920.0,11500
920.0,920.0,920.0,920.0,920.0,300
935.0,935.0,935.0,935.0,935.0,15000
935.0,935.0,935.0,935.0,935.0,2000
940.0,940.0,940.0,940.0,940.0,6100
950.0,950.0,950.0,950.0,950.0,12400
950.0,950.0,950.0,950.0,950.0,10200
950.0,950.0,950.0,950.0,950.0,0
1000.0,1000.0,1000.0,1000.0,1000.0,13400
975.0,975.0,975.0,975.0,975.0,100100
950.0,950.0,950.0,950.0,950.0,80000
960.0,960.0,960.0,950.0,950.0,38000
960.0,960.0,960.0,960.0,960.0,10200
970.0,970.0,970.0,970.0,970.0,13500
975.0,975.0,975.0,975.0,975.0,13500
980.0,980.0,980.0,980.0,980.0,21500
980.0,980.0,980.0,980.0,980.0,0
980.0,980.0,980.0,980.0,980.0,0
985.0,985.0,985.0,985.0,985.0,13000
985.0,985.0,985.0,985.0,985.0,20500
990.0,990.0,990.0,990.0,990.0,19700
990.0,990.0,990.0,990.0,990.0,20900
995.0,995.0,995.0,995.0,995.0,14600
990.0,990.0,990.0,990.0,990.0,15200
980.0,980.0,980.0,980.0,980.0,16500
985.0,985.0,985.0,985.0,985.0,10600
980.0,980.0,980.0,980.0,980.0,18000
980.0,980.0,980.0,980.0,980.0,20500
975.0,975.0,975.0,975.0,975.0,1000
980.0,980.0,980.0,980.0,980.0,19000
980.0,980.0,980.0,980.0,980.0,0
975.0,975.0,975.0,975.0,975.0,21900
970.0,970.0,970.0,970.0,970.0,21500
965.0,965.0,965.0,965.0,965.0,7300
965.0,965.0,965.0,965.0,965.0,0
965.0,965.0,965.0,965.0,965.0,0
970.0,970.0,970.0,970.0,970.0,12100
970.0,970.0,970.0,970.0,970.0,0
970.0,970.0,970.0,970.0,970.0,0
970.0,970.0,970.0,970.0,970.0,0
970.0,970.0,970.0,970.0,970.0,0
970.0,970.0,970.0,970.0,970.0,0
970.0,970.0,970.0,970.0,970.0,0
970.0,970.0,970.0,970.0,970.0,42000
970.0,970.0,970.0,970.0,970.0,100
980.0,980.0,980.0,980.0,980.0,2000
970.0,970.0,970.0,970.0,970.0,26000
960.0,960.0,960.0,960.0,960.0,27500
960.0,960.0,960.0,960.0,960.0,22100
960.0,960.0,960.0,960.0,960.0,1000
950.0,950.0,950.0,950.0,950.0,30300
950.0,950.0,950.0,950.0,950.0,25700
945.0,945.0,945.0,945.0,945.0,1000
940.0,940.0,940.0,940.0,940.0,20000
945.0,945.0,945.0,945.0,945.0,18000
945.0,945.0,945.0,945.0,945.0,0
950.0,950.0,950.0,950.0,950.0,10700
955.0,955.0,955.0,955.0,955.0,11700
955.0,955.0,955.0,955.0,955.0,7900
960.0,960.0,960.0,960.0,960.0,11400
965.0,965.0,965.0,965.0,965.0,21000
970.0,970.0,970.0,970.0,970.0,12800
985.0,985.0,985.0,985.0,985.0,23200
985.0,985.0,985.0,985.0,985.0,200
985.0,985.0,985.0,985.0,985.0,200
980.0,980.0,980.0,980.0,980.0,29100
980.0,980.0,980.0,980.0,980.0,200
980.0,980.0,980.0,980.0,980.0,0
980.0,980.0,980.0,980.0,980.0,100
980.0,980.0,980.0,980.0,980.0,0
980.0,980.0,980.0,980.0,980.0,100
980.0,980.0,980.0,980.0,980.0,0
980.0,980.0,980.0,980.0,980.0,0
980.0,980.0,980.0,980.0,980.0,300
960.0,960.0,975.0,960.0,975.0,19700
960.0,960.0,960.0,960.0,960.0,0
960.0,960.0,960.0,960.0,960.0,300
960.0,960.0,960.0,960.0,960.0,0
955.0,955.0,955.0,955.0,955.0,500
955.0,955.0,955.0,955.0,955.0,14500
950.0,950.0,950.0,950.0,950.0,16000
955.0,955.0,955.0,955.0,955.0,12000
950.0,950.0,955.0,950.0,955.0,13800
950.0,950.0,950.0,950.0,950.0,0
950.0,950.0,950.0,950.0,950.0,0
950.0,950.0,950.0,950.0,950.0,0
945.0,945.0,945.0,945.0,945.0,7500
950.0,950.0,950.0,950.0,950.0,8000
970.0,970.0,970.0,960.0,960.0,8500
970.0,970.0,970.0,970.0,970.0,8500
970.0,970.0,970.0,970.0,970.0,20500
970.0,970.0,970.0,970.0,970.0,0
970.0,970.0,970.0,970.0,970.0,22500
965.0,965.0,965.0,965.0,965.0,15700
960.0,960.0,960.0,960.0,960.0,19500
975.0,975.0,975.0,975.0,975.0,17000
970.0,970.0,975.0,970.0,975.0,47600
970.0,970.0,970.0,970.0,970.0,26500
970.0,970.0,970.0,970.0,970.0,18300
970.0,970.0,970.0,970.0,970.0,11900
965.0,965.0,965.0,965.0,965.0,19500
965.0,965.0,965.0,965.0,965.0,10600
960.0,960.0,960.0,960.0,960.0,17500
965.0,965.0,985.0,960.0,965.0,53600
970.0,970.0,975.0,965.0,965.0,18700
980.0,980.0,1150.0,730.0,1040.0,39700
1050.0,1050.0,1220.0,770.0,1220.0,22000
1035.0,1035.0,1215.0,990.0,1095.0,22300
1075.0,1075.0,1160.0,865.0,1160.0,40200
1170.0,1170.0,1215.0,1075.0,1075.0,56700
1115.0,1115.0,1170.0,1115.0,1155.0,21900
1135.0,1135.0,1215.0,1005.0,1215.0,73100
1140.0,1140.0,1200.0,1080.0,1140.0,74600
1145.0,1145.0,1155.0,1010.0,1140.0,75500
1135.0,1135.0,1145.0,1055.0,1140.0,78000
1120.0,1120.0,1135.0,965.0,1035.0,130400
1090.0,1090.0,1135.0,1005.0,1115.0,146500
1080.0,1080.0,1085.0,1075.0,1080.0,13300
1075.0,1075.0,1140.0,1010.0,1130.0,149200
1095.0,1095.0,1175.0,1005.0,1175.0,82700
1050.0,1050.0,1215.0,1050.0,1095.0,110200
1050.0,1050.0,1120.0,925.0,1120.0,225000
975.0,975.0,1070.0,970.0,1070.0,77700
955.0,955.0,1005.0,910.0,975.0,12800
925.0,925.0,1030.0,900.0,955.0,5700
915.0,915.0,990.0,770.0,985.0,37200
830.0,830.0,965.0,755.0,965.0,34800
850.0,850.0,865.0,830.0,830.0,3900
865.0,865.0,865.0,845.0,845.0,1000
860.0,860.0,865.0,855.0,855.0,25300
885.0,885.0,895.0,860.0,860.0,25800
885.0,885.0,885.0,885.0,885.0,0
880.0,880.0,880.0,880.0,880.0,13400
880.0,880.0,880.0,880.0,880.0,0
