Adj Close,Close,High,Low,Open,Volume
ARTI.JK,ARTI.JK,ARTI.JK,ARTI.JK,ARTI.JK,ARTI.JK
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
45.0,45.0,45.0,45.0,45.0,350100
41.0,41.0,41.0,41.0,41.0,24300
37.0,37.0,37.0,37.0,37.0,8300
34.0,34.0,34.0,34.0,34.0,4100
31.0,31.0,31.0,31.0,31.0,406200
28.0,28.0,28.0,28.0,28.0,233400
26.0,26.0,26.0,26.0,26.0,120300
24.0,24.0,24.0,24.0,24.0,194700
22.0,22.0,22.0,22.0,22.0,21300
20.0,20.0,20.0,20.0,20.0,582500
18.0,18.0,18.0,18.0,18.0,128900
17.0,17.0,17.0,17.0,17.0,328800
16.0,16.0,16.0,16.0,16.0,699900
15.0,15.0,15.0,15.0,15.0,34200
14.0,14.0,14.0,14.0,14.0,152000
13.0,13.0,13.0,13.0,13.0,16200
12.0,12.0,12.0,12.0,12.0,154200
11.0,11.0,11.0,11.0,11.0,50000
10.0,10.0,10.0,10.0,10.0,909800
9.0,9.0,9.0,9.0,9.0,1251000
8.0,8.0,8.0,8.0,8.0,559800
7.0,7.0,7.0,7.0,7.0,575400
6.0,6.0,6.0,6.0,6.0,952100
5.0,5.0,5.0,5.0,5.0,60084300
5.0,5.0,5.0,5.0,5.0,68989600
5.0,5.0,5.0,5.0,5.0,9483300
4.0,4.0,5.0,4.0,5.0,7148000
4.0,4.0,4.0,4.0,4.0,7147900
4.0,4.0,4.0,4.0,4.0,6837900
4.0,4.0,4.0,4.0,4.0,10258300
4.0,4.0,4.0,4.0,4.0,4047600
5.0,5.0,5.0,4.0,4.0,14381300
5.0,5.0,5.0,5.0,5.0,18900500
5.0,5.0,5.0,5.0,5.0,5892900
5.0,5.0,5.0,5.0,5.0,4805100
5.0,5.0,5.0,5.0,5.0,1180300
5.0,5.0,5.0,5.0,5.0,6181000
6.0,6.0,6.0,6.0,6.0,4395200
6.0,6.0,6.0,6.0,6.0,7827700
5.0,5.0,6.0,5.0,6.0,3947100
5.0,5.0,5.0,5.0,5.0,1458100
