Adj Close,Close,High,Low,Open,Volume
ASLI.JK,ASLI.JK,ASLI.JK,ASLI.JK,ASLI.JK,ASLI.JK
89.0,89.0,133.0,70.0,125.0,1954842300
60.0,60.0,88.0,58.0,88.0,1489151800
59.0,59.0,64.0,57.0,60.0,245318300
57.0,57.0,60.0,50.0,59.0,164490500
61.0,61.0,67.0,51.0,51.0,923858400
57.0,57.0,63.0,56.0,61.0,174673600
57.0,57.0,57.0,57.0,57.0,0
57.0,57.0,58.0,55.0,56.0,70013400
55.0,55.0,58.0,55.0,57.0,56494700
58.0,58.0,61.0,55.0,55.0,182369800
56.0,56.0,58.0,55.0,58.0,63939700
56.0,56.0,57.0,55.0,56.0,38502200
56.0,56.0,59.0,55.0,56.0,102190300
55.0,55.0,57.0,55.0,56.0,26276600
54.0,54.0,56.0,53.0,55.0,181668000
52.0,52.0,54.0,50.0,54.0,185611800
51.0,51.0,53.0,51.0,52.0,78910100
50.0,50.0,52.0,50.0,51.0,151279300
50.0,50.0,51.0,50.0,50.0,42377200
50.0,50.0,51.0,50.0,50.0,27544200
51.0,51.0,51.0,50.0,50.0,10080600
50.0,50.0,51.0,50.0,51.0,57366700
50.0,50.0,51.0,50.0,50.0,16651200
50.0,50.0,51.0,50.0,50.0,4983100
50.0,50.0,50.0,50.0,50.0,2714900
50.0,50.0,50.0,50.0,50.0,6289900
50.0,50.0,50.0,50.0,50.0,10196100
50.0,50.0,50.0,50.0,50.0,2909100
50.0,50.0,50.0,50.0,50.0,3493700
50.0,50.0,50.0,50.0,50.0,658400
50.0,50.0,50.0,50.0,50.0,979400
50.0,50.0,50.0,50.0,50.0,96500
50.0,50.0,50.0,50.0,50.0,102100
50.0,50.0,50.0,50.0,50.0,459000
50.0,50.0,50.0,50.0,50.0,293600
50.0,50.0,50.0,50.0,50.0,228100
50.0,50.0,50.0,50.0,50.0,872600
50.0,50.0,50.0,50.0,50.0,28300
50.0,50.0,50.0,50.0,50.0,628000
50.0,50.0,50.0,50.0,50.0,1384200
50.0,50.0,50.0,50.0,50.0,454900
50.0,50.0,50.0,50.0,50.0,78700
50.0,50.0,50.0,50.0,50.0,158000
50.0,50.0,50.0,50.0,50.0,113800
50.0,50.0,50.0,50.0,50.0,50900
50.0,50.0,50.0,50.0,50.0,44100
50.0,50.0,50.0,50.0,50.0,228900
50.0,50.0,50.0,50.0,50.0,49900
50.0,50.0,50.0,50.0,50.0,90200
50.0,50.0,50.0,50.0,50.0,1073100
50.0,50.0,50.0,50.0,50.0,2922000
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,22845200
50.0,50.0,51.0,50.0,50.0,45440200
50.0,50.0,50.0,50.0,50.0,222100
50.0,50.0,50.0,50.0,50.0,591100
50.0,50.0,50.0,50.0,50.0,172800
50.0,50.0,50.0,50.0,50.0,221300
50.0,50.0,50.0,50.0,50.0,140600
50.0,50.0,50.0,50.0,50.0,24851700
50.0,50.0,50.0,50.0,50.0,2843300
50.0,50.0,50.0,50.0,50.0,3363400
50.0,50.0,50.0,50.0,50.0,1789800
50.0,50.0,50.0,50.0,50.0,3911500
50.0,50.0,50.0,50.0,50.0,1565100
50.0,50.0,50.0,50.0,50.0,3753200
50.0,50.0,53.0,50.0,50.0,71628500
50.0,50.0,50.0,50.0,50.0,1539200
50.0,50.0,50.0,50.0,50.0,2743600
50.0,50.0,52.0,50.0,50.0,45947400
50.0,50.0,50.0,50.0,50.0,2798600
50.0,50.0,50.0,50.0,50.0,1030200
50.0,50.0,50.0,50.0,50.0,1520100
50.0,50.0,50.0,50.0,50.0,3132900
50.0,50.0,50.0,50.0,50.0,5696000
50.0,50.0,50.0,50.0,50.0,2154600
50.0,50.0,50.0,50.0,50.0,1244400
50.0,50.0,50.0,50.0,50.0,2345400
50.0,50.0,50.0,50.0,50.0,1603200
50.0,50.0,50.0,50.0,50.0,1814200
50.0,50.0,50.0,50.0,50.0,1673000
50.0,50.0,50.0,50.0,50.0,570700
50.0,50.0,50.0,50.0,50.0,241400
50.0,50.0,50.0,50.0,50.0,329700
50.0,50.0,50.0,50.0,50.0,1432300
50.0,50.0,50.0,50.0,50.0,732900
50.0,50.0,50.0,50.0,50.0,323700
50.0,50.0,50.0,50.0,50.0,1264700
50.0,50.0,50.0,50.0,50.0,227100
50.0,50.0,50.0,50.0,50.0,1073800
50.0,50.0,50.0,50.0,50.0,1048700
50.0,50.0,50.0,50.0,50.0,244500
50.0,50.0,50.0,50.0,50.0,102300
50.0,50.0,50.0,50.0,50.0,123000
50.0,50.0,50.0,50.0,50.0,114700
50.0,50.0,50.0,50.0,50.0,64700
50.0,50.0,50.0,50.0,50.0,611800
50.0,50.0,50.0,50.0,50.0,64300
50.0,50.0,50.0,50.0,50.0,391800
50.0,50.0,50.0,50.0,50.0,145800
50.0,50.0,50.0,50.0,50.0,117800
50.0,50.0,50.0,50.0,50.0,230900
50.0,50.0,50.0,50.0,50.0,107200
50.0,50.0,50.0,50.0,50.0,47100
50.0,50.0,50.0,50.0,50.0,58300
50.0,50.0,50.0,50.0,50.0,44800
50.0,50.0,50.0,50.0,50.0,101000
50.0,50.0,50.0,50.0,50.0,306100
50.0,50.0,50.0,50.0,50.0,122500
50.0,50.0,50.0,50.0,50.0,86800
50.0,50.0,50.0,50.0,50.0,95600
50.0,50.0,50.0,50.0,50.0,75100
50.0,50.0,50.0,50.0,50.0,24800
50.0,50.0,50.0,50.0,50.0,24200
50.0,50.0,50.0,50.0,50.0,51600
50.0,50.0,50.0,50.0,50.0,71100
50.0,50.0,50.0,50.0,50.0,30900
50.0,50.0,50.0,50.0,50.0,27300
50.0,50.0,50.0,50.0,50.0,10000
50.0,50.0,50.0,50.0,50.0,34600
50.0,50.0,50.0,50.0,50.0,45100
50.0,50.0,50.0,50.0,50.0,318200
50.0,50.0,50.0,50.0,50.0,332300
50.0,50.0,50.0,50.0,50.0,106600
50.0,50.0,50.0,50.0,50.0,2451800
51.0,51.0,51.0,50.0,50.0,49259600
50.0,50.0,52.0,50.0,50.0,40863300
50.0,50.0,50.0,50.0,50.0,973700
50.0,50.0,50.0,50.0,50.0,1107300
50.0,50.0,50.0,50.0,50.0,1790800
50.0,50.0,50.0,50.0,50.0,577200
50.0,50.0,50.0,50.0,50.0,506700
50.0,50.0,50.0,50.0,50.0,1092000
50.0,50.0,50.0,50.0,50.0,225100
50.0,50.0,50.0,50.0,50.0,1172600
50.0,50.0,50.0,50.0,50.0,305600
50.0,50.0,50.0,50.0,50.0,505700
50.0,50.0,50.0,50.0,50.0,100100
50.0,50.0,50.0,50.0,50.0,158700
50.0,50.0,50.0,50.0,50.0,612000
50.0,50.0,50.0,50.0,50.0,500000
50.0,50.0,50.0,50.0,50.0,500000
50.0,50.0,50.0,50.0,50.0,160600
50.0,50.0,50.0,50.0,50.0,142500
50.0,50.0,50.0,50.0,50.0,144500
50.0,50.0,50.0,50.0,50.0,1108700
50.0,50.0,50.0,50.0,50.0,588500
50.0,50.0,50.0,50.0,50.0,1053200
50.0,50.0,50.0,50.0,50.0,671500
50.0,50.0,50.0,50.0,50.0,478900
50.0,50.0,50.0,50.0,50.0,685600
50.0,50.0,50.0,50.0,50.0,550000
50.0,50.0,50.0,50.0,50.0,329000
50.0,50.0,50.0,50.0,50.0,1572400
50.0,50.0,50.0,50.0,50.0,319400
50.0,50.0,50.0,50.0,50.0,250400
50.0,50.0,50.0,50.0,50.0,591900
50.0,50.0,50.0,50.0,50.0,699800
50.0,50.0,50.0,50.0,50.0,946900
50.0,50.0,50.0,50.0,50.0,589300
50.0,50.0,50.0,50.0,50.0,1068200
50.0,50.0,50.0,50.0,50.0,1604900
