Adj Close,Close,High,Low,Open,Volume
ASMI.JK,ASMI.JK,ASMI.JK,ASMI.JK,ASMI.JK,ASMI.JK
52.0,52.0,58.0,50.0,50.0,9668600
52.0,52.0,53.0,51.0,52.0,1203100
52.0,52.0,57.0,51.0,51.0,8008600
53.0,53.0,54.0,51.0,52.0,1300900
51.0,51.0,54.0,51.0,53.0,1631000
50.0,50.0,52.0,50.0,51.0,3454500
51.0,51.0,52.0,50.0,50.0,1741600
51.0,51.0,52.0,50.0,51.0,613800
50.0,50.0,51.0,50.0,51.0,757700
50.0,50.0,51.0,50.0,50.0,404800
50.0,50.0,51.0,50.0,50.0,762400
50.0,50.0,51.0,50.0,50.0,230500
50.0,50.0,50.0,50.0,50.0,319900
50.0,50.0,50.0,50.0,50.0,52800
50.0,50.0,50.0,50.0,50.0,20500
50.0,50.0,50.0,50.0,50.0,116100
50.0,50.0,50.0,50.0,50.0,37000
50.0,50.0,50.0,50.0,50.0,52200
50.0,50.0,50.0,50.0,50.0,20100
50.0,50.0,50.0,50.0,50.0,20300
50.0,50.0,50.0,50.0,50.0,2500
50.0,50.0,50.0,50.0,50.0,20000
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,51.0,50.0,50.0,1118600
50.0,50.0,50.0,50.0,50.0,1000
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,5100
50.0,50.0,50.0,50.0,50.0,627200
50.0,50.0,50.0,50.0,50.0,90000
50.0,50.0,50.0,50.0,50.0,20100
50.0,50.0,50.0,50.0,50.0,22200
50.0,50.0,51.0,50.0,50.0,604200
50.0,50.0,50.0,50.0,50.0,138600
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,20100
50.0,50.0,50.0,50.0,50.0,70900
50.0,50.0,50.0,50.0,50.0,13700
50.0,50.0,50.0,50.0,50.0,200
50.0,50.0,50.0,50.0,50.0,20000
50.0,50.0,50.0,50.0,50.0,10000
50.0,50.0,50.0,50.0,50.0,200
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,1800
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,20700
50.0,50.0,50.0,50.0,50.0,300
50.0,50.0,50.0,50.0,50.0,700
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,1500
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,8400
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,600
50.0,50.0,50.0,50.0,50.0,500
50.0,50.0,50.0,50.0,50.0,200
50.0,50.0,50.0,50.0,50.0,300
50.0,50.0,50.0,50.0,50.0,0
