Adj Close,Close,High,Low,Open,Volume
BABY.JK,BABY.JK,BABY.JK,BABY.JK,BABY.JK,BABY.JK
194.0,194.0,198.0,193.0,198.0,460600
194.0,194.0,197.0,192.0,194.0,861300
193.0,193.0,195.0,189.0,194.0,1111100
188.0,188.0,195.0,187.0,193.0,1370600
206.0,206.0,208.0,181.0,188.0,7304700
236.0,236.0,236.0,206.0,210.0,26346900
220.0,220.0,250.0,220.0,236.0,22859300
230.0,230.0,236.0,212.0,220.0,5669100
222.0,222.0,234.0,218.0,234.0,3310300
214.0,214.0,228.0,214.0,222.0,2612800
220.0,220.0,220.0,212.0,216.0,1194200
220.0,220.0,224.0,210.0,222.0,2235300
214.0,214.0,220.0,212.0,220.0,945600
210.0,210.0,216.0,208.0,214.0,1226900
208.0,208.0,214.0,206.0,210.0,1847600
200.0,200.0,210.0,198.0,210.0,2398400
195.0,195.0,200.0,194.0,200.0,2534400
189.0,189.0,196.0,188.0,196.0,2341900
181.0,181.0,189.0,181.0,189.0,3508000
176.0,176.0,187.0,175.0,182.0,3498000
175.0,175.0,181.0,171.0,176.0,876000
181.0,181.0,181.0,173.0,176.0,740500
182.0,182.0,187.0,180.0,182.0,1051300
181.0,181.0,185.0,177.0,183.0,789300
178.0,178.0,181.0,175.0,181.0,732200
174.0,174.0,178.0,174.0,178.0,1130600
174.0,174.0,178.0,174.0,174.0,843800
172.0,172.0,175.0,168.0,175.0,1162300
177.0,177.0,181.0,171.0,171.0,1085700
179.0,179.0,182.0,177.0,177.0,746500
178.0,178.0,180.0,177.0,179.0,207000
177.0,177.0,179.0,175.0,178.0,156600
178.0,178.0,179.0,175.0,177.0,292000
177.0,177.0,180.0,174.0,180.0,646700
176.0,176.0,179.0,173.0,177.0,456900
173.0,173.0,178.0,173.0,176.0,873500
173.0,173.0,178.0,173.0,173.0,832300
174.0,174.0,176.0,172.0,176.0,427500
172.0,172.0,174.0,171.0,173.0,396800
173.0,173.0,175.0,171.0,172.0,259900
171.0,171.0,174.0,170.0,173.0,533800
171.0,171.0,171.0,171.0,171.0,0
170.0,170.0,173.0,169.0,172.0,339400
170.0,170.0,171.0,167.0,167.0,303800
166.0,166.0,171.0,156.0,156.0,800300
163.0,163.0,168.0,162.0,166.0,3791700
170.0,170.0,183.0,152.0,164.0,11834800
226.0,226.0,228.0,170.0,171.0,108412400
200.0,200.0,236.0,184.0,232.0,69586100
191.0,191.0,202.0,188.0,200.0,11988000
180.0,180.0,194.0,176.0,193.0,7504700
196.0,196.0,232.0,176.0,182.0,235659700
185.0,185.0,196.0,182.0,195.0,25706900
193.0,193.0,204.0,180.0,187.0,36476900
206.0,206.0,212.0,193.0,193.0,44005200
204.0,204.0,210.0,197.0,208.0,10618200
195.0,195.0,204.0,192.0,204.0,5024600
196.0,196.0,204.0,195.0,195.0,4784600
176.0,176.0,199.0,170.0,195.0,13328400
174.0,174.0,182.0,167.0,176.0,10819700
170.0,170.0,177.0,169.0,174.0,1830900
168.0,168.0,175.0,163.0,170.0,5951000
160.0,160.0,177.0,159.0,162.0,6847600
157.0,157.0,162.0,155.0,162.0,2276700
155.0,155.0,160.0,149.0,149.0,2460200
166.0,166.0,175.0,154.0,155.0,9461200
161.0,161.0,169.0,160.0,167.0,3282700
158.0,158.0,161.0,157.0,161.0,1239600
155.0,155.0,159.0,155.0,159.0,1021400
155.0,155.0,163.0,154.0,156.0,3179500
154.0,154.0,157.0,151.0,155.0,1566500
152.0,152.0,154.0,150.0,154.0,2641100
148.0,148.0,152.0,143.0,143.0,1481200
152.0,152.0,159.0,148.0,148.0,2476900
152.0,152.0,156.0,150.0,154.0,2411200
152.0,152.0,153.0,150.0,152.0,514400
151.0,151.0,152.0,149.0,152.0,576200
149.0,149.0,152.0,148.0,151.0,557900
153.0,153.0,157.0,149.0,149.0,1186400
151.0,151.0,156.0,149.0,156.0,806700
149.0,149.0,151.0,132.0,132.0,567700
146.0,146.0,150.0,145.0,150.0,1230800
147.0,147.0,150.0,146.0,148.0,617800
146.0,146.0,148.0,144.0,147.0,598800
145.0,145.0,148.0,140.0,145.0,1489400
147.0,147.0,148.0,140.0,140.0,503300
147.0,147.0,147.0,147.0,147.0,0
147.0,147.0,147.0,147.0,147.0,0
143.0,143.0,143.0,141.0,143.0,246200
139.0,139.0,145.0,139.0,144.0,874000
136.0,136.0,142.0,136.0,139.0,634900
133.0,133.0,136.0,131.0,136.0,465400
134.0,134.0,140.0,130.0,133.0,494900
134.0,134.0,138.0,133.0,135.0,152300
134.0,134.0,136.0,119.0,119.0,362500
129.0,129.0,134.0,126.0,134.0,434800
132.0,132.0,134.0,128.0,134.0,211500
127.0,127.0,134.0,127.0,134.0,270100
118.0,118.0,133.0,115.0,133.0,1370300
115.0,115.0,120.0,110.0,119.0,468200
120.0,120.0,120.0,115.0,117.0,189200
116.0,116.0,120.0,101.0,101.0,371100
113.0,113.0,118.0,113.0,115.0,150500
105.0,105.0,115.0,104.0,113.0,728900
99.0,99.0,105.0,98.0,105.0,871300
90.0,90.0,90.0,90.0,90.0,355000
81.0,81.0,81.0,81.0,81.0,2263200
81.0,81.0,81.0,81.0,81.0,1772200
89.0,89.0,89.0,81.0,81.0,806500
92.0,92.0,92.0,89.0,89.0,2383400
95.0,95.0,95.0,93.0,93.0,45300
93.0,93.0,94.0,93.0,94.0,72000
90.0,90.0,92.0,90.0,92.0,100700
98.0,98.0,98.0,92.0,92.0,222400
132.0,132.0,132.0,101.0,101.0,2760200
157.0,157.0,167.0,135.0,135.0,34911900
160.0,160.0,180.0,141.0,158.0,26380700
159.0,159.0,168.0,156.0,162.0,4555000
158.0,158.0,161.0,156.0,159.0,1372600
140.0,140.0,158.0,138.0,148.0,1897500
143.0,143.0,147.0,131.0,131.0,575500
164.0,164.0,173.0,139.0,142.0,15195400
170.0,170.0,184.0,157.0,165.0,14783500
171.0,171.0,179.0,167.0,172.0,4777300
170.0,170.0,172.0,167.0,172.0,2015800
176.0,176.0,180.0,161.0,161.0,2216900
175.0,175.0,183.0,166.0,166.0,4500700
174.0,174.0,180.0,170.0,177.0,1274000
170.0,170.0,178.0,167.0,167.0,663200
170.0,170.0,176.0,163.0,163.0,2151800
169.0,169.0,174.0,161.0,161.0,821000
189.0,189.0,204.0,160.0,160.0,18078700
189.0,189.0,200.0,186.0,190.0,5391300
187.0,187.0,193.0,180.0,180.0,1911900
177.0,177.0,187.0,177.0,178.0,865700
176.0,176.0,181.0,169.0,176.0,1537800
175.0,175.0,180.0,166.0,166.0,477300
180.0,180.0,191.0,165.0,165.0,1904800
182.0,182.0,187.0,172.0,172.0,587300
187.0,187.0,194.0,183.0,183.0,2088300
186.0,186.0,192.0,186.0,191.0,443300
181.0,181.0,186.0,180.0,186.0,1023400
179.0,179.0,185.0,176.0,182.0,417900
179.0,179.0,183.0,178.0,180.0,293900
179.0,179.0,181.0,178.0,179.0,183400
180.0,180.0,183.0,179.0,179.0,85700
178.0,178.0,181.0,176.0,180.0,247300
177.0,177.0,178.0,175.0,178.0,219300
176.0,176.0,177.0,175.0,175.0,114200
188.0,188.0,192.0,171.0,171.0,3165500
210.0,210.0,222.0,185.0,188.0,15281100
212.0,212.0,220.0,200.0,212.0,3513300
210.0,210.0,218.0,208.0,210.0,792300
206.0,206.0,218.0,206.0,212.0,615700
212.0,212.0,218.0,204.0,208.0,1801100
208.0,208.0,216.0,206.0,216.0,327500
216.0,216.0,220.0,208.0,212.0,1291300
222.0,222.0,232.0,214.0,216.0,2935900
224.0,224.0,228.0,220.0,222.0,857300
216.0,216.0,226.0,208.0,226.0,763000
208.0,208.0,216.0,208.0,216.0,378300
214.0,214.0,222.0,206.0,210.0,772900
226.0,226.0,228.0,214.0,214.0,2080100
218.0,218.0,230.0,218.0,230.0,1257000
222.0,222.0,230.0,218.0,218.0,531100
222.0,222.0,226.0,220.0,222.0,218200
214.0,214.0,224.0,212.0,222.0,306500
195.0,195.0,214.0,191.0,214.0,1209300
208.0,208.0,226.0,188.0,194.0,1226300
222.0,222.0,230.0,202.0,208.0,1621400
224.0,224.0,230.0,220.0,224.0,862800
236.0,236.0,240.0,222.0,224.0,6216600
238.0,238.0,240.0,228.0,236.0,8797400
234.0,234.0,248.0,232.0,238.0,2644600
214.0,214.0,236.0,206.0,236.0,2359600
212.0,212.0,218.0,206.0,216.0,555500
214.0,214.0,218.0,210.0,210.0,297100
214.0,214.0,216.0,212.0,216.0,89700
214.0,214.0,218.0,214.0,214.0,426500
212.0,212.0,218.0,212.0,218.0,250200
206.0,206.0,212.0,206.0,212.0,229700
212.0,212.0,216.0,200.0,206.0,191200
210.0,210.0,214.0,208.0,212.0,239200
206.0,206.0,214.0,204.0,210.0,289700
204.0,204.0,214.0,202.0,206.0,536000
206.0,206.0,232.0,202.0,204.0,5147900
210.0,210.0,210.0,204.0,208.0,171400
202.0,202.0,208.0,199.0,208.0,488200
202.0,202.0,206.0,200.0,204.0,243200
197.0,197.0,204.0,190.0,204.0,479400
197.0,197.0,202.0,195.0,198.0,131500
208.0,208.0,208.0,191.0,197.0,463000
208.0,208.0,210.0,200.0,210.0,642300
220.0,220.0,222.0,208.0,208.0,3611200
