Adj Close,Close,High,Low,Open,Volume
BAPA.JK,BAPA.JK,BAPA.JK,BAPA.JK,BAPA.JK,BAPA.JK
64.0,64.0,65.0,62.0,65.0,2984800
64.0,64.0,65.0,63.0,64.0,398900
64.0,64.0,66.0,64.0,64.0,664200
63.0,63.0,66.0,63.0,65.0,806700
64.0,64.0,66.0,63.0,64.0,754400
65.0,65.0,66.0,64.0,64.0,559800
63.0,63.0,65.0,63.0,65.0,652600
65.0,65.0,65.0,63.0,63.0,210100
65.0,65.0,65.0,64.0,65.0,478400
64.0,64.0,65.0,63.0,65.0,267700
64.0,64.0,65.0,63.0,65.0,368400
65.0,65.0,65.0,63.0,65.0,105800
64.0,64.0,66.0,63.0,65.0,590000
63.0,63.0,65.0,63.0,64.0,344300
64.0,64.0,64.0,61.0,63.0,788800
62.0,62.0,64.0,62.0,64.0,480800
63.0,63.0,68.0,62.0,62.0,14288600
63.0,63.0,64.0,62.0,63.0,818800
62.0,62.0,63.0,62.0,62.0,729500
60.0,60.0,63.0,60.0,63.0,1845400
54.0,54.0,60.0,52.0,60.0,1878900
50.0,50.0,54.0,50.0,50.0,3562400
53.0,53.0,62.0,50.0,51.0,6747000
53.0,53.0,54.0,51.0,53.0,790200
51.0,51.0,54.0,51.0,53.0,455300
50.0,50.0,51.0,50.0,51.0,1704200
50.0,50.0,51.0,50.0,51.0,1324900
51.0,51.0,51.0,50.0,50.0,2574700
51.0,51.0,52.0,50.0,51.0,130700
51.0,51.0,51.0,50.0,50.0,469400
50.0,50.0,51.0,50.0,51.0,413300
67.0,67.0,67.0,51.0,51.0,26593000
79.0,79.0,90.0,74.0,77.0,282855200
76.0,76.0,82.0,71.0,80.0,27193800
75.0,75.0,78.0,71.0,74.0,12996200
72.0,72.0,84.0,72.0,72.0,45474500
70.0,70.0,77.0,66.0,66.0,23791200
69.0,69.0,74.0,68.0,68.0,13257600
69.0,69.0,72.0,66.0,66.0,13314000
68.0,68.0,69.0,67.0,67.0,2686500
68.0,68.0,69.0,64.0,64.0,1698800
68.0,68.0,69.0,67.0,67.0,910400
68.0,68.0,69.0,67.0,68.0,953300
67.0,67.0,72.0,65.0,68.0,15204900
66.0,66.0,68.0,66.0,68.0,2421200
66.0,66.0,68.0,66.0,66.0,858300
