Adj Close,Close,High,Low,Open,Volume
BATA.JK,BATA.JK,BATA.JK,BATA.JK,BATA.JK,BATA.JK
146.0,146.0,148.0,146.0,148.0,42300
145.0,145.0,145.0,145.0,145.0,20600
140.0,140.0,143.0,140.0,143.0,27400
137.0,137.0,137.0,137.0,137.0,29000
137.0,137.0,137.0,137.0,137.0,100
138.0,138.0,138.0,136.0,136.0,11400
136.0,136.0,136.0,136.0,136.0,5100
138.0,138.0,138.0,138.0,138.0,11000
138.0,138.0,138.0,138.0,138.0,2500
141.0,141.0,141.0,140.0,140.0,45200
141.0,141.0,141.0,141.0,141.0,600
141.0,141.0,141.0,141.0,141.0,90500
190.0,190.0,190.0,141.0,141.0,3094100
171.0,171.0,212.0,164.0,200.0,1644900
184.0,184.0,184.0,162.0,173.0,495800
175.0,175.0,183.0,163.0,183.0,14800
173.0,173.0,184.0,171.0,172.0,93000
174.0,174.0,184.0,170.0,172.0,9600
171.0,171.0,184.0,170.0,178.0,73500
161.0,161.0,171.0,161.0,171.0,9700
165.0,165.0,183.0,161.0,161.0,7000
166.0,166.0,170.0,166.0,166.0,13100
146.0,146.0,184.0,132.0,167.0,495000
141.0,141.0,154.0,136.0,146.0,375200
141.0,141.0,152.0,139.0,147.0,114200
142.0,142.0,145.0,134.0,145.0,75900
138.0,138.0,146.0,135.0,142.0,127800
137.0,137.0,143.0,135.0,140.0,447500
144.0,144.0,151.0,134.0,134.0,257000
147.0,147.0,153.0,137.0,146.0,72700
143.0,143.0,150.0,142.0,147.0,102100
141.0,141.0,149.0,141.0,144.0,45900
140.0,140.0,141.0,135.0,140.0,112700
143.0,143.0,144.0,138.0,139.0,154200
144.0,144.0,146.0,141.0,143.0,172900
145.0,145.0,156.0,144.0,144.0,39900
141.0,141.0,155.0,141.0,155.0,72200
139.0,139.0,143.0,130.0,141.0,88800
135.0,135.0,148.0,135.0,138.0,29900
136.0,136.0,136.0,132.0,135.0,57400
135.0,135.0,136.0,134.0,136.0,87500
131.0,131.0,140.0,125.0,134.0,345700
104.0,104.0,176.0,99.0,133.0,25021000
105.0,105.0,110.0,102.0,105.0,5065900
101.0,101.0,106.0,101.0,105.0,4234100
100.0,100.0,104.0,85.0,85.0,1217300
98.0,98.0,102.0,95.0,100.0,1285200
98.0,98.0,99.0,91.0,91.0,830900
97.0,97.0,99.0,96.0,98.0,769500
97.0,97.0,99.0,95.0,97.0,271900
96.0,96.0,101.0,94.0,97.0,461800
95.0,95.0,103.0,76.0,95.0,2111100
94.0,94.0,95.0,92.0,95.0,870400
95.0,95.0,98.0,86.0,86.0,368700
97.0,97.0,99.0,88.0,88.0,604600
97.0,97.0,100.0,91.0,91.0,372400
96.0,96.0,98.0,92.0,92.0,642500
97.0,97.0,102.0,95.0,96.0,500800
98.0,98.0,99.0,94.0,98.0,150400
99.0,99.0,101.0,95.0,98.0,645500
100.0,100.0,102.0,98.0,100.0,243200
99.0,99.0,103.0,96.0,101.0,616100
99.0,99.0,100.0,98.0,99.0,376200
100.0,100.0,100.0,98.0,99.0,162200
100.0,100.0,102.0,97.0,99.0,1123900
100.0,100.0,100.0,98.0,100.0,821200
100.0,100.0,100.0,99.0,100.0,230900
100.0,100.0,103.0,98.0,100.0,786900
100.0,100.0,101.0,98.0,101.0,736100
100.0,100.0,101.0,98.0,100.0,273100
100.0,100.0,100.0,98.0,99.0,72900
103.0,103.0,103.0,99.0,100.0,437300
104.0,104.0,105.0,103.0,103.0,708100
101.0,101.0,108.0,101.0,104.0,1063600
104.0,104.0,104.0,100.0,100.0,166400
103.0,103.0,107.0,101.0,103.0,1642100
104.0,104.0,106.0,103.0,103.0,2564000
105.0,105.0,109.0,103.0,109.0,731500
103.0,103.0,106.0,103.0,105.0,713400
103.0,103.0,103.0,102.0,103.0,76200
104.0,104.0,104.0,103.0,103.0,21600
101.0,101.0,105.0,101.0,104.0,623300
103.0,103.0,103.0,101.0,103.0,30900
100.0,100.0,102.0,98.0,102.0,286500
101.0,101.0,101.0,99.0,100.0,23900
102.0,102.0,102.0,100.0,101.0,13900
102.0,102.0,102.0,101.0,102.0,28700
101.0,101.0,102.0,99.0,102.0,157600
101.0,101.0,102.0,100.0,100.0,196900
100.0,100.0,101.0,98.0,101.0,386700
100.0,100.0,100.0,98.0,100.0,64800
100.0,100.0,100.0,98.0,100.0,14800
97.0,97.0,99.0,88.0,99.0,1263800
97.0,97.0,99.0,91.0,95.0,130700
97.0,97.0,110.0,96.0,96.0,2449500
96.0,96.0,98.0,86.0,97.0,399000
96.0,96.0,98.0,94.0,98.0,60500
97.0,97.0,97.0,93.0,96.0,140500
96.0,96.0,97.0,93.0,97.0,92500
96.0,96.0,96.0,94.0,94.0,69500
96.0,96.0,96.0,92.0,95.0,77900
95.0,95.0,96.0,90.0,95.0,67300
96.0,96.0,96.0,92.0,92.0,87700
96.0,96.0,97.0,93.0,96.0,115900
96.0,96.0,96.0,92.0,93.0,223100
97.0,97.0,97.0,92.0,95.0,67900
94.0,94.0,96.0,92.0,95.0,66600
95.0,95.0,95.0,95.0,95.0,51500
82.0,82.0,95.0,81.0,95.0,2717400
74.0,74.0,84.0,74.0,81.0,758900
77.0,77.0,81.0,74.0,74.0,133600
71.0,71.0,77.0,69.0,77.0,761900
69.0,69.0,70.0,68.0,70.0,216500
68.0,68.0,69.0,66.0,68.0,55200
65.0,65.0,68.0,64.0,68.0,507400
68.0,68.0,76.0,65.0,65.0,677400
66.0,66.0,68.0,66.0,68.0,25200
66.0,66.0,67.0,65.0,67.0,116200
65.0,65.0,67.0,58.0,58.0,22700
65.0,65.0,67.0,64.0,65.0,24500
65.0,65.0,65.0,64.0,65.0,122800
