Adj Close,Close,High,Low,Open,Volume
BATR.JK,BATR.JK,BATR.JK,BATR.JK,BATR.JK,BATR.JK
120.0,120.0,148.0,103.0,130.0,1294170600
112.0,112.0,131.0,110.0,120.0,347882000
97.0,97.0,119.0,90.0,112.0,277370300
102.0,102.0,106.0,97.0,99.0,134453100
89.0,89.0,103.0,89.0,100.0,81490400
84.0,84.0,91.0,76.0,80.0,113424900
93.0,93.0,97.0,86.0,92.0,99455400
91.0,91.0,95.0,83.0,83.0,40585900
90.0,90.0,93.0,82.0,82.0,10810200
89.0,89.0,93.0,88.0,90.0,14668400
89.0,89.0,93.0,86.0,89.0,24208400
90.0,90.0,99.0,80.0,80.0,125984500
92.0,92.0,97.0,90.0,95.0,21381600
90.0,90.0,93.0,86.0,92.0,19416700
89.0,89.0,91.0,87.0,91.0,12349900
88.0,88.0,90.0,86.0,90.0,8461400
92.0,92.0,93.0,86.0,88.0,37212700
89.0,89.0,93.0,89.0,93.0,11556400
88.0,88.0,93.0,84.0,89.0,29675600
86.0,86.0,90.0,85.0,88.0,15464800
85.0,85.0,87.0,85.0,87.0,9905500
86.0,86.0,87.0,84.0,86.0,11431600
84.0,84.0,87.0,84.0,86.0,7296500
84.0,84.0,86.0,81.0,85.0,19521600
83.0,83.0,86.0,79.0,84.0,19586000
82.0,82.0,84.0,82.0,83.0,5015600
81.0,81.0,83.0,80.0,82.0,14758100
82.0,82.0,85.0,80.0,80.0,10222700
88.0,88.0,93.0,81.0,81.0,86313400
84.0,84.0,89.0,82.0,88.0,55399800
82.0,82.0,83.0,81.0,82.0,9603900
80.0,80.0,83.0,80.0,82.0,13408100
81.0,81.0,82.0,80.0,80.0,6775600
80.0,80.0,83.0,80.0,81.0,11129900
80.0,80.0,82.0,80.0,80.0,4782100
80.0,80.0,82.0,80.0,80.0,5188800
80.0,80.0,81.0,80.0,80.0,4637300
84.0,84.0,86.0,79.0,80.0,42995400
82.0,82.0,89.0,80.0,84.0,65001200
83.0,83.0,86.0,81.0,82.0,13045700
82.0,82.0,83.0,81.0,83.0,4497100
81.0,81.0,83.0,81.0,82.0,5746200
81.0,81.0,84.0,81.0,82.0,4146600
82.0,82.0,83.0,81.0,82.0,2857400
81.0,81.0,85.0,81.0,83.0,3096600
81.0,81.0,82.0,81.0,82.0,4174200
81.0,81.0,82.0,80.0,81.0,4096100
80.0,80.0,82.0,80.0,80.0,2721400
80.0,80.0,81.0,80.0,80.0,3977300
81.0,81.0,81.0,80.0,80.0,5470200
80.0,80.0,81.0,80.0,80.0,2505800
80.0,80.0,81.0,79.0,80.0,5707900
82.0,82.0,84.0,79.0,80.0,7649700
82.0,82.0,83.0,81.0,82.0,2215800
80.0,80.0,82.0,80.0,82.0,2199300
80.0,80.0,81.0,80.0,80.0,2798500
80.0,80.0,81.0,79.0,80.0,3329000
80.0,80.0,81.0,79.0,80.0,3425600
79.0,79.0,80.0,79.0,80.0,4875200
79.0,79.0,80.0,78.0,80.0,3754100
79.0,79.0,80.0,71.0,71.0,2981300
79.0,79.0,79.0,78.0,79.0,5952500
80.0,80.0,81.0,79.0,80.0,4217800
80.0,80.0,81.0,79.0,80.0,1657600
79.0,79.0,80.0,78.0,79.0,2724500
79.0,79.0,80.0,78.0,79.0,3815600
79.0,79.0,80.0,78.0,79.0,2693400
79.0,79.0,79.0,78.0,79.0,2704300
78.0,78.0,79.0,78.0,78.0,1759300
78.0,78.0,79.0,78.0,78.0,1628400
78.0,78.0,80.0,78.0,78.0,1458600
79.0,79.0,80.0,78.0,79.0,3082400
78.0,78.0,80.0,78.0,78.0,3683700
79.0,79.0,79.0,78.0,78.0,2958500
79.0,79.0,79.0,78.0,79.0,3545600
80.0,80.0,80.0,78.0,79.0,2746900
78.0,78.0,87.0,78.0,87.0,1470600
79.0,79.0,79.0,78.0,79.0,650000
78.0,78.0,79.0,78.0,79.0,1925100
78.0,78.0,79.0,78.0,79.0,3014100
79.0,79.0,79.0,78.0,79.0,524300
79.0,79.0,88.0,78.0,88.0,1431500
79.0,79.0,80.0,78.0,80.0,1652800
79.0,79.0,80.0,78.0,80.0,2537700
78.0,78.0,79.0,78.0,79.0,1127500
78.0,78.0,79.0,78.0,79.0,1601700
78.0,78.0,80.0,78.0,79.0,2559100
79.0,79.0,80.0,78.0,80.0,900500
79.0,79.0,80.0,78.0,80.0,699100
82.0,82.0,83.0,79.0,79.0,11748600
83.0,83.0,100.0,81.0,100.0,5203500
82.0,82.0,91.0,82.0,91.0,1290900
81.0,81.0,90.0,81.0,90.0,1370900
82.0,82.0,90.0,80.0,90.0,858700
82.0,82.0,83.0,80.0,83.0,2529800
79.0,79.0,82.0,79.0,82.0,872700
82.0,82.0,97.0,79.0,97.0,1984900
80.0,80.0,83.0,79.0,83.0,990200
80.0,80.0,89.0,79.0,89.0,2046100
79.0,79.0,81.0,78.0,81.0,2497300
79.0,79.0,80.0,78.0,80.0,1825200
79.0,79.0,88.0,78.0,88.0,965500
78.0,78.0,79.0,78.0,79.0,1044300
78.0,78.0,79.0,77.0,79.0,1372200
78.0,78.0,79.0,77.0,77.0,2529800
79.0,79.0,87.0,78.0,87.0,749800
79.0,79.0,87.0,78.0,87.0,1251800
79.0,79.0,79.0,78.0,79.0,476200
78.0,78.0,88.0,78.0,88.0,1167500
