Adj Close,Close,High,Low,Open,Volume
BELI.JK,BELI.JK,BELI.JK,BELI.JK,BELI.JK,BELI.JK
486.0,486.0,490.0,468.0,472.0,23007900
478.0,478.0,486.0,476.0,486.0,12952600
476.0,476.0,480.0,474.0,478.0,7162400
482.0,482.0,482.0,476.0,476.0,18591200
480.0,480.0,482.0,476.0,482.0,4593400
478.0,478.0,480.0,476.0,478.0,9682200
472.0,472.0,478.0,472.0,478.0,7084800
474.0,474.0,476.0,470.0,470.0,5635300
472.0,472.0,474.0,472.0,474.0,3629500
472.0,472.0,474.0,470.0,474.0,4497100
474.0,474.0,474.0,470.0,472.0,4459300
474.0,474.0,474.0,472.0,474.0,2799500
476.0,476.0,476.0,472.0,472.0,7323900
480.0,480.0,480.0,472.0,476.0,23524300
480.0,480.0,480.0,476.0,480.0,8398500
478.0,478.0,480.0,476.0,478.0,5561900
480.0,480.0,482.0,476.0,478.0,14880600
480.0,480.0,480.0,476.0,480.0,11538000
478.0,478.0,480.0,476.0,478.0,2129400
478.0,478.0,478.0,476.0,478.0,2997100
474.0,474.0,478.0,474.0,478.0,18139600
476.0,476.0,476.0,472.0,476.0,3999000
480.0,480.0,480.0,474.0,476.0,7509000
484.0,484.0,484.0,478.0,480.0,8023700
480.0,480.0,484.0,478.0,484.0,5458700
480.0,480.0,482.0,478.0,480.0,17519300
480.0,480.0,482.0,478.0,480.0,18702200
480.0,480.0,480.0,478.0,480.0,13701200
480.0,480.0,482.0,478.0,482.0,16171200
478.0,478.0,480.0,476.0,478.0,15559100
480.0,480.0,480.0,476.0,478.0,14301500
482.0,482.0,482.0,476.0,480.0,22906800
480.0,480.0,482.0,478.0,482.0,9327500
480.0,480.0,482.0,478.0,480.0,16282200
478.0,478.0,480.0,476.0,480.0,9107500
478.0,478.0,478.0,476.0,478.0,8196000
478.0,478.0,478.0,476.0,476.0,8756500
480.0,480.0,480.0,476.0,478.0,8321100
480.0,480.0,480.0,478.0,480.0,7765700
480.0,480.0,482.0,478.0,482.0,6031400
476.0,476.0,480.0,476.0,480.0,6463500
476.0,476.0,476.0,476.0,476.0,0
482.0,482.0,482.0,478.0,480.0,5347900
480.0,480.0,482.0,476.0,480.0,4909700
478.0,478.0,480.0,476.0,480.0,10185400
480.0,480.0,480.0,476.0,478.0,3909900
480.0,480.0,480.0,478.0,480.0,3234100
476.0,476.0,480.0,476.0,480.0,7596700
478.0,478.0,478.0,476.0,476.0,4205800
478.0,478.0,478.0,476.0,476.0,5706100
478.0,478.0,478.0,476.0,476.0,4950500
476.0,476.0,478.0,474.0,476.0,5684700
476.0,476.0,478.0,474.0,476.0,8669900
480.0,480.0,480.0,474.0,478.0,9676200
476.0,476.0,480.0,474.0,478.0,6719200
480.0,480.0,480.0,474.0,476.0,6844200
480.0,480.0,480.0,474.0,478.0,8819200
476.0,476.0,478.0,474.0,476.0,5675500
478.0,478.0,478.0,474.0,476.0,3003700
478.0,478.0,480.0,474.0,476.0,4586200
476.0,476.0,478.0,472.0,476.0,11073700
474.0,474.0,476.0,472.0,476.0,7008600
474.0,474.0,478.0,472.0,472.0,6361500
476.0,476.0,476.0,472.0,474.0,4279900
476.0,476.0,476.0,472.0,474.0,2604600
476.0,476.0,476.0,472.0,474.0,2294800
476.0,476.0,476.0,472.0,476.0,2880200
478.0,478.0,478.0,472.0,476.0,2000500
476.0,476.0,478.0,472.0,478.0,3779700
474.0,474.0,478.0,474.0,476.0,2330600
476.0,476.0,476.0,474.0,474.0,1561100
476.0,476.0,476.0,472.0,476.0,2636000
478.0,478.0,478.0,472.0,476.0,1946900
478.0,478.0,478.0,474.0,476.0,1292100
474.0,474.0,476.0,472.0,474.0,9522700
476.0,476.0,478.0,472.0,472.0,3753200
476.0,476.0,476.0,472.0,476.0,1557900
474.0,474.0,476.0,470.0,474.0,5761400
474.0,474.0,476.0,470.0,474.0,2586700
474.0,474.0,476.0,470.0,470.0,3298500
474.0,474.0,478.0,470.0,472.0,6148000
472.0,472.0,476.0,470.0,472.0,3792000
472.0,472.0,476.0,470.0,472.0,6988400
474.0,474.0,480.0,472.0,474.0,28569700
476.0,476.0,478.0,470.0,476.0,4350300
478.0,478.0,478.0,474.0,476.0,1706100
478.0,478.0,478.0,478.0,478.0,0
478.0,478.0,478.0,478.0,478.0,0
474.0,474.0,474.0,470.0,472.0,1990900
476.0,476.0,476.0,472.0,474.0,1552000
474.0,474.0,476.0,470.0,476.0,4444800
474.0,474.0,478.0,472.0,472.0,3705100
474.0,474.0,476.0,470.0,476.0,1627300
476.0,476.0,478.0,470.0,474.0,6068000
478.0,478.0,480.0,472.0,476.0,6622200
474.0,474.0,478.0,472.0,476.0,5547900
470.0,470.0,478.0,470.0,478.0,11138500
474.0,474.0,474.0,470.0,470.0,2409600
470.0,470.0,474.0,470.0,470.0,10659600
472.0,472.0,474.0,470.0,470.0,1113200
472.0,472.0,472.0,470.0,472.0,701400
472.0,472.0,472.0,470.0,470.0,2264300
474.0,474.0,476.0,470.0,470.0,1214400
472.0,472.0,474.0,470.0,474.0,3262300
472.0,472.0,472.0,470.0,472.0,1081700
472.0,472.0,474.0,470.0,474.0,2316700
470.0,470.0,472.0,470.0,472.0,3209500
472.0,472.0,472.0,470.0,470.0,5982100
472.0,472.0,474.0,470.0,472.0,838600
470.0,470.0,472.0,464.0,472.0,15939000
