Adj Close,Close,High,Low,Open,Volume
BIKE.JK,BIKE.JK,BIKE.JK,BIKE.JK,BIKE.JK,BIKE.JK
392.0,392.0,398.0,390.0,396.0,2706200
392.0,392.0,398.0,390.0,394.0,2611100
390.0,390.0,398.0,388.0,392.0,2886200
390.0,390.0,396.0,388.0,392.0,2324200
392.0,392.0,394.0,388.0,390.0,2654800
388.0,388.0,394.0,388.0,392.0,2676300
392.0,392.0,394.0,388.0,390.0,2951700
392.0,392.0,394.0,388.0,392.0,2778600
390.0,390.0,398.0,380.0,392.0,2878800
390.0,390.0,396.0,388.0,390.0,3121300
384.0,384.0,390.0,382.0,390.0,2652700
376.0,376.0,388.0,376.0,384.0,2988000
378.0,378.0,382.0,374.0,378.0,2647400
370.0,370.0,382.0,370.0,378.0,3743200
372.0,372.0,372.0,362.0,370.0,2786000
376.0,376.0,376.0,366.0,372.0,3832200
386.0,386.0,386.0,368.0,376.0,4296500
376.0,376.0,390.0,366.0,386.0,3255200
372.0,372.0,376.0,368.0,376.0,3093900
366.0,366.0,372.0,358.0,372.0,3424600
368.0,368.0,368.0,358.0,366.0,3807500
378.0,378.0,386.0,368.0,368.0,5295800
394.0,394.0,398.0,378.0,378.0,8103800
394.0,394.0,398.0,390.0,394.0,4677000
388.0,388.0,394.0,388.0,394.0,5212800
390.0,390.0,394.0,388.0,388.0,4171700
392.0,392.0,396.0,388.0,390.0,4268400
392.0,392.0,398.0,388.0,392.0,4454600
394.0,394.0,396.0,390.0,392.0,3612000
396.0,396.0,398.0,394.0,394.0,3160100
400.0,400.0,404.0,394.0,396.0,2939500
398.0,398.0,400.0,392.0,400.0,2198100
402.0,402.0,412.0,396.0,398.0,4548300
390.0,390.0,404.0,384.0,404.0,3759400
402.0,402.0,404.0,384.0,390.0,4891200
400.0,400.0,404.0,396.0,402.0,2983000
402.0,402.0,406.0,398.0,400.0,3586800
412.0,412.0,416.0,402.0,402.0,5584200
416.0,416.0,430.0,410.0,412.0,7056300
424.0,424.0,430.0,414.0,416.0,6763400
426.0,426.0,430.0,422.0,424.0,5221400
426.0,426.0,426.0,426.0,426.0,0
440.0,440.0,444.0,432.0,434.0,5468200
442.0,442.0,444.0,424.0,440.0,5559800
444.0,444.0,446.0,438.0,442.0,5361500
454.0,454.0,470.0,442.0,444.0,8973200
450.0,450.0,456.0,440.0,454.0,6934100
442.0,442.0,452.0,438.0,450.0,5649700
434.0,434.0,450.0,434.0,442.0,5402800
438.0,438.0,452.0,428.0,434.0,6675200
428.0,428.0,438.0,426.0,438.0,5815400
434.0,434.0,438.0,426.0,430.0,6298700
440.0,440.0,462.0,434.0,434.0,9680800
464.0,464.0,464.0,436.0,440.0,9315300
480.0,480.0,494.0,458.0,470.0,13788000
482.0,482.0,492.0,480.0,480.0,9216700
456.0,456.0,482.0,450.0,482.0,9411200
462.0,462.0,478.0,452.0,456.0,14166400
468.0,468.0,530.0,456.0,462.0,24935700
410.0,410.0,470.0,408.0,468.0,8553100
354.0,354.0,410.0,350.0,410.0,6348000
382.0,382.0,400.0,352.0,360.0,11849900
392.0,392.0,398.0,378.0,382.0,10498300
390.0,390.0,402.0,386.0,392.0,11061000
400.0,400.0,402.0,376.0,390.0,13083200
390.0,390.0,406.0,388.0,400.0,7305100
402.0,402.0,412.0,390.0,390.0,13793300
404.0,404.0,410.0,390.0,402.0,10380000
422.0,422.0,430.0,402.0,402.0,14548000
430.0,430.0,430.0,408.0,422.0,12115100
434.0,434.0,434.0,424.0,430.0,9619500
426.0,426.0,440.0,424.0,436.0,10855900
416.0,416.0,430.0,414.0,426.0,7610700
414.0,414.0,426.0,408.0,416.0,8753100
414.0,414.0,418.0,404.0,414.0,10265800
422.0,422.0,430.0,412.0,416.0,10172700
