Adj Close,Close,High,Low,Open,Volume
BKDP.JK,BKDP.JK,BKDP.JK,BKDP.JK,BKDP.JK,BKDP.JK
62.0,62.0,66.0,60.0,61.0,16487900
60.0,60.0,64.0,55.0,55.0,10093600
61.0,61.0,62.0,59.0,60.0,2869800
61.0,61.0,71.0,60.0,61.0,36880500
59.0,59.0,61.0,59.0,61.0,3715100
60.0,60.0,63.0,58.0,60.0,5614000
62.0,62.0,66.0,60.0,60.0,15665600
61.0,61.0,64.0,60.0,63.0,4809700
59.0,59.0,62.0,59.0,61.0,3297800
60.0,60.0,60.0,57.0,59.0,2870600
60.0,60.0,61.0,58.0,60.0,2230600
58.0,58.0,60.0,58.0,60.0,1301700
59.0,59.0,66.0,58.0,59.0,20979500
59.0,59.0,60.0,58.0,60.0,2048800
60.0,60.0,60.0,58.0,60.0,1245900
59.0,59.0,61.0,58.0,59.0,655800
58.0,58.0,59.0,56.0,59.0,2308100
56.0,56.0,58.0,56.0,58.0,1406800
57.0,57.0,57.0,56.0,56.0,519400
56.0,56.0,57.0,55.0,56.0,1522700
54.0,54.0,57.0,54.0,57.0,2126900
51.0,51.0,56.0,50.0,54.0,3957700
51.0,51.0,52.0,51.0,51.0,1147200
51.0,51.0,52.0,50.0,51.0,1415300
53.0,53.0,53.0,51.0,51.0,820800
52.0,52.0,53.0,51.0,52.0,347200
50.0,50.0,53.0,50.0,52.0,477100
51.0,51.0,53.0,50.0,50.0,1579400
50.0,50.0,52.0,50.0,51.0,1515400
50.0,50.0,52.0,50.0,51.0,987300
52.0,52.0,52.0,51.0,51.0,469700
51.0,51.0,53.0,51.0,52.0,672300
52.0,52.0,52.0,51.0,51.0,105800
52.0,52.0,59.0,52.0,52.0,7231700
53.0,53.0,55.0,52.0,52.0,921500
53.0,53.0,55.0,52.0,54.0,598400
53.0,53.0,55.0,52.0,52.0,644400
60.0,60.0,71.0,53.0,53.0,124022500
58.0,58.0,63.0,55.0,61.0,30955700
56.0,56.0,58.0,50.0,50.0,4179000
56.0,56.0,59.0,55.0,56.0,11706800
56.0,56.0,58.0,55.0,55.0,5294200
55.0,55.0,58.0,55.0,56.0,9322700
56.0,56.0,60.0,55.0,55.0,23354300
57.0,57.0,58.0,55.0,56.0,29101100
57.0,57.0,59.0,56.0,58.0,4789800
57.0,57.0,58.0,56.0,57.0,931700
56.0,56.0,58.0,53.0,57.0,22860400
56.0,56.0,57.0,55.0,56.0,821000
56.0,56.0,57.0,55.0,56.0,184400
55.0,55.0,56.0,54.0,55.0,218000
52.0,52.0,55.0,52.0,55.0,887900
54.0,54.0,57.0,52.0,52.0,1512400
53.0,53.0,55.0,52.0,54.0,1202800
53.0,53.0,55.0,53.0,53.0,1470500
53.0,53.0,57.0,52.0,53.0,6557300
52.0,52.0,54.0,52.0,53.0,611600
52.0,52.0,53.0,52.0,52.0,361400
52.0,52.0,53.0,51.0,52.0,1051700
51.0,51.0,53.0,50.0,51.0,2099400
50.0,50.0,51.0,50.0,51.0,370000
51.0,51.0,52.0,51.0,51.0,295100
54.0,54.0,55.0,51.0,51.0,310100
53.0,53.0,54.0,51.0,53.0,91700
51.0,51.0,53.0,51.0,53.0,135800
52.0,52.0,56.0,51.0,51.0,781100
53.0,53.0,54.0,51.0,54.0,280800
52.0,52.0,53.0,52.0,53.0,280300
53.0,53.0,53.0,51.0,52.0,113100
52.0,52.0,53.0,52.0,52.0,195900
51.0,51.0,59.0,51.0,53.0,10376700
52.0,52.0,52.0,51.0,51.0,1022500
52.0,52.0,53.0,51.0,51.0,384400
52.0,52.0,53.0,51.0,52.0,287600
51.0,51.0,52.0,51.0,52.0,267600
53.0,53.0,53.0,51.0,51.0,99400
52.0,52.0,53.0,52.0,52.0,404200
52.0,52.0,52.0,51.0,52.0,215900
51.0,51.0,53.0,51.0,52.0,183200
52.0,52.0,53.0,51.0,52.0,576500
52.0,52.0,53.0,51.0,53.0,598500
51.0,51.0,52.0,51.0,51.0,322700
51.0,51.0,51.0,50.0,50.0,260400
50.0,50.0,52.0,50.0,51.0,561300
52.0,52.0,52.0,50.0,50.0,178200
52.0,52.0,52.0,51.0,52.0,30500
52.0,52.0,52.0,51.0,52.0,262500
51.0,51.0,51.0,50.0,51.0,1021700
51.0,51.0,52.0,50.0,51.0,1538100
