Adj Close,Close,High,Low,Open,Volume
BOLA.JK,BOLA.JK,BOLA.JK,BOLA.JK,BOLA.JK,BOLA.JK
156.0,156.0,158.0,156.0,158.0,59800
161.0,161.0,168.0,156.0,156.0,191100
158.0,158.0,166.0,158.0,166.0,28000
160.0,160.0,164.0,158.0,159.0,26700
156.0,156.0,160.0,156.0,159.0,158400
161.0,161.0,163.0,155.0,156.0,152600
158.0,158.0,164.0,158.0,161.0,30900
159.0,159.0,160.0,158.0,160.0,66600
160.0,160.0,162.0,157.0,159.0,111000
161.0,161.0,163.0,155.0,160.0,219500
157.0,157.0,162.0,157.0,161.0,56700
159.0,159.0,162.0,157.0,160.0,75100
161.0,161.0,162.0,158.0,158.0,394700
161.0,161.0,167.0,158.0,158.0,1329700
163.0,163.0,163.0,161.0,161.0,130900
164.0,164.0,164.0,161.0,163.0,52500
162.0,162.0,164.0,155.0,163.0,931000
159.0,159.0,160.0,155.0,160.0,939200
162.0,162.0,163.0,159.0,159.0,273200
158.0,158.0,163.0,158.0,163.0,185500
163.0,163.0,163.0,156.0,158.0,719600
164.0,164.0,165.0,162.0,163.0,169800
161.0,161.0,162.0,159.0,162.0,176700
162.0,162.0,163.0,156.0,161.0,461400
155.0,155.0,163.0,154.0,162.0,764400
151.0,151.0,161.0,151.0,155.0,716900
159.0,159.0,159.0,154.0,156.0,1031700
158.0,158.0,163.0,158.0,159.0,851900
160.0,160.0,161.0,157.0,160.0,653600
160.0,160.0,164.0,158.0,160.0,1510300
159.0,159.0,162.0,159.0,162.0,973900
160.0,160.0,176.0,159.0,163.0,1794900
165.0,165.0,166.0,160.0,160.0,511000
165.0,165.0,178.0,163.0,163.0,996900
165.0,165.0,166.0,162.0,165.0,762900
167.0,167.0,177.0,166.0,166.0,612500
171.0,171.0,174.0,165.0,170.0,664300
166.0,166.0,171.0,161.0,170.0,815000
165.0,165.0,166.0,164.0,166.0,148700
166.0,166.0,166.0,162.0,163.0,185200
160.0,160.0,167.0,160.0,164.0,278200
161.0,161.0,174.0,158.0,164.0,1324400
160.0,160.0,168.0,157.0,163.0,664500
157.0,157.0,161.0,157.0,160.0,404600
159.0,159.0,160.0,155.0,157.0,115400
158.0,158.0,159.0,157.0,159.0,301600
164.0,164.0,179.0,158.0,159.0,9502100
163.0,163.0,165.0,159.0,164.0,965000
161.0,161.0,162.0,160.0,160.0,136900
160.0,160.0,161.0,159.0,160.0,726800
155.0,155.0,160.0,153.0,158.0,1719900
155.0,155.0,162.0,154.0,155.0,1798100
153.0,153.0,159.0,152.0,156.0,1787800
154.0,154.0,155.0,152.0,154.0,535100
153.0,153.0,154.0,148.0,154.0,819500
150.0,150.0,153.0,149.0,153.0,108800
150.0,150.0,152.0,148.0,149.0,352600
148.0,148.0,153.0,148.0,150.0,82600
147.0,147.0,151.0,142.0,151.0,294900
142.0,142.0,147.0,133.0,147.0,986900
136.0,136.0,143.0,130.0,143.0,1003400
130.0,130.0,139.0,130.0,139.0,344600
140.0,140.0,145.0,131.0,133.0,296300
141.0,141.0,143.0,134.0,140.0,122100
140.0,140.0,141.0,137.0,141.0,135400
140.0,140.0,140.0,135.0,140.0,59600
139.0,139.0,144.0,139.0,140.0,11400
139.0,139.0,145.0,139.0,145.0,23000
126.0,126.0,139.0,125.0,134.0,1819200
130.0,130.0,139.0,125.0,126.0,806700
128.0,128.0,132.0,125.0,130.0,353700
130.0,130.0,132.0,128.0,128.0,206700
130.0,130.0,132.0,129.0,130.0,410900
129.0,129.0,132.0,127.0,130.0,143500
129.0,129.0,174.0,120.0,129.0,4886700
130.0,130.0,144.0,130.0,130.0,545100
130.0,130.0,135.0,129.0,130.0,393700
137.0,137.0,137.0,129.0,130.0,196900
141.0,141.0,145.0,131.0,135.0,1028400
135.0,135.0,145.0,133.0,141.0,984800
134.0,134.0,138.0,133.0,135.0,180200
134.0,134.0,137.0,131.0,134.0,141200
129.0,129.0,136.0,127.0,133.0,928800
128.0,128.0,131.0,126.0,129.0,261200
