Adj Close,Close,High,Low,Open,Volume
BWPT.JK,BWPT.JK,BWPT.JK,BWPT.JK,BWPT.JK,BWPT.JK
56.0,56.0,56.0,55.0,55.0,2723500
56.0,56.0,57.0,55.0,55.0,2966200
56.0,56.0,57.0,56.0,56.0,1263900
57.0,57.0,57.0,55.0,56.0,1091600
57.0,57.0,57.0,56.0,56.0,1021500
56.0,56.0,57.0,55.0,56.0,2388500
55.0,55.0,57.0,55.0,56.0,1054400
56.0,56.0,56.0,55.0,55.0,1045800
55.0,55.0,56.0,55.0,56.0,6671000
55.0,55.0,56.0,55.0,56.0,8528600
55.0,55.0,56.0,54.0,55.0,3340400
55.0,55.0,56.0,54.0,56.0,6526700
55.0,55.0,56.0,54.0,55.0,7947700
56.0,56.0,56.0,54.0,55.0,3182100
54.0,54.0,56.0,54.0,56.0,18296100
55.0,55.0,55.0,54.0,55.0,4309000
55.0,55.0,59.0,54.0,55.0,56531500
55.0,55.0,57.0,54.0,56.0,17743200
55.0,55.0,57.0,55.0,55.0,17134700
54.0,54.0,56.0,54.0,56.0,14882400
53.0,53.0,55.0,52.0,55.0,35764000
53.0,53.0,55.0,52.0,53.0,12531000
53.0,53.0,54.0,52.0,53.0,8472500
53.0,53.0,54.0,52.0,53.0,2169500
53.0,53.0,54.0,52.0,53.0,1564700
52.0,52.0,53.0,52.0,53.0,7602900
53.0,53.0,54.0,52.0,53.0,8628900
54.0,54.0,54.0,53.0,53.0,2605500
53.0,53.0,55.0,53.0,55.0,2300300
53.0,53.0,54.0,53.0,53.0,4200200
53.0,53.0,54.0,53.0,53.0,1580600
54.0,54.0,54.0,52.0,53.0,1582800
53.0,53.0,54.0,53.0,54.0,1148000
53.0,53.0,54.0,53.0,54.0,11676500
54.0,54.0,54.0,52.0,53.0,14220800
53.0,53.0,55.0,53.0,54.0,11355000
54.0,54.0,54.0,53.0,54.0,1740400
53.0,53.0,54.0,53.0,54.0,5510900
52.0,52.0,54.0,52.0,54.0,15281900
53.0,53.0,53.0,52.0,53.0,1418600
53.0,53.0,53.0,52.0,53.0,7459300
52.0,52.0,53.0,52.0,53.0,2952600
53.0,53.0,53.0,52.0,53.0,4484800
53.0,53.0,54.0,52.0,53.0,7827300
53.0,53.0,54.0,52.0,53.0,3185500
53.0,53.0,54.0,52.0,53.0,3981500
52.0,52.0,53.0,52.0,53.0,2144100
52.0,52.0,53.0,52.0,53.0,7172800
51.0,51.0,53.0,51.0,53.0,15246800
50.0,50.0,52.0,50.0,52.0,61123000
51.0,51.0,51.0,50.0,51.0,7800500
50.0,50.0,52.0,50.0,51.0,18035400
50.0,50.0,52.0,50.0,51.0,9365300
51.0,51.0,52.0,50.0,51.0,3480900
51.0,51.0,52.0,51.0,51.0,1157200
51.0,51.0,52.0,51.0,52.0,2094400
52.0,52.0,52.0,51.0,52.0,1312100
51.0,51.0,52.0,51.0,52.0,2702200
51.0,51.0,52.0,51.0,51.0,4789600
51.0,51.0,52.0,51.0,51.0,4972500
51.0,51.0,52.0,50.0,51.0,7027700
51.0,51.0,52.0,50.0,51.0,10556000
51.0,51.0,52.0,50.0,51.0,3292400
52.0,52.0,52.0,50.0,51.0,8306500
51.0,51.0,52.0,51.0,52.0,11139000
52.0,52.0,52.0,51.0,51.0,1063500
51.0,51.0,52.0,51.0,52.0,3386300
52.0,52.0,52.0,51.0,52.0,777300
51.0,51.0,52.0,51.0,52.0,4114700
51.0,51.0,52.0,50.0,51.0,2930800
51.0,51.0,52.0,50.0,51.0,5612400
51.0,51.0,52.0,50.0,51.0,5894000
52.0,52.0,52.0,50.0,51.0,2899000
61.0,61.0,70.0,54.0,58.0,733030600
55.0,55.0,63.0,54.0,61.0,150616300
57.0,57.0,58.0,55.0,55.0,35049900
57.0,57.0,59.0,56.0,57.0,39710000
56.0,56.0,59.0,56.0,59.0,32935100
55.0,55.0,58.0,55.0,56.0,49147600
56.0,56.0,56.0,55.0,55.0,15693600
55.0,55.0,56.0,54.0,55.0,26066300
58.0,58.0,60.0,55.0,55.0,85612900
56.0,56.0,59.0,56.0,59.0,29029700
56.0,56.0,57.0,55.0,57.0,15855800
56.0,56.0,57.0,55.0,56.0,15217500
56.0,56.0,57.0,55.0,57.0,12921100
55.0,55.0,56.0,55.0,56.0,7294500
56.0,56.0,58.0,55.0,58.0,16801500
56.0,56.0,57.0,50.0,50.0,7029400
55.0,55.0,57.0,54.0,56.0,33404600
54.0,54.0,55.0,53.0,55.0,12535100
54.0,54.0,54.0,52.0,53.0,9949100
55.0,55.0,56.0,53.0,54.0,21967100
55.0,55.0,57.0,54.0,56.0,17735200
55.0,55.0,56.0,54.0,55.0,8070800
54.0,54.0,55.0,52.0,55.0,19450000
53.0,53.0,54.0,53.0,53.0,5308900
53.0,53.0,53.0,52.0,53.0,8161700
51.0,51.0,53.0,51.0,53.0,21461500
51.0,51.0,52.0,51.0,52.0,7932200
51.0,51.0,52.0,51.0,51.0,9185400
54.0,54.0,54.0,51.0,52.0,4109200
53.0,53.0,54.0,52.0,54.0,2596200
51.0,51.0,53.0,51.0,53.0,5153400
51.0,51.0,53.0,51.0,51.0,4779400
53.0,53.0,54.0,52.0,52.0,19222800
52.0,52.0,54.0,52.0,54.0,9744900
53.0,53.0,53.0,52.0,53.0,1727800
54.0,54.0,56.0,53.0,54.0,14685100
55.0,55.0,55.0,53.0,54.0,6315600
54.0,54.0,55.0,53.0,55.0,2632900
54.0,54.0,54.0,53.0,54.0,3168900
53.0,53.0,54.0,53.0,54.0,4282700
54.0,54.0,54.0,52.0,53.0,4748700
55.0,55.0,55.0,53.0,54.0,8992500
55.0,55.0,55.0,54.0,54.0,4418600
54.0,54.0,55.0,54.0,55.0,5521000
54.0,54.0,55.0,53.0,53.0,5397600
54.0,54.0,54.0,53.0,54.0,2101700
54.0,54.0,54.0,53.0,54.0,3013400
53.0,53.0,54.0,52.0,54.0,12305000
53.0,53.0,54.0,53.0,53.0,5104800
53.0,53.0,54.0,52.0,53.0,2384600
51.0,51.0,53.0,51.0,53.0,35619000
50.0,50.0,52.0,50.0,52.0,38604300
51.0,51.0,52.0,50.0,50.0,20338300
51.0,51.0,52.0,50.0,51.0,15016500
50.0,50.0,51.0,50.0,51.0,23014900
50.0,50.0,51.0,50.0,50.0,21450000
51.0,51.0,51.0,50.0,51.0,6093100
51.0,51.0,51.0,50.0,51.0,10384600
51.0,51.0,51.0,50.0,51.0,26379500
51.0,51.0,51.0,50.0,51.0,46275100
51.0,51.0,51.0,50.0,51.0,5719200
51.0,51.0,51.0,50.0,51.0,2048600
51.0,51.0,51.0,50.0,51.0,10243200
51.0,51.0,51.0,50.0,50.0,7608400
52.0,52.0,52.0,50.0,51.0,10039600
52.0,52.0,53.0,51.0,51.0,1548400
51.0,51.0,52.0,51.0,52.0,2682500
51.0,51.0,52.0,50.0,51.0,2683800
50.0,50.0,51.0,50.0,51.0,3889200
51.0,51.0,51.0,50.0,50.0,23589800
