Adj Close,Close,High,Low,Open,Volume
CAKK.JK,CAKK.JK,CAKK.JK,CAKK.JK,CAKK.JK,CAKK.JK
162.0,162.0,166.0,161.0,164.0,125000
162.0,162.0,168.0,162.0,165.0,265500
163.0,163.0,167.0,163.0,163.0,405300
163.0,163.0,168.0,163.0,168.0,190300
163.0,163.0,167.0,163.0,164.0,236000
163.0,163.0,169.0,163.0,166.0,401700
161.0,161.0,167.0,161.0,165.0,179600
163.0,163.0,167.0,161.0,163.0,318800
161.0,161.0,165.0,161.0,164.0,193900
162.0,162.0,165.0,161.0,165.0,243000
160.0,160.0,166.0,160.0,165.0,337400
159.0,159.0,166.0,159.0,162.0,425400
160.0,160.0,166.0,159.0,163.0,179000
159.0,159.0,164.0,159.0,161.0,160700
159.0,159.0,164.0,157.0,159.0,313800
159.0,159.0,163.0,159.0,159.0,128600
162.0,162.0,164.0,160.0,162.0,817700
156.0,156.0,163.0,156.0,163.0,506200
161.0,161.0,182.0,156.0,157.0,9367800
158.0,158.0,170.0,158.0,163.0,906400
155.0,155.0,161.0,155.0,158.0,447500
151.0,151.0,158.0,151.0,155.0,644000
150.0,150.0,155.0,150.0,152.0,347500
147.0,147.0,152.0,147.0,151.0,181700
169.0,169.0,191.0,155.0,155.0,31008300
163.0,163.0,172.0,161.0,169.0,2837900
161.0,161.0,165.0,160.0,164.0,1152700
160.0,160.0,164.0,160.0,163.0,728600
157.0,157.0,163.0,157.0,160.0,479300
174.0,174.0,202.0,156.0,164.0,73834700
185.0,185.0,192.0,165.0,165.0,73441800
185.0,185.0,188.0,177.0,187.0,10732700
186.0,186.0,189.0,180.0,189.0,5171500
194.0,194.0,195.0,183.0,187.0,16263400
189.0,189.0,197.0,188.0,195.0,10592400
186.0,186.0,198.0,185.0,198.0,3584400
176.0,176.0,188.0,176.0,186.0,7623100
167.0,167.0,186.0,163.0,186.0,8676300
169.0,169.0,172.0,165.0,166.0,1979300
168.0,168.0,171.0,160.0,160.0,985000
168.0,168.0,175.0,159.0,159.0,5605300
164.0,164.0,168.0,159.0,159.0,1254200
166.0,166.0,168.0,156.0,156.0,575400
170.0,170.0,170.0,157.0,157.0,503500
170.0,170.0,174.0,161.0,161.0,1707700
167.0,167.0,170.0,167.0,170.0,490900
166.0,166.0,169.0,165.0,167.0,1187900
162.0,162.0,175.0,161.0,167.0,9322200
157.0,157.0,162.0,157.0,162.0,2856500
154.0,154.0,158.0,147.0,147.0,2988600
153.0,153.0,164.0,152.0,164.0,391000
152.0,152.0,159.0,152.0,159.0,441600
151.0,151.0,162.0,151.0,162.0,1581900
151.0,151.0,161.0,150.0,161.0,1049800
149.0,149.0,159.0,144.0,159.0,7980700
145.0,145.0,149.0,145.0,149.0,878200
136.0,136.0,147.0,133.0,146.0,6056100
134.0,134.0,138.0,122.0,122.0,2176400
132.0,132.0,138.0,130.0,138.0,1131900
116.0,116.0,132.0,115.0,123.0,5861900
117.0,117.0,125.0,107.0,107.0,7389800
120.0,120.0,128.0,118.0,118.0,1190700
121.0,121.0,125.0,111.0,111.0,937900
122.0,122.0,125.0,112.0,112.0,553400
123.0,123.0,126.0,121.0,121.0,649300
127.0,127.0,132.0,114.0,114.0,1075100
128.0,128.0,132.0,119.0,119.0,294400
129.0,129.0,130.0,120.0,120.0,279800
129.0,129.0,134.0,120.0,120.0,832600
131.0,131.0,135.0,120.0,120.0,398100
