Adj Close,Close,High,Low,Open,Volume
CBPE.JK,CBPE.JK,CBPE.JK,CBPE.JK,CBPE.JK,CBPE.JK
127.0,127.0,130.0,127.0,130.0,68200
127.0,127.0,127.0,126.0,127.0,37500
129.0,129.0,130.0,127.0,130.0,12900
127.0,127.0,128.0,127.0,127.0,45600
126.0,126.0,127.0,125.0,127.0,72400
124.0,124.0,128.0,119.0,126.0,200600
126.0,126.0,131.0,125.0,125.0,281700
127.0,127.0,130.0,123.0,126.0,343000
129.0,129.0,130.0,123.0,127.0,356100
128.0,128.0,128.0,127.0,127.0,2200
125.0,125.0,128.0,125.0,125.0,59200
128.0,128.0,130.0,125.0,125.0,265500
129.0,129.0,129.0,125.0,128.0,245600
129.0,129.0,129.0,126.0,129.0,119900
127.0,127.0,129.0,124.0,129.0,183800
128.0,128.0,128.0,125.0,125.0,91100
129.0,129.0,129.0,124.0,128.0,339800
125.0,125.0,127.0,125.0,127.0,33900
126.0,126.0,129.0,125.0,125.0,49300
128.0,128.0,129.0,125.0,128.0,88900
126.0,126.0,131.0,120.0,128.0,623300
128.0,128.0,129.0,125.0,125.0,166400
125.0,125.0,128.0,125.0,128.0,21700
127.0,127.0,127.0,125.0,127.0,26700
125.0,125.0,127.0,125.0,125.0,17500
127.0,127.0,128.0,124.0,127.0,76900
127.0,127.0,128.0,122.0,128.0,32800
129.0,129.0,132.0,120.0,122.0,219600
126.0,126.0,128.0,125.0,128.0,52000
127.0,127.0,130.0,123.0,126.0,269200
126.0,126.0,131.0,126.0,127.0,31800
136.0,136.0,136.0,126.0,129.0,665700
129.0,129.0,136.0,129.0,136.0,31200
131.0,131.0,133.0,124.0,133.0,120800
128.0,128.0,131.0,125.0,130.0,15500
129.0,129.0,133.0,124.0,127.0,139500
131.0,131.0,131.0,127.0,127.0,192400
135.0,135.0,136.0,126.0,126.0,30800
130.0,130.0,130.0,127.0,127.0,13500
129.0,129.0,132.0,125.0,127.0,120500
128.0,128.0,128.0,123.0,125.0,89300
128.0,128.0,128.0,128.0,128.0,0
127.0,127.0,128.0,127.0,128.0,1100
127.0,127.0,127.0,126.0,127.0,1200
129.0,129.0,130.0,125.0,126.0,314900
125.0,125.0,130.0,125.0,130.0,116100
126.0,126.0,129.0,126.0,129.0,39300
125.0,125.0,128.0,124.0,128.0,106100
