Adj Close,Close,High,Low,Open,Volume
CUAN.JK,CUAN.JK,CUAN.JK,CUAN.JK,CUAN.JK,CUAN.JK
7000.0,7000.0,7000.0,7000.0,7000.0,0
6875.0,6875.0,7050.0,6600.0,6900.0,18892900
6650.0,6650.0,6950.0,6200.0,6875.0,25681000
6800.0,6800.0,6975.0,6500.0,6625.0,14362800
6800.0,6800.0,7200.0,6700.0,6800.0,10337400
6500.0,6500.0,6850.0,6500.0,6800.0,8922400
6500.0,6500.0,6550.0,5850.0,6500.0,16679800
6650.0,6650.0,6875.0,6300.0,6500.0,7769600
6525.0,6525.0,6700.0,6375.0,6675.0,3068600
6700.0,6700.0,6775.0,6275.0,6525.0,5873000
7350.0,7350.0,7350.0,6675.0,6725.0,23049100
8025.0,8025.0,8025.0,7400.0,7500.0,19357600
8825.0,8825.0,8825.0,8100.0,8275.0,33454800
9000.0,9000.0,9200.0,7950.0,9000.0,15208900
9475.0,9475.0,9475.0,8600.0,9150.0,14806300
9750.0,9750.0,10050.0,9150.0,9575.0,19124800
9825.0,9825.0,9950.0,9500.0,9900.0,7323000
9825.0,9825.0,9975.0,9575.0,9800.0,7160100
10800.0,10800.0,10800.0,9775.0,9825.0,14025400
10700.0,10700.0,11100.0,10300.0,10850.0,16457300
10950.0,10950.0,11100.0,9900.0,10775.0,11010100
11350.0,11350.0,11700.0,10825.0,10950.0,12066500
11925.0,11925.0,11975.0,10500.0,11350.0,15634900
12800.0,12800.0,13050.0,11725.0,12000.0,16586300
13425.0,13425.0,13750.0,12750.0,12900.0,16551100
13425.0,13425.0,13425.0,13425.0,13425.0,0
13425.0,13425.0,13425.0,13425.0,13425.0,0
13425.0,13425.0,13425.0,13425.0,13425.0,0
13425.0,13425.0,13425.0,13425.0,13425.0,0
13425.0,13425.0,13425.0,13425.0,13425.0,0
13425.0,13425.0,13425.0,13425.0,13425.0,0
13425.0,13425.0,13425.0,13425.0,13425.0,0
13425.0,13425.0,13425.0,13425.0,13425.0,0
13425.0,13425.0,13425.0,13425.0,13425.0,0
13425.0,13425.0,13425.0,13425.0,13425.0,0
13425.0,13425.0,13425.0,13425.0,13425.0,0
13425.0,13425.0,13425.0,13425.0,13425.0,0
13425.0,13425.0,13425.0,13425.0,13425.0,0
13425.0,13425.0,13425.0,13425.0,13425.0,0
13425.0,13425.0,13425.0,13425.0,13425.0,0
13425.0,13425.0,13425.0,13425.0,13425.0,0
13425.0,13425.0,13425.0,13425.0,13425.0,0
12100.0,12100.0,12100.0,12100.0,12100.0,1330500
10900.0,10900.0,10900.0,10900.0,10900.0,562400
9825.0,9825.0,9825.0,9825.0,9825.0,1348500
8850.0,8850.0,8900.0,8850.0,8900.0,2692400
8200.0,8200.0,8450.0,7975.0,7975.0,94669500
9000.0,9000.0,9000.0,8050.0,8200.0,35625900
9325.0,9325.0,9775.0,9050.0,9175.0,33416500
8825.0,8825.0,9550.0,8750.0,9350.0,14519100
8250.0,8250.0,8850.0,8000.0,8825.0,12250700
7425.0,7425.0,8525.0,7425.0,8275.0,15171400
6850.0,6850.0,7625.0,6700.0,7300.0,26793000
6575.0,6575.0,7200.0,6250.0,6900.0,16723800
6600.0,6600.0,6875.0,6375.0,6550.0,10296200
6800.0,6800.0,6825.0,6425.0,6625.0,8561100
7475.0,7475.0,7475.0,6800.0,6850.0,17318500
8100.0,8100.0,8175.0,7325.0,7450.0,15566400
7800.0,7800.0,8350.0,7500.0,8100.0,17103900
7300.0,7300.0,7800.0,7300.0,7800.0,9230100
6575.0,6575.0,7100.0,6575.0,7100.0,3132100
5925.0,5925.0,6600.0,5925.0,6200.0,12060600
6625.0,6625.0,6825.0,5500.0,5925.0,25243900
7900.0,7900.0,7950.0,6825.0,6825.0,31231500
7050.0,7050.0,8000.0,7025.0,7950.0,25453600
6950.0,6950.0,7450.0,6750.0,7100.0,11561200
7100.0,7100.0,7175.0,6875.0,6975.0,5445100
6925.0,6925.0,7300.0,6900.0,7175.0,5191900
7000.0,7000.0,7100.0,6825.0,6950.0,4078700
6800.0,6800.0,7075.0,6800.0,7075.0,3137100
7050.0,7050.0,7275.0,6775.0,6800.0,7742800
7125.0,7125.0,7275.0,6925.0,7150.0,33359500
7100.0,7100.0,7400.0,7025.0,7300.0,8659000
6900.0,6900.0,7225.0,6875.0,7200.0,7706500
6400.0,6400.0,6975.0,6350.0,6900.0,11944500
6200.0,6200.0,6550.0,5825.0,6400.0,13093600
6850.0,6850.0,6950.0,6200.0,6200.0,12642700
6575.0,6575.0,6875.0,6425.0,6700.0,8516500
6375.0,6375.0,6750.0,6375.0,6700.0,7832300
6200.0,6200.0,6550.0,6025.0,6375.0,11740400
5250.0,5250.0,6375.0,5250.0,6200.0,22938100
4720.0,4720.0,5250.0,4580.0,5250.0,33191000
4660.0,4660.0,4970.0,4630.0,4730.0,12570600
4740.0,4740.0,4790.0,4430.0,4700.0,13778100
4930.0,4930.0,5275.0,4700.0,4740.0,18265500
4940.0,4940.0,5025.0,4850.0,4930.0,5616700
4940.0,4940.0,4940.0,4940.0,4940.0,0
4940.0,4940.0,4940.0,4940.0,4940.0,0
5075.0,5075.0,5175.0,4970.0,5050.0,2818900
4960.0,4960.0,5150.0,4960.0,5100.0,3301300
4950.0,4950.0,5050.0,4720.0,4960.0,4575700
