Adj Close,Close,High,Low,Open,Volume
DEWI.JK,DEWI.JK,DEWI.JK,DEWI.JK,DEWI.JK,DEWI.JK
58.0,58.0,60.0,58.0,59.0,3982100
58.0,58.0,59.0,57.0,59.0,6249100
57.0,57.0,59.0,52.0,52.0,2392300
58.0,58.0,58.0,57.0,58.0,1468400
58.0,58.0,58.0,56.0,58.0,1929500
58.0,58.0,58.0,56.0,58.0,3464000
57.0,57.0,58.0,57.0,57.0,2865200
58.0,58.0,58.0,56.0,57.0,8402600
58.0,58.0,58.0,56.0,58.0,3571600
58.0,58.0,58.0,56.0,58.0,5008300
56.0,56.0,58.0,55.0,57.0,6112600
55.0,55.0,57.0,55.0,56.0,2755700
70.0,70.0,73.0,55.0,55.0,186171100
61.0,61.0,80.0,60.0,80.0,56324300
59.0,59.0,61.0,57.0,61.0,13940500
64.0,64.0,65.0,57.0,59.0,34162100
61.0,61.0,64.0,61.0,64.0,5561100
60.0,60.0,62.0,58.0,61.0,11972700
57.0,57.0,60.0,56.0,60.0,29564800
59.0,59.0,59.0,56.0,56.0,4206000
59.0,59.0,60.0,57.0,59.0,10854800
59.0,59.0,59.0,57.0,59.0,5605100
62.0,62.0,63.0,58.0,59.0,11080200
63.0,63.0,67.0,61.0,62.0,26031300
59.0,59.0,63.0,55.0,63.0,20817300
59.0,59.0,64.0,57.0,59.0,8809500
58.0,58.0,60.0,56.0,58.0,15224000
58.0,58.0,61.0,58.0,58.0,14635300
59.0,59.0,60.0,58.0,58.0,9384900
60.0,60.0,60.0,58.0,59.0,10060700
59.0,59.0,60.0,58.0,60.0,5140200
59.0,59.0,60.0,57.0,59.0,4069900
58.0,58.0,59.0,57.0,58.0,2963300
59.0,59.0,60.0,58.0,58.0,6576200
60.0,60.0,63.0,58.0,58.0,16030600
60.0,60.0,64.0,59.0,60.0,15041100
60.0,60.0,61.0,58.0,59.0,8520100
59.0,59.0,60.0,58.0,59.0,3266400
60.0,60.0,61.0,58.0,58.0,8427500
60.0,60.0,61.0,58.0,59.0,5684600
60.0,60.0,60.0,58.0,60.0,5131900
60.0,60.0,60.0,60.0,60.0,0
59.0,59.0,60.0,59.0,60.0,1617000
59.0,59.0,60.0,58.0,59.0,5001400
59.0,59.0,60.0,58.0,59.0,5506800
60.0,60.0,60.0,58.0,59.0,3025400
59.0,59.0,60.0,58.0,60.0,5958500
60.0,60.0,60.0,58.0,59.0,2702100
59.0,59.0,60.0,58.0,60.0,4556400
59.0,59.0,60.0,58.0,58.0,4459700
60.0,60.0,60.0,58.0,58.0,2632000
59.0,59.0,60.0,58.0,58.0,2853400
62.0,62.0,63.0,59.0,59.0,17359100
62.0,62.0,65.0,61.0,61.0,8603200
61.0,61.0,63.0,60.0,62.0,12750000
62.0,62.0,62.0,60.0,61.0,4228200
64.0,64.0,64.0,61.0,62.0,9808800
63.0,63.0,65.0,63.0,63.0,11183500
62.0,62.0,65.0,61.0,63.0,16031300
