Adj Close,Close,High,Low,Open,Volume
DFAM.JK,DFAM.JK,DFAM.JK,DFAM.JK,DFAM.JK,DFAM.JK
65.0,65.0,65.0,63.0,64.0,89100
65.0,65.0,73.0,63.0,73.0,108400
64.0,64.0,65.0,63.0,65.0,88800
63.0,63.0,64.0,62.0,64.0,184700
62.0,62.0,64.0,62.0,63.0,80700
63.0,63.0,63.0,61.0,62.0,386200
63.0,63.0,63.0,61.0,63.0,130100
62.0,62.0,63.0,62.0,63.0,12100
61.0,61.0,64.0,60.0,62.0,484200
61.0,61.0,62.0,54.0,54.0,324600
61.0,61.0,62.0,60.0,61.0,297900
61.0,61.0,61.0,60.0,61.0,16600
60.0,60.0,61.0,59.0,61.0,18700
59.0,59.0,60.0,59.0,60.0,42900
55.0,55.0,59.0,51.0,59.0,655200
56.0,56.0,58.0,54.0,56.0,157600
54.0,54.0,56.0,52.0,56.0,583000
54.0,54.0,56.0,54.0,55.0,103100
54.0,54.0,55.0,53.0,55.0,89200
52.0,52.0,54.0,50.0,54.0,1251100
52.0,52.0,55.0,50.0,52.0,568100
52.0,52.0,54.0,51.0,53.0,63200
52.0,52.0,52.0,52.0,52.0,92800
52.0,52.0,54.0,52.0,52.0,42100
53.0,53.0,56.0,52.0,52.0,40100
53.0,53.0,53.0,50.0,53.0,236300
53.0,53.0,53.0,51.0,53.0,20600
52.0,52.0,55.0,51.0,53.0,150900
53.0,53.0,54.0,52.0,53.0,191400
54.0,54.0,54.0,52.0,53.0,66200
54.0,54.0,54.0,53.0,54.0,236600
53.0,53.0,54.0,51.0,54.0,183100
53.0,53.0,54.0,50.0,53.0,608600
50.0,50.0,53.0,50.0,53.0,1754800
67.0,67.0,67.0,50.0,50.0,27630000
64.0,64.0,86.0,62.0,72.0,68963800
66.0,66.0,74.0,62.0,74.0,14874600
66.0,66.0,75.0,62.0,64.0,32302600
64.0,64.0,68.0,63.0,64.0,3401100
62.0,62.0,66.0,61.0,63.0,6545800
63.0,63.0,67.0,62.0,62.0,11655100
63.0,63.0,66.0,62.0,62.0,5213800
63.0,63.0,66.0,62.0,62.0,4774400
65.0,65.0,66.0,62.0,62.0,6882600
64.0,64.0,68.0,62.0,65.0,7579000
63.0,63.0,65.0,60.0,60.0,4137100
60.0,60.0,63.0,59.0,62.0,4153200
60.0,60.0,62.0,59.0,60.0,3152100
59.0,59.0,65.0,58.0,59.0,7700000
59.0,59.0,60.0,58.0,58.0,357500
56.0,56.0,59.0,53.0,58.0,3857000
55.0,55.0,58.0,54.0,56.0,2972000
55.0,55.0,57.0,55.0,57.0,589300
54.0,54.0,62.0,54.0,56.0,8249000
54.0,54.0,55.0,53.0,55.0,1023600
54.0,54.0,55.0,53.0,54.0,1413900
54.0,54.0,54.0,53.0,54.0,611700
53.0,53.0,55.0,53.0,54.0,894200
53.0,53.0,54.0,53.0,54.0,251500
53.0,53.0,54.0,52.0,53.0,324700
52.0,52.0,55.0,50.0,53.0,2163700
52.0,52.0,57.0,51.0,57.0,310300
51.0,51.0,52.0,51.0,52.0,145200
52.0,52.0,52.0,50.0,52.0,918400
53.0,53.0,53.0,51.0,52.0,853300
53.0,53.0,54.0,51.0,51.0,54700
53.0,53.0,54.0,50.0,50.0,417100
52.0,52.0,54.0,50.0,50.0,24500
52.0,52.0,54.0,52.0,52.0,7300
52.0,52.0,54.0,52.0,52.0,176400
53.0,53.0,55.0,52.0,52.0,1942700
51.0,51.0,55.0,50.0,53.0,8265600
51.0,51.0,52.0,50.0,51.0,605000
51.0,51.0,51.0,50.0,51.0,271600
51.0,51.0,51.0,50.0,51.0,103100
52.0,52.0,58.0,50.0,58.0,677200
52.0,52.0,52.0,51.0,52.0,25200
52.0,52.0,52.0,51.0,52.0,231400
52.0,52.0,52.0,51.0,52.0,110400
52.0,52.0,52.0,52.0,52.0,537900
52.0,52.0,52.0,51.0,52.0,359100
52.0,52.0,52.0,51.0,52.0,480700
51.0,51.0,52.0,51.0,52.0,294500
51.0,51.0,52.0,50.0,52.0,111100
51.0,51.0,52.0,51.0,52.0,607900
51.0,51.0,52.0,51.0,52.0,139100
51.0,51.0,52.0,51.0,52.0,593800
50.0,50.0,52.0,50.0,52.0,869100
50.0,50.0,50.0,50.0,50.0,472000
50.0,50.0,50.0,50.0,50.0,57700
50.0,50.0,50.0,50.0,50.0,9000
50.0,50.0,50.0,50.0,50.0,11400
50.0,50.0,50.0,50.0,50.0,4800
50.0,50.0,50.0,50.0,50.0,2900
50.0,50.0,50.0,50.0,50.0,5100
50.0,50.0,50.0,50.0,50.0,1500
50.0,50.0,50.0,50.0,50.0,3500
50.0,50.0,50.0,50.0,50.0,800
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,4000
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,2600
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,4400
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,200
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,200
50.0,50.0,50.0,50.0,50.0,42700
50.0,50.0,50.0,50.0,50.0,1400
50.0,50.0,50.0,50.0,50.0,600
50.0,50.0,50.0,50.0,50.0,1200
50.0,50.0,50.0,50.0,50.0,400
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,3000
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,1400
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,400
50.0,50.0,50.0,50.0,50.0,200
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,1000
50.0,50.0,50.0,50.0,50.0,1100
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,1000
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,500
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,1300
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,11000
50.0,50.0,50.0,50.0,50.0,2700
50.0,50.0,50.0,50.0,50.0,1100
50.0,50.0,50.0,50.0,50.0,200
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,5000
50.0,50.0,50.0,50.0,50.0,2700
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,2500
50.0,50.0,50.0,50.0,50.0,1000
50.0,50.0,50.0,50.0,50.0,3200
50.0,50.0,50.0,50.0,50.0,407800
50.0,50.0,50.0,50.0,50.0,1200
50.0,50.0,50.0,50.0,50.0,2900
50.0,50.0,50.0,50.0,50.0,9800
50.0,50.0,50.0,50.0,50.0,63700
50.0,50.0,50.0,50.0,50.0,201300
50.0,50.0,50.0,50.0,50.0,211700
50.0,50.0,51.0,50.0,50.0,490700
50.0,50.0,50.0,50.0,50.0,34300
50.0,50.0,50.0,50.0,50.0,1100
50.0,50.0,50.0,50.0,50.0,2300
50.0,50.0,50.0,50.0,50.0,7000
50.0,50.0,50.0,50.0,50.0,15500
50.0,50.0,50.0,50.0,50.0,98700
50.0,50.0,50.0,50.0,50.0,11400
50.0,50.0,50.0,50.0,50.0,1000
50.0,50.0,65.0,50.0,50.0,61161800
50.0,50.0,50.0,50.0,50.0,127500
50.0,50.0,50.0,50.0,50.0,4900
50.0,50.0,50.0,50.0,50.0,3800
50.0,50.0,50.0,50.0,50.0,800
50.0,50.0,50.0,50.0,50.0,12600
50.0,50.0,50.0,50.0,50.0,3200
50.0,50.0,50.0,50.0,50.0,12500
50.0,50.0,50.0,50.0,50.0,1300
50.0,50.0,50.0,50.0,50.0,3500
50.0,50.0,50.0,50.0,50.0,1202900
50.0,50.0,50.0,50.0,50.0,302000
50.0,50.0,50.0,50.0,50.0,635900
50.0,50.0,50.0,50.0,50.0,8400
50.0,50.0,53.0,50.0,50.0,2644800
50.0,50.0,51.0,50.0,50.0,443100
50.0,50.0,51.0,50.0,50.0,354700
51.0,51.0,62.0,50.0,50.0,50158500
52.0,52.0,54.0,50.0,53.0,2962300
52.0,52.0,54.0,51.0,52.0,2817900
53.0,53.0,57.0,52.0,52.0,3901200
54.0,54.0,56.0,53.0,53.0,1207100
53.0,53.0,55.0,53.0,54.0,1093300
53.0,53.0,54.0,52.0,52.0,1131100
52.0,52.0,54.0,51.0,54.0,1564500
53.0,53.0,53.0,52.0,53.0,217200
52.0,52.0,53.0,51.0,53.0,507100
53.0,53.0,53.0,51.0,53.0,642000
52.0,52.0,53.0,52.0,53.0,913300
53.0,53.0,53.0,52.0,53.0,672200
53.0,53.0,53.0,51.0,53.0,774900
52.0,52.0,53.0,52.0,52.0,189100
50.0,50.0,57.0,50.0,52.0,4075700
50.0,50.0,51.0,50.0,50.0,736000
50.0,50.0,51.0,50.0,51.0,1228300
51.0,51.0,51.0,50.0,51.0,161000
51.0,51.0,53.0,50.0,50.0,1000200
51.0,51.0,51.0,50.0,51.0,825200
51.0,51.0,51.0,50.0,51.0,870400
51.0,51.0,51.0,50.0,51.0,553800
50.0,50.0,51.0,50.0,51.0,1420300
50.0,50.0,50.0,50.0,50.0,415400
50.0,50.0,51.0,50.0,50.0,179200
50.0,50.0,51.0,50.0,50.0,223100
50.0,50.0,51.0,50.0,51.0,305200
50.0,50.0,50.0,50.0,50.0,178000
50.0,50.0,50.0,50.0,50.0,1016700
50.0,50.0,51.0,50.0,51.0,939400
50.0,50.0,51.0,50.0,50.0,766300
50.0,50.0,50.0,50.0,50.0,213100
50.0,50.0,50.0,50.0,50.0,400
50.0,50.0,50.0,50.0,50.0,174400
50.0,50.0,51.0,50.0,50.0,385900
52.0,52.0,54.0,50.0,50.0,3124700
51.0,51.0,52.0,50.0,52.0,581000
51.0,51.0,52.0,50.0,52.0,346800
53.0,53.0,56.0,50.0,51.0,2952400
53.0,53.0,55.0,53.0,54.0,943800
52.0,52.0,53.0,50.0,53.0,1119300
51.0,51.0,52.0,51.0,52.0,1946600
51.0,51.0,57.0,51.0,51.0,10114000
53.0,53.0,56.0,52.0,52.0,7053800
52.0,52.0,53.0,51.0,53.0,2204100
52.0,52.0,52.0,51.0,52.0,1375800
53.0,53.0,53.0,51.0,53.0,589900
52.0,52.0,53.0,51.0,53.0,418700
52.0,52.0,58.0,50.0,58.0,1326800
52.0,52.0,53.0,51.0,52.0,369200
51.0,51.0,52.0,51.0,51.0,177800
52.0,52.0,52.0,51.0,51.0,485200
52.0,52.0,52.0,51.0,51.0,290300
51.0,51.0,52.0,51.0,51.0,303000
50.0,50.0,52.0,50.0,52.0,203900
50.0,50.0,51.0,50.0,51.0,177100
