Adj Close,Close,High,Low,Open,Volume
DILD.JK,DILD.JK,DILD.JK,DILD.JK,DILD.JK,DILD.JK
185.0,185.0,189.0,179.0,179.0,18700600
189.0,189.0,191.0,185.0,186.0,13766900
191.0,191.0,194.0,189.0,192.0,11774000
191.0,191.0,193.0,190.0,193.0,6594500
189.0,189.0,191.0,188.0,191.0,8846900
189.0,189.0,191.0,188.0,189.0,4971900
190.0,190.0,192.0,188.0,189.0,13625600
192.0,192.0,194.0,188.0,191.0,12148300
190.0,190.0,194.0,189.0,192.0,6585700
194.0,194.0,197.0,189.0,190.0,26610500
194.0,194.0,196.0,192.0,194.0,6648200
192.0,192.0,194.0,190.0,194.0,7160000
192.0,192.0,192.0,190.0,191.0,5740200
193.0,193.0,194.0,189.0,191.0,16773200
202.0,202.0,204.0,192.0,193.0,84257300
192.0,192.0,206.0,191.0,204.0,53199400
193.0,193.0,198.0,191.0,192.0,24213800
189.0,189.0,194.0,189.0,193.0,17478100
189.0,189.0,193.0,188.0,190.0,12304900
185.0,185.0,190.0,185.0,189.0,32314700
187.0,187.0,189.0,183.0,185.0,13842600
187.0,187.0,189.0,185.0,189.0,5074800
190.0,190.0,192.0,187.0,188.0,6225900
189.0,189.0,193.0,188.0,191.0,9311900
187.0,187.0,190.0,187.0,189.0,11416300
190.0,190.0,190.0,187.0,187.0,4958400
190.0,190.0,192.0,188.0,190.0,8852400
189.0,189.0,192.0,188.0,190.0,10670000
189.0,189.0,191.0,187.0,189.0,6955300
193.0,193.0,196.0,189.0,189.0,28259400
193.0,193.0,195.0,192.0,195.0,7757300
198.0,198.0,204.0,193.0,198.0,33106500
197.0,197.0,200.0,195.0,198.0,7924900
196.0,196.0,198.0,195.0,198.0,7117100
200.0,200.0,206.0,196.0,196.0,32603400
206.0,206.0,212.0,200.0,200.0,60752500
206.0,206.0,214.0,204.0,206.0,54818600
206.0,206.0,210.0,200.0,206.0,23887400
202.0,202.0,208.0,202.0,206.0,7160300
204.0,204.0,208.0,200.0,200.0,15635700
199.0,199.0,204.0,198.0,204.0,18480200
200.0,200.0,204.0,198.0,199.0,12218700
200.0,200.0,204.0,199.0,202.0,5119400
202.0,202.0,204.0,200.0,202.0,14980800
204.0,204.0,208.0,200.0,202.0,33291700
202.0,202.0,206.0,200.0,206.0,8079800
198.0,198.0,204.0,197.0,204.0,19063200
195.0,195.0,199.0,194.0,199.0,13456200
191.0,191.0,198.0,191.0,195.0,14408400
192.0,192.0,193.0,190.0,191.0,10949000
191.0,191.0,193.0,190.0,191.0,7100200
191.0,191.0,193.0,190.0,191.0,6496300
193.0,193.0,195.0,188.0,193.0,7297600
192.0,192.0,195.0,192.0,193.0,6181000
193.0,193.0,195.0,190.0,192.0,6960300
191.0,191.0,194.0,189.0,193.0,6265000
191.0,191.0,193.0,189.0,191.0,7037400
191.0,191.0,192.0,190.0,191.0,4117800
191.0,191.0,192.0,190.0,191.0,4002400
192.0,192.0,194.0,191.0,191.0,6909100
194.0,194.0,196.0,192.0,193.0,7669600
195.0,195.0,197.0,194.0,195.0,8592000
194.0,194.0,198.0,193.0,197.0,4244700
192.0,192.0,197.0,192.0,194.0,4967400
193.0,193.0,194.0,191.0,192.0,5615900
191.0,191.0,194.0,191.0,193.0,4221900
191.0,191.0,193.0,191.0,192.0,3115100
192.0,192.0,193.0,191.0,191.0,2128700
190.0,190.0,194.0,190.0,192.0,8934700
189.0,189.0,191.0,188.0,191.0,7135600
189.0,189.0,191.0,188.0,189.0,10032900
190.0,190.0,191.0,188.0,189.0,8984400
189.0,189.0,191.0,188.0,190.0,7166400
190.0,190.0,191.0,188.0,189.0,11401300
187.0,187.0,191.0,185.0,189.0,15394000
186.0,186.0,188.0,185.0,187.0,6627000
188.0,188.0,190.0,186.0,187.0,3318700
189.0,189.0,190.0,187.0,189.0,3374200
189.0,189.0,190.0,187.0,189.0,11197600
189.0,189.0,191.0,188.0,190.0,7994100
188.0,188.0,190.0,187.0,189.0,8855000
188.0,188.0,188.0,187.0,188.0,7240700
187.0,187.0,189.0,187.0,188.0,8793700
188.0,188.0,189.0,186.0,187.0,6822900
195.0,195.0,196.0,188.0,188.0,26487700
195.0,195.0,198.0,192.0,196.0,12599500
197.0,197.0,204.0,195.0,204.0,28739500
196.0,196.0,199.0,194.0,199.0,10077000
194.0,194.0,199.0,193.0,196.0,7137400
191.0,191.0,196.0,190.0,194.0,7911400
192.0,192.0,194.0,190.0,192.0,8334200
198.0,198.0,200.0,193.0,196.0,46719500
194.0,194.0,200.0,193.0,198.0,22302900
195.0,195.0,197.0,192.0,196.0,9275800
199.0,199.0,200.0,194.0,195.0,25385800
195.0,195.0,198.0,192.0,198.0,26708700
197.0,197.0,199.0,195.0,195.0,16188500
197.0,197.0,200.0,193.0,198.0,13727500
195.0,195.0,197.0,190.0,197.0,32143500
192.0,192.0,196.0,191.0,195.0,6389200
192.0,192.0,196.0,190.0,192.0,9882800
188.0,188.0,194.0,187.0,193.0,14341000
188.0,188.0,191.0,187.0,188.0,7043600
180.0,180.0,190.0,180.0,188.0,24795300
183.0,183.0,184.0,180.0,182.0,6350000
185.0,185.0,187.0,183.0,183.0,6780800
177.0,177.0,186.0,175.0,185.0,29397100
170.0,170.0,177.0,170.0,176.0,21633200
172.0,172.0,174.0,169.0,170.0,14411200
173.0,173.0,174.0,171.0,172.0,5049600
173.0,173.0,173.0,170.0,173.0,5422300
167.0,167.0,174.0,165.0,173.0,28359300
168.0,168.0,169.0,165.0,167.0,6918300
171.0,171.0,172.0,168.0,169.0,8582100
173.0,173.0,175.0,170.0,171.0,8478000
177.0,177.0,179.0,173.0,173.0,13816700
175.0,175.0,180.0,174.0,177.0,7627300
173.0,173.0,175.0,170.0,175.0,5614900
172.0,172.0,173.0,170.0,173.0,3013100
166.0,166.0,173.0,165.0,173.0,16597300
170.0,170.0,170.0,165.0,167.0,3142600
170.0,170.0,171.0,167.0,170.0,3248200
167.0,167.0,170.0,166.0,170.0,8067100
169.0,169.0,169.0,166.0,167.0,3131800
170.0,170.0,173.0,167.0,168.0,8653000
173.0,173.0,175.0,169.0,175.0,11634300
176.0,176.0,180.0,173.0,173.0,9675100
173.0,173.0,179.0,172.0,176.0,7770000
173.0,173.0,175.0,172.0,173.0,1901100
171.0,171.0,174.0,168.0,173.0,8288900
171.0,171.0,175.0,169.0,172.0,3388200
167.0,167.0,172.0,167.0,171.0,13619100
169.0,169.0,169.0,167.0,168.0,4396900
167.0,167.0,169.0,167.0,169.0,6619000
165.0,165.0,176.0,164.0,166.0,6105500
166.0,166.0,166.0,162.0,165.0,11160100
165.0,165.0,169.0,164.0,166.0,10510800
160.0,160.0,169.0,159.0,165.0,37620900
158.0,158.0,162.0,151.0,151.0,10819800
162.0,162.0,162.0,159.0,160.0,5177300
163.0,163.0,164.0,161.0,163.0,9390300
165.0,165.0,165.0,161.0,163.0,3576300
167.0,167.0,167.0,163.0,165.0,4562000
169.0,169.0,169.0,165.0,167.0,4813500
168.0,168.0,170.0,165.0,169.0,10355800
168.0,168.0,169.0,166.0,168.0,6901400
169.0,169.0,170.0,167.0,168.0,6065100
172.0,172.0,172.0,168.0,169.0,6592000
171.0,171.0,173.0,168.0,172.0,10038100
171.0,171.0,172.0,169.0,171.0,2422000
173.0,173.0,173.0,170.0,171.0,4226700
180.0,180.0,180.0,172.0,173.0,29164300
178.0,178.0,181.0,176.0,181.0,7569700
173.0,173.0,179.0,172.0,178.0,7467900
175.0,175.0,175.0,172.0,173.0,4651000
175.0,175.0,175.0,173.0,175.0,2468100
173.0,173.0,176.0,173.0,175.0,6816000
173.0,173.0,174.0,171.0,173.0,4214900
173.0,173.0,174.0,171.0,173.0,3392300
173.0,173.0,175.0,172.0,173.0,4791800
172.0,172.0,173.0,170.0,173.0,5378200
173.0,173.0,173.0,171.0,172.0,2117100
173.0,173.0,175.0,171.0,173.0,9952500
173.0,173.0,175.0,171.0,172.0,2692700
181.0,181.0,192.0,172.0,173.0,128479500
181.0,181.0,186.0,178.0,186.0,25210900
181.0,181.0,182.0,179.0,181.0,12672400
172.0,172.0,183.0,170.0,181.0,33855900
173.0,173.0,175.0,170.0,172.0,14157200
172.0,172.0,179.0,172.0,173.0,39298100
174.0,174.0,176.0,172.0,173.0,21685000
176.0,176.0,178.0,173.0,173.0,20585900
176.0,176.0,178.0,173.0,176.0,11216300
187.0,187.0,188.0,176.0,178.0,98192300
188.0,188.0,192.0,185.0,187.0,68256000
188.0,188.0,196.0,184.0,188.0,84093000
188.0,188.0,192.0,187.0,189.0,24793000
186.0,186.0,190.0,185.0,189.0,21641900
189.0,189.0,191.0,186.0,187.0,31197200
187.0,187.0,192.0,186.0,189.0,21946600
183.0,183.0,188.0,183.0,187.0,24500800
187.0,187.0,188.0,183.0,185.0,16082900
195.0,195.0,196.0,187.0,188.0,67704500
189.0,189.0,204.0,187.0,195.0,182420700
191.0,191.0,196.0,188.0,190.0,327674600
185.0,185.0,192.0,180.0,191.0,263337600
183.0,183.0,186.0,181.0,184.0,29061400
187.0,187.0,188.0,183.0,184.0,26165300
184.0,184.0,188.0,184.0,187.0,20532700
187.0,187.0,190.0,180.0,183.0,50194000
191.0,191.0,193.0,187.0,187.0,85259000
194.0,194.0,195.0,191.0,192.0,60634300
202.0,202.0,204.0,191.0,194.0,157589400
208.0,208.0,214.0,200.0,206.0,151388800
202.0,202.0,210.0,200.0,208.0,73230100
202.0,202.0,206.0,200.0,202.0,39372300
210.0,210.0,212.0,202.0,202.0,77470600
220.0,220.0,222.0,206.0,210.0,149380400
222.0,222.0,232.0,220.0,222.0,111338500
224.0,224.0,234.0,220.0,222.0,76607200
220.0,220.0,228.0,216.0,224.0,42286300
222.0,222.0,228.0,216.0,220.0,65288100
228.0,228.0,230.0,220.0,224.0,54881400
220.0,220.0,230.0,218.0,230.0,74566800
214.0,214.0,222.0,212.0,222.0,55598300
214.0,214.0,216.0,210.0,214.0,26312500
208.0,208.0,218.0,208.0,214.0,43794200
214.0,214.0,214.0,204.0,208.0,18612800
208.0,208.0,216.0,206.0,214.0,34610700
208.0,208.0,210.0,204.0,208.0,22160700
204.0,204.0,210.0,204.0,208.0,17292400
210.0,210.0,212.0,200.0,204.0,42325100
214.0,214.0,218.0,204.0,210.0,37096900
210.0,210.0,216.0,208.0,216.0,20479100
208.0,208.0,210.0,206.0,210.0,11462000
212.0,212.0,218.0,208.0,210.0,46136400
212.0,212.0,216.0,210.0,216.0,16915000
212.0,212.0,214.0,210.0,212.0,15597700
212.0,212.0,216.0,210.0,212.0,20338700
214.0,214.0,216.0,210.0,212.0,24521100
214.0,214.0,216.0,210.0,216.0,30216600
212.0,212.0,216.0,212.0,214.0,13404600
210.0,210.0,214.0,208.0,212.0,22776200
208.0,208.0,210.0,206.0,210.0,21468600
202.0,202.0,208.0,202.0,208.0,20948300
198.0,198.0,206.0,198.0,202.0,39838900
192.0,192.0,199.0,191.0,198.0,40317700
195.0,195.0,197.0,191.0,192.0,31629200
192.0,192.0,196.0,188.0,195.0,22796700
185.0,185.0,193.0,183.0,190.0,95607000
181.0,181.0,187.0,180.0,185.0,36067300
181.0,181.0,183.0,176.0,181.0,40371100
176.0,176.0,181.0,176.0,181.0,30373100
176.0,176.0,179.0,173.0,176.0,35618800
173.0,173.0,177.0,171.0,176.0,23740400
171.0,171.0,177.0,169.0,177.0,25503000
170.0,170.0,172.0,166.0,171.0,20269900
175.0,175.0,176.0,169.0,169.0,22794000
