Adj Close,Close,High,Low,Open,Volume
DIVA.JK,DIVA.JK,DIVA.JK,DIVA.JK,DIVA.JK,DIVA.JK
204.0,204.0,208.0,202.0,204.0,281400
254.0,254.0,254.0,198.0,204.0,3200400
274.0,274.0,314.0,260.0,274.0,10242800
242.0,242.0,286.0,230.0,274.0,1160300
264.0,264.0,294.0,240.0,244.0,4268900
258.0,258.0,268.0,242.0,264.0,993900
300.0,300.0,316.0,248.0,262.0,8518100
292.0,292.0,302.0,264.0,282.0,3611800
278.0,278.0,300.0,268.0,274.0,1972000
272.0,272.0,288.0,258.0,258.0,254200
266.0,266.0,278.0,256.0,256.0,349800
258.0,258.0,282.0,254.0,254.0,506400
258.0,258.0,264.0,256.0,258.0,362700
256.0,256.0,264.0,256.0,260.0,455400
254.0,254.0,260.0,250.0,256.0,65400
242.0,242.0,254.0,230.0,254.0,403200
248.0,248.0,256.0,242.0,242.0,155300
248.0,248.0,250.0,240.0,244.0,105000
250.0,250.0,282.0,248.0,248.0,389600
242.0,242.0,262.0,242.0,250.0,226400
232.0,232.0,254.0,222.0,246.0,222300
228.0,228.0,248.0,226.0,234.0,159700
216.0,216.0,240.0,216.0,226.0,322500
226.0,226.0,236.0,216.0,228.0,210300
230.0,230.0,236.0,220.0,226.0,158300
228.0,228.0,236.0,224.0,234.0,168500
222.0,222.0,230.0,222.0,228.0,51900
222.0,222.0,226.0,218.0,226.0,65700
224.0,224.0,224.0,212.0,222.0,79900
218.0,218.0,224.0,214.0,224.0,48400
220.0,220.0,222.0,214.0,222.0,489700
238.0,238.0,260.0,220.0,222.0,1450500
240.0,240.0,244.0,224.0,238.0,347000
234.0,234.0,246.0,230.0,234.0,90900
232.0,232.0,236.0,232.0,234.0,42900
234.0,234.0,248.0,228.0,232.0,274900
230.0,230.0,240.0,230.0,236.0,269100
226.0,226.0,236.0,226.0,236.0,61900
226.0,226.0,234.0,220.0,234.0,100000
222.0,222.0,226.0,220.0,224.0,72100
216.0,216.0,222.0,216.0,222.0,89500
214.0,214.0,224.0,212.0,222.0,169200
220.0,220.0,222.0,214.0,216.0,78400
216.0,216.0,222.0,216.0,220.0,118100
218.0,218.0,220.0,214.0,214.0,200900
216.0,216.0,222.0,212.0,220.0,182800
218.0,218.0,220.0,214.0,216.0,64900
214.0,214.0,220.0,210.0,216.0,197000
216.0,216.0,216.0,210.0,214.0,41500
212.0,212.0,216.0,208.0,214.0,50900
212.0,212.0,216.0,208.0,214.0,52300
206.0,206.0,210.0,206.0,210.0,52500
206.0,206.0,214.0,204.0,204.0,40800
200.0,200.0,206.0,200.0,206.0,368800
199.0,199.0,202.0,198.0,198.0,51100
198.0,198.0,204.0,198.0,199.0,164800
191.0,191.0,198.0,190.0,198.0,421300
189.0,189.0,194.0,188.0,191.0,223500
187.0,187.0,191.0,185.0,187.0,109400
179.0,179.0,196.0,179.0,187.0,332800
179.0,179.0,184.0,176.0,179.0,159200
183.0,183.0,184.0,176.0,177.0,459600
181.0,181.0,184.0,181.0,184.0,8700
178.0,178.0,185.0,178.0,185.0,27200
179.0,179.0,182.0,178.0,179.0,39800
176.0,176.0,180.0,176.0,180.0,33200
178.0,178.0,179.0,173.0,175.0,94900
174.0,174.0,178.0,172.0,178.0,55100
