Adj Close,Close,High,Low,Open,Volume
DNAR.JK,DNAR.JK,DNAR.JK,DNAR.JK,DNAR.JK,DNAR.JK
118.0,118.0,120.0,118.0,119.0,230200
120.0,120.0,121.0,118.0,118.0,627000
119.0,119.0,120.0,119.0,120.0,156400
118.0,118.0,120.0,118.0,119.0,631500
118.0,118.0,119.0,118.0,119.0,130300
118.0,118.0,119.0,116.0,119.0,451400
117.0,117.0,118.0,116.0,118.0,225400
119.0,119.0,121.0,117.0,118.0,840500
122.0,122.0,126.0,119.0,120.0,4168200
120.0,120.0,125.0,120.0,123.0,2073300
120.0,120.0,121.0,119.0,120.0,308100
119.0,119.0,121.0,118.0,120.0,449900
120.0,120.0,123.0,119.0,119.0,959000
119.0,119.0,120.0,118.0,119.0,566000
119.0,119.0,121.0,118.0,121.0,319000
117.0,117.0,119.0,117.0,119.0,616300
117.0,117.0,119.0,117.0,117.0,386800
117.0,117.0,118.0,116.0,117.0,393300
115.0,115.0,117.0,114.0,117.0,758900
114.0,114.0,117.0,114.0,115.0,348600
116.0,116.0,122.0,112.0,114.0,2285300
117.0,117.0,118.0,114.0,116.0,422100
116.0,116.0,119.0,115.0,118.0,113900
116.0,116.0,117.0,115.0,115.0,126500
114.0,114.0,116.0,114.0,116.0,250800
114.0,114.0,117.0,107.0,107.0,169200
115.0,115.0,116.0,108.0,108.0,254600
115.0,115.0,121.0,114.0,115.0,1054200
121.0,121.0,128.0,116.0,119.0,9493000
121.0,121.0,123.0,114.0,114.0,539600
122.0,122.0,124.0,115.0,115.0,425800
121.0,121.0,123.0,115.0,115.0,322300
122.0,122.0,126.0,115.0,115.0,2073700
123.0,123.0,125.0,116.0,116.0,4308100
124.0,124.0,124.0,116.0,116.0,369900
123.0,123.0,124.0,117.0,117.0,1179500
121.0,121.0,123.0,116.0,116.0,101800
121.0,121.0,128.0,120.0,121.0,4738000
122.0,122.0,124.0,121.0,121.0,137900
123.0,123.0,123.0,121.0,121.0,130200
123.0,123.0,123.0,121.0,121.0,103500
123.0,123.0,124.0,121.0,123.0,155300
121.0,121.0,123.0,121.0,123.0,150800
122.0,122.0,124.0,121.0,121.0,318500
122.0,122.0,123.0,120.0,123.0,398600
122.0,122.0,124.0,120.0,124.0,174000
122.0,122.0,122.0,120.0,122.0,257700
121.0,121.0,123.0,115.0,115.0,174800
121.0,121.0,127.0,114.0,114.0,1597300
122.0,122.0,123.0,120.0,121.0,104400
119.0,119.0,123.0,115.0,115.0,165500
121.0,121.0,123.0,119.0,123.0,133400
121.0,121.0,122.0,119.0,121.0,282800
120.0,120.0,123.0,120.0,123.0,225800
121.0,121.0,123.0,119.0,120.0,827300
122.0,122.0,122.0,120.0,122.0,162300
120.0,120.0,122.0,120.0,122.0,16800
120.0,120.0,122.0,118.0,118.0,285100
120.0,120.0,122.0,119.0,122.0,330000
120.0,120.0,122.0,118.0,118.0,139900
121.0,121.0,121.0,119.0,120.0,62000
119.0,119.0,121.0,118.0,118.0,136800
120.0,120.0,120.0,118.0,119.0,174600
120.0,120.0,122.0,119.0,120.0,149100
118.0,118.0,122.0,117.0,122.0,281200
118.0,118.0,120.0,117.0,118.0,173000
118.0,118.0,120.0,118.0,120.0,127500
119.0,119.0,120.0,118.0,120.0,317500
119.0,119.0,120.0,117.0,118.0,159700
118.0,118.0,120.0,116.0,120.0,130700
118.0,118.0,119.0,116.0,119.0,257500
118.0,118.0,120.0,117.0,118.0,194500
119.0,119.0,119.0,117.0,118.0,267400
119.0,119.0,125.0,117.0,119.0,5869600
119.0,119.0,123.0,118.0,120.0,155900
119.0,119.0,124.0,116.0,120.0,4756900
118.0,118.0,120.0,118.0,120.0,300600
119.0,119.0,120.0,117.0,119.0,48700
120.0,120.0,120.0,118.0,118.0,123700
121.0,121.0,122.0,118.0,120.0,259300
119.0,119.0,121.0,117.0,121.0,409100
118.0,118.0,120.0,117.0,118.0,61000
117.0,117.0,120.0,116.0,118.0,120300
119.0,119.0,123.0,117.0,117.0,5005500
119.0,119.0,122.0,117.0,121.0,928900
119.0,119.0,119.0,116.0,119.0,1447000
118.0,118.0,120.0,118.0,120.0,78700
118.0,118.0,120.0,115.0,120.0,564700
119.0,119.0,120.0,116.0,118.0,764600
116.0,116.0,120.0,116.0,119.0,445700
118.0,118.0,118.0,115.0,117.0,361700
117.0,117.0,119.0,114.0,117.0,696400
113.0,113.0,119.0,113.0,117.0,573800
114.0,114.0,117.0,113.0,113.0,152400
113.0,113.0,117.0,113.0,114.0,324300
115.0,115.0,116.0,112.0,113.0,125200
113.0,113.0,116.0,113.0,113.0,110500
110.0,110.0,115.0,110.0,114.0,817600
109.0,109.0,114.0,108.0,113.0,575600
102.0,102.0,109.0,98.0,109.0,453800
95.0,95.0,102.0,92.0,102.0,1999100
93.0,93.0,97.0,91.0,95.0,419100
96.0,96.0,100.0,91.0,93.0,1653700
94.0,94.0,98.0,93.0,98.0,251500
