Adj Close,Close,High,Low,Open,Volume
DOOH.JK,DOOH.JK,DOOH.JK,DOOH.JK,DOOH.JK,DOOH.JK
116.0,116.0,116.0,96.0,96.0,145112100
127.0,127.0,127.0,117.0,117.0,88944300
118.0,118.0,133.0,115.0,130.0,130831200
126.0,126.0,128.0,114.0,120.0,182422600
117.0,117.0,136.0,115.0,136.0,248114500
117.0,117.0,122.0,111.0,117.0,113307100
117.0,117.0,118.0,111.0,117.0,128862300
117.0,117.0,124.0,113.0,117.0,326604600
115.0,115.0,121.0,113.0,117.0,246574200
112.0,112.0,119.0,112.0,115.0,178116700
106.0,106.0,113.0,106.0,113.0,242520400
105.0,105.0,112.0,102.0,106.0,251859600
104.0,104.0,105.0,101.0,105.0,90712200
98.0,98.0,106.0,98.0,104.0,399793200
93.0,93.0,99.0,92.0,99.0,59730700
94.0,94.0,97.0,91.0,93.0,132470700
94.0,94.0,97.0,92.0,94.0,180348700
95.0,95.0,95.0,93.0,94.0,170176000
96.0,96.0,96.0,93.0,95.0,207484400
91.0,91.0,97.0,91.0,96.0,33035100
92.0,92.0,93.0,91.0,91.0,150055800
89.0,89.0,92.0,89.0,92.0,220466600
89.0,89.0,90.0,77.0,90.0,195048000
86.0,86.0,90.0,81.0,89.0,472933100
87.0,87.0,89.0,81.0,86.0,104577700
86.0,86.0,87.0,81.0,85.0,231332100
87.0,87.0,91.0,83.0,86.0,551688700
85.0,85.0,89.0,82.0,87.0,412270400
85.0,85.0,88.0,82.0,86.0,135339200
84.0,84.0,85.0,82.0,84.0,247976500
83.0,83.0,85.0,81.0,84.0,402642900
83.0,83.0,83.0,81.0,83.0,191036400
110.0,110.0,111.0,82.0,82.0,489452400
91.0,91.0,111.0,91.0,110.0,350291700
87.0,87.0,94.0,85.0,91.0,372480200
84.0,84.0,89.0,83.0,87.0,254391600
80.0,80.0,86.0,78.0,84.0,248872300
80.0,80.0,83.0,73.0,80.0,405220700
79.0,79.0,81.0,78.0,80.0,297769700
80.0,80.0,82.0,75.0,80.0,333162800
78.0,78.0,80.0,75.0,79.0,392159300
78.0,78.0,78.0,78.0,78.0,0
77.0,77.0,80.0,77.0,79.0,350428000
75.0,75.0,78.0,73.0,78.0,190862100
75.0,75.0,76.0,73.0,75.0,375047300
76.0,76.0,76.0,73.0,75.0,101300500
76.0,76.0,77.0,70.0,76.0,547930400
75.0,75.0,83.0,73.0,76.0,389375000
75.0,75.0,76.0,73.0,75.0,236451900
71.0,71.0,75.0,71.0,75.0,130304600
71.0,71.0,82.0,69.0,71.0,647705000
71.0,71.0,74.0,69.0,71.0,241822600
71.0,71.0,71.0,69.0,71.0,310258000
70.0,70.0,72.0,69.0,71.0,217908800
70.0,70.0,71.0,68.0,70.0,354602000
69.0,69.0,73.0,67.0,70.0,284850800
70.0,70.0,70.0,67.0,69.0,382794800
78.0,78.0,85.0,68.0,70.0,586573200
81.0,81.0,85.0,73.0,78.0,602399500
82.0,82.0,88.0,79.0,81.0,316204100
80.0,80.0,83.0,79.0,82.0,243947300
99.0,99.0,103.0,79.0,80.0,583906200
96.0,96.0,102.0,84.0,101.0,553193300
93.0,93.0,100.0,92.0,95.0,407750700
93.0,93.0,95.0,91.0,93.0,356447400
91.0,91.0,93.0,89.0,93.0,168204100
105.0,105.0,109.0,89.0,91.0,715428400
96.0,96.0,106.0,92.0,106.0,188293700
83.0,83.0,100.0,82.0,96.0,669121800
84.0,84.0,86.0,71.0,83.0,416618400
81.0,81.0,87.0,80.0,85.0,309365800
81.0,81.0,84.0,80.0,80.0,513891300
79.0,79.0,82.0,77.0,81.0,326562700
80.0,80.0,84.0,76.0,78.0,335838700
82.0,82.0,87.0,79.0,80.0,453147800
80.0,80.0,84.0,80.0,82.0,346533400
81.0,81.0,82.0,79.0,80.0,287418900
80.0,80.0,81.0,78.0,81.0,147770300
75.0,75.0,82.0,75.0,80.0,460065600
75.0,75.0,77.0,73.0,76.0,648491300
73.0,73.0,76.0,71.0,76.0,136820300
72.0,72.0,75.0,68.0,71.0,358737500
72.0,72.0,73.0,71.0,72.0,365191100
69.0,69.0,72.0,66.0,72.0,359155900
65.0,65.0,74.0,64.0,68.0,541022500
65.0,65.0,73.0,60.0,64.0,800228500
65.0,65.0,65.0,65.0,65.0,0
65.0,65.0,65.0,65.0,65.0,0
63.0,63.0,65.0,63.0,65.0,321614800
63.0,63.0,65.0,61.0,63.0,369311900
61.0,61.0,63.0,59.0,63.0,244590600
57.0,57.0,62.0,57.0,60.0,675247000
57.0,57.0,59.0,50.0,50.0,290059000
57.0,57.0,58.0,55.0,57.0,130096500
58.0,58.0,58.0,55.0,57.0,549043700
58.0,58.0,59.0,56.0,58.0,236263900
58.0,58.0,59.0,57.0,58.0,215633500
55.0,55.0,58.0,55.0,58.0,283060900
55.0,55.0,57.0,51.0,55.0,232345400
56.0,56.0,59.0,53.0,55.0,562288300
62.0,62.0,64.0,54.0,55.0,600271200
63.0,63.0,64.0,58.0,62.0,383797900
58.0,58.0,64.0,56.0,64.0,339613600
57.0,57.0,58.0,56.0,58.0,570897300
56.0,56.0,58.0,54.0,56.0,323820100
61.0,61.0,63.0,55.0,56.0,473033300
56.0,56.0,62.0,56.0,62.0,660685100
56.0,56.0,57.0,54.0,57.0,690482100
55.0,55.0,56.0,54.0,56.0,98416400
55.0,55.0,56.0,53.0,55.0,445425200
54.0,54.0,56.0,52.0,55.0,493522300
55.0,55.0,56.0,53.0,54.0,432159600
55.0,55.0,55.0,53.0,55.0,239600500
55.0,55.0,56.0,54.0,55.0,412294900
61.0,61.0,64.0,54.0,55.0,629070400
57.0,57.0,63.0,56.0,61.0,557281000
56.0,56.0,58.0,55.0,55.0,259146300
54.0,54.0,57.0,53.0,56.0,472443800
53.0,53.0,56.0,52.0,54.0,405450100
52.0,52.0,53.0,51.0,53.0,536815600
53.0,53.0,54.0,51.0,52.0,248691500
53.0,53.0,54.0,51.0,53.0,432390700
53.0,53.0,54.0,51.0,52.0,526572700
52.0,52.0,53.0,51.0,53.0,349244800
52.0,52.0,53.0,51.0,52.0,200017900
53.0,53.0,54.0,51.0,52.0,553135300
52.0,52.0,53.0,51.0,53.0,310030800
52.0,52.0,52.0,50.0,51.0,338662100
52.0,52.0,53.0,51.0,52.0,319557600
52.0,52.0,53.0,50.0,52.0,452562200
53.0,53.0,53.0,51.0,52.0,486943800
53.0,53.0,55.0,51.0,53.0,539780000
53.0,53.0,56.0,52.0,53.0,304451900
53.0,53.0,54.0,51.0,53.0,292934300
53.0,53.0,55.0,51.0,52.0,570881900
54.0,54.0,55.0,52.0,53.0,510926500
53.0,53.0,54.0,52.0,54.0,354043100
54.0,54.0,54.0,52.0,53.0,130616900
53.0,53.0,54.0,52.0,54.0,371183200
53.0,53.0,53.0,52.0,52.0,344235300
53.0,53.0,54.0,52.0,53.0,289088400
53.0,53.0,53.0,52.0,53.0,112856300
53.0,53.0,54.0,52.0,52.0,321800800
52.0,52.0,54.0,52.0,53.0,391541500
53.0,53.0,53.0,51.0,53.0,259870900
53.0,53.0,53.0,51.0,52.0,96655200
53.0,53.0,53.0,51.0,53.0,393728600
53.0,53.0,53.0,51.0,53.0,406845400
