Adj Close,Close,High,Low,Open,Volume
DSFI.JK,DSFI.JK,DSFI.JK,DSFI.JK,DSFI.JK,DSFI.JK
73.0,73.0,76.0,72.0,73.0,350800
74.0,74.0,75.0,72.0,74.0,1165000
74.0,74.0,76.0,72.0,74.0,410900
73.0,73.0,75.0,71.0,73.0,1378600
73.0,73.0,74.0,71.0,73.0,1267800
73.0,73.0,73.0,72.0,72.0,548600
73.0,73.0,73.0,72.0,72.0,130700
73.0,73.0,74.0,71.0,72.0,1916700
73.0,73.0,73.0,71.0,72.0,1644300
73.0,73.0,73.0,72.0,73.0,143000
73.0,73.0,73.0,71.0,73.0,1331600
74.0,74.0,75.0,71.0,71.0,3844100
74.0,74.0,76.0,73.0,75.0,3405400
73.0,73.0,76.0,73.0,73.0,5873600
73.0,73.0,77.0,72.0,74.0,7857400
73.0,73.0,74.0,72.0,73.0,4298000
71.0,71.0,73.0,71.0,73.0,1623900
73.0,73.0,75.0,71.0,72.0,4186000
73.0,73.0,73.0,72.0,72.0,323500
72.0,72.0,73.0,71.0,73.0,723600
72.0,72.0,72.0,70.0,72.0,999800
72.0,72.0,72.0,70.0,71.0,1422500
73.0,73.0,73.0,71.0,71.0,1575300
72.0,72.0,74.0,71.0,73.0,995200
73.0,73.0,73.0,71.0,72.0,3986500
73.0,73.0,74.0,71.0,73.0,1575900
70.0,70.0,74.0,70.0,73.0,4357300
71.0,71.0,72.0,70.0,70.0,1874400
70.0,70.0,71.0,70.0,71.0,641900
69.0,69.0,71.0,66.0,70.0,4449300
68.0,68.0,69.0,67.0,69.0,2685900
68.0,68.0,73.0,67.0,68.0,4963600
70.0,70.0,71.0,68.0,68.0,3652000
68.0,68.0,70.0,68.0,70.0,5206400
68.0,68.0,72.0,67.0,68.0,16538300
68.0,68.0,71.0,67.0,68.0,8852300
67.0,67.0,68.0,65.0,68.0,3120200
66.0,66.0,67.0,65.0,67.0,2678500
64.0,64.0,66.0,62.0,66.0,3136000
63.0,63.0,64.0,60.0,64.0,5461900
63.0,63.0,64.0,61.0,63.0,2806400
