Adj Close,Close,High,Low,Open,Volume
ERTX.JK,ERTX.JK,ERTX.JK,ERTX.JK,ERTX.JK,ERTX.JK
422.0,422.0,426.0,412.0,420.0,5434800
422.0,422.0,428.0,420.0,422.0,6666100
418.0,418.0,422.0,418.0,422.0,4145500
414.0,414.0,418.0,414.0,418.0,8072700
414.0,414.0,420.0,410.0,416.0,5770500
416.0,416.0,418.0,414.0,416.0,5301000
412.0,412.0,418.0,410.0,416.0,4999700
414.0,414.0,420.0,412.0,416.0,4946400
418.0,418.0,432.0,412.0,414.0,4100400
404.0,404.0,422.0,382.0,420.0,6372800
426.0,426.0,428.0,404.0,406.0,8583800
432.0,432.0,432.0,422.0,426.0,5822300
422.0,422.0,438.0,422.0,432.0,2712100
410.0,410.0,420.0,410.0,420.0,5705400
400.0,400.0,410.0,398.0,410.0,3325400
390.0,390.0,402.0,388.0,400.0,6364400
346.0,346.0,390.0,334.0,390.0,9053500
276.0,276.0,346.0,274.0,346.0,9744400
244.0,244.0,276.0,236.0,238.0,2917300
260.0,260.0,298.0,244.0,246.0,11500300
256.0,256.0,270.0,252.0,262.0,1774300
268.0,268.0,272.0,242.0,242.0,1920700
262.0,262.0,278.0,230.0,242.0,1046400
260.0,260.0,272.0,246.0,246.0,927100
258.0,258.0,266.0,252.0,262.0,503700
250.0,250.0,280.0,248.0,258.0,1664600
248.0,248.0,262.0,248.0,250.0,663700
254.0,254.0,258.0,230.0,230.0,327000
250.0,250.0,254.0,238.0,238.0,2153500
244.0,244.0,256.0,232.0,232.0,242000
240.0,240.0,248.0,240.0,244.0,416800
236.0,236.0,250.0,228.0,240.0,1020000
242.0,242.0,248.0,220.0,220.0,375600
240.0,240.0,248.0,228.0,228.0,218800
244.0,244.0,250.0,240.0,240.0,389300
240.0,240.0,246.0,230.0,230.0,259300
246.0,246.0,250.0,226.0,226.0,516600
258.0,258.0,272.0,242.0,242.0,2888200
260.0,260.0,266.0,250.0,264.0,1185200
266.0,266.0,280.0,262.0,262.0,2465000
272.0,272.0,274.0,262.0,268.0,569500
266.0,266.0,278.0,266.0,268.0,266600
268.0,268.0,272.0,262.0,266.0,227800
270.0,270.0,272.0,266.0,270.0,154500
268.0,268.0,270.0,266.0,266.0,308400
264.0,264.0,268.0,264.0,268.0,76100
262.0,262.0,266.0,256.0,264.0,215700
258.0,258.0,264.0,256.0,264.0,116800
248.0,248.0,258.0,246.0,258.0,105400
254.0,254.0,306.0,248.0,248.0,33217900
240.0,240.0,266.0,238.0,254.0,6876900
246.0,246.0,256.0,240.0,240.0,918700
248.0,248.0,252.0,230.0,230.0,1280900
238.0,238.0,250.0,232.0,232.0,1162500
244.0,244.0,246.0,228.0,228.0,355500
244.0,244.0,250.0,226.0,226.0,532600
244.0,244.0,260.0,228.0,228.0,1814500
248.0,248.0,256.0,228.0,228.0,276700
250.0,250.0,254.0,244.0,248.0,441300
252.0,252.0,258.0,244.0,250.0,388500
250.0,250.0,258.0,250.0,252.0,92700
256.0,256.0,256.0,246.0,256.0,453700
264.0,264.0,264.0,254.0,254.0,435800
264.0,264.0,270.0,246.0,264.0,1688300
264.0,264.0,270.0,260.0,264.0,247000
262.0,262.0,264.0,254.0,264.0,378300
262.0,262.0,266.0,254.0,266.0,529400
254.0,254.0,262.0,252.0,262.0,435400
256.0,256.0,260.0,252.0,254.0,46400
266.0,266.0,266.0,248.0,258.0,584800
270.0,270.0,272.0,262.0,266.0,393200
276.0,276.0,276.0,270.0,272.0,374900
270.0,270.0,276.0,270.0,276.0,198500
262.0,262.0,268.0,260.0,268.0,191700
262.0,262.0,264.0,242.0,260.0,224200
262.0,262.0,262.0,250.0,260.0,61700
266.0,266.0,272.0,250.0,262.0,509600
262.0,262.0,266.0,252.0,266.0,110200
268.0,268.0,270.0,252.0,254.0,168300
262.0,262.0,270.0,258.0,268.0,239400
258.0,258.0,264.0,254.0,264.0,11600
256.0,256.0,260.0,254.0,258.0,85000
256.0,256.0,256.0,250.0,256.0,64600
252.0,252.0,260.0,252.0,256.0,37400
256.0,256.0,258.0,248.0,250.0,90000
252.0,252.0,254.0,250.0,254.0,102100
252.0,252.0,252.0,248.0,252.0,310400
256.0,256.0,256.0,246.0,256.0,143700
248.0,248.0,256.0,244.0,250.0,439200
246.0,246.0,252.0,246.0,248.0,88900
252.0,252.0,254.0,244.0,246.0,97100
254.0,254.0,254.0,246.0,248.0,36600
254.0,254.0,254.0,244.0,248.0,402000
256.0,256.0,256.0,246.0,246.0,51700
256.0,256.0,256.0,248.0,250.0,16400
256.0,256.0,256.0,248.0,252.0,57200
254.0,254.0,254.0,248.0,252.0,44700
254.0,254.0,254.0,248.0,252.0,12000
258.0,258.0,260.0,238.0,252.0,457100
266.0,266.0,266.0,248.0,256.0,63800
250.0,250.0,260.0,244.0,260.0,104500
248.0,248.0,254.0,248.0,252.0,22500
250.0,250.0,250.0,240.0,248.0,228100
236.0,236.0,250.0,232.0,250.0,660500
248.0,248.0,250.0,230.0,242.0,151900
244.0,244.0,246.0,238.0,238.0,10300
236.0,236.0,244.0,236.0,242.0,161000
234.0,234.0,254.0,228.0,236.0,456200
240.0,240.0,250.0,228.0,250.0,48300
240.0,240.0,254.0,240.0,240.0,9300
236.0,236.0,238.0,232.0,236.0,119000
236.0,236.0,248.0,232.0,236.0,140000
230.0,230.0,238.0,230.0,238.0,30700
232.0,232.0,258.0,230.0,230.0,260100
232.0,232.0,234.0,224.0,232.0,81900
228.0,228.0,232.0,228.0,232.0,16900
230.0,230.0,232.0,228.0,232.0,24100
226.0,226.0,232.0,226.0,226.0,15200
232.0,232.0,232.0,210.0,220.0,121500
230.0,230.0,236.0,226.0,226.0,144800
230.0,230.0,234.0,230.0,232.0,68000
234.0,234.0,234.0,230.0,234.0,147100
240.0,240.0,258.0,236.0,236.0,425000
230.0,230.0,242.0,230.0,240.0,174200
230.0,230.0,240.0,228.0,240.0,414800
230.0,230.0,232.0,228.0,228.0,63700
228.0,228.0,236.0,228.0,236.0,50700
232.0,232.0,236.0,228.0,228.0,9300
232.0,232.0,236.0,232.0,234.0,49900
232.0,232.0,238.0,232.0,232.0,19700
234.0,234.0,240.0,232.0,232.0,60700
232.0,232.0,252.0,232.0,234.0,56600
232.0,232.0,242.0,220.0,234.0,425400
232.0,232.0,232.0,230.0,232.0,306500
238.0,238.0,238.0,232.0,232.0,133100
238.0,238.0,254.0,230.0,254.0,183000
228.0,228.0,238.0,226.0,230.0,305800
230.0,230.0,230.0,228.0,228.0,58300
232.0,232.0,232.0,228.0,230.0,159800
226.0,226.0,234.0,226.0,232.0,40300
226.0,226.0,230.0,226.0,226.0,23600
222.0,222.0,232.0,222.0,230.0,89500
244.0,244.0,250.0,222.0,224.0,160900
234.0,234.0,244.0,234.0,242.0,47500
242.0,242.0,242.0,234.0,234.0,14600
238.0,238.0,242.0,236.0,242.0,14000
230.0,230.0,236.0,224.0,236.0,7200
230.0,230.0,230.0,228.0,230.0,7000
228.0,228.0,234.0,228.0,228.0,12900
242.0,242.0,262.0,228.0,234.0,602900
230.0,230.0,242.0,230.0,234.0,161200
236.0,236.0,236.0,228.0,230.0,2300
294.0,294.0,294.0,236.0,236.0,5379000
260.0,260.0,332.0,260.0,332.0,11697900
250.0,250.0,274.0,240.0,266.0,1798700
260.0,260.0,268.0,246.0,250.0,781400
254.0,254.0,262.0,252.0,260.0,2249600
246.0,246.0,256.0,240.0,254.0,355900
246.0,246.0,248.0,240.0,246.0,2093500
246.0,246.0,246.0,238.0,246.0,40200
196.0,196.0,266.0,196.0,264.0,6312300
196.0,196.0,198.0,178.0,196.0,61400800
190.0,190.0,199.0,188.0,196.0,996700
188.0,188.0,194.0,185.0,194.0,727000
184.0,184.0,187.0,184.0,187.0,211300
171.0,171.0,184.0,170.0,184.0,1349200
157.0,157.0,172.0,157.0,172.0,1201700
147.0,147.0,159.0,146.0,159.0,61086300
140.0,140.0,149.0,137.0,148.0,1439800
145.0,145.0,151.0,131.0,131.0,6604900
148.0,148.0,150.0,136.0,136.0,3277900
140.0,140.0,149.0,137.0,138.0,3763000
132.0,132.0,141.0,131.0,140.0,2040000
124.0,124.0,134.0,124.0,126.0,3574600
128.0,128.0,143.0,124.0,124.0,18889800
128.0,128.0,129.0,124.0,124.0,2282100
126.0,126.0,128.0,118.0,118.0,1897000
126.0,126.0,128.0,116.0,116.0,2117500
128.0,128.0,130.0,116.0,116.0,1968300
126.0,126.0,130.0,125.0,129.0,1233800
126.0,126.0,129.0,118.0,118.0,538000
125.0,125.0,128.0,117.0,117.0,2236100
126.0,126.0,127.0,124.0,124.0,957600
124.0,124.0,143.0,117.0,117.0,29893100
123.0,123.0,127.0,122.0,124.0,4191800
123.0,123.0,126.0,114.0,114.0,1707300
121.0,121.0,124.0,114.0,114.0,1392700
126.0,126.0,127.0,121.0,122.0,1690200
124.0,124.0,127.0,123.0,126.0,582000
126.0,126.0,130.0,114.0,114.0,5812000
124.0,124.0,129.0,117.0,117.0,2678200
123.0,123.0,126.0,116.0,116.0,1250100
124.0,124.0,125.0,114.0,114.0,595500
124.0,124.0,136.0,115.0,115.0,14729400
128.0,128.0,132.0,115.0,115.0,6089200
123.0,123.0,136.0,118.0,118.0,15020700
124.0,124.0,125.0,114.0,114.0,858100
125.0,125.0,126.0,114.0,114.0,707400
124.0,124.0,126.0,123.0,123.0,1191400
124.0,124.0,125.0,115.0,115.0,662600
123.0,123.0,125.0,122.0,122.0,803700
123.0,123.0,124.0,114.0,114.0,2501100
123.0,123.0,124.0,114.0,114.0,1017500
120.0,120.0,123.0,114.0,114.0,3546800
118.0,118.0,121.0,114.0,114.0,3483100
117.0,117.0,118.0,108.0,108.0,639500
112.0,112.0,118.0,107.0,107.0,2699300
112.0,112.0,113.0,103.0,103.0,1043500
110.0,110.0,113.0,108.0,111.0,1686500
109.0,109.0,111.0,108.0,110.0,797400
108.0,108.0,110.0,100.0,100.0,450300
110.0,110.0,112.0,100.0,100.0,532600
110.0,110.0,111.0,100.0,100.0,694100
110.0,110.0,111.0,100.0,100.0,783500
110.0,110.0,110.0,100.0,100.0,456100
110.0,110.0,110.0,100.0,100.0,430200
109.0,109.0,113.0,108.0,113.0,876300
107.0,107.0,110.0,100.0,100.0,838500
105.0,105.0,109.0,100.0,100.0,3946300
99.0,99.0,106.0,99.0,105.0,14875700
100.0,100.0,101.0,90.0,90.0,1370600
101.0,101.0,101.0,91.0,91.0,1127400
100.0,100.0,102.0,92.0,92.0,1126000
100.0,100.0,105.0,90.0,90.0,2855300
93.0,93.0,100.0,90.0,99.0,5324900
92.0,92.0,94.0,84.0,93.0,7498000
92.0,92.0,93.0,83.0,83.0,1189200
90.0,90.0,93.0,89.0,89.0,395100
89.0,89.0,94.0,83.0,83.0,1002400
89.0,89.0,91.0,87.0,89.0,523800
120.0,120.0,120.0,87.0,87.0,57512000
115.0,115.0,146.0,110.0,130.0,89913600
115.0,115.0,119.0,103.0,105.0,12891800
112.0,112.0,133.0,108.0,108.0,23453200
106.0,106.0,117.0,105.0,105.0,2735400
101.0,101.0,116.0,100.0,100.0,15632800
113.0,113.0,124.0,106.0,111.0,62176400
107.0,107.0,115.0,107.0,107.0,5807600
