Adj Close,Close,High,Low,Open,Volume
ESTI.JK,ESTI.JK,ESTI.JK,ESTI.JK,ESTI.JK,ESTI.JK
50.0,50.0,50.0,50.0,50.0,72400
50.0,50.0,50.0,50.0,50.0,264200
50.0,50.0,50.0,50.0,50.0,46400
50.0,50.0,50.0,50.0,50.0,8900
50.0,50.0,50.0,50.0,50.0,6100
50.0,50.0,50.0,50.0,50.0,24900
50.0,50.0,50.0,50.0,50.0,8000
50.0,50.0,50.0,50.0,50.0,3000
50.0,50.0,50.0,50.0,50.0,13100
50.0,50.0,50.0,50.0,50.0,26600
50.0,50.0,50.0,50.0,50.0,50800
51.0,51.0,54.0,50.0,50.0,6115000
50.0,50.0,50.0,50.0,50.0,765800
50.0,50.0,50.0,50.0,50.0,66200
50.0,50.0,52.0,50.0,50.0,2838300
52.0,52.0,53.0,50.0,50.0,3969700
51.0,51.0,51.0,50.0,51.0,1017500
50.0,50.0,51.0,50.0,51.0,986300
50.0,50.0,50.0,50.0,50.0,117100
50.0,50.0,51.0,50.0,50.0,86300
51.0,51.0,52.0,50.0,50.0,1430000
53.0,53.0,53.0,50.0,50.0,1711200
50.0,50.0,52.0,50.0,52.0,399800
51.0,51.0,52.0,50.0,51.0,240100
50.0,50.0,51.0,50.0,50.0,718000
50.0,50.0,50.0,50.0,50.0,28100
52.0,52.0,52.0,50.0,50.0,269800
50.0,50.0,51.0,50.0,51.0,124200
51.0,51.0,51.0,50.0,50.0,105800
50.0,50.0,51.0,50.0,50.0,106400
51.0,51.0,51.0,50.0,50.0,153700
50.0,50.0,51.0,50.0,50.0,81100
51.0,51.0,51.0,50.0,50.0,63100
51.0,51.0,51.0,50.0,50.0,211000
50.0,50.0,50.0,50.0,50.0,18400
50.0,50.0,51.0,50.0,50.0,345100
50.0,50.0,51.0,50.0,51.0,556100
51.0,51.0,51.0,50.0,50.0,70100
50.0,50.0,51.0,50.0,50.0,187200
50.0,50.0,50.0,50.0,50.0,136500
50.0,50.0,50.0,50.0,50.0,1700
50.0,50.0,50.0,50.0,50.0,26000
50.0,50.0,50.0,50.0,50.0,25300
50.0,50.0,50.0,50.0,50.0,1400
50.0,50.0,50.0,50.0,50.0,2200
51.0,51.0,51.0,50.0,50.0,34700
51.0,51.0,51.0,50.0,50.0,77500
50.0,50.0,50.0,50.0,50.0,57800
50.0,50.0,50.0,50.0,50.0,200
50.0,50.0,50.0,50.0,50.0,1100
50.0,50.0,50.0,50.0,50.0,800
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,1000
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,1000
50.0,50.0,50.0,50.0,50.0,2000
50.0,50.0,50.0,50.0,50.0,500
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,4400
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,2600
50.0,50.0,50.0,50.0,50.0,2000
50.0,50.0,50.0,50.0,50.0,1000
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,5000
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,200
50.0,50.0,50.0,50.0,50.0,6800
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,1100
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,50.0,50.0,50.0,9000
50.0,50.0,50.0,50.0,50.0,3700
50.0,50.0,50.0,50.0,50.0,2500
50.0,50.0,50.0,50.0,50.0,20100
50.0,50.0,50.0,50.0,50.0,4200
50.0,50.0,50.0,50.0,50.0,10100
50.0,50.0,50.0,50.0,50.0,600
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,21700
50.0,50.0,50.0,50.0,50.0,1000
50.0,50.0,50.0,50.0,50.0,500
50.0,50.0,50.0,50.0,50.0,500
50.0,50.0,50.0,50.0,50.0,1500
45.0,45.0,45.0,45.0,45.0,155500
41.0,41.0,41.0,41.0,41.0,78300
37.0,37.0,37.0,37.0,37.0,992200
34.0,34.0,34.0,34.0,34.0,200400
31.0,31.0,31.0,31.0,31.0,56700
28.0,28.0,28.0,28.0,28.0,1506300
26.0,26.0,26.0,26.0,26.0,695800
28.0,28.0,28.0,26.0,26.0,748300
28.0,28.0,28.0,28.0,28.0,1060800
27.0,27.0,28.0,27.0,28.0,637000
26.0,26.0,26.0,25.0,26.0,360300
26.0,26.0,26.0,26.0,26.0,53400
26.0,26.0,26.0,26.0,26.0,12500
25.0,25.0,26.0,25.0,26.0,5500
25.0,25.0,26.0,25.0,25.0,72600
25.0,25.0,25.0,25.0,25.0,165100
25.0,25.0,25.0,25.0,25.0,105200
25.0,25.0,25.0,25.0,25.0,156300
25.0,25.0,25.0,25.0,25.0,119800
25.0,25.0,25.0,25.0,25.0,76300
25.0,25.0,25.0,25.0,25.0,85000
25.0,25.0,25.0,25.0,25.0,9200
25.0,25.0,25.0,25.0,25.0,4900
25.0,25.0,25.0,25.0,25.0,53600
25.0,25.0,25.0,25.0,25.0,85700
26.0,26.0,27.0,26.0,27.0,4200
25.0,25.0,26.0,25.0,26.0,126100
25.0,25.0,25.0,25.0,25.0,49600
25.0,25.0,25.0,25.0,25.0,99600
25.0,25.0,25.0,25.0,25.0,11800
25.0,25.0,25.0,25.0,25.0,40000
25.0,25.0,26.0,25.0,26.0,8400
25.0,25.0,25.0,25.0,25.0,19200
26.0,26.0,26.0,26.0,26.0,29000
27.0,27.0,27.0,27.0,27.0,299800
27.0,27.0,27.0,27.0,27.0,767300
26.0,26.0,27.0,26.0,27.0,5700
26.0,26.0,26.0,26.0,26.0,100
25.0,25.0,26.0,25.0,26.0,15500
25.0,25.0,25.0,25.0,25.0,22000
25.0,25.0,25.0,25.0,25.0,0
25.0,25.0,25.0,25.0,25.0,100
25.0,25.0,25.0,25.0,25.0,800
25.0,25.0,25.0,25.0,25.0,100
26.0,26.0,26.0,25.0,25.0,13200
26.0,26.0,26.0,26.0,26.0,39000
26.0,26.0,26.0,26.0,26.0,385600
27.0,27.0,27.0,26.0,26.0,99900
28.0,28.0,28.0,28.0,28.0,697700
30.0,30.0,30.0,28.0,28.0,161900
32.0,32.0,33.0,32.0,32.0,33200
33.0,33.0,33.0,30.0,30.0,48500
34.0,34.0,36.0,34.0,36.0,60300
34.0,34.0,34.0,34.0,34.0,24100
34.0,34.0,34.0,33.0,33.0,124200
33.0,33.0,34.0,33.0,34.0,46400
32.0,32.0,32.0,32.0,32.0,15300
31.0,31.0,31.0,31.0,31.0,30000
31.0,31.0,31.0,31.0,31.0,5000
31.0,31.0,31.0,31.0,31.0,11100
31.0,31.0,32.0,31.0,31.0,11600
30.0,30.0,32.0,30.0,31.0,44800
30.0,30.0,30.0,30.0,30.0,8500
30.0,30.0,30.0,30.0,30.0,41600
30.0,30.0,30.0,30.0,30.0,23700
30.0,30.0,31.0,30.0,31.0,6700
30.0,30.0,30.0,30.0,30.0,23400
31.0,31.0,31.0,31.0,31.0,177000
31.0,31.0,32.0,31.0,32.0,9200
30.0,30.0,31.0,30.0,31.0,4800
30.0,30.0,30.0,30.0,30.0,30800
30.0,30.0,30.0,30.0,30.0,1000
30.0,30.0,30.0,30.0,30.0,14500
30.0,30.0,30.0,30.0,30.0,58100
