Adj Close,Close,High,Low,Open,Volume
GOTO.JK,GOTO.JK,GOTO.JK,GOTO.JK,GOTO.JK,GOTO.JK
81.0,81.0,82.0,76.0,78.0,5498986700
86.0,86.0,87.0,83.0,84.0,6644867700
86.0,86.0,87.0,84.0,86.0,2298431700
84.0,84.0,88.0,84.0,86.0,2981278100
89.0,89.0,89.0,85.0,85.0,4394326900
88.0,88.0,92.0,87.0,90.0,5198685700
84.0,84.0,89.0,82.0,88.0,6607513200
94.0,94.0,94.0,87.0,88.0,9123547000
94.0,94.0,96.0,93.0,94.0,4614062100
95.0,95.0,96.0,94.0,95.0,1908160100
91.0,91.0,95.0,91.0,95.0,3143885400
94.0,94.0,94.0,91.0,92.0,3080840600
97.0,97.0,99.0,93.0,95.0,7385280200
109.0,109.0,109.0,98.0,100.0,13428030100
100.0,100.0,116.0,100.0,110.0,16585726300
101.0,101.0,105.0,91.0,101.0,17958163300
92.0,92.0,103.0,91.0,103.0,12740767300
95.0,95.0,97.0,87.0,92.0,10304424500
108.0,108.0,110.0,94.0,97.0,13024490900
86.0,86.0,110.0,82.0,109.0,34077962600
94.0,94.0,95.0,81.0,86.0,11639048100
89.0,89.0,94.0,88.0,93.0,6156560000
94.0,94.0,97.0,91.0,95.0,8677211700
93.0,93.0,94.0,91.0,93.0,3854647300
86.0,86.0,92.0,83.0,92.0,10422864500
87.0,87.0,92.0,84.0,86.0,4229529900
88.0,88.0,90.0,86.0,88.0,1556573400
88.0,88.0,89.0,86.0,88.0,1534795200
86.0,86.0,90.0,86.0,90.0,1601574600
85.0,85.0,88.0,85.0,86.0,1346276400
85.0,85.0,87.0,84.0,85.0,1587004900
86.0,86.0,87.0,85.0,86.0,1346337600
87.0,87.0,87.0,84.0,86.0,1033123000
88.0,88.0,89.0,86.0,87.0,1522845800
87.0,87.0,88.0,86.0,88.0,1260270300
86.0,86.0,88.0,86.0,87.0,902294200
86.0,86.0,87.0,85.0,86.0,1071109200
88.0,88.0,90.0,86.0,86.0,2274055400
87.0,87.0,88.0,86.0,87.0,1044012100
91.0,91.0,92.0,87.0,87.0,4061289200
91.0,91.0,92.0,88.0,91.0,2888649600
91.0,91.0,91.0,91.0,91.0,0
90.0,90.0,92.0,90.0,92.0,1673821700
87.0,87.0,90.0,83.0,90.0,8685343600
87.0,87.0,88.0,86.0,87.0,2358522500
86.0,86.0,89.0,86.0,88.0,1688760800
87.0,87.0,87.0,85.0,87.0,1280204300
85.0,85.0,87.0,85.0,87.0,1205633700
84.0,84.0,86.0,83.0,85.0,1836423500
84.0,84.0,86.0,83.0,84.0,2211926800
82.0,82.0,85.0,81.0,84.0,2392268900
78.0,78.0,83.0,76.0,82.0,6171480200
87.0,87.0,88.0,78.0,78.0,6031069200
88.0,88.0,90.0,84.0,87.0,4262985100
90.0,90.0,92.0,89.0,91.0,5426951900
90.0,90.0,91.0,87.0,90.0,1905803800
84.0,84.0,91.0,84.0,90.0,3604246900
84.0,84.0,85.0,82.0,84.0,3995533800
84.0,84.0,85.0,82.0,84.0,1405159400
86.0,86.0,90.0,85.0,86.0,5204585300
86.0,86.0,87.0,84.0,86.0,1682117100
85.0,85.0,89.0,84.0,88.0,3065918100
83.0,83.0,85.0,82.0,85.0,2159032500
84.0,84.0,85.0,82.0,84.0,3548941500
83.0,83.0,84.0,82.0,84.0,1983019100
80.0,80.0,83.0,79.0,82.0,3151288700
79.0,79.0,81.0,79.0,80.0,1520811700
79.0,79.0,80.0,77.0,79.0,2076412600
78.0,78.0,79.0,78.0,79.0,1035227600
80.0,80.0,81.0,76.0,78.0,4767376600
75.0,75.0,79.0,74.0,79.0,7850270400
71.0,71.0,75.0,69.0,75.0,7046461300
69.0,69.0,71.0,67.0,71.0,2513433500
64.0,64.0,70.0,63.0,69.0,5851813700
63.0,63.0,67.0,63.0,64.0,2393361600
74.0,74.0,74.0,63.0,63.0,7056190100
70.0,70.0,75.0,67.0,74.0,6569707300
70.0,70.0,71.0,69.0,70.0,1759717600
67.0,67.0,71.0,67.0,70.0,1995358600
70.0,70.0,71.0,67.0,67.0,2693907300
71.0,71.0,71.0,68.0,70.0,11303727700
73.0,73.0,76.0,69.0,71.0,4905864000
72.0,72.0,75.0,70.0,74.0,3124615500
65.0,65.0,70.0,64.0,69.0,5974342400
67.0,67.0,69.0,65.0,67.0,2407379900
68.0,68.0,68.0,65.0,67.0,1404851500
68.0,68.0,68.0,68.0,68.0,0
68.0,68.0,68.0,68.0,68.0,0
66.0,66.0,69.0,66.0,69.0,1824211100
69.0,69.0,69.0,66.0,66.0,1875306700
68.0,68.0,69.0,66.0,68.0,1275456800
70.0,70.0,70.0,68.0,68.0,2224757900
68.0,68.0,70.0,68.0,69.0,1190322400
69.0,69.0,69.0,67.0,68.0,1093429800
68.0,68.0,69.0,67.0,69.0,1149877400
65.0,65.0,68.0,64.0,67.0,3869433700
62.0,62.0,66.0,62.0,66.0,2984317500
62.0,62.0,64.0,61.0,63.0,1902357100
59.0,59.0,62.0,59.0,61.0,3167130600
59.0,59.0,63.0,59.0,59.0,1962140100
61.0,61.0,63.0,59.0,59.0,3051562600
64.0,64.0,65.0,61.0,62.0,2611959200
62.0,62.0,64.0,61.0,63.0,1395079800
61.0,61.0,64.0,61.0,61.0,1793162200
63.0,63.0,65.0,61.0,61.0,2183315600
63.0,63.0,64.0,62.0,64.0,2530850000
63.0,63.0,64.0,62.0,63.0,1609394400
66.0,66.0,66.0,63.0,63.0,4524284200
69.0,69.0,70.0,66.0,67.0,4215661500
65.0,65.0,70.0,65.0,69.0,2250633100
67.0,67.0,67.0,64.0,65.0,1821308400
67.0,67.0,68.0,65.0,67.0,2011559400
65.0,65.0,67.0,65.0,67.0,1286399300
66.0,66.0,67.0,64.0,66.0,1437856700
66.0,66.0,68.0,64.0,67.0,2169049600
66.0,66.0,69.0,64.0,65.0,4139900700
65.0,65.0,67.0,65.0,67.0,2106424900
64.0,64.0,66.0,64.0,66.0,1189219500
66.0,66.0,67.0,64.0,64.0,2527051500
70.0,70.0,72.0,66.0,67.0,6008134500
74.0,74.0,74.0,69.0,70.0,4578295900
71.0,71.0,73.0,70.0,73.0,2986520500
67.0,67.0,71.0,67.0,70.0,4459371700
65.0,65.0,70.0,65.0,68.0,8579592100
64.0,64.0,67.0,63.0,65.0,2819780100
61.0,61.0,65.0,61.0,65.0,3897345000
59.0,59.0,61.0,59.0,60.0,2941421600
60.0,60.0,62.0,59.0,60.0,3653448500
58.0,58.0,61.0,58.0,60.0,2112800200
56.0,56.0,59.0,50.0,58.0,12293676100
53.0,53.0,56.0,53.0,55.0,5391123100
52.0,52.0,55.0,52.0,54.0,4916057200
52.0,52.0,54.0,51.0,53.0,6275740200
52.0,52.0,53.0,51.0,52.0,3781341000
50.0,50.0,52.0,50.0,51.0,9357880800
50.0,50.0,51.0,50.0,50.0,3692944100
50.0,50.0,51.0,50.0,50.0,8090430900
51.0,51.0,51.0,50.0,50.0,1898379900
50.0,50.0,51.0,50.0,50.0,2216509800
50.0,50.0,51.0,50.0,50.0,1958237500
50.0,50.0,50.0,50.0,50.0,866920300
50.0,50.0,50.0,50.0,50.0,1042748000
50.0,50.0,50.0,50.0,50.0,452005800
50.0,50.0,50.0,50.0,50.0,294810200
50.0,50.0,50.0,50.0,50.0,534537400
50.0,50.0,50.0,50.0,50.0,491141700
50.0,50.0,50.0,50.0,50.0,303612500
50.0,50.0,50.0,50.0,50.0,520213800
50.0,50.0,50.0,50.0,50.0,336028000
50.0,50.0,51.0,50.0,50.0,7937139200
50.0,50.0,51.0,50.0,50.0,1466174900
50.0,50.0,50.0,50.0,50.0,146512300
50.0,50.0,50.0,50.0,50.0,374983200
50.0,50.0,50.0,50.0,50.0,119356200
51.0,51.0,52.0,50.0,50.0,9198716900
51.0,51.0,52.0,50.0,51.0,2400367200
50.0,50.0,51.0,50.0,51.0,1897339100
51.0,51.0,52.0,50.0,50.0,1834439400
55.0,55.0,58.0,51.0,51.0,12618321500
54.0,54.0,55.0,53.0,55.0,2660984600
54.0,54.0,55.0,53.0,54.0,911091700
53.0,53.0,54.0,53.0,54.0,913457100
54.0,54.0,55.0,53.0,54.0,1621366300
55.0,55.0,55.0,53.0,54.0,1223172300
53.0,53.0,54.0,52.0,54.0,2829429300
53.0,53.0,54.0,52.0,53.0,1425057600
53.0,53.0,53.0,51.0,52.0,2195681200
51.0,51.0,52.0,50.0,52.0,5466579700
50.0,50.0,51.0,50.0,51.0,1271351800
50.0,50.0,51.0,50.0,51.0,1579478100
50.0,50.0,51.0,50.0,51.0,1628260800
51.0,51.0,51.0,50.0,51.0,1813186600
51.0,51.0,53.0,50.0,51.0,4394672600
52.0,52.0,53.0,51.0,51.0,1774401600
53.0,53.0,55.0,52.0,53.0,3005755000
54.0,54.0,54.0,52.0,53.0,1473984200
54.0,54.0,54.0,53.0,54.0,750364500
54.0,54.0,54.0,53.0,54.0,1171542100
53.0,53.0,55.0,53.0,54.0,2776781200
53.0,53.0,55.0,52.0,53.0,3026388200
52.0,52.0,53.0,51.0,53.0,1177448900
53.0,53.0,53.0,51.0,51.0,994970600
52.0,52.0,53.0,51.0,52.0,1106182300
52.0,52.0,52.0,51.0,52.0,1212024600
51.0,51.0,52.0,51.0,52.0,1305362100
51.0,51.0,52.0,51.0,51.0,1221450500
52.0,52.0,53.0,50.0,51.0,4089429400
53.0,53.0,53.0,52.0,52.0,962397500
52.0,52.0,54.0,52.0,52.0,1070903100
52.0,52.0,53.0,51.0,52.0,978460800
52.0,52.0,53.0,51.0,52.0,574750300
53.0,53.0,53.0,51.0,52.0,884911500
53.0,53.0,53.0,52.0,52.0,1442505400
56.0,56.0,57.0,52.0,52.0,7341565100
56.0,56.0,56.0,54.0,56.0,2387567400
60.0,60.0,61.0,55.0,56.0,11073380400
61.0,61.0,63.0,60.0,60.0,4312534900
65.0,65.0,67.0,62.0,62.0,7405920400
61.0,61.0,68.0,60.0,66.0,8963789100
63.0,63.0,63.0,58.0,61.0,8638630900
63.0,63.0,65.0,59.0,64.0,11110626400
65.0,65.0,67.0,62.0,63.0,5423426400
63.0,63.0,66.0,63.0,65.0,3544257900
66.0,66.0,68.0,62.0,63.0,10780374700
70.0,70.0,70.0,66.0,67.0,6195847400
70.0,70.0,72.0,66.0,69.0,6318881200
66.0,66.0,70.0,66.0,70.0,6003849900
67.0,67.0,68.0,66.0,67.0,2147891100
65.0,65.0,68.0,63.0,67.0,5047793900
64.0,64.0,66.0,62.0,65.0,3526729900
60.0,60.0,62.0,58.0,62.0,8902101600
60.0,60.0,62.0,59.0,60.0,4869564800
60.0,60.0,61.0,59.0,60.0,2124278900
60.0,60.0,61.0,59.0,60.0,1532427800
60.0,60.0,61.0,59.0,60.0,1505316200
60.0,60.0,61.0,59.0,59.0,1368235600
65.0,65.0,66.0,60.0,60.0,4964790700
66.0,66.0,66.0,64.0,65.0,3540081600
68.0,68.0,68.0,64.0,65.0,4213989600
68.0,68.0,68.0,66.0,67.0,2305911400
68.0,68.0,68.0,66.0,67.0,1664544100
68.0,68.0,69.0,66.0,67.0,3803288400
72.0,72.0,72.0,68.0,68.0,8838490300
74.0,74.0,74.0,71.0,72.0,4433473900
72.0,72.0,74.0,72.0,74.0,2954179200
70.0,70.0,73.0,70.0,72.0,3097612300
68.0,68.0,70.0,67.0,70.0,3395966100
70.0,70.0,70.0,68.0,69.0,2778898900
71.0,71.0,71.0,69.0,70.0,1913545300
68.0,68.0,71.0,67.0,71.0,4357477500
68.0,68.0,70.0,67.0,68.0,2045930500
