Adj Close,Close,High,Low,Open,Volume
GPSO.JK,GPSO.JK,GPSO.JK,GPSO.JK,GPSO.JK,GPSO.JK
124.0,124.0,124.0,121.0,121.0,301400
128.0,128.0,133.0,123.0,124.0,23625000
128.0,128.0,133.0,126.0,130.0,2265400
137.0,137.0,157.0,123.0,128.0,29126300
133.0,133.0,138.0,126.0,136.0,23072400
148.0,148.0,155.0,130.0,135.0,25972700
149.0,149.0,155.0,140.0,149.0,23121100
148.0,148.0,152.0,146.0,151.0,2601400
149.0,149.0,153.0,148.0,149.0,2157300
151.0,151.0,152.0,148.0,149.0,14753600
194.0,194.0,200.0,148.0,152.0,94505200
175.0,175.0,196.0,173.0,195.0,14833500
172.0,172.0,181.0,166.0,175.0,3701500
172.0,172.0,187.0,171.0,173.0,28317800
177.0,177.0,190.0,172.0,174.0,7063800
172.0,172.0,182.0,166.0,178.0,12255600
152.0,152.0,172.0,141.0,172.0,1952100
133.0,133.0,152.0,129.0,152.0,2581800
141.0,141.0,146.0,131.0,134.0,17081400
139.0,139.0,145.0,137.0,143.0,516900
151.0,151.0,152.0,134.0,143.0,16752000
166.0,166.0,172.0,147.0,151.0,9747700
150.0,150.0,170.0,146.0,167.0,16668200
153.0,153.0,160.0,145.0,150.0,2213200
146.0,146.0,159.0,146.0,153.0,14009000
143.0,143.0,151.0,140.0,146.0,706200
142.0,142.0,150.0,140.0,144.0,14275500
140.0,140.0,143.0,137.0,143.0,431500
141.0,141.0,143.0,137.0,140.0,190500
141.0,141.0,147.0,136.0,140.0,41053300
141.0,141.0,144.0,138.0,144.0,448200
123.0,123.0,145.0,123.0,145.0,15211500
132.0,132.0,138.0,124.0,125.0,1263700
132.0,132.0,133.0,127.0,132.0,15428800
136.0,136.0,144.0,131.0,133.0,16955600
132.0,132.0,139.0,132.0,137.0,441200
128.0,128.0,132.0,126.0,132.0,889900
132.0,132.0,139.0,129.0,129.0,18009100
129.0,129.0,135.0,125.0,133.0,739600
126.0,126.0,134.0,126.0,129.0,16164300
125.0,125.0,129.0,124.0,127.0,545700
125.0,125.0,125.0,125.0,125.0,0
126.0,126.0,128.0,125.0,128.0,413100
127.0,127.0,131.0,126.0,127.0,17615300
128.0,128.0,128.0,125.0,127.0,286700
126.0,126.0,129.0,125.0,129.0,15978400
127.0,127.0,128.0,126.0,128.0,132700
129.0,129.0,130.0,126.0,127.0,16159900
126.0,126.0,132.0,126.0,129.0,360400
127.0,127.0,131.0,126.0,126.0,16775600
125.0,125.0,127.0,125.0,126.0,338300
126.0,126.0,129.0,125.0,126.0,15645500
126.0,126.0,128.0,123.0,126.0,320800
125.0,125.0,129.0,123.0,125.0,15884000
125.0,125.0,127.0,123.0,126.0,153500
127.0,127.0,128.0,123.0,126.0,16888200
126.0,126.0,128.0,125.0,127.0,285300
121.0,121.0,128.0,115.0,126.0,20017600
122.0,122.0,123.0,118.0,121.0,201200
121.0,121.0,124.0,117.0,118.0,16480300
119.0,119.0,120.0,116.0,120.0,581100
124.0,124.0,125.0,115.0,119.0,17237400
124.0,124.0,124.0,124.0,124.0,0
126.0,126.0,129.0,123.0,125.0,16810300
124.0,124.0,141.0,121.0,124.0,15797200
129.0,129.0,135.0,124.0,125.0,18623900
126.0,126.0,131.0,124.0,129.0,498900
126.0,126.0,129.0,124.0,126.0,16778400
128.0,128.0,129.0,126.0,126.0,574400
126.0,126.0,131.0,126.0,128.0,16814300
126.0,126.0,128.0,124.0,128.0,79900
126.0,126.0,128.0,124.0,126.0,17239100
130.0,130.0,137.0,125.0,125.0,404300
129.0,129.0,130.0,126.0,130.0,192300
128.0,128.0,131.0,126.0,129.0,16838800
126.0,126.0,128.0,125.0,128.0,106400
130.0,130.0,130.0,125.0,127.0,17254900
128.0,128.0,130.0,127.0,130.0,12100
125.0,125.0,129.0,123.0,127.0,268300
134.0,134.0,137.0,123.0,125.0,21345700
145.0,145.0,145.0,132.0,135.0,7423000
190.0,190.0,191.0,145.0,146.0,79758800
177.0,177.0,194.0,165.0,193.0,21635500
174.0,174.0,214.0,169.0,178.0,58033800
173.0,173.0,177.0,170.0,176.0,14944000
164.0,164.0,174.0,164.0,174.0,2184100
164.0,164.0,164.0,164.0,164.0,0
164.0,164.0,164.0,164.0,164.0,0
184.0,184.0,198.0,180.0,186.0,13315800
194.0,194.0,195.0,185.0,185.0,1813600
224.0,224.0,224.0,194.0,195.0,24361500
216.0,216.0,236.0,210.0,222.0,17012700
210.0,210.0,224.0,208.0,216.0,10637000
208.0,208.0,224.0,208.0,214.0,6287500
220.0,220.0,220.0,202.0,210.0,10479600
218.0,218.0,220.0,212.0,220.0,864900
244.0,244.0,246.0,216.0,220.0,41907100
234.0,234.0,244.0,222.0,244.0,4881600
228.0,228.0,262.0,222.0,238.0,56752600
238.0,238.0,240.0,218.0,228.0,8451000
224.0,224.0,246.0,222.0,240.0,16868200
212.0,212.0,230.0,212.0,230.0,1707600
216.0,216.0,222.0,206.0,212.0,10910500
238.0,238.0,242.0,214.0,216.0,23823700
218.0,218.0,238.0,218.0,238.0,5476200
224.0,224.0,240.0,218.0,218.0,11754400
226.0,226.0,228.0,218.0,224.0,1616900
224.0,224.0,234.0,222.0,226.0,11819700
238.0,238.0,242.0,220.0,220.0,11090500
224.0,224.0,238.0,220.0,238.0,11144300
226.0,226.0,234.0,220.0,224.0,12596800
232.0,232.0,240.0,220.0,226.0,18799500
224.0,224.0,232.0,222.0,232.0,2325300
230.0,230.0,240.0,222.0,224.0,16515300
226.0,226.0,230.0,224.0,230.0,2275200
230.0,230.0,236.0,224.0,226.0,11473000
236.0,236.0,242.0,228.0,230.0,18219500
224.0,224.0,238.0,224.0,236.0,2762700
240.0,240.0,242.0,222.0,224.0,18023600
242.0,242.0,248.0,236.0,242.0,17051400
240.0,240.0,242.0,226.0,242.0,12063200
232.0,232.0,244.0,232.0,240.0,5132400
232.0,232.0,244.0,232.0,232.0,12931300
228.0,228.0,240.0,228.0,232.0,9333800
240.0,240.0,240.0,220.0,228.0,11293200
238.0,238.0,240.0,232.0,240.0,16226700
254.0,254.0,254.0,230.0,238.0,24321600
246.0,246.0,254.0,240.0,254.0,6113700
248.0,248.0,252.0,242.0,246.0,7929100
256.0,256.0,256.0,242.0,248.0,3659800
246.0,246.0,256.0,228.0,254.0,14966000
246.0,246.0,248.0,240.0,246.0,2722100
244.0,244.0,248.0,238.0,246.0,1956400
236.0,236.0,244.0,232.0,242.0,1620100
177.0,177.0,234.0,177.0,234.0,4508500
145.0,145.0,176.0,141.0,170.0,5387300
136.0,136.0,146.0,132.0,146.0,2112000
136.0,136.0,148.0,131.0,136.0,2765300
135.0,135.0,138.0,132.0,136.0,1536000
131.0,131.0,139.0,131.0,135.0,1330300
129.0,129.0,132.0,123.0,131.0,1225000
128.0,128.0,133.0,125.0,133.0,583100
136.0,136.0,153.0,130.0,130.0,26394600
134.0,134.0,142.0,131.0,137.0,4617100
136.0,136.0,137.0,134.0,134.0,2397100
136.0,136.0,137.0,131.0,137.0,2190200
134.0,134.0,138.0,134.0,136.0,2479500
134.0,134.0,136.0,131.0,134.0,943500
135.0,135.0,136.0,133.0,134.0,787200
133.0,133.0,135.0,133.0,134.0,867300
132.0,132.0,135.0,132.0,133.0,477400
136.0,136.0,139.0,132.0,132.0,1453400
136.0,136.0,138.0,134.0,136.0,823600
137.0,137.0,139.0,134.0,136.0,2179100
140.0,140.0,145.0,137.0,137.0,6954700
134.0,134.0,141.0,132.0,140.0,3632300
128.0,128.0,135.0,128.0,134.0,2210500
127.0,127.0,129.0,125.0,128.0,882300
116.0,116.0,127.0,112.0,127.0,3411500
112.0,112.0,121.0,112.0,121.0,947100
109.0,109.0,114.0,105.0,113.0,1308900
108.0,108.0,115.0,106.0,110.0,612900
108.0,108.0,112.0,107.0,108.0,552800
110.0,110.0,112.0,108.0,108.0,543900
111.0,111.0,114.0,109.0,112.0,451400
111.0,111.0,116.0,109.0,112.0,937000
110.0,110.0,114.0,110.0,114.0,612500
108.0,108.0,112.0,106.0,110.0,459700
108.0,108.0,110.0,100.0,100.0,446500
109.0,109.0,113.0,108.0,111.0,687800
109.0,109.0,113.0,107.0,109.0,369400
108.0,108.0,111.0,107.0,111.0,316000
107.0,107.0,110.0,106.0,110.0,418700
108.0,108.0,109.0,107.0,107.0,282500
109.0,109.0,110.0,107.0,109.0,649100
108.0,108.0,110.0,105.0,109.0,371400
108.0,108.0,109.0,107.0,109.0,250800
109.0,109.0,110.0,107.0,110.0,287000
109.0,109.0,111.0,107.0,108.0,796800
108.0,108.0,110.0,105.0,109.0,657700
108.0,108.0,110.0,108.0,109.0,280500
107.0,107.0,109.0,107.0,109.0,372300
108.0,108.0,109.0,105.0,108.0,660600
108.0,108.0,114.0,107.0,108.0,902100
107.0,107.0,110.0,107.0,109.0,612900
108.0,108.0,109.0,106.0,107.0,496100
105.0,105.0,109.0,101.0,109.0,1517400
105.0,105.0,107.0,104.0,105.0,626600
105.0,105.0,105.0,104.0,105.0,320300
103.0,103.0,105.0,103.0,104.0,304100
103.0,103.0,105.0,103.0,103.0,285100
104.0,104.0,105.0,101.0,103.0,524500
117.0,117.0,133.0,104.0,104.0,42916300
111.0,111.0,118.0,109.0,118.0,6923000
108.0,108.0,113.0,107.0,111.0,2547900
110.0,110.0,115.0,108.0,109.0,2860700
