Adj Close,Close,High,Low,Open,Volume
GSMF.JK,GSMF.JK,GSMF.JK,GSMF.JK,GSMF.JK,GSMF.JK
62.0,62.0,63.0,62.0,62.0,111500
64.0,64.0,65.0,59.0,59.0,249100
63.0,63.0,64.0,62.0,62.0,33200
65.0,65.0,65.0,62.0,62.0,90400
63.0,63.0,65.0,62.0,62.0,8600
64.0,64.0,64.0,61.0,61.0,24800
63.0,63.0,63.0,61.0,61.0,99000
63.0,63.0,65.0,60.0,60.0,134800
63.0,63.0,65.0,60.0,60.0,97300
63.0,63.0,63.0,62.0,62.0,20600
63.0,63.0,64.0,62.0,63.0,24500
64.0,64.0,64.0,62.0,62.0,20200
63.0,63.0,63.0,61.0,62.0,192200
61.0,61.0,62.0,61.0,62.0,104200
62.0,62.0,63.0,61.0,62.0,102000
63.0,63.0,63.0,62.0,62.0,33300
62.0,62.0,63.0,61.0,62.0,35900
62.0,62.0,62.0,61.0,62.0,32500
62.0,62.0,62.0,59.0,62.0,602100
60.0,60.0,61.0,59.0,60.0,206700
59.0,59.0,63.0,56.0,61.0,779900
60.0,60.0,60.0,58.0,59.0,30200
60.0,60.0,60.0,58.0,60.0,3400
60.0,60.0,60.0,58.0,58.0,2200
60.0,60.0,60.0,58.0,58.0,400
60.0,60.0,60.0,58.0,60.0,27300
59.0,59.0,60.0,59.0,60.0,32200
59.0,59.0,59.0,59.0,59.0,600
62.0,62.0,75.0,59.0,60.0,3332700
61.0,61.0,63.0,58.0,58.0,396500
60.0,60.0,61.0,57.0,57.0,61400
61.0,61.0,61.0,57.0,57.0,178200
61.0,61.0,61.0,59.0,59.0,35100
61.0,61.0,61.0,57.0,57.0,116900
62.0,62.0,67.0,58.0,58.0,441200
61.0,61.0,64.0,60.0,60.0,86800
62.0,62.0,64.0,58.0,58.0,130600
62.0,62.0,63.0,61.0,62.0,30300
63.0,63.0,63.0,60.0,62.0,317300
61.0,61.0,62.0,61.0,62.0,182600
62.0,62.0,62.0,61.0,62.0,21300
62.0,62.0,63.0,60.0,61.0,12700
63.0,63.0,66.0,60.0,61.0,645900
63.0,63.0,66.0,63.0,63.0,227400
64.0,64.0,66.0,62.0,62.0,280900
63.0,63.0,63.0,62.0,62.0,2200
62.0,62.0,63.0,61.0,63.0,20000
62.0,62.0,62.0,61.0,61.0,100400
61.0,61.0,64.0,61.0,63.0,5200
61.0,61.0,64.0,60.0,64.0,355900
61.0,61.0,61.0,60.0,60.0,3500
61.0,61.0,62.0,59.0,60.0,57200
64.0,64.0,65.0,60.0,60.0,121700
64.0,64.0,64.0,62.0,64.0,1100
64.0,64.0,64.0,62.0,64.0,2400
63.0,63.0,63.0,63.0,63.0,200
61.0,61.0,63.0,61.0,63.0,39500
61.0,61.0,61.0,61.0,61.0,4200
60.0,60.0,61.0,59.0,61.0,38600
58.0,58.0,61.0,58.0,61.0,154400
63.0,63.0,64.0,58.0,58.0,731600
63.0,63.0,63.0,61.0,62.0,7100
65.0,65.0,65.0,60.0,61.0,96900
63.0,63.0,63.0,62.0,63.0,3700
63.0,63.0,63.0,62.0,63.0,11700
63.0,63.0,63.0,62.0,63.0,1200
63.0,63.0,63.0,62.0,62.0,3200
63.0,63.0,63.0,62.0,62.0,400
62.0,62.0,63.0,60.0,63.0,51200
61.0,61.0,62.0,60.0,62.0,14700
62.0,62.0,62.0,60.0,61.0,7200
62.0,62.0,62.0,62.0,62.0,200
60.0,60.0,62.0,60.0,62.0,52500
59.0,59.0,62.0,58.0,60.0,213200
59.0,59.0,60.0,58.0,60.0,234200
58.0,58.0,59.0,57.0,57.0,378700
57.0,57.0,58.0,56.0,58.0,214000
57.0,57.0,57.0,50.0,50.0,129300
56.0,56.0,56.0,55.0,56.0,88600
55.0,55.0,56.0,55.0,56.0,79800
57.0,57.0,57.0,54.0,56.0,61100
57.0,57.0,57.0,55.0,57.0,14400
60.0,60.0,65.0,57.0,57.0,599500
59.0,59.0,63.0,57.0,63.0,103500
60.0,60.0,61.0,58.0,58.0,25500
59.0,59.0,59.0,58.0,58.0,70000
59.0,59.0,60.0,58.0,60.0,18600
55.0,55.0,60.0,55.0,60.0,494600
50.0,50.0,55.0,50.0,55.0,3296900
50.0,50.0,50.0,50.0,50.0,59600
50.0,50.0,51.0,50.0,50.0,1115100
50.0,50.0,51.0,50.0,50.0,405800
51.0,51.0,51.0,50.0,51.0,22100
50.0,50.0,51.0,50.0,51.0,104700
51.0,51.0,51.0,50.0,50.0,25100
50.0,50.0,50.0,50.0,50.0,84900
50.0,50.0,51.0,50.0,50.0,159100
50.0,50.0,51.0,50.0,50.0,33600
51.0,51.0,51.0,50.0,51.0,62600
51.0,51.0,51.0,50.0,50.0,38400
51.0,51.0,51.0,50.0,50.0,34100
51.0,51.0,51.0,50.0,50.0,44200
51.0,51.0,51.0,50.0,51.0,6400
50.0,50.0,50.0,50.0,50.0,54800
51.0,51.0,55.0,50.0,51.0,160100
50.0,50.0,50.0,50.0,50.0,29300
51.0,51.0,51.0,51.0,51.0,100
50.0,50.0,50.0,50.0,50.0,1100
51.0,51.0,51.0,50.0,50.0,14200
51.0,51.0,51.0,50.0,51.0,15300
51.0,51.0,51.0,50.0,50.0,1400
50.0,50.0,54.0,50.0,51.0,167000
50.0,50.0,52.0,50.0,52.0,31200
50.0,50.0,50.0,50.0,50.0,100
50.0,50.0,51.0,50.0,50.0,400
50.0,50.0,51.0,50.0,51.0,800
51.0,51.0,51.0,50.0,50.0,800
50.0,50.0,50.0,50.0,50.0,800
51.0,51.0,51.0,50.0,50.0,16400
50.0,50.0,50.0,50.0,50.0,6300
50.0,50.0,51.0,50.0,51.0,29400
51.0,51.0,51.0,50.0,50.0,140000
51.0,51.0,51.0,50.0,51.0,85800
50.0,50.0,50.0,50.0,50.0,26600
50.0,50.0,50.0,50.0,50.0,22900
50.0,50.0,50.0,50.0,50.0,7100
50.0,50.0,50.0,50.0,50.0,5100
50.0,50.0,50.0,50.0,50.0,500
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,400
50.0,50.0,50.0,50.0,50.0,20100
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,6000
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,34000
50.0,50.0,50.0,50.0,50.0,5000
50.0,50.0,50.0,50.0,50.0,6200
50.0,50.0,50.0,50.0,50.0,10400
50.0,50.0,50.0,50.0,50.0,6000
50.0,50.0,50.0,50.0,50.0,1000
50.0,50.0,50.0,50.0,50.0,3100
50.0,50.0,50.0,50.0,50.0,108800
50.0,50.0,50.0,50.0,50.0,2200
50.0,50.0,50.0,50.0,50.0,6600
50.0,50.0,50.0,50.0,50.0,11100
50.0,50.0,50.0,50.0,50.0,1000
50.0,50.0,50.0,50.0,50.0,1000
50.0,50.0,50.0,50.0,50.0,51000
50.0,50.0,50.0,50.0,50.0,2000
50.0,50.0,50.0,50.0,50.0,8400
50.0,50.0,50.0,50.0,50.0,3900
50.0,50.0,50.0,50.0,50.0,103100
50.0,50.0,50.0,50.0,50.0,4900
50.0,50.0,50.0,50.0,50.0,51000
50.0,50.0,54.0,50.0,51.0,146400
52.0,52.0,55.0,50.0,50.0,329100
50.0,50.0,53.0,50.0,50.0,7021200
51.0,51.0,53.0,50.0,50.0,262600
50.0,50.0,51.0,50.0,51.0,463200
50.0,50.0,51.0,50.0,50.0,58200
51.0,51.0,51.0,50.0,50.0,127000
50.0,50.0,51.0,50.0,50.0,282000
51.0,51.0,51.0,50.0,50.0,317500
51.0,51.0,51.0,50.0,50.0,148100
50.0,50.0,51.0,50.0,51.0,41600
50.0,50.0,50.0,50.0,50.0,7200
50.0,50.0,50.0,50.0,50.0,13000
50.0,50.0,50.0,50.0,50.0,100
51.0,51.0,55.0,50.0,50.0,311000
50.0,50.0,51.0,50.0,50.0,383200
50.0,50.0,51.0,50.0,50.0,104000
50.0,50.0,59.0,50.0,50.0,2598800
51.0,51.0,52.0,50.0,50.0,601200
50.0,50.0,51.0,50.0,51.0,267600
50.0,50.0,51.0,50.0,51.0,50200
51.0,51.0,52.0,50.0,50.0,423800
51.0,51.0,51.0,50.0,51.0,3836300
51.0,51.0,52.0,50.0,51.0,387200
51.0,51.0,51.0,50.0,50.0,123500
50.0,50.0,51.0,50.0,50.0,2322100
50.0,50.0,53.0,50.0,51.0,5962200
51.0,51.0,52.0,50.0,51.0,1013000
51.0,51.0,55.0,50.0,51.0,6035200
51.0,51.0,52.0,51.0,51.0,1376700
51.0,51.0,52.0,50.0,51.0,463400
52.0,52.0,52.0,50.0,51.0,84800
52.0,52.0,52.0,51.0,52.0,152500
52.0,52.0,52.0,51.0,51.0,300
54.0,54.0,59.0,52.0,52.0,2655100
53.0,53.0,54.0,52.0,54.0,1914500
54.0,54.0,54.0,53.0,53.0,146600
53.0,53.0,53.0,52.0,53.0,876300
52.0,52.0,53.0,52.0,53.0,178300
53.0,53.0,53.0,51.0,52.0,483400
