Adj Close,Close,High,Low,Open,Volume
GZCO.JK,GZCO.JK,GZCO.JK,GZCO.JK,GZCO.JK,GZCO.JK
85.0,85.0,87.0,85.0,87.0,8139200
86.0,86.0,88.0,85.0,85.0,10761500
85.0,85.0,87.0,84.0,87.0,8135100
84.0,84.0,86.0,84.0,86.0,4787700
84.0,84.0,86.0,83.0,85.0,5493000
84.0,84.0,85.0,83.0,85.0,3909500
83.0,83.0,85.0,83.0,84.0,3770300
84.0,84.0,85.0,83.0,83.0,3160400
84.0,84.0,85.0,82.0,85.0,4410500
85.0,85.0,87.0,83.0,83.0,17819700
84.0,84.0,86.0,84.0,85.0,5915000
85.0,85.0,85.0,83.0,85.0,1480600
85.0,85.0,85.0,83.0,85.0,4765600
84.0,84.0,85.0,82.0,83.0,5545500
81.0,81.0,84.0,79.0,84.0,12385300
81.0,81.0,83.0,80.0,81.0,5504500
105.0,105.0,109.0,80.0,81.0,534973500
123.0,123.0,134.0,95.0,108.0,783051500
146.0,146.0,163.0,122.0,126.0,1420209400
150.0,150.0,179.0,114.0,155.0,1007795600
145.0,145.0,158.0,126.0,152.0,535414400
154.0,154.0,169.0,137.0,143.0,661996300
148.0,148.0,160.0,146.0,156.0,151607000
150.0,150.0,163.0,146.0,148.0,362417200
144.0,144.0,157.0,140.0,151.0,220094900
147.0,147.0,150.0,134.0,144.0,243510600
143.0,143.0,151.0,141.0,149.0,101473000
122.0,122.0,144.0,118.0,143.0,144196100
124.0,124.0,138.0,120.0,122.0,121651100
129.0,129.0,136.0,108.0,108.0,138888900
125.0,125.0,132.0,124.0,130.0,36267500
120.0,120.0,128.0,120.0,125.0,38784000
134.0,134.0,137.0,120.0,120.0,187668900
132.0,132.0,136.0,130.0,135.0,65634400
131.0,131.0,135.0,131.0,133.0,49971100
129.0,129.0,134.0,126.0,132.0,31622600
128.0,128.0,133.0,125.0,130.0,29276300
118.0,118.0,130.0,112.0,129.0,82897600
119.0,119.0,126.0,114.0,119.0,66619100
116.0,116.0,121.0,114.0,117.0,34917200
112.0,112.0,118.0,110.0,114.0,35154800
116.0,116.0,120.0,110.0,110.0,52261800
118.0,118.0,120.0,114.0,115.0,87171400
116.0,116.0,119.0,114.0,116.0,21591700
127.0,127.0,131.0,115.0,115.0,256038400
120.0,120.0,129.0,120.0,127.0,49920500
124.0,124.0,126.0,119.0,119.0,51716600
135.0,135.0,139.0,124.0,124.0,223956700
123.0,123.0,137.0,120.0,135.0,196534200
118.0,118.0,126.0,118.0,123.0,64126500
112.0,112.0,119.0,111.0,118.0,59763100
113.0,113.0,118.0,111.0,112.0,30745000
112.0,112.0,116.0,111.0,114.0,27586700
111.0,111.0,117.0,104.0,104.0,45165900
111.0,111.0,112.0,108.0,111.0,22240300
107.0,107.0,111.0,106.0,111.0,23074500
106.0,106.0,112.0,104.0,108.0,35078300
108.0,108.0,110.0,105.0,106.0,28658400
106.0,106.0,109.0,105.0,108.0,17613700
101.0,101.0,107.0,98.0,98.0,30487800
99.0,99.0,102.0,97.0,101.0,36503100
101.0,101.0,103.0,100.0,100.0,17448700
100.0,100.0,106.0,100.0,101.0,56671700
100.0,100.0,103.0,99.0,100.0,16539800
99.0,99.0,103.0,98.0,100.0,13549600
96.0,96.0,100.0,92.0,92.0,15082800
98.0,98.0,99.0,95.0,96.0,11128500
95.0,95.0,99.0,95.0,98.0,10402500
95.0,95.0,98.0,95.0,96.0,21324700
92.0,92.0,96.0,92.0,95.0,13307200
95.0,95.0,98.0,92.0,93.0,20810100
97.0,97.0,106.0,93.0,95.0,160091200
98.0,98.0,101.0,96.0,98.0,51173800
98.0,98.0,105.0,98.0,99.0,72931700
95.0,95.0,100.0,95.0,98.0,30337900
95.0,95.0,98.0,95.0,95.0,15873900
100.0,100.0,104.0,95.0,96.0,80729600
98.0,98.0,103.0,97.0,100.0,46435300
101.0,101.0,102.0,98.0,99.0,32107900
101.0,101.0,104.0,99.0,101.0,35731200
100.0,100.0,102.0,99.0,101.0,13970300
100.0,100.0,103.0,98.0,100.0,30993000
101.0,101.0,102.0,100.0,100.0,10333500
100.0,100.0,102.0,99.0,101.0,10109300
101.0,101.0,103.0,99.0,100.0,30904600
99.0,99.0,101.0,98.0,101.0,10597400
98.0,98.0,99.0,97.0,99.0,17711400
98.0,98.0,100.0,98.0,100.0,13864800
97.0,97.0,99.0,95.0,98.0,13135600
96.0,96.0,98.0,96.0,97.0,4423500
93.0,93.0,97.0,92.0,96.0,17755200
94.0,94.0,96.0,92.0,92.0,12010200
95.0,95.0,97.0,94.0,95.0,12471600
85.0,85.0,96.0,81.0,95.0,97884300
85.0,85.0,89.0,77.0,77.0,42919900
