Adj Close,Close,High,Low,Open,Volume
HRUM.JK,HRUM.JK,HRUM.JK,HRUM.JK,HRUM.JK,HRUM.JK
1470.0,1470.0,1470.0,1435.0,1445.0,4912800
1450.0,1450.0,1485.0,1450.0,1470.0,7793400
1440.0,1440.0,1465.0,1435.0,1455.0,5112000
1410.0,1410.0,1445.0,1405.0,1430.0,11671300
1415.0,1415.0,1440.0,1410.0,1415.0,6705400
1420.0,1420.0,1425.0,1405.0,1415.0,4616300
1435.0,1435.0,1440.0,1410.0,1420.0,4980400
1415.0,1415.0,1435.0,1405.0,1430.0,8267500
1440.0,1440.0,1460.0,1405.0,1415.0,10688200
1445.0,1445.0,1475.0,1435.0,1445.0,12698000
1455.0,1455.0,1470.0,1435.0,1450.0,9411900
1435.0,1435.0,1470.0,1420.0,1425.0,16251200
1385.0,1385.0,1445.0,1380.0,1435.0,21261900
1400.0,1400.0,1405.0,1385.0,1385.0,8450000
1365.0,1365.0,1415.0,1360.0,1405.0,19268500
1320.0,1320.0,1370.0,1315.0,1365.0,26805700
1270.0,1270.0,1335.0,1265.0,1335.0,28491000
1265.0,1265.0,1300.0,1240.0,1285.0,19521500
1330.0,1330.0,1345.0,1280.0,1285.0,23790900
1330.0,1330.0,1385.0,1330.0,1350.0,17710900
1310.0,1310.0,1345.0,1290.0,1335.0,7888100
1280.0,1280.0,1300.0,1265.0,1300.0,11336100
1320.0,1320.0,1335.0,1285.0,1295.0,14583600
1330.0,1330.0,1355.0,1320.0,1335.0,6395500
1305.0,1305.0,1360.0,1300.0,1340.0,6751600
1305.0,1305.0,1315.0,1290.0,1305.0,5650700
1315.0,1315.0,1340.0,1305.0,1315.0,6070900
1310.0,1310.0,1325.0,1290.0,1305.0,3368100
1305.0,1305.0,1320.0,1295.0,1310.0,3652000
1350.0,1350.0,1360.0,1295.0,1305.0,15657600
1345.0,1345.0,1380.0,1335.0,1370.0,18285100
1335.0,1335.0,1350.0,1325.0,1345.0,4551100
1380.0,1380.0,1380.0,1330.0,1335.0,13147100
1355.0,1355.0,1380.0,1340.0,1355.0,10301900
1385.0,1385.0,1410.0,1360.0,1360.0,16585300
1375.0,1375.0,1405.0,1370.0,1385.0,10962700
1380.0,1380.0,1410.0,1375.0,1380.0,12846000
1345.0,1345.0,1385.0,1340.0,1380.0,7143600
1360.0,1360.0,1380.0,1355.0,1360.0,3158800
1345.0,1345.0,1360.0,1340.0,1350.0,3312200
1350.0,1350.0,1360.0,1330.0,1345.0,2934900
1340.0,1340.0,1375.0,1335.0,1360.0,5626900
1335.0,1335.0,1350.0,1330.0,1340.0,3883500
1325.0,1325.0,1345.0,1310.0,1340.0,7268400
1310.0,1310.0,1330.0,1310.0,1320.0,3503800
1315.0,1315.0,1330.0,1300.0,1315.0,4993600
1285.0,1285.0,1320.0,1275.0,1315.0,6275700
1235.0,1235.0,1290.0,1225.0,1285.0,11219200
1150.0,1150.0,1240.0,1135.0,1235.0,28006300
1180.0,1180.0,1215.0,1150.0,1150.0,16867700
1155.0,1155.0,1185.0,1150.0,1180.0,9506500
1150.0,1150.0,1170.0,1120.0,1155.0,9453100
1200.0,1200.0,1270.0,1155.0,1160.0,35375700
1175.0,1175.0,1230.0,1160.0,1220.0,25159800
1190.0,1190.0,1205.0,1160.0,1175.0,11511700
1180.0,1180.0,1195.0,1155.0,1195.0,13435200
1155.0,1155.0,1185.0,1155.0,1180.0,7925600
1140.0,1140.0,1175.0,1125.0,1160.0,16454700
1105.0,1105.0,1140.0,1090.0,1140.0,21715300
1115.0,1115.0,1135.0,1075.0,1105.0,23687700
1135.0,1135.0,1150.0,1110.0,1130.0,10161400
1190.0,1190.0,1220.0,1160.0,1165.0,23972900
1175.0,1175.0,1190.0,1155.0,1190.0,13026800
1175.0,1175.0,1180.0,1145.0,1175.0,7599600
1175.0,1175.0,1185.0,1160.0,1175.0,4441400
1155.0,1155.0,1205.0,1155.0,1175.0,7733700
1210.0,1210.0,1215.0,1155.0,1160.0,10505500
1225.0,1225.0,1235.0,1205.0,1230.0,16976200
1220.0,1220.0,1230.0,1200.0,1225.0,7498600
1200.0,1200.0,1240.0,1190.0,1235.0,5509100
1230.0,1230.0,1235.0,1205.0,1220.0,7840300
1250.0,1250.0,1265.0,1215.0,1240.0,15887600
1260.0,1260.0,1280.0,1235.0,1255.0,16815200
1260.0,1260.0,1270.0,1245.0,1260.0,7104600
1240.0,1240.0,1285.0,1240.0,1260.0,9178000
1265.0,1265.0,1275.0,1210.0,1240.0,13477200
1320.0,1320.0,1335.0,1245.0,1265.0,23681400
1295.0,1295.0,1335.0,1275.0,1325.0,10854700
1360.0,1360.0,1375.0,1290.0,1300.0,27896700
1380.0,1380.0,1390.0,1345.0,1365.0,18600300
1410.0,1410.0,1420.0,1370.0,1390.0,29057100
1440.0,1440.0,1445.0,1370.0,1410.0,20970800
1395.0,1395.0,1445.0,1390.0,1440.0,12266400
1365.0,1365.0,1415.0,1345.0,1395.0,22348700
1390.0,1390.0,1395.0,1355.0,1365.0,12762000
1385.0,1385.0,1395.0,1345.0,1390.0,9397200
1355.0,1355.0,1385.0,1345.0,1385.0,9285400
1335.0,1335.0,1365.0,1325.0,1365.0,6981000
1380.0,1380.0,1390.0,1330.0,1340.0,15650800
1350.0,1350.0,1400.0,1335.0,1390.0,12523700
1355.0,1355.0,1365.0,1330.0,1350.0,6381200
1425.0,1425.0,1435.0,1355.0,1355.0,22288600
1470.0,1470.0,1540.0,1430.0,1430.0,55281000
1455.0,1455.0,1510.0,1445.0,1475.0,20540200
1440.0,1440.0,1470.0,1415.0,1460.0,15688600
1565.0,1565.0,1580.0,1430.0,1450.0,52404600
1565.0,1565.0,1580.0,1535.0,1565.0,20662500
1370.0,1370.0,1590.0,1345.0,1570.0,83422900
1290.0,1290.0,1395.0,1270.0,1375.0,86185200
1335.0,1335.0,1360.0,1290.0,1300.0,39980300
1355.0,1355.0,1375.0,1335.0,1335.0,23851500
1300.0,1300.0,1375.0,1300.0,1365.0,22240100
1320.0,1320.0,1325.0,1275.0,1300.0,15358800
1300.0,1300.0,1325.0,1285.0,1320.0,7783900
1390.0,1390.0,1395.0,1290.0,1300.0,21820700
1410.0,1410.0,1420.0,1375.0,1390.0,18009800
1350.0,1350.0,1425.0,1350.0,1425.0,10739100
1375.0,1375.0,1395.0,1345.0,1365.0,4683800
1385.0,1385.0,1415.0,1370.0,1390.0,9276000
1400.0,1400.0,1405.0,1380.0,1390.0,9775100
1345.0,1345.0,1410.0,1345.0,1405.0,8933900
1345.0,1345.0,1360.0,1320.0,1355.0,4809200
1345.0,1345.0,1360.0,1330.0,1345.0,7087100
1305.0,1305.0,1345.0,1295.0,1345.0,16409900
1300.0,1300.0,1320.0,1285.0,1315.0,10019200
1395.0,1395.0,1400.0,1310.0,1310.0,31235400
1410.0,1410.0,1445.0,1395.0,1415.0,32857100
1365.0,1365.0,1410.0,1355.0,1410.0,13943300
1330.0,1330.0,1365.0,1325.0,1365.0,8955300
1320.0,1320.0,1345.0,1305.0,1340.0,9653600
1385.0,1385.0,1390.0,1320.0,1320.0,16027500
1385.0,1385.0,1410.0,1370.0,1390.0,9332900
1365.0,1365.0,1400.0,1335.0,1400.0,9281200
1400.0,1400.0,1410.0,1340.0,1365.0,15361100
1350.0,1350.0,1370.0,1315.0,1370.0,20417200
1345.0,1345.0,1375.0,1345.0,1360.0,9818800
1245.0,1245.0,1345.0,1225.0,1345.0,27726000
1190.0,1190.0,1265.0,1180.0,1245.0,28220700
1115.0,1115.0,1215.0,1100.0,1195.0,32375400
1150.0,1150.0,1160.0,1115.0,1115.0,17149000
1150.0,1150.0,1180.0,1140.0,1155.0,12904600
1110.0,1110.0,1160.0,1110.0,1150.0,8288400
1115.0,1115.0,1135.0,1110.0,1115.0,3139000
1105.0,1105.0,1140.0,1090.0,1115.0,11981600
1055.0,1055.0,1125.0,1050.0,1110.0,10081200
1140.0,1140.0,1150.0,1050.0,1055.0,8349000
1130.0,1130.0,1160.0,1125.0,1150.0,8852600
1120.0,1120.0,1160.0,1100.0,1135.0,7150800
1125.0,1125.0,1140.0,1115.0,1130.0,2375500
1145.0,1145.0,1155.0,1115.0,1125.0,5945000
1130.0,1130.0,1145.0,1120.0,1140.0,9700000
1140.0,1140.0,1155.0,1125.0,1140.0,12120600
1205.0,1205.0,1210.0,1135.0,1145.0,21854400
1210.0,1210.0,1235.0,1200.0,1210.0,21314800
1195.0,1195.0,1220.0,1180.0,1210.0,10401200
1210.0,1210.0,1220.0,1195.0,1210.0,10483200
1195.0,1195.0,1215.0,1190.0,1210.0,6850300
1200.0,1200.0,1210.0,1190.0,1195.0,8448500
1225.0,1225.0,1225.0,1190.0,1210.0,8870300
1220.0,1220.0,1250.0,1215.0,1230.0,19626900
1225.0,1225.0,1250.0,1220.0,1220.0,14602500
1260.0,1260.0,1275.0,1215.0,1230.0,30723800
1220.0,1220.0,1280.0,1215.0,1260.0,11742500
1230.0,1230.0,1240.0,1225.0,1225.0,6880400
1230.0,1230.0,1245.0,1225.0,1235.0,11297800
1235.0,1235.0,1260.0,1230.0,1230.0,9065900
1240.0,1240.0,1265.0,1235.0,1240.0,9591000
1245.0,1245.0,1250.0,1220.0,1240.0,15399900
1230.0,1230.0,1255.0,1220.0,1250.0,11843500
1230.0,1230.0,1240.0,1225.0,1230.0,7809300
1190.0,1190.0,1240.0,1175.0,1240.0,12602900
1195.0,1195.0,1210.0,1185.0,1190.0,5606700
1190.0,1190.0,1210.0,1185.0,1190.0,5294700
1180.0,1180.0,1200.0,1175.0,1195.0,4065800
1190.0,1190.0,1215.0,1180.0,1180.0,6986600
1210.0,1210.0,1220.0,1195.0,1210.0,15915000
1185.0,1185.0,1220.0,1185.0,1205.0,11412500
1120.0,1120.0,1180.0,1115.0,1180.0,24569400
1175.0,1175.0,1180.0,1105.0,1120.0,9595500
1160.0,1160.0,1190.0,1160.0,1175.0,12093500
1160.0,1160.0,1165.0,1150.0,1160.0,2019800
1160.0,1160.0,1185.0,1160.0,1160.0,5802900
1320.0,1320.0,1350.0,1180.0,1180.0,116586400
1320.0,1320.0,1380.0,1310.0,1330.0,54506100
1345.0,1345.0,1350.0,1300.0,1320.0,30001400
1380.0,1380.0,1385.0,1325.0,1345.0,55248200
1335.0,1335.0,1395.0,1335.0,1390.0,25326100
1315.0,1315.0,1350.0,1305.0,1340.0,11652700
1345.0,1345.0,1345.0,1320.0,1320.0,15737500
1345.0,1345.0,1355.0,1325.0,1350.0,11220200
1295.0,1295.0,1340.0,1280.0,1320.0,25382800
1335.0,1335.0,1340.0,1295.0,1295.0,14744600
1350.0,1350.0,1360.0,1330.0,1335.0,19542800
1430.0,1430.0,1430.0,1355.0,1365.0,72070700
1415.0,1415.0,1440.0,1405.0,1440.0,22947500
1375.0,1375.0,1415.0,1360.0,1415.0,23425700
1340.0,1340.0,1400.0,1330.0,1375.0,19322800
1355.0,1355.0,1385.0,1335.0,1340.0,19702800
1330.0,1330.0,1370.0,1320.0,1355.0,15246700
1325.0,1325.0,1335.0,1305.0,1320.0,19258600
1360.0,1360.0,1375.0,1330.0,1330.0,19919900
1340.0,1340.0,1370.0,1330.0,1365.0,17428500
1315.0,1315.0,1340.0,1300.0,1340.0,14079400
1315.0,1315.0,1325.0,1300.0,1315.0,8922400
1290.0,1290.0,1320.0,1285.0,1320.0,10560900
1350.0,1350.0,1360.0,1295.0,1295.0,35229400
1340.0,1340.0,1360.0,1325.0,1350.0,20238000
1350.0,1350.0,1360.0,1340.0,1345.0,15051000
1340.0,1340.0,1385.0,1335.0,1365.0,22020600
1355.0,1355.0,1360.0,1330.0,1345.0,17625100
1365.0,1365.0,1380.0,1340.0,1365.0,22226300
1420.0,1420.0,1425.0,1365.0,1380.0,47678700
1425.0,1425.0,1465.0,1400.0,1430.0,48161300
1405.0,1405.0,1450.0,1405.0,1450.0,27805600
1415.0,1415.0,1425.0,1400.0,1410.0,15054000
1390.0,1390.0,1440.0,1385.0,1405.0,24430200
1380.0,1380.0,1410.0,1370.0,1395.0,13085800
1410.0,1410.0,1430.0,1385.0,1390.0,38894000
1420.0,1420.0,1455.0,1395.0,1420.0,47207800
1430.0,1430.0,1480.0,1430.0,1440.0,55725500
1405.0,1405.0,1430.0,1385.0,1430.0,29825900
1415.0,1415.0,1430.0,1385.0,1420.0,26183600
1380.0,1380.0,1420.0,1350.0,1420.0,34211900
1340.0,1340.0,1380.0,1340.0,1380.0,21385100
1340.0,1340.0,1355.0,1330.0,1340.0,10306600
1340.0,1340.0,1360.0,1340.0,1350.0,8064200
1335.0,1335.0,1355.0,1335.0,1350.0,10816100
1365.0,1365.0,1375.0,1340.0,1340.0,20941300
1340.0,1340.0,1375.0,1340.0,1370.0,21683700
1345.0,1345.0,1355.0,1335.0,1340.0,11540500
1325.0,1325.0,1350.0,1320.0,1345.0,12609600
1320.0,1320.0,1350.0,1315.0,1330.0,16852000
1345.0,1345.0,1355.0,1305.0,1325.0,16452300
1325.0,1325.0,1355.0,1325.0,1350.0,8314800
1315.0,1315.0,1330.0,1310.0,1325.0,5584400
1310.0,1310.0,1325.0,1305.0,1320.0,6568500
1240.0,1240.0,1300.0,1240.0,1300.0,21944100
1185.0,1185.0,1240.0,1180.0,1240.0,26797700
1200.0,1200.0,1215.0,1185.0,1185.0,8387300
1210.0,1210.0,1225.0,1195.0,1200.0,13808900
1200.0,1200.0,1220.0,1185.0,1210.0,12466100
1185.0,1185.0,1200.0,1170.0,1200.0,6267300
1210.0,1210.0,1225.0,1185.0,1185.0,4239300
1185.0,1185.0,1220.0,1180.0,1210.0,4115700
1135.0,1135.0,1185.0,1125.0,1185.0,14808300
1145.0,1145.0,1155.0,1135.0,1135.0,3684000
1160.0,1160.0,1160.0,1145.0,1150.0,9695400
1190.0,1190.0,1210.0,1150.0,1150.0,13034600
