Adj Close,Close,High,Low,Open,Volume
HUMI.JK,HUMI.JK,HUMI.JK,HUMI.JK,HUMI.JK,HUMI.JK
155.0,155.0,156.0,153.0,154.0,166292400
157.0,157.0,158.0,155.0,157.0,162221100
160.0,160.0,161.0,156.0,158.0,182219800
141.0,141.0,162.0,140.0,160.0,64764700
141.0,141.0,143.0,134.0,141.0,72368700
143.0,143.0,144.0,141.0,142.0,156150700
145.0,145.0,146.0,142.0,144.0,153181700
147.0,147.0,148.0,144.0,145.0,319036800
149.0,149.0,150.0,147.0,148.0,188432100
151.0,151.0,152.0,149.0,150.0,130828900
153.0,153.0,154.0,149.0,152.0,239262100
155.0,155.0,156.0,153.0,154.0,246010400
157.0,157.0,158.0,155.0,155.0,186361700
147.0,147.0,158.0,141.0,158.0,74500400
147.0,147.0,149.0,140.0,146.0,110923300
149.0,149.0,150.0,147.0,148.0,138897600
151.0,151.0,152.0,148.0,149.0,108537200
153.0,153.0,154.0,151.0,151.0,115510300
142.0,142.0,155.0,140.0,153.0,60784700
144.0,144.0,145.0,142.0,142.0,391176300
145.0,145.0,147.0,143.0,144.0,188607400
148.0,148.0,150.0,145.0,145.0,207614900
143.0,143.0,152.0,142.0,149.0,86885800
142.0,142.0,145.0,141.0,144.0,71282000
147.0,147.0,147.0,141.0,142.0,591158200
142.0,142.0,151.0,141.0,151.0,269843100
146.0,146.0,146.0,141.0,142.0,430622800
171.0,171.0,173.0,145.0,147.0,533698700
142.0,142.0,174.0,141.0,174.0,165820100
145.0,145.0,146.0,134.0,134.0,1193444900
148.0,148.0,149.0,145.0,146.0,540450700
151.0,151.0,151.0,148.0,149.0,302793900
153.0,153.0,154.0,150.0,151.0,212343700
156.0,156.0,158.0,153.0,153.0,106959600
160.0,160.0,160.0,156.0,156.0,180169200
162.0,162.0,163.0,160.0,161.0,152961200
166.0,166.0,166.0,162.0,162.0,163246600
169.0,169.0,170.0,166.0,167.0,206443800
172.0,172.0,173.0,169.0,169.0,131030100
152.0,152.0,170.0,148.0,164.0,57563800
154.0,154.0,155.0,152.0,152.0,446502600
154.0,154.0,154.0,154.0,154.0,0
159.0,159.0,160.0,155.0,157.0,100932500
162.0,162.0,163.0,158.0,160.0,170155500
152.0,152.0,163.0,148.0,162.0,171888400
154.0,154.0,155.0,152.0,152.0,391675600
178.0,178.0,178.0,139.0,155.0,110993100
135.0,135.0,168.0,133.0,168.0,162085600
102.0,102.0,136.0,101.0,134.0,208461400
80.0,80.0,108.0,78.0,92.0,323920800
76.0,76.0,84.0,73.0,81.0,152626500
79.0,79.0,85.0,68.0,68.0,170616000
74.0,74.0,82.0,73.0,80.0,57949300
76.0,76.0,79.0,72.0,75.0,1252341700
78.0,78.0,79.0,75.0,77.0,269206300
80.0,80.0,82.0,78.0,79.0,147818400
76.0,76.0,82.0,76.0,80.0,197631200
71.0,71.0,77.0,71.0,76.0,78584400
57.0,57.0,73.0,56.0,71.0,335025500
57.0,57.0,57.0,57.0,57.0,0
53.0,53.0,57.0,50.0,57.0,83265100
71.0,71.0,71.0,54.0,58.0,257415700
86.0,86.0,92.0,71.0,71.0,1308598200
69.0,69.0,95.0,56.0,91.0,1314649100
