Adj Close,Close,High,Low,Open,Volume
IATA.JK,IATA.JK,IATA.JK,IATA.JK,IATA.JK,IATA.JK
51.0,51.0,51.0,50.0,50.0,10457100
51.0,51.0,51.0,50.0,51.0,8365000
50.0,50.0,51.0,50.0,50.0,20052500
50.0,50.0,51.0,50.0,50.0,18498500
50.0,50.0,51.0,50.0,50.0,8374100
50.0,50.0,51.0,50.0,50.0,11043100
50.0,50.0,50.0,50.0,50.0,1136200
50.0,50.0,50.0,50.0,50.0,1549800
50.0,50.0,50.0,50.0,50.0,1060000
50.0,50.0,50.0,50.0,50.0,655700
50.0,50.0,50.0,50.0,50.0,466400
50.0,50.0,50.0,50.0,50.0,685300
50.0,50.0,50.0,50.0,50.0,340700
50.0,50.0,50.0,50.0,50.0,651900
50.0,50.0,50.0,50.0,50.0,1302500
50.0,50.0,50.0,50.0,50.0,124400
50.0,50.0,50.0,50.0,50.0,5045200
50.0,50.0,50.0,50.0,50.0,1013400
50.0,50.0,50.0,50.0,50.0,840100
50.0,50.0,50.0,50.0,50.0,143900
50.0,50.0,50.0,50.0,50.0,1190200
50.0,50.0,50.0,50.0,50.0,29300
50.0,50.0,50.0,50.0,50.0,57200
50.0,50.0,50.0,50.0,50.0,928200
50.0,50.0,50.0,50.0,50.0,349400
50.0,50.0,50.0,50.0,50.0,6638900
50.0,50.0,50.0,50.0,50.0,327800
50.0,50.0,50.0,50.0,50.0,103300
50.0,50.0,50.0,50.0,50.0,1353100
50.0,50.0,50.0,50.0,50.0,321600
50.0,50.0,50.0,50.0,50.0,486900
50.0,50.0,50.0,50.0,50.0,945200
50.0,50.0,50.0,50.0,50.0,544700
50.0,50.0,50.0,50.0,50.0,646000
50.0,50.0,50.0,50.0,50.0,2311200
50.0,50.0,50.0,50.0,50.0,95400
50.0,50.0,50.0,50.0,50.0,1895400
50.0,50.0,50.0,50.0,50.0,118600
50.0,50.0,50.0,50.0,50.0,1277400
50.0,50.0,50.0,50.0,50.0,544500
50.0,50.0,50.0,50.0,50.0,159200
50.0,50.0,50.0,50.0,50.0,603300
50.0,50.0,50.0,50.0,50.0,3114600
50.0,50.0,50.0,50.0,50.0,1262000
50.0,50.0,50.0,50.0,50.0,222200
50.0,50.0,50.0,50.0,50.0,637900
50.0,50.0,50.0,50.0,50.0,1882200
50.0,50.0,50.0,50.0,50.0,1957900
50.0,50.0,50.0,50.0,50.0,15200
50.0,50.0,50.0,50.0,50.0,48900
50.0,50.0,50.0,50.0,50.0,93100
50.0,50.0,50.0,50.0,50.0,17800
50.0,50.0,50.0,50.0,50.0,100600
50.0,50.0,50.0,50.0,50.0,185000
50.0,50.0,50.0,50.0,50.0,29500
50.0,50.0,50.0,50.0,50.0,303900
50.0,50.0,50.0,50.0,50.0,53500
50.0,50.0,50.0,50.0,50.0,234300
50.0,50.0,50.0,50.0,50.0,85600
50.0,50.0,50.0,50.0,50.0,119300
50.0,50.0,50.0,50.0,50.0,15300
50.0,50.0,50.0,50.0,50.0,40500
50.0,50.0,50.0,50.0,50.0,396900
50.0,50.0,50.0,50.0,50.0,548100
50.0,50.0,50.0,50.0,50.0,41700
50.0,50.0,50.0,50.0,50.0,165200
50.0,50.0,50.0,50.0,50.0,279900
51.0,51.0,52.0,50.0,50.0,40043200
50.0,50.0,51.0,50.0,51.0,28104300
50.0,50.0,50.0,50.0,50.0,707100
50.0,50.0,50.0,50.0,50.0,610100
50.0,50.0,50.0,50.0,50.0,487400
50.0,50.0,50.0,50.0,50.0,641500
50.0,50.0,50.0,50.0,50.0,1146100
50.0,50.0,50.0,50.0,50.0,423200
50.0,50.0,50.0,50.0,50.0,1272400
50.0,50.0,50.0,50.0,50.0,390900
