Adj Close,Close,High,Low,Open,Volume
IBFN.JK,IBFN.JK,IBFN.JK,IBFN.JK,IBFN.JK,IBFN.JK
23.0,23.0,23.0,23.0,23.0,49800
21.0,21.0,21.0,21.0,21.0,75100
22.0,22.0,22.0,22.0,22.0,100
21.0,21.0,21.0,21.0,21.0,400
21.0,21.0,21.0,21.0,21.0,500
21.0,21.0,21.0,21.0,21.0,0
21.0,21.0,21.0,21.0,21.0,400
21.0,21.0,21.0,21.0,21.0,100
19.0,19.0,19.0,19.0,19.0,2200
19.0,19.0,19.0,19.0,19.0,10000
19.0,19.0,19.0,19.0,19.0,0
20.0,20.0,20.0,20.0,20.0,10200
20.0,20.0,20.0,20.0,20.0,0
20.0,20.0,20.0,20.0,20.0,0
20.0,20.0,20.0,20.0,20.0,0
18.0,18.0,18.0,18.0,18.0,11100
18.0,18.0,18.0,18.0,18.0,100
18.0,18.0,18.0,18.0,18.0,10000
18.0,18.0,18.0,18.0,18.0,14800
18.0,18.0,18.0,18.0,18.0,3300
18.0,18.0,18.0,18.0,18.0,200
18.0,18.0,18.0,18.0,18.0,200
18.0,18.0,18.0,18.0,18.0,200
18.0,18.0,18.0,18.0,18.0,3100
18.0,18.0,18.0,18.0,18.0,3300
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,10000
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,300
18.0,18.0,18.0,18.0,18.0,9400
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,3200
18.0,18.0,18.0,18.0,18.0,1500
18.0,18.0,18.0,18.0,18.0,2000
18.0,18.0,18.0,18.0,18.0,200
18.0,18.0,18.0,18.0,18.0,800
18.0,18.0,18.0,18.0,18.0,3000
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,100
18.0,18.0,18.0,18.0,18.0,100
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,8500
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
17.0,17.0,17.0,17.0,17.0,3800
17.0,17.0,17.0,17.0,17.0,1000
16.0,16.0,16.0,16.0,16.0,3000
16.0,16.0,16.0,16.0,16.0,4100
16.0,16.0,16.0,16.0,16.0,5000
16.0,16.0,16.0,16.0,16.0,200
16.0,16.0,16.0,16.0,16.0,400
16.0,16.0,16.0,16.0,16.0,200
16.0,16.0,16.0,16.0,16.0,0
16.0,16.0,16.0,16.0,16.0,0
16.0,16.0,16.0,16.0,16.0,1400
15.0,15.0,15.0,15.0,15.0,16300
15.0,15.0,15.0,15.0,15.0,0
15.0,15.0,15.0,15.0,15.0,10300
15.0,15.0,15.0,15.0,15.0,300
14.0,14.0,14.0,14.0,14.0,4900
14.0,14.0,14.0,14.0,14.0,0
13.0,13.0,13.0,13.0,13.0,2000
13.0,13.0,13.0,13.0,13.0,262700
14.0,14.0,14.0,14.0,14.0,351700
15.0,15.0,15.0,15.0,15.0,7300
16.0,16.0,16.0,15.0,15.0,89200
17.0,17.0,17.0,17.0,17.0,5600
17.0,17.0,17.0,17.0,17.0,0
18.0,18.0,18.0,17.0,17.0,6900
19.0,19.0,19.0,19.0,19.0,4100
19.0,19.0,19.0,19.0,19.0,60000
20.0,20.0,20.0,20.0,20.0,22000
20.0,20.0,20.0,20.0,20.0,0
20.0,20.0,20.0,20.0,20.0,20600
20.0,20.0,20.0,20.0,20.0,100
20.0,20.0,20.0,20.0,20.0,100
20.0,20.0,20.0,20.0,20.0,100
20.0,20.0,20.0,20.0,20.0,0
20.0,20.0,20.0,20.0,20.0,300
19.0,19.0,19.0,19.0,19.0,200
19.0,19.0,19.0,19.0,19.0,0
19.0,19.0,19.0,19.0,19.0,0
19.0,19.0,19.0,19.0,19.0,27600
19.0,19.0,19.0,19.0,19.0,0
19.0,19.0,19.0,19.0,19.0,200
19.0,19.0,19.0,19.0,19.0,0
19.0,19.0,19.0,19.0,19.0,0
19.0,19.0,19.0,19.0,19.0,0
19.0,19.0,19.0,19.0,19.0,1000
19.0,19.0,19.0,19.0,19.0,0
19.0,19.0,19.0,19.0,19.0,1000
