Adj Close,Close,High,Low,Open,Volume
IBOS.JK,IBOS.JK,IBOS.JK,IBOS.JK,IBOS.JK,IBOS.JK
352.0,352.0,388.0,352.0,370.0,585500
342.0,342.0,356.0,322.0,346.0,89000
348.0,348.0,358.0,336.0,342.0,27100
354.0,354.0,358.0,344.0,358.0,68800
346.0,346.0,354.0,336.0,350.0,352100
350.0,350.0,358.0,334.0,334.0,78300
346.0,346.0,352.0,340.0,352.0,21100
374.0,374.0,376.0,338.0,350.0,93900
410.0,410.0,410.0,378.0,378.0,217400
450.0,450.0,450.0,408.0,410.0,166200
456.0,456.0,494.0,430.0,452.0,2388600
440.0,440.0,470.0,440.0,470.0,47500
472.0,472.0,480.0,440.0,440.0,218600
462.0,462.0,478.0,460.0,478.0,45800
450.0,450.0,470.0,450.0,462.0,49800
428.0,428.0,480.0,428.0,470.0,44700
418.0,418.0,462.0,408.0,440.0,36100
400.0,400.0,448.0,384.0,414.0,46700
430.0,430.0,432.0,392.0,400.0,6900
400.0,400.0,432.0,400.0,428.0,34000
376.0,376.0,400.0,374.0,392.0,50400
404.0,404.0,404.0,378.0,390.0,39000
384.0,384.0,408.0,380.0,404.0,16200
364.0,364.0,400.0,356.0,396.0,49600
400.0,400.0,400.0,358.0,376.0,478800
420.0,420.0,420.0,368.0,398.0,92800
438.0,438.0,438.0,402.0,424.0,1579200
444.0,444.0,444.0,424.0,438.0,52400
400.0,400.0,444.0,400.0,424.0,4334700
362.0,362.0,412.0,360.0,390.0,282100
364.0,364.0,384.0,336.0,360.0,7709100
364.0,364.0,366.0,334.0,364.0,54000
332.0,332.0,372.0,328.0,364.0,13870200
346.0,346.0,356.0,332.0,336.0,4077200
328.0,328.0,380.0,320.0,340.0,10187300
328.0,328.0,336.0,328.0,330.0,3508300
324.0,324.0,332.0,314.0,328.0,8392400
356.0,356.0,356.0,316.0,324.0,3860300
390.0,390.0,390.0,356.0,356.0,1038800
420.0,420.0,424.0,392.0,392.0,1515900
390.0,390.0,420.0,380.0,420.0,268100
390.0,390.0,390.0,390.0,390.0,0
412.0,412.0,420.0,402.0,402.0,2450900
426.0,426.0,450.0,402.0,414.0,2981900
416.0,416.0,450.0,412.0,412.0,301100
454.0,454.0,456.0,412.0,426.0,2701000
460.0,460.0,462.0,440.0,448.0,549700
482.0,482.0,500.0,450.0,460.0,4047800
530.0,530.0,530.0,482.0,482.0,1794600
520.0,520.0,580.0,520.0,530.0,561900
570.0,570.0,570.0,520.0,520.0,4988200
575.0,575.0,605.0,575.0,575.0,425600
585.0,585.0,620.0,575.0,575.0,6059500
620.0,620.0,625.0,585.0,585.0,5351200
650.0,650.0,660.0,625.0,625.0,7462900
675.0,675.0,690.0,650.0,660.0,4359800
725.0,725.0,740.0,675.0,675.0,5268400
775.0,775.0,780.0,730.0,735.0,5815300
775.0,775.0,775.0,775.0,775.0,0
730.0,730.0,780.0,700.0,775.0,5670900
750.0,750.0,760.0,725.0,750.0,2090000
705.0,705.0,800.0,685.0,800.0,5824700
740.0,740.0,740.0,690.0,705.0,957500
735.0,735.0,765.0,730.0,740.0,1345800
730.0,730.0,760.0,695.0,735.0,3512200
725.0,725.0,795.0,700.0,795.0,1542900
795.0,795.0,795.0,710.0,720.0,3750500
870.0,870.0,870.0,800.0,800.0,2773200
850.0,850.0,905.0,850.0,870.0,5609000
840.0,840.0,890.0,800.0,860.0,6551300
805.0,805.0,845.0,805.0,835.0,7024600
850.0,850.0,850.0,800.0,805.0,6163000
900.0,900.0,900.0,830.0,850.0,7231700
920.0,920.0,975.0,895.0,905.0,19824900
920.0,920.0,920.0,920.0,920.0,0
920.0,920.0,920.0,920.0,920.0,0
920.0,920.0,920.0,920.0,920.0,0
920.0,920.0,920.0,920.0,920.0,0
855.0,855.0,920.0,830.0,920.0,6828200
935.0,935.0,940.0,770.0,855.0,11617100
950.0,950.0,970.0,860.0,935.0,8352400
985.0,985.0,1000.0,905.0,955.0,6236200
925.0,925.0,985.0,895.0,985.0,6664200
940.0,940.0,980.0,835.0,920.0,9576100
850.0,850.0,975.0,850.0,940.0,6610300
850.0,850.0,880.0,765.0,855.0,5678500
850.0,850.0,850.0,850.0,850.0,0
850.0,850.0,850.0,850.0,850.0,0
710.0,710.0,710.0,635.0,635.0,1020600
700.0,700.0,705.0,700.0,705.0,232200
705.0,705.0,705.0,700.0,700.0,388900
710.0,710.0,710.0,705.0,705.0,223500
715.0,715.0,715.0,715.0,715.0,53800
720.0,720.0,720.0,715.0,715.0,82000
775.0,775.0,775.0,720.0,720.0,131900
700.0,700.0,800.0,700.0,800.0,7094600
630.0,630.0,700.0,630.0,700.0,1036700
680.0,680.0,680.0,570.0,570.0,2520600
615.0,615.0,675.0,615.0,675.0,2021500
555.0,555.0,555.0,555.0,555.0,957400
500.0,500.0,500.0,500.0,500.0,16700
450.0,450.0,450.0,450.0,450.0,50000
406.0,406.0,406.0,406.0,406.0,95300
366.0,366.0,366.0,366.0,366.0,14900
330.0,330.0,330.0,330.0,330.0,39000
298.0,298.0,298.0,298.0,298.0,41700
270.0,270.0,270.0,270.0,270.0,16500
244.0,244.0,244.0,244.0,244.0,85700
220.0,220.0,220.0,220.0,220.0,145500
198.0,198.0,198.0,198.0,198.0,34500
179.0,179.0,179.0,179.0,179.0,557400
162.0,162.0,190.0,162.0,162.0,112970000
146.0,146.0,167.0,146.0,160.0,54189200
146.0,146.0,146.0,146.0,146.0,0
160.0,160.0,160.0,133.0,140.0,58528900
176.0,176.0,176.0,161.0,167.0,66034200
193.0,193.0,193.0,180.0,180.0,52939000
181.0,181.0,212.0,174.0,204.0,53035300
163.0,163.0,184.0,163.0,184.0,81700300
167.0,167.0,178.0,148.0,164.0,125626900
171.0,171.0,179.0,167.0,170.0,44148400
154.0,154.0,172.0,154.0,171.0,31776700
153.0,153.0,162.0,139.0,140.0,78672100
153.0,153.0,161.0,151.0,152.0,52370700
167.0,167.0,167.0,151.0,151.0,66907100
183.0,183.0,183.0,162.0,168.0,55583900
200.0,200.0,200.0,179.0,185.0,38320300
218.0,218.0,220.0,200.0,202.0,18821800
197.0,197.0,230.0,197.0,222.0,28651100
186.0,186.0,196.0,178.0,190.0,53151600
204.0,204.0,204.0,182.0,185.0,45649800
224.0,224.0,224.0,208.0,212.0,39211200
246.0,246.0,246.0,230.0,244.0,27719700
258.0,258.0,270.0,224.0,264.0,25952700
258.0,258.0,282.0,256.0,268.0,39432400
234.0,234.0,270.0,234.0,254.0,32532600
212.0,212.0,240.0,212.0,228.0,49183000
204.0,204.0,224.0,191.0,212.0,75447900
200.0,200.0,216.0,196.0,199.0,37255300
180.0,180.0,208.0,180.0,198.0,75471800
172.0,172.0,183.0,162.0,175.0,77154600
181.0,181.0,186.0,163.0,165.0,46585300
163.0,163.0,188.0,163.0,179.0,45089800
147.0,147.0,167.0,147.0,163.0,189215000
161.0,161.0,161.0,137.0,143.0,77547300
145.0,145.0,173.0,145.0,161.0,84393300
139.0,139.0,146.0,131.0,145.0,103756400
126.0,126.0,143.0,126.0,139.0,57891000
126.0,126.0,129.0,115.0,120.0,58000200
114.0,114.0,130.0,114.0,125.0,154978600
103.0,103.0,114.0,103.0,105.0,120282700
112.0,112.0,112.0,93.0,93.0,127830800
101.0,101.0,116.0,101.0,112.0,76560200
101.0,101.0,102.0,95.0,95.0,56027900
103.0,103.0,104.0,92.0,92.0,133384800
100.0,100.0,103.0,98.0,101.0,72826200
100.0,100.0,106.0,99.0,99.0,36259900
100.0,100.0,101.0,90.0,100.0,54014000
100.0,100.0,100.0,94.0,99.0,50867800
100.0,100.0,100.0,97.0,99.0,44627100
100.0,100.0,101.0,97.0,100.0,45258500
100.0,100.0,104.0,98.0,99.0,51279000
100.0,100.0,104.0,99.0,100.0,45846000
99.0,99.0,101.0,98.0,99.0,27263500
99.0,99.0,99.0,97.0,99.0,29477500
98.0,98.0,100.0,97.0,99.0,53321200
97.0,97.0,99.0,96.0,98.0,50566900
95.0,95.0,98.0,92.0,97.0,44014400
93.0,93.0,95.0,90.0,95.0,42861400
