Adj Close,Close,High,Low,Open,Volume
IKPM.JK,IKPM.JK,IKPM.JK,IKPM.JK,IKPM.JK,IKPM.JK
173.0,173.0,176.0,170.0,172.0,17170000
171.0,171.0,173.0,170.0,172.0,7517900
169.0,169.0,174.0,169.0,171.0,7441400
168.0,168.0,171.0,167.0,167.0,5918000
170.0,170.0,171.0,166.0,168.0,10267200
173.0,173.0,180.0,171.0,171.0,21760600
173.0,173.0,174.0,170.0,173.0,8183100
174.0,174.0,176.0,172.0,173.0,10758600
175.0,175.0,185.0,174.0,175.0,22215400
179.0,179.0,181.0,175.0,176.0,9989800
177.0,177.0,182.0,177.0,180.0,6490100
189.0,189.0,202.0,176.0,177.0,98262300
186.0,186.0,193.0,185.0,190.0,12476200
185.0,185.0,191.0,182.0,187.0,14050300
195.0,195.0,195.0,185.0,186.0,19524500
196.0,196.0,206.0,191.0,196.0,37024400
195.0,195.0,200.0,193.0,197.0,16066400
192.0,192.0,199.0,187.0,195.0,12824500
192.0,192.0,195.0,188.0,192.0,10935100
191.0,191.0,197.0,189.0,193.0,13107200
190.0,190.0,193.0,187.0,191.0,10642600
208.0,208.0,212.0,190.0,190.0,55897100
202.0,202.0,214.0,199.0,210.0,23151900
206.0,206.0,208.0,200.0,202.0,15312800
208.0,208.0,210.0,202.0,206.0,10259700
204.0,204.0,210.0,202.0,210.0,7182800
202.0,202.0,206.0,200.0,202.0,7435500
200.0,200.0,206.0,200.0,202.0,5953700
208.0,208.0,212.0,200.0,202.0,13360400
208.0,208.0,220.0,202.0,210.0,19392200
202.0,202.0,210.0,202.0,208.0,5337000
202.0,202.0,206.0,202.0,204.0,5376800
206.0,206.0,208.0,202.0,202.0,5551500
214.0,214.0,216.0,206.0,208.0,12513500
216.0,216.0,216.0,208.0,216.0,14922300
226.0,226.0,226.0,208.0,216.0,11496800
230.0,230.0,232.0,222.0,226.0,9677800
256.0,256.0,270.0,230.0,232.0,93775400
252.0,252.0,264.0,252.0,254.0,44590800
244.0,244.0,260.0,232.0,254.0,33790700
258.0,258.0,258.0,240.0,246.0,34892200
258.0,258.0,258.0,258.0,258.0,0
250.0,250.0,262.0,244.0,262.0,11900300
252.0,252.0,252.0,240.0,250.0,12082700
246.0,246.0,256.0,242.0,250.0,9982700
264.0,264.0,270.0,244.0,246.0,38245100
240.0,240.0,270.0,240.0,268.0,24825200
246.0,246.0,250.0,234.0,240.0,21340100
248.0,248.0,256.0,228.0,228.0,13087500
252.0,252.0,254.0,228.0,228.0,75360300
220.0,220.0,254.0,218.0,248.0,24689100
228.0,228.0,230.0,206.0,206.0,5916400
230.0,230.0,232.0,212.0,212.0,4494700
236.0,236.0,238.0,214.0,214.0,7496100
226.0,226.0,238.0,218.0,218.0,6452900
230.0,230.0,236.0,216.0,216.0,6427800
240.0,240.0,242.0,216.0,216.0,6987300
238.0,238.0,250.0,234.0,240.0,10616800
236.0,236.0,242.0,234.0,234.0,4882400
238.0,238.0,244.0,218.0,218.0,3694100
252.0,252.0,254.0,222.0,222.0,16344600
282.0,282.0,282.0,254.0,254.0,63853300
276.0,276.0,286.0,268.0,284.0,12483400
264.0,264.0,280.0,258.0,280.0,8760500
260.0,260.0,268.0,256.0,264.0,7510700
260.0,260.0,262.0,252.0,258.0,9244600
256.0,256.0,266.0,254.0,262.0,6326200
264.0,264.0,268.0,252.0,254.0,9108600
260.0,260.0,264.0,256.0,264.0,9476000
258.0,258.0,266.0,258.0,260.0,6156200
258.0,258.0,262.0,252.0,258.0,8445800
252.0,252.0,260.0,252.0,258.0,5586000
250.0,250.0,258.0,248.0,252.0,4573600
248.0,248.0,254.0,248.0,250.0,5080500
254.0,254.0,254.0,240.0,248.0,4408100
260.0,260.0,264.0,238.0,238.0,4096300
274.0,274.0,276.0,260.0,264.0,9499600
266.0,266.0,274.0,266.0,274.0,4958700
264.0,264.0,276.0,262.0,266.0,3193100
258.0,258.0,272.0,258.0,262.0,3940100
258.0,258.0,264.0,256.0,258.0,2482700
260.0,260.0,268.0,256.0,258.0,4020900
264.0,264.0,268.0,260.0,262.0,1820000
268.0,268.0,272.0,262.0,264.0,5047500
274.0,274.0,278.0,268.0,268.0,4194300
268.0,268.0,278.0,268.0,274.0,1790900
