Adj Close,Close,High,Low,Open,Volume
IOTF.JK,IOTF.JK,IOTF.JK,IOTF.JK,IOTF.JK,IOTF.JK
122.0,122.0,123.0,115.0,117.0,66376300
132.0,132.0,133.0,120.0,123.0,99100000
136.0,136.0,142.0,131.0,132.0,72061800
138.0,138.0,139.0,123.0,136.0,59108300
145.0,145.0,146.0,129.0,138.0,77434600
144.0,144.0,148.0,141.0,145.0,67557000
142.0,142.0,147.0,136.0,144.0,77321700
132.0,132.0,145.0,127.0,142.0,52771300
127.0,127.0,131.0,123.0,130.0,56071100
128.0,128.0,130.0,119.0,125.0,37288300
132.0,132.0,134.0,125.0,128.0,59533400
135.0,135.0,139.0,130.0,135.0,58581800
140.0,140.0,141.0,133.0,138.0,94611900
146.0,146.0,150.0,139.0,140.0,173721200
142.0,142.0,149.0,142.0,146.0,73437100
137.0,137.0,142.0,136.0,141.0,70255700
138.0,138.0,138.0,132.0,137.0,73172000
158.0,158.0,158.0,136.0,138.0,97135100
166.0,166.0,180.0,151.0,159.0,179029000
166.0,166.0,170.0,161.0,166.0,74034100
162.0,162.0,167.0,162.0,166.0,74563900
164.0,164.0,165.0,159.0,162.0,42572000
165.0,165.0,167.0,161.0,165.0,52488800
164.0,164.0,166.0,162.0,165.0,74818600
161.0,161.0,166.0,160.0,164.0,94326600
151.0,151.0,161.0,149.0,161.0,47743100
153.0,153.0,155.0,150.0,151.0,55625600
151.0,151.0,156.0,149.0,153.0,95229800
153.0,153.0,154.0,114.0,152.0,173627300
153.0,153.0,156.0,150.0,153.0,74139200
150.0,150.0,154.0,149.0,153.0,22490000
150.0,150.0,170.0,145.0,149.0,59533800
151.0,151.0,151.0,147.0,151.0,85036000
151.0,151.0,152.0,147.0,151.0,20405500
155.0,155.0,156.0,149.0,151.0,16286100
157.0,157.0,158.0,153.0,156.0,56687000
162.0,162.0,162.0,156.0,157.0,81091700
157.0,157.0,162.0,133.0,162.0,16048600
158.0,158.0,158.0,150.0,156.0,30962800
158.0,158.0,169.0,151.0,160.0,56670500
159.0,159.0,160.0,155.0,158.0,51588300
159.0,159.0,159.0,159.0,159.0,0
170.0,170.0,174.0,162.0,165.0,62024000
168.0,168.0,173.0,166.0,170.0,49816300
178.0,178.0,179.0,166.0,171.0,90050900
174.0,174.0,182.0,172.0,180.0,23480700
176.0,176.0,177.0,171.0,174.0,25752600
177.0,177.0,178.0,174.0,177.0,50037700
175.0,175.0,178.0,174.0,175.0,49041200
176.0,176.0,178.0,173.0,178.0,10646200
172.0,172.0,176.0,172.0,176.0,16171500
172.0,172.0,173.0,167.0,171.0,37976000
180.0,180.0,187.0,170.0,172.0,86012900
191.0,191.0,191.0,178.0,181.0,52280400
197.0,197.0,198.0,189.0,191.0,35318300
224.0,224.0,226.0,195.0,197.0,97804000
222.0,222.0,232.0,218.0,226.0,57587200
222.0,222.0,224.0,216.0,222.0,17497100
220.0,220.0,224.0,200.0,222.0,23182900
208.0,208.0,220.0,204.0,220.0,42588300
206.0,206.0,214.0,193.0,214.0,44346800
212.0,212.0,214.0,197.0,204.0,28940200
224.0,224.0,226.0,206.0,214.0,49145100
216.0,216.0,226.0,216.0,226.0,27004900
250.0,250.0,252.0,210.0,216.0,72919700
248.0,248.0,252.0,236.0,252.0,26520100
242.0,242.0,250.0,218.0,250.0,20306600
238.0,238.0,244.0,230.0,244.0,28481300
244.0,244.0,246.0,232.0,238.0,46372300
240.0,240.0,248.0,238.0,244.0,24177100
242.0,242.0,244.0,230.0,240.0,22533400
268.0,268.0,270.0,238.0,246.0,62216500
260.0,260.0,268.0,252.0,268.0,20035400
250.0,250.0,264.0,248.0,260.0,15827400
256.0,256.0,260.0,246.0,252.0,36362200
254.0,254.0,258.0,246.0,258.0,24398200
222.0,222.0,258.0,192.0,258.0,43385200
206.0,206.0,222.0,200.0,222.0,12205900
202.0,202.0,216.0,202.0,204.0,15159600
168.0,168.0,202.0,168.0,202.0,61218200
149.0,149.0,171.0,141.0,141.0,64675100
109.0,109.0,149.0,106.0,129.0,44472500
112.0,112.0,122.0,71.0,71.0,36719500
114.0,114.0,117.0,108.0,113.0,65487100
115.0,115.0,122.0,105.0,105.0,79497600
113.0,113.0,117.0,106.0,106.0,46514300
113.0,113.0,113.0,113.0,113.0,0
113.0,113.0,113.0,113.0,113.0,0
130.0,130.0,168.0,117.0,117.0,106567400
121.0,121.0,147.0,120.0,121.0,69896200
118.0,118.0,124.0,112.0,112.0,18628100
136.0,136.0,137.0,109.0,109.0,81174400
133.0,133.0,143.0,124.0,138.0,95927500
137.0,137.0,143.0,133.0,133.0,20179900
137.0,137.0,143.0,137.0,138.0,38118800
148.0,148.0,149.0,125.0,138.0,76035800
194.0,194.0,198.0,148.0,149.0,83672100
162.0,162.0,198.0,151.0,198.0,31767200
161.0,161.0,170.0,153.0,161.0,32135000
195.0,195.0,196.0,161.0,161.0,90602900
169.0,169.0,199.0,159.0,197.0,65576600
170.0,170.0,173.0,162.0,170.0,27353400
179.0,179.0,179.0,166.0,171.0,56279400
178.0,178.0,196.0,172.0,179.0,122122500
131.0,131.0,178.0,130.0,178.0,92040800
121.0,121.0,132.0,116.0,131.0,22124300
117.0,117.0,123.0,112.0,112.0,30844300
122.0,122.0,136.0,109.0,109.0,102274800
116.0,116.0,125.0,116.0,122.0,80881600
113.0,113.0,121.0,112.0,116.0,15666700
110.0,110.0,114.0,109.0,113.0,45475600
110.0,110.0,113.0,107.0,110.0,70922700
108.0,108.0,113.0,108.0,111.0,79160700
111.0,111.0,112.0,103.0,103.0,26035200
106.0,106.0,114.0,105.0,111.0,67248500
104.0,104.0,108.0,103.0,107.0,81946000
100.0,100.0,106.0,98.0,103.0,89773300
95.0,95.0,100.0,92.0,92.0,15477900
84.0,84.0,95.0,84.0,94.0,45681200
74.0,74.0,88.0,74.0,81.0,128953100
75.0,75.0,77.0,73.0,74.0,102057500
73.0,73.0,78.0,66.0,66.0,5751700
70.0,70.0,74.0,69.0,74.0,27893900
64.0,64.0,79.0,62.0,79.0,96449000
65.0,65.0,74.0,60.0,74.0,103592000
66.0,66.0,67.0,57.0,57.0,3569000
65.0,65.0,66.0,63.0,66.0,30614700
68.0,68.0,68.0,63.0,63.0,101336200
67.0,67.0,83.0,65.0,68.0,148386300
64.0,64.0,68.0,60.0,60.0,6297000
66.0,66.0,68.0,58.0,58.0,32180800
65.0,65.0,68.0,59.0,59.0,102381900
66.0,66.0,72.0,60.0,60.0,105783200
65.0,65.0,67.0,62.0,65.0,6011800
61.0,61.0,65.0,58.0,64.0,38043900
62.0,62.0,66.0,59.0,59.0,109626100
61.0,61.0,63.0,56.0,56.0,113836400
62.0,62.0,66.0,56.0,56.0,2967300
62.0,62.0,64.0,61.0,63.0,43509900
62.0,62.0,67.0,61.0,61.0,118718200
60.0,60.0,64.0,55.0,55.0,109199000
60.0,60.0,61.0,54.0,54.0,5956500
61.0,61.0,61.0,59.0,60.0,30717600
61.0,61.0,62.0,59.0,61.0,116307200
61.0,61.0,62.0,59.0,61.0,113947000
61.0,61.0,62.0,59.0,59.0,1060600
72.0,72.0,74.0,60.0,60.0,75997800
66.0,66.0,73.0,64.0,64.0,122455900
65.0,65.0,68.0,65.0,68.0,107495000
66.0,66.0,68.0,65.0,65.0,3424600
89.0,89.0,89.0,67.0,67.0,80316100
80.0,80.0,119.0,78.0,100.0,147524900
83.0,83.0,94.0,73.0,73.0,109843900
83.0,83.0,87.0,75.0,75.0,8422600
112.0,112.0,112.0,75.0,75.0,88296100
106.0,106.0,130.0,90.0,114.0,115907000
104.0,104.0,112.0,103.0,106.0,83350100
124.0,124.0,136.0,85.0,95.0,73833700
121.0,121.0,131.0,117.0,124.0,52830700
116.0,116.0,135.0,111.0,121.0,96625500
