Adj Close,Close,High,Low,Open,Volume
ISEA.JK,ISEA.JK,ISEA.JK,ISEA.JK,ISEA.JK,ISEA.JK
312.0,312.0,312.0,250.0,268.0,340905900
320.0,320.0,350.0,254.0,330.0,305122100
380.0,380.0,380.0,320.0,320.0,180160200
468.0,468.0,470.0,380.0,380.0,416315400
352.0,352.0,496.0,352.0,472.0,157940300
354.0,354.0,362.0,264.0,330.0,377554800
378.0,378.0,382.0,338.0,360.0,203321300
378.0,378.0,378.0,378.0,378.0,0
428.0,428.0,428.0,428.0,428.0,100
428.0,428.0,428.0,428.0,428.0,0
428.0,428.0,428.0,428.0,428.0,0
428.0,428.0,428.0,428.0,428.0,0
176.0,176.0,197.0,159.0,159.0,505145400
155.0,155.0,188.0,153.0,179.0,208256700
148.0,148.0,168.0,145.0,155.0,111961600
116.0,116.0,155.0,110.0,148.0,161432900
116.0,116.0,116.0,116.0,116.0,0
137.0,137.0,137.0,110.0,110.0,158136900
129.0,129.0,142.0,126.0,138.0,75885200
117.0,117.0,130.0,117.0,118.0,30373100
117.0,117.0,130.0,112.0,112.0,86466400
115.0,115.0,122.0,110.0,110.0,20779500
115.0,115.0,121.0,115.0,116.0,18224600
110.0,110.0,117.0,108.0,114.0,32874700
109.0,109.0,114.0,106.0,114.0,20027800
111.0,111.0,116.0,99.0,99.0,39923400
110.0,110.0,116.0,107.0,107.0,20391700
108.0,108.0,111.0,100.0,100.0,10999100
106.0,106.0,110.0,105.0,105.0,11700200
102.0,102.0,107.0,102.0,107.0,21152700
102.0,102.0,104.0,101.0,103.0,7856500
105.0,105.0,110.0,101.0,101.0,38588800
103.0,103.0,106.0,100.0,105.0,19286800
103.0,103.0,104.0,94.0,103.0,8329800
102.0,102.0,108.0,102.0,104.0,18110600
102.0,102.0,104.0,94.0,94.0,5770100
102.0,102.0,104.0,93.0,93.0,5294200
100.0,100.0,103.0,100.0,101.0,9319100
99.0,99.0,101.0,98.0,101.0,8267700
98.0,98.0,100.0,91.0,91.0,7452700
98.0,98.0,99.0,83.0,83.0,11551700
99.0,99.0,100.0,98.0,99.0,4386300
97.0,97.0,102.0,96.0,100.0,25850900
95.0,95.0,98.0,95.0,98.0,7507300
95.0,95.0,98.0,94.0,98.0,3786800
94.0,94.0,96.0,93.0,95.0,3962100
94.0,94.0,95.0,93.0,94.0,2869600
94.0,94.0,98.0,93.0,98.0,3289900
94.0,94.0,94.0,92.0,94.0,4462300
94.0,94.0,99.0,94.0,94.0,13123500
94.0,94.0,114.0,93.0,114.0,4228500
94.0,94.0,103.0,93.0,103.0,2055800
93.0,93.0,103.0,92.0,103.0,2901400
93.0,93.0,94.0,92.0,93.0,3008200
93.0,93.0,94.0,92.0,93.0,1868600
92.0,92.0,99.0,91.0,99.0,5647600
91.0,91.0,99.0,90.0,99.0,2741100
90.0,90.0,92.0,88.0,91.0,5837700
89.0,89.0,90.0,87.0,90.0,3530500
86.0,86.0,89.0,80.0,80.0,4859100
85.0,85.0,87.0,79.0,79.0,4171500
84.0,84.0,89.0,83.0,89.0,2417600
82.0,82.0,84.0,81.0,84.0,2505400
79.0,79.0,91.0,78.0,91.0,9153900
79.0,79.0,89.0,77.0,89.0,2906400
80.0,80.0,87.0,77.0,87.0,3191400
80.0,80.0,82.0,79.0,82.0,1185800
80.0,80.0,87.0,79.0,87.0,1384000
94.0,94.0,102.0,79.0,88.0,115296400
90.0,90.0,98.0,90.0,95.0,20828200
87.0,87.0,91.0,81.0,81.0,10424200
87.0,87.0,88.0,86.0,87.0,3749600
91.0,91.0,94.0,86.0,88.0,14893600
89.0,89.0,92.0,83.0,83.0,2980100
90.0,90.0,92.0,90.0,90.0,1990600
90.0,90.0,92.0,89.0,90.0,4838000
86.0,86.0,91.0,85.0,90.0,8092600
85.0,85.0,88.0,84.0,86.0,3043800
83.0,83.0,86.0,82.0,84.0,3482700
84.0,84.0,88.0,75.0,75.0,8005800
81.0,81.0,85.0,80.0,81.0,8848300
80.0,80.0,83.0,80.0,83.0,3317000
80.0,80.0,82.0,79.0,79.0,3356000
78.0,78.0,81.0,73.0,73.0,3415100
86.0,86.0,93.0,79.0,79.0,31716400
82.0,82.0,87.0,78.0,78.0,5712200
79.0,79.0,83.0,78.0,82.0,6677000
79.0,79.0,86.0,77.0,80.0,11610800
80.0,80.0,81.0,75.0,79.0,5777700
80.0,80.0,80.0,73.0,73.0,3087000
78.0,78.0,80.0,78.0,80.0,816700
