Adj Close,Close,High,Low,Open,Volume
JIHD.JK,JIHD.JK,JIHD.JK,JIHD.JK,JIHD.JK,JIHD.JK
400.0,400.0,416.0,400.0,416.0,206000
410.0,410.0,420.0,402.0,402.0,82500
414.0,414.0,418.0,410.0,418.0,16100
418.0,418.0,418.0,414.0,414.0,1300
396.0,396.0,412.0,380.0,404.0,182000
398.0,398.0,412.0,398.0,408.0,10600
410.0,410.0,410.0,392.0,406.0,6300
404.0,404.0,410.0,398.0,408.0,5400
406.0,406.0,410.0,392.0,410.0,135000
402.0,402.0,404.0,398.0,404.0,22200
402.0,402.0,410.0,394.0,398.0,1000
402.0,402.0,408.0,390.0,408.0,5300
398.0,398.0,402.0,390.0,402.0,36900
396.0,396.0,396.0,394.0,394.0,16800
396.0,396.0,396.0,392.0,392.0,10700
394.0,394.0,396.0,394.0,396.0,21200
394.0,394.0,400.0,394.0,394.0,6700
398.0,398.0,398.0,398.0,398.0,300
398.0,398.0,398.0,398.0,398.0,0
392.0,392.0,396.0,384.0,396.0,18400
390.0,390.0,390.0,382.0,382.0,10100
396.0,396.0,396.0,392.0,392.0,300
396.0,396.0,398.0,384.0,398.0,23600
396.0,396.0,396.0,396.0,396.0,0
394.0,394.0,396.0,386.0,396.0,514600
390.0,390.0,390.0,390.0,390.0,2700
396.0,396.0,400.0,388.0,400.0,21000
396.0,396.0,398.0,390.0,396.0,7700
398.0,398.0,398.0,372.0,390.0,53300
394.0,394.0,394.0,382.0,382.0,3100
394.0,394.0,394.0,392.0,394.0,1200
388.0,388.0,396.0,388.0,390.0,138000
392.0,392.0,394.0,384.0,384.0,50700
392.0,392.0,392.0,382.0,392.0,600
392.0,392.0,392.0,392.0,392.0,0
390.0,390.0,390.0,390.0,390.0,1000
390.0,390.0,390.0,388.0,390.0,2300
386.0,386.0,386.0,384.0,386.0,10900
396.0,396.0,396.0,380.0,380.0,304300
396.0,396.0,398.0,390.0,394.0,14200
394.0,394.0,394.0,388.0,388.0,900
392.0,392.0,392.0,388.0,388.0,19900
396.0,396.0,396.0,390.0,396.0,700
390.0,390.0,390.0,382.0,382.0,4200
386.0,386.0,386.0,384.0,384.0,25700
388.0,388.0,390.0,384.0,384.0,7300
386.0,386.0,386.0,382.0,384.0,40900
388.0,388.0,388.0,388.0,388.0,4000
384.0,384.0,388.0,384.0,388.0,400
384.0,384.0,384.0,382.0,384.0,23300
390.0,390.0,390.0,384.0,386.0,10600
390.0,390.0,390.0,382.0,390.0,30200
380.0,380.0,390.0,380.0,390.0,25700
388.0,388.0,388.0,376.0,376.0,200
394.0,394.0,394.0,386.0,386.0,900
392.0,392.0,394.0,378.0,394.0,6900
392.0,392.0,392.0,368.0,368.0,1400
390.0,390.0,396.0,378.0,396.0,5400
390.0,390.0,390.0,380.0,390.0,8000
388.0,388.0,388.0,370.0,370.0,3300
390.0,390.0,390.0,390.0,390.0,100
384.0,384.0,384.0,380.0,384.0,11100
378.0,378.0,380.0,378.0,380.0,1800
378.0,378.0,380.0,378.0,380.0,5500
380.0,380.0,380.0,380.0,380.0,100
380.0,380.0,380.0,376.0,376.0,2000
380.0,380.0,380.0,380.0,380.0,0
378.0,378.0,378.0,374.0,378.0,7000
384.0,384.0,388.0,368.0,374.0,34100
384.0,384.0,384.0,384.0,384.0,0
388.0,388.0,388.0,384.0,384.0,3200
388.0,388.0,388.0,380.0,380.0,500
374.0,374.0,388.0,374.0,386.0,1000
374.0,374.0,384.0,374.0,374.0,1700
376.0,376.0,384.0,370.0,370.0,4300
376.0,376.0,388.0,370.0,374.0,10200
378.0,378.0,380.0,370.0,374.0,7000
386.0,386.0,386.0,366.0,372.0,244100
370.0,370.0,380.0,368.0,368.0,8700
388.0,388.0,388.0,370.0,370.0,1300
380.0,380.0,388.0,380.0,388.0,500
372.0,372.0,378.0,372.0,378.0,8900
378.0,378.0,384.0,372.0,372.0,3800
380.0,380.0,382.0,378.0,382.0,5100
380.0,380.0,380.0,380.0,380.0,900
378.0,378.0,378.0,378.0,378.0,100
378.0,378.0,378.0,378.0,378.0,0
380.0,380.0,380.0,378.0,380.0,700
372.0,372.0,374.0,372.0,374.0,1600
372.0,372.0,372.0,368.0,372.0,3900
372.0,372.0,372.0,370.0,372.0,299400
374.0,374.0,376.0,352.0,376.0,6500
374.0,374.0,374.0,374.0,374.0,100
370.0,370.0,394.0,358.0,364.0,134000
362.0,362.0,370.0,362.0,370.0,19000
370.0,370.0,374.0,362.0,362.0,2200
366.0,366.0,370.0,364.0,370.0,2300
376.0,376.0,380.0,362.0,362.0,9400
362.0,362.0,364.0,360.0,364.0,15000
372.0,372.0,372.0,366.0,366.0,1100
372.0,372.0,372.0,364.0,372.0,7000
368.0,368.0,370.0,368.0,368.0,500
372.0,372.0,372.0,372.0,372.0,1300
368.0,368.0,370.0,362.0,364.0,4100
370.0,370.0,374.0,366.0,368.0,2500
368.0,368.0,368.0,364.0,368.0,3000
360.0,360.0,366.0,360.0,366.0,6700
368.0,368.0,368.0,354.0,360.0,17300
360.0,360.0,366.0,360.0,366.0,4300
370.0,370.0,370.0,360.0,360.0,10200
366.0,366.0,366.0,354.0,354.0,2600
370.0,370.0,370.0,366.0,366.0,10200
366.0,366.0,366.0,358.0,366.0,2900
370.0,370.0,370.0,366.0,366.0,110000
370.0,370.0,370.0,370.0,370.0,100
364.0,364.0,370.0,360.0,370.0,1600
366.0,366.0,370.0,360.0,360.0,14900
366.0,366.0,366.0,362.0,362.0,2100
364.0,364.0,366.0,364.0,366.0,400
348.0,348.0,366.0,330.0,366.0,28200
342.0,342.0,348.0,338.0,338.0,12800
340.0,340.0,340.0,332.0,332.0,300
346.0,346.0,346.0,332.0,340.0,7100
340.0,340.0,344.0,332.0,344.0,17300
338.0,338.0,340.0,336.0,336.0,700
338.0,338.0,338.0,332.0,332.0,900
338.0,338.0,338.0,334.0,334.0,300
344.0,344.0,354.0,322.0,338.0,5700
344.0,344.0,352.0,330.0,330.0,600
374.0,374.0,388.0,318.0,322.0,349100
372.0,372.0,374.0,356.0,368.0,47300
364.0,364.0,380.0,362.0,380.0,4200
374.0,374.0,378.0,356.0,364.0,4100
400.0,400.0,440.0,332.0,374.0,221200
316.0,316.0,412.0,310.0,386.0,515700
320.0,320.0,336.0,316.0,316.0,28900
318.0,318.0,324.0,310.0,320.0,28400
318.0,318.0,326.0,318.0,326.0,42900
318.0,318.0,336.0,318.0,318.0,3300
316.0,316.0,328.0,314.0,318.0,79400
320.0,320.0,330.0,312.0,320.0,29900
314.0,314.0,320.0,314.0,318.0,8600
314.0,314.0,320.0,300.0,310.0,1004000
288.0,288.0,314.0,278.0,314.0,1648500
306.0,306.0,312.0,286.0,288.0,385200
302.0,302.0,312.0,296.0,306.0,42400
300.0,300.0,302.0,300.0,300.0,13300
310.0,310.0,330.0,300.0,300.0,125400
308.0,308.0,312.0,300.0,312.0,11900
304.0,304.0,324.0,302.0,312.0,28200
306.0,306.0,320.0,296.0,320.0,29200
306.0,306.0,310.0,302.0,306.0,46100
306.0,306.0,312.0,300.0,312.0,1400
310.0,310.0,312.0,290.0,310.0,57900
298.0,298.0,310.0,296.0,308.0,58500
304.0,304.0,316.0,300.0,302.0,23600
300.0,300.0,310.0,290.0,300.0,22400
296.0,296.0,298.0,290.0,298.0,16500
298.0,298.0,298.0,298.0,298.0,1200
294.0,294.0,304.0,288.0,304.0,15000
296.0,296.0,296.0,296.0,296.0,500
292.0,292.0,312.0,292.0,296.0,37100
298.0,298.0,298.0,294.0,294.0,3200
298.0,298.0,298.0,296.0,296.0,3300
