Adj Close,Close,High,Low,Open,Volume
KAYU.JK,KAYU.JK,KAYU.JK,KAYU.JK,KAYU.JK,KAYU.JK
482.0,482.0,492.0,478.0,478.0,24308200
482.0,482.0,484.0,480.0,482.0,13797600
484.0,484.0,484.0,478.0,484.0,14938100
484.0,484.0,486.0,482.0,482.0,12428100
478.0,478.0,488.0,478.0,486.0,17846600
478.0,478.0,484.0,470.0,478.0,36953800
468.0,468.0,500.0,468.0,478.0,77303000
484.0,484.0,488.0,462.0,466.0,39564000
498.0,498.0,505.0,480.0,484.0,39539700
535.0,535.0,540.0,490.0,490.0,61233700
565.0,565.0,585.0,500.0,510.0,76687800
550.0,550.0,600.0,540.0,540.0,60490900
530.0,530.0,685.0,525.0,685.0,73720400
550.0,550.0,660.0,525.0,660.0,32080800
565.0,565.0,570.0,530.0,550.0,31166900
575.0,575.0,580.0,426.0,426.0,25574200
580.0,580.0,585.0,555.0,555.0,17201500
575.0,575.0,630.0,560.0,575.0,35050400
565.0,565.0,595.0,555.0,555.0,16497100
570.0,570.0,575.0,545.0,545.0,22748300
575.0,575.0,615.0,428.0,535.0,36151500
570.0,570.0,580.0,535.0,545.0,32097500
600.0,600.0,600.0,555.0,555.0,8716100
610.0,610.0,645.0,585.0,585.0,29682800
625.0,625.0,630.0,595.0,600.0,43283900
605.0,605.0,635.0,600.0,625.0,24757100
585.0,585.0,610.0,580.0,595.0,21730300
440.0,440.0,590.0,440.0,585.0,29391500
330.0,330.0,434.0,330.0,330.0,12488900
248.0,248.0,300.0,248.0,270.0,3493700
186.0,186.0,186.0,186.0,186.0,42371000
121.0,121.0,146.0,121.0,146.0,4962800
79.0,79.0,79.0,79.0,79.0,2895600
79.0,79.0,79.0,79.0,79.0,0
52.0,52.0,52.0,52.0,52.0,17369500
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
52.0,52.0,52.0,52.0,52.0,0
50.0,50.0,50.0,50.0,50.0,17053100
50.0,50.0,50.0,50.0,50.0,1776500
50.0,50.0,50.0,50.0,50.0,173400
50.0,50.0,50.0,50.0,50.0,427300
50.0,50.0,50.0,50.0,50.0,91500
50.0,50.0,50.0,50.0,50.0,122500
50.0,50.0,50.0,50.0,50.0,54700
50.0,50.0,50.0,50.0,50.0,310400
50.0,50.0,50.0,50.0,50.0,10500
50.0,50.0,50.0,50.0,50.0,30900
50.0,50.0,50.0,50.0,50.0,14600
50.0,50.0,50.0,50.0,50.0,223400
50.0,50.0,50.0,50.0,50.0,2185500
50.0,50.0,50.0,50.0,50.0,8903100
50.0,50.0,50.0,50.0,50.0,6200000
50.0,50.0,50.0,50.0,50.0,1013300
50.0,50.0,50.0,50.0,50.0,12600
45.0,45.0,45.0,45.0,45.0,299200
41.0,41.0,41.0,41.0,41.0,626900
37.0,37.0,37.0,37.0,37.0,1445000
34.0,34.0,34.0,34.0,34.0,560900
31.0,31.0,31.0,31.0,31.0,93400
28.0,28.0,28.0,28.0,28.0,840300
26.0,26.0,26.0,26.0,26.0,138600
24.0,24.0,24.0,24.0,24.0,803800
22.0,22.0,22.0,22.0,22.0,1383100
20.0,20.0,20.0,20.0,20.0,1295400
18.0,18.0,18.0,18.0,18.0,434600
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
