Adj Close,Close,High,Low,Open,Volume
KBLV.JK,KBLV.JK,KBLV.JK,KBLV.JK,KBLV.JK,KBLV.JK
77.0,77.0,79.0,70.0,73.0,273800
73.0,73.0,75.0,70.0,75.0,233800
72.0,72.0,73.0,72.0,73.0,28800
74.0,74.0,75.0,70.0,72.0,106400
75.0,75.0,75.0,70.0,70.0,27300
75.0,75.0,75.0,71.0,75.0,21600
72.0,72.0,75.0,71.0,73.0,52000
73.0,73.0,74.0,71.0,74.0,8700
74.0,74.0,74.0,71.0,74.0,23800
75.0,75.0,75.0,73.0,74.0,19600
75.0,75.0,75.0,70.0,75.0,266200
75.0,75.0,75.0,73.0,75.0,53300
75.0,75.0,75.0,72.0,75.0,88500
77.0,77.0,77.0,72.0,75.0,172900
74.0,74.0,77.0,74.0,77.0,20500
73.0,73.0,78.0,72.0,74.0,84600
73.0,73.0,76.0,70.0,76.0,140600
70.0,70.0,75.0,70.0,73.0,554400
73.0,73.0,73.0,69.0,72.0,1446200
70.0,70.0,73.0,70.0,73.0,216300
70.0,70.0,71.0,69.0,71.0,116200
72.0,72.0,73.0,68.0,73.0,2900
71.0,71.0,73.0,69.0,72.0,5400
71.0,71.0,72.0,68.0,71.0,103200
67.0,67.0,71.0,66.0,71.0,102200
72.0,72.0,72.0,70.0,71.0,60000
71.0,71.0,72.0,67.0,72.0,51700
69.0,69.0,72.0,69.0,72.0,15100
69.0,69.0,73.0,69.0,73.0,46000
72.0,72.0,73.0,66.0,73.0,57200
71.0,71.0,74.0,70.0,72.0,70400
72.0,72.0,73.0,70.0,71.0,53400
72.0,72.0,73.0,71.0,71.0,49100
79.0,79.0,79.0,70.0,72.0,281300
75.0,75.0,79.0,75.0,79.0,275300
74.0,74.0,75.0,72.0,75.0,46800
79.0,79.0,80.0,72.0,73.0,103500
74.0,74.0,78.0,74.0,78.0,82100
74.0,74.0,74.0,74.0,74.0,12200
75.0,75.0,78.0,74.0,78.0,47600
76.0,76.0,76.0,76.0,76.0,13200
76.0,76.0,80.0,73.0,78.0,136500
75.0,75.0,82.0,74.0,76.0,73800
73.0,73.0,76.0,73.0,75.0,172500
71.0,71.0,76.0,67.0,76.0,572000
71.0,71.0,74.0,71.0,71.0,24200
74.0,74.0,74.0,70.0,74.0,19800
71.0,71.0,74.0,70.0,74.0,67400
71.0,71.0,73.0,69.0,73.0,107800
70.0,70.0,72.0,69.0,72.0,156600
70.0,70.0,73.0,70.0,70.0,24300
70.0,70.0,72.0,66.0,72.0,179400
71.0,71.0,71.0,66.0,70.0,52900
70.0,70.0,72.0,70.0,72.0,79800
71.0,71.0,72.0,68.0,70.0,86100
70.0,70.0,71.0,70.0,70.0,5700
70.0,70.0,71.0,70.0,70.0,2000
71.0,71.0,71.0,68.0,70.0,85400
71.0,71.0,72.0,67.0,72.0,1100
70.0,70.0,72.0,70.0,70.0,16300
69.0,69.0,72.0,69.0,72.0,27400
69.0,69.0,72.0,68.0,69.0,30200
72.0,72.0,72.0,69.0,71.0,59200
70.0,70.0,70.0,70.0,70.0,15500
71.0,71.0,71.0,68.0,69.0,78300
71.0,71.0,72.0,68.0,68.0,115500
70.0,70.0,71.0,70.0,71.0,2300
69.0,69.0,71.0,67.0,69.0,270800
65.0,65.0,70.0,63.0,70.0,451400
66.0,66.0,67.0,65.0,65.0,102900
66.0,66.0,69.0,65.0,66.0,18800
65.0,65.0,68.0,65.0,66.0,101700
64.0,64.0,67.0,63.0,67.0,20200
66.0,66.0,67.0,63.0,64.0,106300
67.0,67.0,67.0,64.0,64.0,10700
66.0,66.0,67.0,63.0,64.0,19700
63.0,63.0,66.0,63.0,63.0,13300
61.0,61.0,66.0,61.0,63.0,127300
62.0,62.0,63.0,61.0,61.0,9500
63.0,63.0,65.0,63.0,64.0,3400
64.0,64.0,64.0,60.0,64.0,22800
64.0,64.0,64.0,61.0,64.0,1300
61.0,61.0,63.0,58.0,61.0,185600
61.0,61.0,64.0,61.0,62.0,12400
57.0,57.0,62.0,56.0,61.0,225900
56.0,56.0,59.0,56.0,57.0,76500
56.0,56.0,56.0,56.0,56.0,48500
51.0,51.0,52.0,51.0,52.0,244000
