Adj Close,Close,High,Low,Open,Volume
KIAS.JK,KIAS.JK,KIAS.JK,KIAS.JK,KIAS.JK,KIAS.JK
16.0,16.0,16.0,16.0,16.0,29100
15.0,15.0,15.0,15.0,15.0,55700
15.0,15.0,15.0,15.0,15.0,235200
15.0,15.0,15.0,15.0,15.0,36800
15.0,15.0,15.0,15.0,15.0,102000
15.0,15.0,15.0,15.0,15.0,12100
15.0,15.0,15.0,15.0,15.0,8300
14.0,14.0,15.0,14.0,15.0,773300
14.0,14.0,14.0,14.0,14.0,8700
14.0,14.0,14.0,14.0,14.0,868800
14.0,14.0,14.0,14.0,14.0,135500
15.0,15.0,15.0,15.0,15.0,1495800
15.0,15.0,15.0,15.0,15.0,12600
15.0,15.0,15.0,15.0,15.0,22700
15.0,15.0,15.0,15.0,15.0,526300
14.0,14.0,14.0,14.0,14.0,221700
14.0,14.0,14.0,14.0,14.0,22100
14.0,14.0,14.0,14.0,14.0,534600
14.0,14.0,14.0,14.0,14.0,1656200
14.0,14.0,14.0,14.0,14.0,225600
14.0,14.0,14.0,14.0,14.0,775600
14.0,14.0,14.0,14.0,14.0,120600
15.0,15.0,15.0,15.0,15.0,1081400
15.0,15.0,15.0,14.0,14.0,30100
15.0,15.0,15.0,15.0,15.0,132800
14.0,14.0,15.0,14.0,15.0,390600
14.0,14.0,14.0,14.0,14.0,1042400
14.0,14.0,14.0,14.0,14.0,219800
15.0,15.0,15.0,14.0,14.0,1088000
14.0,14.0,14.0,14.0,14.0,144500
14.0,14.0,14.0,14.0,14.0,262500
15.0,15.0,15.0,15.0,15.0,464800
15.0,15.0,15.0,15.0,15.0,5900
15.0,15.0,15.0,14.0,14.0,9600
15.0,15.0,15.0,15.0,15.0,553800
15.0,15.0,15.0,15.0,15.0,1300
14.0,14.0,15.0,14.0,15.0,321000
14.0,14.0,14.0,14.0,14.0,256700
14.0,14.0,14.0,14.0,14.0,137200
14.0,14.0,14.0,14.0,14.0,19100
14.0,14.0,14.0,14.0,14.0,383700
14.0,14.0,14.0,14.0,14.0,441100
15.0,15.0,15.0,14.0,14.0,290800
15.0,15.0,15.0,15.0,15.0,1131900
14.0,14.0,14.0,14.0,14.0,125000
15.0,15.0,15.0,14.0,14.0,571900
15.0,15.0,15.0,14.0,14.0,231400
15.0,15.0,15.0,15.0,15.0,160600
14.0,14.0,14.0,14.0,14.0,581200
15.0,15.0,15.0,14.0,14.0,253100
15.0,15.0,15.0,15.0,15.0,39600
14.0,14.0,14.0,14.0,14.0,110400
15.0,15.0,15.0,14.0,14.0,607500
14.0,14.0,14.0,14.0,14.0,1223500
14.0,14.0,14.0,14.0,14.0,177600
14.0,14.0,15.0,14.0,15.0,103400
15.0,15.0,15.0,14.0,14.0,3105200
14.0,14.0,14.0,14.0,14.0,44900
15.0,15.0,15.0,14.0,14.0,797800
14.0,14.0,14.0,14.0,14.0,266600
14.0,14.0,14.0,14.0,14.0,1129600
14.0,14.0,14.0,14.0,14.0,390500
14.0,14.0,14.0,14.0,14.0,126200
14.0,14.0,14.0,14.0,14.0,362700
14.0,14.0,14.0,14.0,14.0,11900
14.0,14.0,14.0,14.0,14.0,339700
15.0,15.0,15.0,14.0,14.0,206000
