Adj Close,Close,High,Low,Open,Volume
KLIN.JK,KLIN.JK,KLIN.JK,KLIN.JK,KLIN.JK,KLIN.JK
34.0,34.0,35.0,33.0,34.0,1813600
34.0,34.0,34.0,32.0,34.0,397300
34.0,34.0,34.0,33.0,33.0,11300
34.0,34.0,34.0,33.0,34.0,26900
34.0,34.0,34.0,33.0,33.0,20300
33.0,33.0,34.0,32.0,33.0,239400
32.0,32.0,33.0,32.0,33.0,315200
31.0,31.0,32.0,31.0,32.0,104400
33.0,33.0,33.0,31.0,31.0,116100
34.0,34.0,35.0,33.0,34.0,96400
35.0,35.0,35.0,33.0,35.0,22000
33.0,33.0,35.0,33.0,35.0,298900
33.0,33.0,34.0,32.0,33.0,115700
34.0,34.0,34.0,33.0,33.0,35600
34.0,34.0,34.0,32.0,34.0,493300
33.0,33.0,35.0,31.0,34.0,378500
33.0,33.0,33.0,32.0,32.0,213500
32.0,32.0,33.0,31.0,32.0,732600
31.0,31.0,32.0,30.0,32.0,242400
30.0,30.0,33.0,28.0,32.0,825800
30.0,30.0,30.0,29.0,30.0,16800
30.0,30.0,30.0,29.0,30.0,79000
30.0,30.0,30.0,27.0,29.0,316000
31.0,31.0,32.0,30.0,30.0,67800
30.0,30.0,31.0,30.0,31.0,38500
30.0,30.0,31.0,28.0,31.0,36900
31.0,31.0,32.0,30.0,31.0,76500
30.0,30.0,31.0,30.0,31.0,13700
29.0,29.0,30.0,28.0,30.0,147100
29.0,29.0,29.0,27.0,29.0,111200
28.0,28.0,29.0,26.0,28.0,293300
28.0,28.0,29.0,27.0,28.0,92000
28.0,28.0,30.0,27.0,29.0,611100
28.0,28.0,30.0,27.0,30.0,60000
28.0,28.0,28.0,27.0,28.0,31800
29.0,29.0,29.0,28.0,28.0,225400
29.0,29.0,30.0,28.0,29.0,92000
29.0,29.0,29.0,28.0,29.0,198200
29.0,29.0,29.0,27.0,27.0,319100
27.0,27.0,29.0,27.0,27.0,691300
27.0,27.0,28.0,26.0,28.0,843600
27.0,27.0,27.0,27.0,27.0,0
25.0,25.0,26.0,24.0,26.0,1995500
23.0,23.0,25.0,23.0,25.0,2162100
23.0,23.0,24.0,22.0,23.0,87300
24.0,24.0,24.0,23.0,24.0,16500
24.0,24.0,24.0,22.0,24.0,681700
23.0,23.0,24.0,22.0,24.0,357200
24.0,24.0,24.0,22.0,23.0,30100
24.0,24.0,24.0,22.0,24.0,129000
22.0,22.0,23.0,22.0,23.0,1152300
23.0,23.0,23.0,21.0,22.0,169100
23.0,23.0,23.0,22.0,23.0,107300
22.0,22.0,23.0,21.0,23.0,303800
21.0,21.0,22.0,20.0,21.0,261500
21.0,21.0,22.0,20.0,21.0,1349700
21.0,21.0,22.0,20.0,21.0,168600
21.0,21.0,21.0,21.0,21.0,22300
21.0,21.0,22.0,21.0,22.0,24300
22.0,22.0,22.0,21.0,21.0,93600
22.0,22.0,22.0,20.0,22.0,165800
22.0,22.0,22.0,21.0,21.0,195100
21.0,21.0,22.0,20.0,22.0,418700
21.0,21.0,22.0,21.0,22.0,59400
21.0,21.0,22.0,20.0,22.0,104800
21.0,21.0,22.0,20.0,20.0,325200
22.0,22.0,22.0,20.0,21.0,14200
22.0,22.0,22.0,21.0,22.0,18300
21.0,21.0,22.0,20.0,22.0,533900
21.0,21.0,21.0,19.0,21.0,227900
21.0,21.0,21.0,19.0,21.0,635500
20.0,20.0,20.0,19.0,20.0,165200
20.0,20.0,20.0,18.0,20.0,237800
19.0,19.0,20.0,18.0,20.0,400400
19.0,19.0,20.0,18.0,19.0,960500
19.0,19.0,19.0,18.0,19.0,421100
19.0,19.0,19.0,18.0,19.0,243300
19.0,19.0,19.0,18.0,18.0,630200
18.0,18.0,19.0,18.0,19.0,775300
17.0,17.0,19.0,17.0,18.0,950500
18.0,18.0,18.0,16.0,18.0,196300
18.0,18.0,18.0,17.0,18.0,82200
18.0,18.0,18.0,17.0,17.0,3700
17.0,17.0,18.0,17.0,18.0,22800
18.0,18.0,18.0,17.0,17.0,62700
18.0,18.0,18.0,17.0,18.0,3100
18.0,18.0,18.0,18.0,18.0,0
18.0,18.0,18.0,18.0,18.0,0
16.0,16.0,17.0,16.0,17.0,1091100
15.0,15.0,16.0,15.0,15.0,316200
15.0,15.0,16.0,14.0,14.0,844800
15.0,15.0,15.0,14.0,15.0,297800
15.0,15.0,15.0,14.0,15.0,286900
16.0,16.0,16.0,14.0,15.0,324800
15.0,15.0,17.0,15.0,16.0,271200
16.0,16.0,16.0,14.0,15.0,1914400
15.0,15.0,16.0,15.0,15.0,229200
15.0,15.0,15.0,14.0,15.0,782600
15.0,15.0,15.0,14.0,15.0,258600
15.0,15.0,15.0,14.0,14.0,88000
14.0,14.0,15.0,14.0,15.0,432200
14.0,14.0,15.0,13.0,14.0,92200
15.0,15.0,15.0,13.0,14.0,228900
15.0,15.0,15.0,14.0,15.0,89400
15.0,15.0,15.0,14.0,15.0,237800
14.0,14.0,15.0,14.0,14.0,124600
15.0,15.0,15.0,14.0,14.0,77600
15.0,15.0,15.0,14.0,14.0,374700
14.0,14.0,15.0,14.0,15.0,99300
15.0,15.0,15.0,13.0,15.0,375600
15.0,15.0,15.0,14.0,14.0,246900
15.0,15.0,15.0,15.0,15.0,1700
15.0,15.0,15.0,14.0,15.0,38700
14.0,14.0,14.0,14.0,14.0,151800
14.0,14.0,15.0,13.0,14.0,47500
14.0,14.0,14.0,14.0,14.0,5500
14.0,14.0,14.0,13.0,14.0,43900
15.0,15.0,15.0,13.0,14.0,652200
14.0,14.0,15.0,14.0,15.0,508400
14.0,14.0,14.0,13.0,14.0,101500
14.0,14.0,14.0,14.0,14.0,16000
14.0,14.0,14.0,13.0,13.0,155000
14.0,14.0,14.0,13.0,13.0,39600
13.0,13.0,14.0,13.0,14.0,112300
14.0,14.0,14.0,13.0,14.0,474600
14.0,14.0,14.0,13.0,14.0,174300
13.0,13.0,14.0,13.0,13.0,105300
13.0,13.0,14.0,12.0,13.0,420300
13.0,13.0,14.0,12.0,13.0,209000
12.0,12.0,13.0,12.0,13.0,1477000
11.0,11.0,12.0,11.0,11.0,2009900
11.0,11.0,12.0,10.0,12.0,48600
12.0,12.0,12.0,11.0,11.0,166100
13.0,13.0,13.0,11.0,12.0,1443400
12.0,12.0,14.0,12.0,14.0,982200
13.0,13.0,13.0,12.0,12.0,806300
14.0,14.0,14.0,14.0,14.0,505500
15.0,15.0,15.0,15.0,15.0,964800
16.0,16.0,16.0,16.0,16.0,560600
17.0,17.0,17.0,17.0,17.0,397100
18.0,18.0,18.0,18.0,18.0,461900
19.0,19.0,19.0,19.0,19.0,227000
20.0,20.0,20.0,20.0,20.0,354900
22.0,22.0,22.0,21.0,21.0,1234600
24.0,24.0,24.0,24.0,24.0,313800
26.0,26.0,26.0,26.0,26.0,21700
28.0,28.0,28.0,26.0,28.0,2259000
28.0,28.0,28.0,26.0,27.0,415300
28.0,28.0,28.0,26.0,28.0,249300
29.0,29.0,29.0,26.0,28.0,496600
30.0,30.0,30.0,29.0,29.0,219200
30.0,30.0,30.0,27.0,29.0,295500
28.0,28.0,29.0,27.0,29.0,47200
26.0,26.0,28.0,26.0,28.0,96600
25.0,25.0,27.0,24.0,26.0,285600
24.0,24.0,24.0,23.0,24.0,450200
25.0,25.0,25.0,22.0,24.0,220900
25.0,25.0,25.0,23.0,25.0,159500
23.0,23.0,24.0,23.0,24.0,197100
21.0,21.0,22.0,21.0,22.0,276600
19.0,19.0,20.0,19.0,20.0,474500
20.0,20.0,20.0,18.0,19.0,3950000
20.0,20.0,20.0,18.0,20.0,951300
19.0,19.0,20.0,18.0,20.0,1525500
18.0,18.0,19.0,18.0,19.0,380200
19.0,19.0,19.0,18.0,19.0,1496000
19.0,19.0,20.0,18.0,20.0,1842100
19.0,19.0,20.0,18.0,20.0,591900
19.0,19.0,19.0,18.0,19.0,1753100
18.0,18.0,19.0,18.0,18.0,911300
18.0,18.0,19.0,18.0,19.0,2287100
18.0,18.0,19.0,18.0,18.0,1382600
18.0,18.0,18.0,17.0,18.0,1061100
17.0,17.0,18.0,17.0,18.0,831100
17.0,17.0,18.0,17.0,18.0,641300
16.0,16.0,17.0,16.0,17.0,669900
17.0,17.0,17.0,16.0,16.0,331600
17.0,17.0,17.0,16.0,17.0,1110400
16.0,16.0,17.0,16.0,17.0,555300
16.0,16.0,16.0,15.0,16.0,173900
16.0,16.0,16.0,15.0,16.0,91400
16.0,16.0,16.0,15.0,16.0,192800
15.0,15.0,16.0,15.0,16.0,1534000
16.0,16.0,16.0,15.0,15.0,5262800
17.0,17.0,17.0,16.0,17.0,5281900
18.0,18.0,18.0,16.0,17.0,2695600
18.0,18.0,18.0,17.0,18.0,908700
18.0,18.0,19.0,17.0,18.0,2507600
18.0,18.0,19.0,18.0,18.0,2354500
18.0,18.0,19.0,17.0,19.0,1328800
17.0,17.0,18.0,17.0,18.0,2884600
18.0,18.0,18.0,16.0,17.0,6771900
18.0,18.0,19.0,17.0,18.0,6155300
18.0,18.0,19.0,17.0,18.0,2659600
17.0,17.0,18.0,17.0,18.0,1473800
18.0,18.0,18.0,17.0,17.0,441500
18.0,18.0,18.0,17.0,17.0,1404100
19.0,19.0,19.0,17.0,18.0,6060100
20.0,20.0,20.0,19.0,19.0,3437600
22.0,22.0,22.0,22.0,22.0,2523800
24.0,24.0,24.0,24.0,24.0,1283200
26.0,26.0,26.0,26.0,26.0,460700
28.0,28.0,28.0,28.0,28.0,692500
