Adj Close,Close,High,Low,Open,Volume
KOPI.JK,KOPI.JK,KOPI.JK,KOPI.JK,KOPI.JK,KOPI.JK
320.0,320.0,336.0,316.0,336.0,300
320.0,320.0,320.0,320.0,320.0,500
320.0,320.0,340.0,320.0,328.0,600
316.0,316.0,320.0,316.0,320.0,500
316.0,316.0,316.0,314.0,314.0,200
328.0,328.0,332.0,316.0,316.0,17900
332.0,332.0,340.0,328.0,328.0,17100
344.0,344.0,348.0,334.0,334.0,301300
430.0,430.0,430.0,348.0,356.0,540200
360.0,360.0,474.0,350.0,474.0,928200
362.0,362.0,370.0,356.0,368.0,111400
374.0,374.0,386.0,364.0,366.0,230400
400.0,400.0,406.0,370.0,374.0,177300
432.0,432.0,438.0,380.0,400.0,77300
490.0,490.0,540.0,430.0,432.0,857000
575.0,575.0,610.0,490.0,490.0,1068700
490.0,490.0,580.0,480.0,580.0,511600
430.0,430.0,505.0,430.0,480.0,105300
448.0,448.0,460.0,430.0,436.0,74200
406.0,406.0,472.0,366.0,458.0,40200
444.0,444.0,505.0,392.0,406.0,318400
484.0,484.0,535.0,440.0,454.0,1024800
460.0,460.0,500.0,460.0,490.0,99100
418.0,418.0,460.0,400.0,460.0,654700
418.0,418.0,456.0,416.0,424.0,103000
424.0,424.0,450.0,396.0,418.0,136500
404.0,404.0,440.0,404.0,424.0,22200
396.0,396.0,406.0,380.0,406.0,56900
408.0,408.0,418.0,380.0,396.0,1800
388.0,388.0,414.0,376.0,414.0,41900
368.0,368.0,400.0,366.0,400.0,22000
352.0,352.0,368.0,352.0,368.0,11700
356.0,356.0,360.0,342.0,360.0,84900
360.0,360.0,390.0,342.0,342.0,28500
376.0,376.0,400.0,360.0,360.0,40500
380.0,380.0,390.0,362.0,376.0,29400
360.0,360.0,386.0,342.0,364.0,61900
350.0,350.0,360.0,348.0,350.0,25500
334.0,334.0,356.0,328.0,350.0,95700
338.0,338.0,344.0,332.0,332.0,61000
334.0,334.0,342.0,330.0,330.0,30600
338.0,338.0,340.0,334.0,336.0,51500
366.0,366.0,388.0,346.0,346.0,221000
362.0,362.0,396.0,350.0,388.0,48500
346.0,346.0,388.0,342.0,362.0,106300
346.0,346.0,364.0,338.0,346.0,48300
332.0,332.0,346.0,332.0,332.0,23700
334.0,334.0,354.0,330.0,332.0,57800
322.0,322.0,346.0,312.0,336.0,71200
318.0,318.0,328.0,312.0,326.0,10500
328.0,328.0,330.0,300.0,310.0,20300
