Adj Close,Close,High,Low,Open,Volume
KUAS.JK,KUAS.JK,KUAS.JK,KUAS.JK,KUAS.JK,KUAS.JK
52.0,52.0,52.0,51.0,52.0,459000
51.0,51.0,52.0,51.0,52.0,229500
51.0,51.0,52.0,51.0,52.0,146500
52.0,52.0,52.0,50.0,50.0,1397000
52.0,52.0,52.0,51.0,52.0,191600
51.0,51.0,52.0,51.0,52.0,1040200
52.0,52.0,52.0,51.0,51.0,673000
52.0,52.0,52.0,51.0,52.0,84200
52.0,52.0,52.0,51.0,52.0,191200
52.0,52.0,53.0,51.0,52.0,1778600
52.0,52.0,52.0,51.0,52.0,204800
52.0,52.0,53.0,51.0,52.0,1201800
53.0,53.0,53.0,52.0,52.0,381000
53.0,53.0,53.0,51.0,53.0,986700
52.0,52.0,53.0,52.0,52.0,539200
52.0,52.0,52.0,51.0,52.0,1176900
51.0,51.0,52.0,50.0,52.0,9981300
52.0,52.0,52.0,51.0,51.0,1534400
51.0,51.0,52.0,51.0,52.0,303300
51.0,51.0,52.0,51.0,52.0,924400
50.0,50.0,52.0,50.0,50.0,1955600
50.0,50.0,51.0,50.0,50.0,1337700
51.0,51.0,51.0,50.0,50.0,2046500
52.0,52.0,52.0,50.0,50.0,1063700
52.0,52.0,52.0,51.0,52.0,480300
51.0,51.0,52.0,51.0,52.0,1275400
51.0,51.0,51.0,50.0,51.0,254500
50.0,50.0,51.0,50.0,51.0,475800
50.0,50.0,51.0,50.0,50.0,53700
51.0,51.0,51.0,50.0,51.0,266700
51.0,51.0,51.0,50.0,50.0,414500
50.0,50.0,51.0,50.0,51.0,909100
50.0,50.0,53.0,50.0,51.0,7473300
51.0,51.0,52.0,50.0,50.0,427400
52.0,52.0,52.0,51.0,51.0,220900
52.0,52.0,52.0,51.0,52.0,203200
52.0,52.0,52.0,51.0,52.0,561800
52.0,52.0,52.0,51.0,52.0,127700
51.0,51.0,52.0,50.0,52.0,475300
51.0,51.0,52.0,50.0,51.0,398200
50.0,50.0,52.0,50.0,50.0,291900
50.0,50.0,50.0,50.0,50.0,0
52.0,52.0,52.0,50.0,51.0,312500
52.0,52.0,52.0,51.0,52.0,39500
51.0,51.0,52.0,51.0,52.0,183400
51.0,51.0,52.0,51.0,52.0,229400
52.0,52.0,52.0,50.0,51.0,486600
52.0,52.0,52.0,50.0,52.0,306400
51.0,51.0,52.0,51.0,52.0,525800
51.0,51.0,51.0,50.0,51.0,714900
52.0,52.0,52.0,50.0,51.0,1236100
52.0,52.0,52.0,51.0,52.0,887400
52.0,52.0,52.0,50.0,52.0,959400
52.0,52.0,52.0,51.0,52.0,173000
51.0,51.0,52.0,51.0,51.0,240900
51.0,51.0,52.0,51.0,52.0,225100
52.0,52.0,52.0,51.0,51.0,268300
51.0,51.0,52.0,51.0,52.0,994400
51.0,51.0,52.0,51.0,52.0,318900
52.0,52.0,52.0,51.0,51.0,195400
52.0,52.0,52.0,51.0,52.0,820400
52.0,52.0,53.0,51.0,52.0,2610000
51.0,51.0,53.0,51.0,51.0,4761600
52.0,52.0,52.0,51.0,52.0,305700
52.0,52.0,52.0,51.0,52.0,363500
52.0,52.0,52.0,51.0,52.0,688800
53.0,53.0,53.0,51.0,52.0,1572100
52.0,52.0,53.0,52.0,53.0,176400
52.0,52.0,53.0,52.0,52.0,52900
52.0,52.0,52.0,51.0,51.0,35700
52.0,52.0,52.0,51.0,52.0,138700
52.0,52.0,52.0,51.0,51.0,316900
52.0,52.0,53.0,51.0,52.0,133900
52.0,52.0,52.0,51.0,52.0,52600
52.0,52.0,52.0,51.0,52.0,445800
52.0,52.0,52.0,51.0,52.0,400500
52.0,52.0,52.0,51.0,52.0,43900
52.0,52.0,52.0,50.0,50.0,122400
52.0,52.0,52.0,51.0,52.0,126300
53.0,53.0,53.0,52.0,52.0,337200
52.0,52.0,53.0,51.0,53.0,76500
53.0,53.0,53.0,52.0,53.0,51500
55.0,55.0,60.0,53.0,56.0,35972300
53.0,53.0,56.0,53.0,55.0,5404600
53.0,53.0,57.0,53.0,54.0,8533000
53.0,53.0,54.0,53.0,54.0,519300
53.0,53.0,53.0,53.0,53.0,0
53.0,53.0,53.0,53.0,53.0,0
52.0,52.0,54.0,52.0,54.0,393700
51.0,51.0,53.0,50.0,52.0,12110800
51.0,51.0,52.0,50.0,52.0,1333000
52.0,52.0,52.0,50.0,51.0,1314000
50.0,50.0,52.0,50.0,52.0,2968400
51.0,51.0,52.0,50.0,51.0,2827400
51.0,51.0,51.0,50.0,51.0,522000
51.0,51.0,51.0,50.0,51.0,509200
50.0,50.0,51.0,50.0,51.0,969300
52.0,52.0,52.0,50.0,50.0,1320800
50.0,50.0,52.0,50.0,52.0,7204900
51.0,51.0,51.0,50.0,50.0,969900
51.0,51.0,51.0,50.0,50.0,672100
51.0,51.0,51.0,50.0,50.0,204800
51.0,51.0,51.0,50.0,51.0,497100
50.0,50.0,51.0,50.0,51.0,1687100
51.0,51.0,51.0,50.0,51.0,120800
51.0,51.0,51.0,50.0,51.0,187900
51.0,51.0,51.0,50.0,51.0,3614000
52.0,52.0,52.0,50.0,51.0,426400
51.0,51.0,52.0,50.0,51.0,248600
52.0,52.0,52.0,50.0,52.0,436100
51.0,51.0,52.0,50.0,52.0,5461900
50.0,50.0,51.0,50.0,50.0,913100
51.0,51.0,51.0,50.0,51.0,206000
51.0,51.0,51.0,50.0,51.0,124500
51.0,51.0,51.0,50.0,51.0,172600
51.0,51.0,53.0,50.0,51.0,1736300
52.0,52.0,52.0,51.0,51.0,210100
53.0,53.0,54.0,51.0,52.0,1865000
53.0,53.0,54.0,52.0,53.0,1520600
53.0,53.0,54.0,53.0,53.0,1215900
54.0,54.0,55.0,53.0,53.0,1999500
54.0,54.0,54.0,52.0,54.0,1820300
51.0,51.0,53.0,50.0,52.0,1578000
50.0,50.0,51.0,50.0,51.0,2376500
50.0,50.0,51.0,50.0,50.0,1304500
50.0,50.0,50.0,50.0,50.0,139000
50.0,50.0,50.0,50.0,50.0,682200
50.0,50.0,50.0,50.0,50.0,35900
50.0,50.0,50.0,50.0,50.0,1120900
50.0,50.0,51.0,50.0,50.0,839100
50.0,50.0,50.0,50.0,50.0,18400
50.0,50.0,50.0,50.0,50.0,60800
50.0,50.0,50.0,50.0,50.0,5900
50.0,50.0,50.0,50.0,50.0,86600
50.0,50.0,50.0,50.0,50.0,455500
50.0,50.0,50.0,50.0,50.0,26900
50.0,50.0,50.0,50.0,50.0,7900
50.0,50.0,50.0,50.0,50.0,14500
50.0,50.0,50.0,50.0,50.0,171800
50.0,50.0,50.0,50.0,50.0,9600
50.0,50.0,50.0,50.0,50.0,17600
50.0,50.0,50.0,50.0,50.0,471600
50.0,50.0,50.0,50.0,50.0,291200
50.0,50.0,50.0,50.0,50.0,147400
50.0,50.0,51.0,50.0,50.0,2060800
50.0,50.0,50.0,50.0,50.0,591700
50.0,50.0,53.0,50.0,50.0,872300
50.0,50.0,51.0,50.0,50.0,637800
50.0,50.0,50.0,50.0,50.0,1654400
50.0,50.0,50.0,50.0,50.0,710400
50.0,50.0,50.0,50.0,50.0,891300
50.0,50.0,50.0,50.0,50.0,733600
52.0,52.0,52.0,50.0,50.0,1692800
51.0,51.0,52.0,50.0,52.0,194400
51.0,51.0,52.0,50.0,52.0,207900
50.0,50.0,51.0,50.0,50.0,1515600
51.0,51.0,52.0,50.0,51.0,641300
51.0,51.0,51.0,50.0,51.0,808500
51.0,51.0,51.0,50.0,51.0,273800
50.0,50.0,51.0,50.0,50.0,1703300
50.0,50.0,50.0,50.0,50.0,605600
50.0,50.0,50.0,50.0,50.0,163700
50.0,50.0,50.0,50.0,50.0,1186800
50.0,50.0,50.0,50.0,50.0,199400
50.0,50.0,51.0,50.0,50.0,2549200
51.0,51.0,51.0,50.0,51.0,247200
50.0,50.0,51.0,50.0,50.0,511000
50.0,50.0,51.0,50.0,50.0,546500
50.0,50.0,50.0,50.0,50.0,226200
50.0,50.0,50.0,50.0,50.0,132200
50.0,50.0,51.0,50.0,50.0,888200
50.0,50.0,51.0,50.0,51.0,736200
51.0,51.0,51.0,50.0,50.0,1533200
50.0,50.0,51.0,50.0,51.0,526100
51.0,51.0,51.0,50.0,51.0,380500
51.0,51.0,51.0,50.0,50.0,609700
51.0,51.0,51.0,50.0,50.0,237800
51.0,51.0,51.0,50.0,51.0,445600
50.0,50.0,51.0,50.0,51.0,859300
52.0,52.0,53.0,50.0,50.0,4212500
52.0,52.0,52.0,50.0,52.0,529400
52.0,52.0,52.0,50.0,52.0,468400
52.0,52.0,52.0,50.0,52.0,1226800
