Adj Close,Close,High,Low,Open,Volume
LFLO.JK,LFLO.JK,LFLO.JK,LFLO.JK,LFLO.JK,LFLO.JK
50.0,50.0,53.0,49.0,49.0,54000
51.0,51.0,54.0,49.0,49.0,80300
48.0,48.0,52.0,47.0,47.0,1700
48.0,48.0,54.0,48.0,51.0,100500
52.0,52.0,52.0,48.0,48.0,120100
53.0,53.0,53.0,50.0,52.0,209400
53.0,53.0,54.0,48.0,50.0,210200
58.0,58.0,58.0,51.0,53.0,446600
63.0,63.0,63.0,54.0,62.0,774400
66.0,66.0,69.0,60.0,65.0,1196000
73.0,73.0,75.0,67.0,69.0,961000
73.0,73.0,76.0,68.0,71.0,1273700
75.0,75.0,76.0,70.0,75.0,748600
80.0,80.0,82.0,74.0,75.0,3728700
79.0,79.0,82.0,77.0,80.0,309200
77.0,77.0,83.0,75.0,81.0,1682900
75.0,75.0,82.0,72.0,77.0,5309100
75.0,75.0,80.0,70.0,72.0,840700
68.0,68.0,81.0,68.0,77.0,2095800
63.0,63.0,70.0,62.0,62.0,784500
57.0,57.0,65.0,57.0,65.0,1074200
52.0,52.0,61.0,52.0,57.0,803700
47.0,47.0,56.0,47.0,52.0,576600
48.0,48.0,52.0,48.0,52.0,375500
52.0,52.0,52.0,45.0,52.0,219800
57.0,57.0,57.0,52.0,52.0,1219900
62.0,62.0,62.0,58.0,59.0,736700
65.0,65.0,66.0,62.0,66.0,1436800
59.0,59.0,66.0,59.0,65.0,1402000
56.0,56.0,61.0,55.0,60.0,833100
60.0,60.0,60.0,57.0,59.0,66200
60.0,60.0,60.0,56.0,57.0,58500
60.0,60.0,64.0,58.0,60.0,1908800
60.0,60.0,60.0,57.0,60.0,1544600
59.0,59.0,60.0,55.0,59.0,3390700
58.0,58.0,59.0,57.0,59.0,1063800
57.0,57.0,61.0,57.0,57.0,1989600
57.0,57.0,60.0,56.0,57.0,504200
57.0,57.0,58.0,55.0,55.0,908600
55.0,55.0,57.0,55.0,56.0,89500
57.0,57.0,57.0,55.0,55.0,110000
57.0,57.0,57.0,57.0,57.0,0
54.0,54.0,55.0,54.0,55.0,99900
53.0,53.0,58.0,53.0,55.0,237900
54.0,54.0,54.0,52.0,53.0,119600
53.0,53.0,55.0,53.0,53.0,44600
56.0,56.0,56.0,53.0,55.0,183500
52.0,52.0,57.0,51.0,57.0,262100
53.0,53.0,56.0,53.0,53.0,184900
52.0,52.0,56.0,50.0,51.0,303700
51.0,51.0,55.0,50.0,52.0,62100
53.0,53.0,54.0,50.0,51.0,59100
52.0,52.0,55.0,48.0,55.0,95200
53.0,53.0,53.0,52.0,52.0,17500
52.0,52.0,52.0,50.0,50.0,4500
51.0,51.0,53.0,50.0,53.0,21200
53.0,53.0,55.0,46.0,55.0,83200
52.0,52.0,53.0,48.0,53.0,5700
53.0,53.0,53.0,50.0,53.0,10100
52.0,52.0,53.0,49.0,53.0,400
54.0,54.0,57.0,52.0,57.0,6200
55.0,55.0,58.0,50.0,58.0,6800
53.0,53.0,55.0,53.0,55.0,3900
51.0,51.0,56.0,48.0,53.0,13500
