Adj Close,Close,High,Low,Open,Volume
LPKR.JK,LPKR.JK,LPKR.JK,LPKR.JK,LPKR.JK,LPKR.JK
86.0,86.0,86.0,84.0,84.0,1170400
89.0,89.0,89.0,84.0,87.0,8742100
87.0,87.0,89.0,87.0,89.0,2952300
85.0,85.0,88.0,85.0,87.0,9842600
85.0,85.0,86.0,83.0,86.0,7035500
87.0,87.0,87.0,84.0,84.0,5706100
86.0,86.0,87.0,85.0,86.0,4606700
86.0,86.0,87.0,84.0,86.0,12031900
86.0,86.0,87.0,85.0,86.0,6001000
86.0,86.0,88.0,85.0,86.0,11485000
83.0,83.0,87.0,80.0,87.0,60650900
83.0,83.0,85.0,82.0,83.0,41803400
88.0,88.0,88.0,83.0,84.0,21151100
87.0,87.0,88.0,86.0,88.0,16195300
86.0,86.0,88.0,84.0,87.0,19894300
85.0,85.0,87.0,85.0,87.0,6083100
86.0,86.0,87.0,84.0,85.0,4382600
83.0,83.0,86.0,82.0,86.0,13112700
83.0,83.0,85.0,82.0,84.0,6514200
80.0,80.0,84.0,77.0,83.0,24865100
78.0,78.0,81.0,78.0,81.0,8845800
77.0,77.0,80.0,75.0,79.0,11247600
81.0,81.0,83.0,77.0,78.0,14853900
78.0,78.0,83.0,78.0,81.0,12637600
82.0,82.0,84.0,78.0,80.0,18640300
79.0,79.0,82.0,79.0,82.0,8017800
82.0,82.0,83.0,79.0,79.0,11942900
84.0,84.0,86.0,80.0,82.0,23468500
84.0,84.0,85.0,81.0,85.0,13690400
83.0,83.0,87.0,83.0,83.0,12736600
97.0,97.0,99.0,83.0,84.0,100668200
97.0,97.0,98.0,92.0,97.0,50717700
91.0,91.0,97.0,89.0,97.0,36378300
88.0,88.0,91.0,87.0,91.0,15797500
87.0,87.0,90.0,86.0,89.0,20068000
93.0,93.0,93.0,86.0,87.0,26483800
87.0,87.0,93.0,87.0,93.0,47035100
88.0,88.0,89.0,87.0,88.0,8974600
88.0,88.0,89.0,87.0,88.0,7812900
88.0,88.0,89.0,87.0,88.0,4514600
88.0,88.0,89.0,87.0,88.0,3762400
86.0,86.0,88.0,85.0,88.0,12479100
85.0,85.0,87.0,84.0,87.0,9353800
82.0,82.0,86.0,82.0,85.0,8059400
82.0,82.0,84.0,81.0,83.0,3069500
82.0,82.0,84.0,82.0,83.0,4235700
83.0,83.0,84.0,82.0,83.0,2117700
83.0,83.0,87.0,82.0,83.0,19895500
83.0,83.0,85.0,82.0,83.0,6289000
84.0,84.0,86.0,82.0,83.0,15529600
83.0,83.0,85.0,83.0,84.0,6505000
81.0,81.0,84.0,80.0,84.0,10110700
81.0,81.0,83.0,80.0,80.0,11610200
80.0,80.0,83.0,80.0,82.0,8849200
81.0,81.0,82.0,80.0,80.0,8783400
80.0,80.0,82.0,79.0,81.0,10709900
80.0,80.0,81.0,79.0,80.0,2420200
81.0,81.0,82.0,80.0,80.0,2737200
82.0,82.0,84.0,81.0,82.0,17169000
85.0,85.0,85.0,82.0,82.0,11123600
84.0,84.0,85.0,81.0,85.0,10903600
84.0,84.0,84.0,81.0,84.0,17549500
82.0,82.0,85.0,82.0,85.0,3414600
81.0,81.0,83.0,81.0,83.0,4117500
82.0,82.0,84.0,81.0,81.0,8360700
81.0,81.0,84.0,81.0,83.0,4748300
81.0,81.0,83.0,81.0,82.0,1206600
81.0,81.0,82.0,81.0,81.0,2583500
80.0,80.0,82.0,80.0,81.0,5860600
76.0,76.0,81.0,76.0,81.0,24174100
77.0,77.0,79.0,75.0,77.0,41390400
75.0,75.0,78.0,75.0,77.0,32680000
74.0,74.0,76.0,74.0,76.0,10690400
73.0,73.0,76.0,72.0,74.0,10838000
69.0,69.0,73.0,69.0,73.0,46461400
69.0,69.0,71.0,69.0,69.0,30875400
70.0,70.0,72.0,69.0,70.0,30088900
69.0,69.0,71.0,69.0,71.0,11779600
70.0,70.0,71.0,69.0,70.0,12324300
70.0,70.0,71.0,69.0,70.0,24871300
70.0,70.0,71.0,70.0,70.0,17502500
70.0,70.0,72.0,70.0,71.0,23744700
69.0,69.0,71.0,69.0,71.0,8029100
69.0,69.0,70.0,69.0,70.0,10315500
70.0,70.0,71.0,69.0,70.0,11674300
70.0,70.0,71.0,70.0,70.0,10201200
70.0,70.0,72.0,70.0,72.0,26847200
71.0,71.0,74.0,70.0,74.0,31438500
71.0,71.0,72.0,71.0,71.0,8593700
68.0,68.0,72.0,68.0,72.0,33213700
67.0,67.0,69.0,67.0,68.0,9458400
67.0,67.0,68.0,66.0,68.0,19512400
67.0,67.0,68.0,66.0,67.0,10876000
68.0,68.0,68.0,66.0,67.0,10018000
67.0,67.0,68.0,66.0,67.0,13960400
62.0,62.0,67.0,62.0,67.0,38958300
60.0,60.0,64.0,60.0,63.0,36014900
62.0,62.0,63.0,60.0,61.0,20830200
59.0,59.0,62.0,59.0,62.0,40732400
61.0,61.0,61.0,58.0,59.0,19223000
61.0,61.0,63.0,60.0,61.0,32278100
61.0,61.0,62.0,60.0,61.0,37343100
60.0,60.0,62.0,60.0,61.0,15656100
62.0,62.0,63.0,60.0,60.0,12868300
66.0,66.0,68.0,61.0,62.0,24217100
65.0,65.0,68.0,63.0,67.0,24637300
63.0,63.0,66.0,62.0,66.0,18687200
65.0,65.0,67.0,63.0,63.0,58540600
81.0,81.0,84.0,65.0,65.0,205143600
88.0,88.0,97.0,76.0,82.0,290423500
85.0,85.0,91.0,85.0,89.0,40900700
90.0,90.0,92.0,85.0,88.0,62555500
87.0,87.0,92.0,84.0,91.0,35646500
82.0,82.0,89.0,82.0,87.0,24374800
86.0,86.0,89.0,82.0,82.0,21913200
86.0,86.0,87.0,83.0,86.0,15323600
89.0,89.0,92.0,84.0,87.0,67078800
84.0,84.0,94.0,84.0,94.0,21602800
82.0,82.0,85.0,82.0,85.0,23715000
77.0,77.0,86.0,77.0,83.0,57136300
74.0,74.0,78.0,72.0,78.0,93660800
73.0,73.0,77.0,73.0,75.0,28338500
69.0,69.0,74.0,69.0,74.0,65787200
67.0,67.0,73.0,67.0,69.0,305541600
68.0,68.0,73.0,66.0,68.0,76307800
71.0,71.0,72.0,68.0,69.0,81646300
68.0,68.0,72.0,68.0,71.0,37588000
69.0,69.0,69.0,68.0,68.0,13946000
68.0,68.0,70.0,68.0,69.0,15820900
68.0,68.0,69.0,66.0,68.0,16446800
67.0,67.0,69.0,67.0,68.0,15183300
65.0,65.0,68.0,61.0,67.0,36564900
63.0,63.0,69.0,62.0,65.0,44468900
62.0,62.0,66.0,60.0,63.0,18152300
58.0,58.0,62.0,57.0,62.0,42361400
59.0,59.0,64.0,58.0,59.0,49376100
61.0,61.0,61.0,58.0,59.0,54002400
60.0,60.0,61.0,58.0,61.0,41546900
59.0,59.0,61.0,58.0,61.0,16173600
56.0,56.0,59.0,56.0,58.0,40415800
57.0,57.0,60.0,55.0,57.0,85156500
57.0,57.0,59.0,56.0,57.0,38362900
52.0,52.0,57.0,50.0,57.0,202367400
53.0,53.0,55.0,51.0,51.0,56369400
55.0,55.0,55.0,53.0,54.0,70855000
56.0,56.0,57.0,54.0,55.0,36960500
56.0,56.0,57.0,55.0,56.0,24251400
62.0,62.0,63.0,55.0,56.0,98184500
60.0,60.0,64.0,60.0,62.0,42802200
61.0,61.0,62.0,59.0,60.0,49533600
60.0,60.0,61.0,58.0,61.0,41341500
61.0,61.0,63.0,59.0,60.0,44657700
64.0,64.0,68.0,61.0,61.0,117116200
63.0,63.0,65.0,62.0,65.0,19330100
63.0,63.0,64.0,62.0,63.0,20964600
64.0,64.0,65.0,62.0,64.0,18682200
62.0,62.0,66.0,60.0,64.0,58325900
62.0,62.0,63.0,60.0,63.0,42204900
63.0,63.0,63.0,61.0,62.0,9797000
62.0,62.0,64.0,62.0,63.0,11817700
61.0,61.0,63.0,61.0,62.0,8327300
63.0,63.0,64.0,61.0,61.0,22836600
62.0,62.0,64.0,62.0,63.0,21972600
63.0,63.0,64.0,63.0,63.0,29398400
63.0,63.0,65.0,63.0,64.0,14656300
68.0,68.0,69.0,63.0,63.0,32162700
68.0,68.0,70.0,66.0,68.0,29307600
64.0,64.0,69.0,64.0,68.0,32676600
65.0,65.0,67.0,64.0,64.0,6265600
65.0,65.0,67.0,65.0,66.0,3539400
70.0,70.0,72.0,65.0,65.0,75466700
70.0,70.0,72.0,70.0,71.0,26141600
75.0,75.0,76.0,70.0,70.0,36846000
74.0,74.0,77.0,73.0,75.0,26414100
73.0,73.0,75.0,72.0,74.0,22681500
78.0,78.0,87.0,74.0,74.0,127351000
77.0,77.0,79.0,74.0,78.0,34704300
74.0,74.0,78.0,74.0,77.0,47166600
75.0,75.0,76.0,74.0,75.0,32767400
79.0,79.0,84.0,75.0,76.0,171807500
76.0,76.0,85.0,75.0,85.0,38833000
77.0,77.0,78.0,74.0,77.0,12512500
79.0,79.0,80.0,77.0,78.0,39160400
78.0,78.0,82.0,78.0,80.0,79880800
82.0,82.0,83.0,78.0,79.0,64196900
80.0,80.0,84.0,80.0,82.0,44699700
79.0,79.0,82.0,79.0,81.0,11785600
81.0,81.0,81.0,79.0,80.0,19840100
80.0,80.0,82.0,79.0,82.0,100213200
79.0,79.0,84.0,77.0,81.0,83849200
80.0,80.0,83.0,79.0,79.0,46935100
83.0,83.0,84.0,80.0,80.0,47974300
87.0,87.0,90.0,83.0,84.0,145729500
86.0,86.0,88.0,85.0,88.0,57034500
84.0,84.0,88.0,81.0,86.0,48569500
88.0,88.0,90.0,82.0,84.0,119880500
87.0,87.0,94.0,86.0,89.0,294630500
88.0,88.0,90.0,85.0,87.0,141343100
95.0,95.0,98.0,88.0,88.0,297319400
107.0,107.0,116.0,98.0,114.0,1700175800
101.0,101.0,108.0,101.0,107.0,662711200
98.0,98.0,103.0,95.0,101.0,441872700
102.0,102.0,105.0,97.0,99.0,417813100
100.0,100.0,104.0,98.0,103.0,237059400
99.0,99.0,101.0,98.0,100.0,150011000
99.0,99.0,101.0,96.0,100.0,170502900
101.0,101.0,101.0,98.0,100.0,179181500
105.0,105.0,106.0,100.0,100.0,244353300
100.0,100.0,106.0,100.0,105.0,211665000
104.0,104.0,106.0,99.0,100.0,277141400
107.0,107.0,110.0,104.0,104.0,239262300
115.0,115.0,115.0,107.0,107.0,375577300
122.0,122.0,126.0,115.0,115.0,528524400
115.0,115.0,124.0,114.0,122.0,288742600
113.0,113.0,117.0,111.0,115.0,264181100
115.0,115.0,119.0,113.0,114.0,216292000
112.0,112.0,117.0,111.0,116.0,152431100
