Adj Close,Close,High,Low,Open,Volume
LUCK.JK,LUCK.JK,LUCK.JK,LUCK.JK,LUCK.JK,LUCK.JK
86.0,86.0,88.0,80.0,80.0,2064700
86.0,86.0,86.0,81.0,81.0,359500
84.0,84.0,86.0,81.0,81.0,361000
84.0,84.0,88.0,84.0,84.0,3844600
85.0,85.0,85.0,82.0,82.0,520500
84.0,84.0,85.0,82.0,82.0,368600
84.0,84.0,85.0,80.0,80.0,548700
83.0,83.0,85.0,79.0,79.0,641900
83.0,83.0,87.0,79.0,79.0,3930800
84.0,84.0,85.0,78.0,78.0,1515400
84.0,84.0,88.0,84.0,84.0,6399200
85.0,85.0,86.0,84.0,85.0,2432700
84.0,84.0,85.0,83.0,84.0,2164400
83.0,83.0,90.0,82.0,84.0,18101500
83.0,83.0,84.0,78.0,78.0,2270400
83.0,83.0,85.0,79.0,79.0,2017200
81.0,81.0,83.0,79.0,79.0,777400
81.0,81.0,82.0,76.0,76.0,355900
79.0,79.0,81.0,77.0,77.0,1318400
74.0,74.0,80.0,73.0,73.0,2712800
74.0,74.0,75.0,68.0,68.0,982500
75.0,75.0,77.0,73.0,74.0,517000
74.0,74.0,78.0,74.0,75.0,554900
74.0,74.0,75.0,73.0,74.0,257900
74.0,74.0,74.0,73.0,73.0,174500
73.0,73.0,75.0,73.0,74.0,751800
73.0,73.0,74.0,73.0,74.0,321000
72.0,72.0,74.0,70.0,73.0,766400
74.0,74.0,78.0,72.0,78.0,803400
74.0,74.0,81.0,73.0,81.0,160000
74.0,74.0,80.0,73.0,80.0,278100
71.0,71.0,80.0,71.0,80.0,5193200
72.0,72.0,90.0,71.0,90.0,2375100
75.0,75.0,81.0,72.0,79.0,8511000
75.0,75.0,76.0,74.0,76.0,487900
75.0,75.0,76.0,74.0,76.0,448000
74.0,74.0,76.0,73.0,74.0,557400
74.0,74.0,79.0,73.0,79.0,454900
74.0,74.0,79.0,73.0,79.0,326400
74.0,74.0,79.0,73.0,79.0,321400
74.0,74.0,75.0,73.0,74.0,80600
74.0,74.0,74.0,73.0,74.0,199500
74.0,74.0,79.0,72.0,79.0,175300
74.0,74.0,74.0,72.0,74.0,43100
78.0,78.0,88.0,73.0,79.0,40921700
79.0,79.0,98.0,78.0,98.0,1816600
78.0,78.0,84.0,77.0,84.0,817300
77.0,77.0,80.0,76.0,80.0,568800
76.0,76.0,82.0,75.0,82.0,398000
76.0,76.0,81.0,74.0,81.0,323500
75.0,75.0,81.0,74.0,81.0,270600
73.0,73.0,80.0,72.0,80.0,753100
73.0,73.0,78.0,72.0,78.0,464900
74.0,74.0,78.0,72.0,78.0,105200
72.0,72.0,82.0,72.0,79.0,11625500
71.0,71.0,73.0,66.0,66.0,342700
72.0,72.0,75.0,71.0,71.0,749000
71.0,71.0,73.0,66.0,66.0,479200
72.0,72.0,73.0,65.0,65.0,217400
71.0,71.0,72.0,67.0,67.0,231100
69.0,69.0,71.0,66.0,66.0,383000
68.0,68.0,72.0,63.0,63.0,567900
68.0,68.0,69.0,62.0,62.0,41200
68.0,68.0,70.0,63.0,63.0,166900
69.0,69.0,72.0,67.0,67.0,116600
67.0,67.0,69.0,64.0,64.0,246100
