Adj Close,Close,High,Low,Open,Volume
MBMA.JK,MBMA.JK,MBMA.JK,MBMA.JK,MBMA.JK,MBMA.JK
630.0,630.0,645.0,615.0,625.0,46102700
645.0,645.0,665.0,625.0,630.0,76941800
615.0,615.0,645.0,615.0,645.0,38104100
625.0,625.0,630.0,605.0,615.0,35726500
610.0,610.0,630.0,595.0,630.0,35344600
620.0,620.0,620.0,605.0,610.0,17563100
575.0,575.0,630.0,575.0,620.0,51925600
575.0,575.0,585.0,535.0,535.0,37770800
580.0,580.0,595.0,570.0,575.0,21232400
620.0,620.0,655.0,580.0,580.0,132941800
615.0,615.0,630.0,610.0,630.0,16304300
630.0,630.0,635.0,620.0,625.0,19406100
635.0,635.0,640.0,620.0,630.0,20317700
605.0,605.0,635.0,590.0,635.0,46288700
580.0,580.0,620.0,580.0,610.0,54322000
565.0,565.0,585.0,555.0,580.0,77306400
595.0,595.0,640.0,570.0,570.0,125839000
565.0,565.0,605.0,560.0,600.0,51674100
550.0,550.0,580.0,550.0,570.0,81148100
540.0,540.0,570.0,535.0,560.0,31539700
540.0,540.0,550.0,520.0,540.0,54028300
520.0,520.0,545.0,515.0,545.0,19868700
530.0,530.0,555.0,515.0,520.0,37305000
550.0,550.0,550.0,530.0,535.0,52745400
530.0,530.0,565.0,525.0,550.0,53387800
525.0,525.0,545.0,520.0,530.0,38534100
560.0,560.0,580.0,496.0,496.0,96478200
540.0,540.0,565.0,535.0,560.0,24371300
545.0,545.0,560.0,535.0,545.0,42249700
530.0,530.0,550.0,530.0,550.0,37370000
545.0,545.0,555.0,530.0,530.0,20232800
560.0,560.0,560.0,535.0,540.0,32305500
570.0,570.0,570.0,550.0,560.0,25301800
555.0,555.0,595.0,555.0,575.0,60459400
560.0,560.0,570.0,550.0,555.0,20720700
570.0,570.0,580.0,555.0,560.0,39650600
545.0,545.0,575.0,540.0,570.0,40916100
535.0,535.0,555.0,520.0,550.0,47038300
540.0,540.0,550.0,535.0,535.0,11890000
545.0,545.0,555.0,535.0,545.0,25333600
575.0,575.0,590.0,545.0,550.0,128515000
575.0,575.0,575.0,575.0,575.0,0
660.0,660.0,665.0,630.0,650.0,127037400
655.0,655.0,670.0,630.0,660.0,40829600
660.0,660.0,680.0,650.0,650.0,67536500
690.0,690.0,730.0,655.0,665.0,193190900
690.0,690.0,695.0,655.0,690.0,87727600
660.0,660.0,690.0,645.0,690.0,56676400
610.0,610.0,660.0,605.0,655.0,106970600
625.0,625.0,655.0,610.0,610.0,83389500
675.0,675.0,690.0,625.0,630.0,149866500
690.0,690.0,690.0,655.0,680.0,75472300
670.0,670.0,690.0,670.0,690.0,43431500
660.0,660.0,680.0,640.0,675.0,87829400
685.0,685.0,705.0,640.0,660.0,151716600
700.0,700.0,710.0,680.0,685.0,107589400
670.0,670.0,705.0,665.0,700.0,45624400
660.0,660.0,680.0,645.0,670.0,67338500
650.0,650.0,665.0,640.0,665.0,48691500
630.0,630.0,660.0,605.0,650.0,94977000
625.0,625.0,640.0,615.0,630.0,44022700
670.0,670.0,720.0,650.0,660.0,269037900
650.0,650.0,680.0,645.0,675.0,55372200
615.0,615.0,650.0,615.0,650.0,62624400
630.0,630.0,640.0,615.0,620.0,81762200
635.0,635.0,650.0,620.0,635.0,43262100
665.0,665.0,665.0,640.0,640.0,39216200
660.0,660.0,685.0,660.0,680.0,42336200
625.0,625.0,660.0,620.0,660.0,37703800
640.0,640.0,645.0,620.0,625.0,32705100
625.0,625.0,645.0,620.0,645.0,24019600
610.0,610.0,635.0,610.0,625.0,32882800
590.0,590.0,625.0,580.0,610.0,61140200
565.0,565.0,595.0,560.0,590.0,49915000
545.0,545.0,585.0,540.0,585.0,56748500
545.0,545.0,560.0,530.0,545.0,59415700
