Adj Close,Close,High,Low,Open,Volume
MRAT.JK,MRAT.JK,MRAT.JK,MRAT.JK,MRAT.JK,MRAT.JK
640.0,640.0,640.0,525.0,525.0,6172000
655.0,655.0,705.0,570.0,670.0,10087900
650.0,650.0,690.0,630.0,655.0,4697000
665.0,665.0,680.0,650.0,655.0,9078800
670.0,670.0,680.0,660.0,665.0,2314900
685.0,685.0,695.0,670.0,675.0,5138400
675.0,675.0,705.0,665.0,690.0,5916400
675.0,675.0,775.0,670.0,680.0,11947300
655.0,655.0,690.0,655.0,680.0,1800000
645.0,645.0,675.0,645.0,655.0,2151300
635.0,635.0,660.0,630.0,650.0,852900
615.0,615.0,635.0,605.0,635.0,1636600
610.0,610.0,640.0,570.0,615.0,633600
565.0,565.0,610.0,565.0,610.0,348300
625.0,625.0,665.0,565.0,570.0,3641000
575.0,575.0,645.0,560.0,625.0,2169100
580.0,580.0,615.0,575.0,580.0,1583400
580.0,580.0,600.0,570.0,590.0,943400
580.0,580.0,595.0,575.0,580.0,796400
550.0,550.0,580.0,530.0,580.0,1859800
550.0,550.0,575.0,530.0,550.0,2234700
550.0,550.0,565.0,540.0,550.0,2535200
535.0,535.0,550.0,535.0,545.0,747400
402.0,402.0,580.0,402.0,535.0,13033000
380.0,380.0,408.0,362.0,392.0,4599800
384.0,384.0,398.0,376.0,380.0,1021700
384.0,384.0,400.0,366.0,366.0,2234400
372.0,372.0,388.0,368.0,386.0,2348000
372.0,372.0,380.0,372.0,372.0,178500
374.0,374.0,378.0,370.0,376.0,704200
372.0,372.0,378.0,372.0,372.0,245800
370.0,370.0,374.0,366.0,374.0,267400
380.0,380.0,398.0,370.0,372.0,831000
398.0,398.0,420.0,382.0,382.0,5317700
392.0,392.0,400.0,392.0,398.0,489100
384.0,384.0,396.0,384.0,392.0,315900
382.0,382.0,396.0,382.0,388.0,500900
380.0,380.0,386.0,372.0,384.0,343700
376.0,376.0,380.0,370.0,376.0,319700
376.0,376.0,384.0,374.0,384.0,159400
372.0,372.0,378.0,372.0,376.0,213800
374.0,374.0,374.0,368.0,370.0,137100
376.0,376.0,378.0,370.0,370.0,82700
370.0,370.0,378.0,370.0,376.0,339200
374.0,374.0,374.0,372.0,372.0,87200
372.0,372.0,378.0,370.0,372.0,111900
370.0,370.0,376.0,370.0,376.0,122500
366.0,366.0,372.0,364.0,370.0,104500
354.0,354.0,368.0,320.0,366.0,382600
350.0,350.0,362.0,344.0,350.0,118300
346.0,346.0,360.0,346.0,360.0,84700
338.0,338.0,360.0,336.0,346.0,211800
336.0,336.0,340.0,332.0,338.0,142700
338.0,338.0,348.0,328.0,336.0,262500
350.0,350.0,356.0,330.0,338.0,444000
356.0,356.0,356.0,340.0,350.0,136700
358.0,358.0,360.0,356.0,356.0,84900
368.0,368.0,370.0,354.0,358.0,298400
354.0,354.0,378.0,350.0,364.0,360700
360.0,360.0,374.0,344.0,354.0,117500
358.0,358.0,372.0,350.0,372.0,375600
362.0,362.0,374.0,358.0,358.0,370700
362.0,362.0,368.0,360.0,362.0,100000
376.0,376.0,386.0,360.0,360.0,614800
378.0,378.0,386.0,356.0,376.0,502600
356.0,356.0,382.0,346.0,378.0,382400
358.0,358.0,370.0,356.0,370.0,43100
356.0,356.0,376.0,356.0,358.0,84300
348.0,348.0,366.0,348.0,358.0,97400
358.0,358.0,368.0,348.0,348.0,1238900
366.0,366.0,372.0,354.0,360.0,363600
358.0,358.0,366.0,354.0,366.0,96600
364.0,364.0,364.0,352.0,358.0,279500
350.0,350.0,366.0,350.0,366.0,232000
362.0,362.0,364.0,348.0,350.0,375500
364.0,364.0,366.0,356.0,362.0,22100
356.0,356.0,364.0,352.0,364.0,67200
356.0,356.0,358.0,354.0,358.0,26700
368.0,368.0,386.0,360.0,360.0,657800
368.0,368.0,376.0,368.0,368.0,84100
360.0,360.0,370.0,352.0,370.0,65300
360.0,360.0,366.0,358.0,358.0,1113000
366.0,366.0,374.0,362.0,366.0,48300
366.0,366.0,374.0,366.0,374.0,902500
370.0,370.0,374.0,368.0,368.0,926700
370.0,370.0,380.0,366.0,374.0,1496200
374.0,374.0,380.0,370.0,380.0,923800
378.0,378.0,382.0,372.0,382.0,993000
380.0,380.0,380.0,372.0,380.0,317300
380.0,380.0,380.0,376.0,376.0,1032600
374.0,374.0,380.0,374.0,380.0,170200
378.0,378.0,380.0,374.0,374.0,243600
380.0,380.0,380.0,376.0,380.0,152000
378.0,378.0,382.0,378.0,380.0,180100
378.0,378.0,382.0,378.0,378.0,331500
