Adj Close,Close,High,Low,Open,Volume
MSKY.JK,MSKY.JK,MSKY.JK,MSKY.JK,MSKY.JK,MSKY.JK
133.0,133.0,138.0,130.0,132.0,1312700
135.0,135.0,144.0,130.0,139.0,8334900
132.0,132.0,136.0,126.0,126.0,2033100
133.0,133.0,135.0,125.0,125.0,952000
132.0,132.0,145.0,131.0,135.0,4248600
130.0,130.0,135.0,130.0,135.0,1095500
130.0,130.0,135.0,129.0,130.0,831000
128.0,128.0,134.0,121.0,121.0,1817500
128.0,128.0,132.0,120.0,120.0,1029000
128.0,128.0,132.0,128.0,129.0,1328900
129.0,129.0,134.0,129.0,134.0,490500
128.0,128.0,131.0,128.0,131.0,1020900
129.0,129.0,132.0,128.0,128.0,738800
129.0,129.0,136.0,128.0,136.0,803800
129.0,129.0,133.0,128.0,131.0,861700
128.0,128.0,131.0,127.0,129.0,835300
125.0,125.0,130.0,125.0,129.0,1445000
123.0,123.0,131.0,122.0,131.0,441100
118.0,118.0,130.0,117.0,130.0,2442300
111.0,111.0,125.0,111.0,125.0,3954200
109.0,109.0,118.0,102.0,118.0,1353600
102.0,102.0,117.0,102.0,117.0,3104200
112.0,112.0,124.0,102.0,104.0,4681600
105.0,105.0,121.0,105.0,121.0,3862700
103.0,103.0,125.0,102.0,125.0,3338600
101.0,101.0,113.0,101.0,113.0,3578500
103.0,103.0,111.0,101.0,111.0,4200500
103.0,103.0,112.0,102.0,112.0,4258100
106.0,106.0,115.0,101.0,106.0,3856400
100.0,100.0,126.0,99.0,126.0,6385400
100.0,100.0,107.0,99.0,107.0,1131700
99.0,99.0,103.0,99.0,99.0,1820100
98.0,98.0,101.0,94.0,94.0,1819400
101.0,101.0,114.0,98.0,98.0,6191600
103.0,103.0,121.0,101.0,121.0,644300
102.0,102.0,113.0,102.0,113.0,801600
101.0,101.0,105.0,101.0,105.0,872300
99.0,99.0,104.0,99.0,104.0,1004800
100.0,100.0,106.0,100.0,103.0,2550600
100.0,100.0,104.0,100.0,104.0,656600
100.0,100.0,104.0,100.0,104.0,436400
100.0,100.0,105.0,99.0,105.0,1027400
135.0,135.0,135.0,100.0,106.0,74483100
165.0,165.0,182.0,141.0,155.0,363620100
149.0,149.0,168.0,143.0,166.0,38508500
144.0,144.0,154.0,138.0,140.0,10860400
165.0,165.0,188.0,144.0,144.0,268078200
170.0,170.0,202.0,165.0,166.0,243370800
185.0,185.0,199.0,171.0,171.0,83419600
185.0,185.0,185.0,185.0,185.0,0
163.0,163.0,185.0,151.0,185.0,26749300
146.0,146.0,167.0,145.0,154.0,15743000
192.0,192.0,192.0,146.0,156.0,303692100
167.0,167.0,210.0,167.0,193.0,158174000
181.0,181.0,188.0,155.0,167.0,131013400
170.0,170.0,188.0,170.0,172.0,58378900
167.0,167.0,183.0,161.0,161.0,63584200
163.0,163.0,174.0,160.0,162.0,22310800
150.0,150.0,165.0,146.0,154.0,17606300
137.0,137.0,158.0,136.0,150.0,17875000
126.0,126.0,147.0,125.0,140.0,19124300
120.0,120.0,133.0,112.0,117.0,22260500
121.0,121.0,128.0,111.0,111.0,8064500
115.0,115.0,125.0,115.0,124.0,12331800
104.0,104.0,125.0,104.0,125.0,36533100
100.0,100.0,106.0,98.0,104.0,18796700
98.0,98.0,107.0,85.0,85.0,25653000
96.0,96.0,100.0,91.0,91.0,12009300
95.0,95.0,101.0,95.0,95.0,15282600
92.0,92.0,96.0,88.0,88.0,13746000
89.0,89.0,94.0,89.0,89.0,18393100
84.0,84.0,92.0,79.0,79.0,17019800
83.0,83.0,87.0,76.0,76.0,8403800
77.0,77.0,84.0,77.0,83.0,14990000
76.0,76.0,81.0,69.0,69.0,17842100
74.0,74.0,77.0,68.0,68.0,7108700
73.0,73.0,77.0,71.0,71.0,4774900
89.0,89.0,95.0,73.0,74.0,192551400
82.0,82.0,95.0,81.0,81.0,83486100
80.0,80.0,89.0,74.0,74.0,39774600
78.0,78.0,83.0,77.0,80.0,25367700
76.0,76.0,79.0,75.0,79.0,20142300
75.0,75.0,81.0,73.0,76.0,29422900
73.0,73.0,75.0,62.0,62.0,11267500
78.0,78.0,82.0,73.0,74.0,69606300
75.0,75.0,79.0,71.0,71.0,8224000
72.0,72.0,77.0,70.0,77.0,12321100
75.0,75.0,79.0,65.0,79.0,32615100
73.0,73.0,77.0,68.0,68.0,10892400
72.0,72.0,75.0,66.0,66.0,8479800
69.0,69.0,73.0,65.0,65.0,11005400
72.0,72.0,76.0,63.0,63.0,13729200
70.0,70.0,73.0,70.0,72.0,4219800
71.0,71.0,71.0,69.0,70.0,3576900
71.0,71.0,74.0,70.0,70.0,3507600
67.0,67.0,72.0,65.0,65.0,7713500
65.0,65.0,69.0,65.0,66.0,5225200
65.0,65.0,69.0,57.0,57.0,7169500
65.0,65.0,72.0,63.0,64.0,28998400
64.0,64.0,65.0,59.0,59.0,7402800
65.0,65.0,66.0,56.0,56.0,4723900
63.0,63.0,66.0,62.0,62.0,3153700
62.0,62.0,64.0,57.0,57.0,4260400
61.0,61.0,67.0,61.0,62.0,10318800
61.0,61.0,63.0,55.0,55.0,5296400
60.0,60.0,64.0,60.0,62.0,7089100
71.0,71.0,77.0,60.0,60.0,122863500
65.0,65.0,73.0,65.0,73.0,29091600
68.0,68.0,74.0,64.0,65.0,39768400
66.0,66.0,69.0,63.0,68.0,14090500
62.0,62.0,66.0,61.0,61.0,11594700
61.0,61.0,63.0,60.0,63.0,6618000
61.0,61.0,64.0,60.0,62.0,14480200
60.0,60.0,62.0,60.0,60.0,5444700
69.0,69.0,76.0,59.0,59.0,132434600
66.0,66.0,71.0,65.0,69.0,29257800
64.0,64.0,67.0,63.0,65.0,13730200
65.0,65.0,66.0,63.0,65.0,4697100
63.0,63.0,66.0,63.0,65.0,6170300
61.0,61.0,64.0,60.0,63.0,7985200
62.0,62.0,63.0,61.0,61.0,3614500
66.0,66.0,69.0,62.0,62.0,42453800
64.0,64.0,67.0,63.0,67.0,6894800
58.0,58.0,67.0,57.0,64.0,40062100
58.0,58.0,61.0,56.0,56.0,15562800
55.0,55.0,59.0,50.0,50.0,19885100
50.0,50.0,56.0,50.0,56.0,36740700
50.0,50.0,51.0,50.0,50.0,6686700
50.0,50.0,52.0,50.0,50.0,16221700
50.0,50.0,52.0,50.0,51.0,5095800
50.0,50.0,51.0,50.0,50.0,1353900
50.0,50.0,51.0,50.0,50.0,4925200
50.0,50.0,51.0,50.0,50.0,2385600
50.0,50.0,50.0,50.0,50.0,626500
50.0,50.0,50.0,50.0,50.0,566500
50.0,50.0,50.0,50.0,50.0,1397900
50.0,50.0,50.0,50.0,50.0,110100
50.0,50.0,50.0,50.0,50.0,134100
50.0,50.0,52.0,50.0,50.0,5558100
50.0,50.0,50.0,50.0,50.0,101700
