Adj Close,Close,High,Low,Open,Volume
NSSS.JK,NSSS.JK,NSSS.JK,NSSS.JK,NSSS.JK,NSSS.JK
161.0,161.0,161.0,161.0,161.0,0
161.0,161.0,161.0,161.0,161.0,0
161.0,161.0,161.0,161.0,161.0,0
161.0,161.0,161.0,161.0,161.0,0
161.0,161.0,161.0,161.0,161.0,0
161.0,161.0,161.0,161.0,161.0,0
161.0,161.0,161.0,161.0,161.0,0
161.0,161.0,161.0,161.0,161.0,0
161.0,161.0,161.0,161.0,161.0,0
161.0,161.0,161.0,161.0,161.0,0
161.0,161.0,161.0,161.0,161.0,0
161.0,161.0,161.0,161.0,161.0,0
161.0,161.0,161.0,161.0,161.0,0
185.0,185.0,189.0,155.0,174.0,44997100
182.0,182.0,189.0,176.0,187.0,15952200
182.0,182.0,183.0,175.0,182.0,21375600
180.0,180.0,184.0,176.0,182.0,16035700
180.0,180.0,180.0,176.0,180.0,14097600
180.0,180.0,181.0,174.0,180.0,16920600
173.0,173.0,181.0,167.0,181.0,21249700
174.0,174.0,175.0,168.0,173.0,21018000
175.0,175.0,175.0,170.0,173.0,19380100
173.0,173.0,175.0,169.0,171.0,61341400
174.0,174.0,178.0,171.0,173.0,58283600
175.0,175.0,176.0,168.0,174.0,22310500
175.0,175.0,176.0,170.0,171.0,18764300
169.0,169.0,173.0,167.0,173.0,17548100
165.0,165.0,170.0,163.0,170.0,21476900
166.0,166.0,168.0,162.0,165.0,136572400
165.0,165.0,172.0,164.0,166.0,35855700
166.0,166.0,170.0,163.0,165.0,48639600
177.0,177.0,178.0,166.0,166.0,76435200
183.0,183.0,185.0,172.0,177.0,88244400
185.0,185.0,187.0,182.0,183.0,81703800
190.0,190.0,190.0,184.0,185.0,89030600
192.0,192.0,194.0,186.0,190.0,151076100
189.0,189.0,192.0,187.0,192.0,57490900
190.0,190.0,190.0,180.0,189.0,30598600
185.0,185.0,190.0,182.0,190.0,95371700
182.0,182.0,188.0,180.0,184.0,27764800
177.0,177.0,182.0,177.0,182.0,20980000
177.0,177.0,177.0,177.0,177.0,0
181.0,181.0,182.0,179.0,180.0,17328900
182.0,182.0,185.0,180.0,181.0,20229000
185.0,185.0,187.0,182.0,182.0,20510500
184.0,184.0,186.0,180.0,185.0,19716800
186.0,186.0,186.0,182.0,183.0,21241700
191.0,191.0,192.0,185.0,186.0,22585400
189.0,189.0,192.0,188.0,191.0,18194800
190.0,190.0,190.0,187.0,188.0,15450300
188.0,188.0,190.0,188.0,190.0,8736300
192.0,192.0,193.0,187.0,188.0,50817100
190.0,190.0,195.0,183.0,192.0,28851000
192.0,192.0,193.0,188.0,190.0,27252900
195.0,195.0,196.0,191.0,192.0,31014800
196.0,196.0,198.0,195.0,195.0,22649700
197.0,197.0,198.0,195.0,195.0,19316000
197.0,197.0,197.0,193.0,196.0,14204800
193.0,193.0,197.0,192.0,197.0,11345600
193.0,193.0,195.0,188.0,193.0,12143400
194.0,194.0,194.0,190.0,192.0,18085000
195.0,195.0,197.0,194.0,194.0,15621100
193.0,193.0,196.0,193.0,195.0,20165400
189.0,189.0,193.0,187.0,193.0,16482800
192.0,192.0,194.0,187.0,187.0,27652800
193.0,193.0,194.0,188.0,192.0,18607600
195.0,195.0,195.0,192.0,193.0,20895300
190.0,190.0,195.0,189.0,195.0,10382400
190.0,190.0,190.0,184.0,189.0,7428700
185.0,185.0,189.0,183.0,187.0,9973800
186.0,186.0,186.0,183.0,185.0,6305100
185.0,185.0,187.0,183.0,186.0,10559700
184.0,184.0,185.0,183.0,183.0,5489200
183.0,183.0,184.0,176.0,184.0,6554400
181.0,181.0,184.0,180.0,183.0,5657700
177.0,177.0,181.0,175.0,181.0,8525000
174.0,174.0,176.0,168.0,176.0,9272100
175.0,175.0,175.0,172.0,174.0,7485100
174.0,174.0,178.0,172.0,175.0,7950400
173.0,173.0,174.0,172.0,174.0,6022000
175.0,175.0,175.0,172.0,173.0,7616900
175.0,175.0,176.0,173.0,175.0,9410700
177.0,177.0,178.0,173.0,174.0,7318400
180.0,180.0,180.0,175.0,176.0,7616400
184.0,184.0,184.0,178.0,180.0,16388700
187.0,187.0,188.0,183.0,184.0,20469000
187.0,187.0,187.0,187.0,187.0,0
187.0,187.0,187.0,187.0,187.0,0
192.0,192.0,192.0,186.0,188.0,9831700
194.0,194.0,195.0,192.0,192.0,10215100
196.0,196.0,196.0,190.0,194.0,18938800
197.0,197.0,198.0,195.0,196.0,9794800
198.0,198.0,199.0,196.0,197.0,8361900
200.0,200.0,200.0,198.0,198.0,9738700
202.0,202.0,202.0,199.0,200.0,8651000
202.0,202.0,204.0,197.0,202.0,15767300
204.0,204.0,208.0,202.0,202.0,16185800
208.0,208.0,208.0,202.0,202.0,14914900
210.0,210.0,212.0,206.0,208.0,16823500
212.0,212.0,212.0,208.0,212.0,14407600
212.0,212.0,214.0,204.0,210.0,18028000
212.0,212.0,216.0,212.0,212.0,21823500
210.0,210.0,214.0,206.0,210.0,17040500
202.0,202.0,208.0,191.0,206.0,15226300
200.0,200.0,204.0,195.0,202.0,9138700
200.0,200.0,204.0,197.0,200.0,9145700
200.0,200.0,204.0,198.0,200.0,15718400
199.0,199.0,202.0,196.0,200.0,14290100
197.0,197.0,200.0,191.0,199.0,15640200
195.0,195.0,199.0,192.0,196.0,15668300
196.0,196.0,197.0,194.0,196.0,14542800
193.0,193.0,197.0,184.0,196.0,15833600
194.0,194.0,198.0,193.0,194.0,15556600
194.0,194.0,195.0,192.0,194.0,10139700
195.0,195.0,195.0,193.0,194.0,10440300
189.0,189.0,196.0,188.0,195.0,11981800
190.0,190.0,192.0,187.0,189.0,12924000
187.0,187.0,191.0,186.0,190.0,13989800
188.0,188.0,188.0,181.0,187.0,12618600
189.0,189.0,190.0,183.0,189.0,13308400
190.0,190.0,191.0,183.0,189.0,14030500
188.0,188.0,190.0,185.0,190.0,8980000
185.0,185.0,188.0,181.0,188.0,8868700
186.0,186.0,187.0,183.0,185.0,9394000
187.0,187.0,188.0,183.0,186.0,15319100
187.0,187.0,188.0,185.0,187.0,8332700
185.0,185.0,188.0,184.0,187.0,7238800
186.0,186.0,187.0,184.0,185.0,6779200
186.0,186.0,187.0,185.0,186.0,11843500
186.0,186.0,187.0,184.0,186.0,7380900
187.0,187.0,188.0,185.0,187.0,7654700
188.0,188.0,188.0,183.0,188.0,7262100
188.0,188.0,189.0,184.0,189.0,7573100
187.0,187.0,189.0,185.0,188.0,7747300
180.0,180.0,187.0,179.0,187.0,8714200
184.0,184.0,185.0,178.0,181.0,8651500
185.0,185.0,208.0,181.0,208.0,8307600
184.0,184.0,188.0,182.0,188.0,7321100
183.0,183.0,184.0,180.0,184.0,7410300
183.0,183.0,183.0,179.0,183.0,7346200
181.0,181.0,183.0,180.0,183.0,7062700
182.0,182.0,182.0,179.0,182.0,7146600
177.0,177.0,183.0,175.0,183.0,8532700
176.0,176.0,178.0,172.0,178.0,8201000
178.0,178.0,179.0,168.0,177.0,13643900
183.0,183.0,183.0,176.0,179.0,9342400
186.0,186.0,187.0,183.0,184.0,8835200
184.0,184.0,190.0,183.0,186.0,7455300
184.0,184.0,186.0,181.0,184.0,7771500
185.0,185.0,186.0,182.0,185.0,6768200
182.0,182.0,186.0,181.0,185.0,10391600
183.0,183.0,184.0,180.0,183.0,6917200
182.0,182.0,189.0,180.0,189.0,6877800
182.0,182.0,183.0,181.0,182.0,7855500
182.0,182.0,183.0,181.0,183.0,7853600
184.0,184.0,184.0,181.0,183.0,8217600
184.0,184.0,184.0,182.0,184.0,7687900
184.0,184.0,185.0,182.0,185.0,7161900
185.0,185.0,185.0,182.0,184.0,7821500
185.0,185.0,186.0,184.0,186.0,7150400
185.0,185.0,187.0,183.0,185.0,7614900
187.0,187.0,189.0,185.0,186.0,9744100
186.0,186.0,187.0,184.0,187.0,17559400
186.0,186.0,186.0,184.0,186.0,9047600
188.0,188.0,189.0,186.0,187.0,8259400
188.0,188.0,189.0,187.0,188.0,7571100
