Adj Close,Close,High,Low,Open,Volume
NTBK.JK,NTBK.JK,NTBK.JK,NTBK.JK,NTBK.JK,NTBK.JK
76.0,76.0,77.0,70.0,71.0,34020300
81.0,81.0,81.0,75.0,76.0,16954400
77.0,77.0,81.0,76.0,79.0,9733800
75.0,75.0,77.0,74.0,77.0,3376300
77.0,77.0,78.0,74.0,75.0,24941500
79.0,79.0,80.0,77.0,77.0,30236900
80.0,80.0,81.0,78.0,79.0,25026200
79.0,79.0,80.0,75.0,80.0,12711900
77.0,77.0,79.0,76.0,79.0,6822400
76.0,76.0,77.0,75.0,76.0,5416500
77.0,77.0,78.0,75.0,76.0,33143100
79.0,79.0,80.0,76.0,77.0,30940000
77.0,77.0,93.0,70.0,81.0,361350600
68.0,68.0,78.0,67.0,77.0,75846800
68.0,68.0,70.0,64.0,67.0,35122500
70.0,70.0,71.0,67.0,69.0,65131300
72.0,72.0,73.0,70.0,70.0,35819200
70.0,70.0,74.0,69.0,72.0,10656500
68.0,68.0,72.0,68.0,70.0,5406300
66.0,66.0,69.0,66.0,67.0,4757500
60.0,60.0,66.0,53.0,66.0,41821700
60.0,60.0,61.0,57.0,60.0,6728900
74.0,74.0,80.0,58.0,60.0,24349200
59.0,59.0,74.0,58.0,73.0,202858500
60.0,60.0,60.0,54.0,56.0,33450000
55.0,55.0,68.0,54.0,59.0,146618800
51.0,51.0,56.0,50.0,55.0,46429100
50.0,50.0,51.0,50.0,50.0,49907500
50.0,50.0,50.0,50.0,50.0,5622900
50.0,50.0,50.0,50.0,50.0,183400
50.0,50.0,50.0,50.0,50.0,1051700
50.0,50.0,50.0,50.0,50.0,308400
50.0,50.0,50.0,50.0,50.0,126900
50.0,50.0,50.0,50.0,50.0,57100
50.0,50.0,50.0,50.0,50.0,44700
50.0,50.0,50.0,50.0,50.0,67100
50.0,50.0,50.0,50.0,50.0,38100
50.0,50.0,50.0,50.0,50.0,37900
50.0,50.0,50.0,50.0,50.0,49800
50.0,50.0,50.0,50.0,50.0,25500
50.0,50.0,50.0,50.0,50.0,250400
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,435800
50.0,50.0,50.0,50.0,50.0,140500
50.0,50.0,50.0,50.0,50.0,1154500
50.0,50.0,50.0,50.0,50.0,132900
50.0,50.0,50.0,50.0,50.0,14300
50.0,50.0,50.0,50.0,50.0,8600
50.0,50.0,50.0,50.0,50.0,9700
50.0,50.0,50.0,50.0,50.0,37800
50.0,50.0,50.0,50.0,50.0,22000
50.0,50.0,50.0,50.0,50.0,76700
50.0,50.0,50.0,50.0,50.0,3000
50.0,50.0,50.0,50.0,50.0,26800
50.0,50.0,50.0,50.0,50.0,136200
50.0,50.0,50.0,50.0,50.0,2300
50.0,50.0,50.0,50.0,50.0,13300
50.0,50.0,50.0,50.0,50.0,10400
50.0,50.0,50.0,50.0,50.0,800
50.0,50.0,50.0,50.0,50.0,23000
50.0,50.0,50.0,50.0,50.0,207800
50.0,50.0,50.0,50.0,50.0,983600
50.0,50.0,50.0,50.0,50.0,45800
50.0,50.0,50.0,50.0,50.0,1016100
50.0,50.0,50.0,50.0,50.0,600
50.0,50.0,50.0,50.0,50.0,79100
50.0,50.0,50.0,50.0,50.0,46300
50.0,50.0,50.0,50.0,50.0,24400
50.0,50.0,50.0,50.0,50.0,197700
50.0,50.0,50.0,50.0,50.0,18000
50.0,50.0,50.0,50.0,50.0,1500
50.0,50.0,50.0,50.0,50.0,2100
50.0,50.0,50.0,50.0,50.0,59600
50.0,50.0,50.0,50.0,50.0,1300
50.0,50.0,50.0,50.0,50.0,2000
50.0,50.0,50.0,50.0,50.0,5600
50.0,50.0,50.0,50.0,50.0,14700
50.0,50.0,50.0,50.0,50.0,900
50.0,50.0,50.0,50.0,50.0,3900
50.0,50.0,50.0,50.0,50.0,10700
50.0,50.0,50.0,50.0,50.0,5400
50.0,50.0,50.0,50.0,50.0,7500
50.0,50.0,50.0,50.0,50.0,12800
50.0,50.0,50.0,50.0,50.0,500
50.0,50.0,50.0,50.0,50.0,9000
50.0,50.0,50.0,50.0,50.0,800
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,50.0,14000
50.0,50.0,50.0,50.0,50.0,51300
