Adj Close,Close,High,Low,Open,Volume
OLIV.JK,OLIV.JK,OLIV.JK,OLIV.JK,OLIV.JK,OLIV.JK
12.0,12.0,13.0,11.0,12.0,280300
13.0,13.0,13.0,11.0,11.0,253900
12.0,12.0,13.0,12.0,13.0,226800
12.0,12.0,13.0,11.0,13.0,766200
12.0,12.0,13.0,11.0,11.0,280500
11.0,11.0,12.0,11.0,11.0,379300
11.0,11.0,12.0,11.0,11.0,596700
12.0,12.0,12.0,11.0,11.0,224900
12.0,12.0,12.0,11.0,11.0,276400
12.0,12.0,12.0,11.0,12.0,242400
12.0,12.0,12.0,11.0,12.0,66700
12.0,12.0,12.0,11.0,12.0,101200
11.0,11.0,12.0,11.0,12.0,4223800
10.0,10.0,11.0,10.0,11.0,14816200
11.0,11.0,11.0,9.0,9.0,991000
10.0,10.0,11.0,10.0,11.0,1367100
10.0,10.0,11.0,10.0,11.0,4909500
10.0,10.0,11.0,9.0,10.0,2825600
10.0,10.0,11.0,9.0,11.0,764500
9.0,9.0,10.0,9.0,10.0,17111200
9.0,9.0,9.0,8.0,9.0,3034300
9.0,9.0,9.0,8.0,8.0,1755500
9.0,9.0,9.0,8.0,9.0,588100
9.0,9.0,9.0,8.0,9.0,1498100
8.0,8.0,9.0,8.0,9.0,13018000
7.0,7.0,8.0,7.0,7.0,16679000
7.0,7.0,8.0,6.0,6.0,5160000
8.0,8.0,8.0,7.0,7.0,8210000
9.0,9.0,9.0,8.0,8.0,8275500
9.0,9.0,9.0,8.0,9.0,1825000
9.0,9.0,9.0,8.0,9.0,812100
9.0,9.0,9.0,8.0,8.0,358600
9.0,9.0,9.0,8.0,8.0,1836300
9.0,9.0,9.0,8.0,9.0,1337800
9.0,9.0,9.0,8.0,9.0,10049900
9.0,9.0,9.0,8.0,9.0,752400
9.0,9.0,9.0,8.0,9.0,1503300
9.0,9.0,9.0,8.0,9.0,1036700
9.0,9.0,9.0,8.0,9.0,1632400
9.0,9.0,9.0,8.0,9.0,410300
9.0,9.0,9.0,8.0,9.0,211500
9.0,9.0,9.0,9.0,9.0,0
9.0,9.0,9.0,8.0,8.0,882400
9.0,9.0,9.0,8.0,9.0,91400
8.0,8.0,9.0,8.0,9.0,289700
9.0,9.0,9.0,8.0,9.0,547200
9.0,9.0,9.0,8.0,9.0,380200
8.0,8.0,9.0,8.0,9.0,1267400
9.0,9.0,9.0,7.0,8.0,890600
9.0,9.0,9.0,8.0,9.0,557400
8.0,8.0,9.0,8.0,9.0,1945500
9.0,9.0,9.0,7.0,8.0,1457900
8.0,8.0,9.0,8.0,9.0,1750700
8.0,8.0,8.0,7.0,8.0,442800
8.0,8.0,8.0,7.0,7.0,160600
8.0,8.0,8.0,7.0,7.0,513000
8.0,8.0,8.0,7.0,7.0,870900
8.0,8.0,8.0,7.0,8.0,389600
8.0,8.0,8.0,7.0,8.0,228000
9.0,9.0,9.0,7.0,8.0,3482400
9.0,9.0,9.0,8.0,9.0,845500
9.0,9.0,9.0,8.0,9.0,207600
9.0,9.0,9.0,8.0,8.0,2044700
9.0,9.0,9.0,8.0,9.0,182900
9.0,9.0,9.0,8.0,8.0,149700
8.0,8.0,9.0,8.0,9.0,118500
8.0,8.0,9.0,7.0,7.0,266200
8.0,8.0,8.0,7.0,7.0,657900
8.0,8.0,8.0,7.0,7.0,130700
8.0,8.0,8.0,7.0,8.0,48900
8.0,8.0,8.0,7.0,7.0,236400
7.0,7.0,8.0,7.0,7.0,29200
8.0,8.0,8.0,7.0,8.0,962500
7.0,7.0,8.0,7.0,8.0,4568600
8.0,8.0,8.0,6.0,8.0,2164900
8.0,8.0,8.0,7.0,8.0,262700
8.0,8.0,8.0,7.0,8.0,459000
8.0,8.0,9.0,7.0,8.0,5854100
8.0,8.0,9.0,8.0,9.0,4686400
9.0,9.0,9.0,7.0,9.0,1808800
9.0,9.0,9.0,8.0,9.0,789600
9.0,9.0,9.0,8.0,8.0,47100
9.0,9.0,10.0,8.0,9.0,7466600
10.0,10.0,10.0,9.0,10.0,1114300
10.0,10.0,10.0,9.0,10.0,476500
9.0,9.0,10.0,9.0,10.0,2574900
9.0,9.0,9.0,9.0,9.0,0
9.0,9.0,9.0,9.0,9.0,0
9.0,9.0,9.0,8.0,9.0,3620200
8.0,8.0,8.0,8.0,8.0,147000
8.0,8.0,8.0,7.0,8.0,265200
7.0,7.0,8.0,7.0,8.0,2236400
7.0,7.0,7.0,6.0,7.0,201200
6.0,6.0,7.0,6.0,7.0,6399500
6.0,6.0,7.0,6.0,7.0,1102800
7.0,7.0,7.0,6.0,6.0,1306700
6.0,6.0,7.0,6.0,7.0,6052800
5.0,5.0,6.0,5.0,6.0,21439300
5.0,5.0,5.0,4.0,5.0,1043400
5.0,5.0,6.0,4.0,5.0,1929500
5.0,5.0,6.0,5.0,6.0,1019900
6.0,6.0,6.0,5.0,6.0,3017300
6.0,6.0,7.0,5.0,6.0,2611700
5.0,5.0,7.0,5.0,7.0,749300
5.0,5.0,6.0,5.0,5.0,1929900
6.0,6.0,6.0,5.0,5.0,2360300
6.0,6.0,7.0,5.0,5.0,2511700
6.0,6.0,7.0,6.0,7.0,1447100
6.0,6.0,7.0,5.0,7.0,3273700
6.0,6.0,6.0,5.0,6.0,221200
6.0,6.0,6.0,5.0,6.0,1304000
7.0,7.0,7.0,5.0,6.0,2460500
7.0,7.0,7.0,6.0,7.0,690300
7.0,7.0,7.0,6.0,7.0,1143700
6.0,6.0,7.0,6.0,7.0,578800
5.0,5.0,7.0,5.0,5.0,3349900
4.0,4.0,6.0,4.0,5.0,20241100
5.0,5.0,5.0,4.0,5.0,12130200
4.0,4.0,6.0,4.0,5.0,2646500
5.0,5.0,5.0,4.0,5.0,5541500
5.0,5.0,6.0,4.0,6.0,1996000
5.0,5.0,6.0,4.0,5.0,1823000
4.0,4.0,5.0,4.0,5.0,1104500
5.0,5.0,5.0,4.0,5.0,872800
6.0,6.0,6.0,5.0,6.0,1044900
6.0,6.0,6.0,5.0,5.0,1248600
6.0,6.0,6.0,5.0,6.0,135500
6.0,6.0,6.0,5.0,6.0,974400
6.0,6.0,6.0,5.0,6.0,153200
6.0,6.0,6.0,5.0,6.0,1414600
6.0,6.0,6.0,5.0,6.0,126000
6.0,6.0,6.0,5.0,6.0,48000
6.0,6.0,6.0,5.0,6.0,196200
5.0,5.0,6.0,5.0,6.0,1076300
5.0,5.0,5.0,4.0,5.0,1793100
5.0,5.0,5.0,4.0,5.0,299100
5.0,5.0,5.0,4.0,5.0,2085600
5.0,5.0,5.0,4.0,5.0,418700
5.0,5.0,5.0,4.0,5.0,1118300
5.0,5.0,5.0,4.0,5.0,939200
5.0,5.0,5.0,4.0,5.0,168900
5.0,5.0,5.0,4.0,5.0,370000
5.0,5.0,5.0,4.0,5.0,1188200
5.0,5.0,5.0,4.0,5.0,359300
5.0,5.0,6.0,4.0,5.0,5370000
6.0,6.0,6.0,5.0,5.0,806200
5.0,5.0,6.0,5.0,5.0,2441900
5.0,5.0,6.0,5.0,5.0,2523400
6.0,6.0,6.0,5.0,5.0,2328400
6.0,6.0,6.0,5.0,6.0,513500
6.0,6.0,6.0,5.0,5.0,1458200
6.0,6.0,7.0,5.0,5.0,867300
6.0,6.0,7.0,5.0,5.0,1344100
6.0,6.0,7.0,5.0,7.0,1311000
7.0,7.0,7.0,6.0,7.0,3865100
7.0,7.0,7.0,6.0,7.0,548900
6.0,6.0,7.0,6.0,6.0,4675200
7.0,7.0,7.0,6.0,7.0,536800
7.0,7.0,7.0,6.0,7.0,1494200
7.0,7.0,7.0,6.0,6.0,1867800
7.0,7.0,7.0,6.0,6.0,280300
7.0,7.0,7.0,6.0,6.0,165600
7.0,7.0,7.0,6.0,7.0,513700
7.0,7.0,7.0,6.0,6.0,504200
7.0,7.0,7.0,6.0,7.0,650600
7.0,7.0,7.0,6.0,6.0,1078600
7.0,7.0,7.0,6.0,6.0,1136800
6.0,6.0,7.0,6.0,7.0,5255100
6.0,6.0,6.0,5.0,6.0,1111400
5.0,5.0,6.0,5.0,5.0,362500
6.0,6.0,6.0,5.0,5.0,4975800
7.0,7.0,7.0,6.0,6.0,548800
7.0,7.0,7.0,6.0,6.0,747400
7.0,7.0,7.0,6.0,7.0,922500
6.0,6.0,7.0,6.0,6.0,203300
6.0,6.0,7.0,6.0,6.0,191600
