Adj Close,Close,High,Low,Open,Volume
OMRE.JK,OMRE.JK,OMRE.JK,OMRE.JK,OMRE.JK,OMRE.JK
545.0,545.0,570.0,510.0,550.0,8100
540.0,540.0,560.0,505.0,505.0,4700
535.0,535.0,540.0,505.0,520.0,44900
535.0,535.0,535.0,535.0,535.0,0
505.0,505.0,535.0,450.0,535.0,1300
550.0,550.0,550.0,535.0,535.0,2600
535.0,535.0,550.0,515.0,550.0,9300
535.0,535.0,535.0,535.0,535.0,200
540.0,540.0,540.0,535.0,535.0,1100
545.0,545.0,545.0,520.0,520.0,700
535.0,535.0,540.0,515.0,540.0,4700
535.0,535.0,535.0,535.0,535.0,0
540.0,540.0,540.0,510.0,510.0,1300
525.0,525.0,535.0,515.0,515.0,2400
535.0,535.0,535.0,525.0,525.0,1100
535.0,535.0,535.0,535.0,535.0,0
535.0,535.0,535.0,535.0,535.0,0
535.0,535.0,535.0,535.0,535.0,0
535.0,535.0,535.0,535.0,535.0,0
500.0,500.0,505.0,500.0,500.0,21000
470.0,470.0,496.0,470.0,496.0,10700
490.0,490.0,490.0,474.0,474.0,300
500.0,500.0,500.0,500.0,500.0,200
500.0,500.0,500.0,500.0,500.0,0
472.0,472.0,472.0,468.0,468.0,300
490.0,490.0,490.0,490.0,490.0,100
476.0,476.0,510.0,476.0,490.0,8600
470.0,470.0,470.0,470.0,470.0,1000
498.0,498.0,498.0,478.0,478.0,300
498.0,498.0,498.0,498.0,498.0,0
498.0,498.0,498.0,498.0,498.0,0
498.0,498.0,498.0,498.0,498.0,0
498.0,498.0,498.0,498.0,498.0,0
505.0,505.0,525.0,505.0,510.0,700
530.0,530.0,530.0,530.0,530.0,300
505.0,505.0,505.0,505.0,505.0,100
505.0,505.0,505.0,505.0,505.0,300
500.0,500.0,505.0,500.0,505.0,400
500.0,500.0,500.0,500.0,500.0,500
500.0,500.0,500.0,500.0,500.0,0
500.0,500.0,500.0,500.0,500.0,100
500.0,500.0,500.0,500.0,500.0,0
498.0,498.0,540.0,474.0,535.0,14900
490.0,490.0,510.0,478.0,510.0,3600
505.0,505.0,505.0,472.0,472.0,8400
480.0,480.0,520.0,472.0,505.0,4900
490.0,490.0,545.0,490.0,525.0,2700
480.0,480.0,480.0,480.0,480.0,200
480.0,480.0,480.0,480.0,480.0,0
480.0,480.0,480.0,480.0,480.0,0
470.0,470.0,470.0,470.0,470.0,500
468.0,468.0,468.0,468.0,468.0,100
462.0,462.0,462.0,462.0,462.0,2700
505.0,505.0,525.0,466.0,490.0,1700
505.0,505.0,505.0,505.0,505.0,0
482.0,482.0,482.0,482.0,482.0,500
510.0,510.0,530.0,496.0,496.0,1200
510.0,510.0,510.0,510.0,510.0,0
510.0,510.0,510.0,510.0,510.0,0
482.0,482.0,488.0,480.0,488.0,700
484.0,484.0,484.0,484.0,484.0,100
472.0,472.0,472.0,472.0,472.0,100
474.0,474.0,500.0,474.0,484.0,1200
468.0,468.0,468.0,468.0,468.0,3200
468.0,468.0,468.0,468.0,468.0,0
468.0,468.0,468.0,468.0,468.0,200
468.0,468.0,468.0,468.0,468.0,0
482.0,482.0,482.0,482.0,482.0,200
462.0,462.0,462.0,462.0,462.0,1300
490.0,490.0,490.0,482.0,482.0,200
492.0,492.0,505.0,490.0,490.0,20700
520.0,520.0,535.0,510.0,510.0,700
520.0,520.0,520.0,520.0,520.0,0
472.0,472.0,520.0,472.0,520.0,500
472.0,472.0,472.0,472.0,472.0,0
472.0,472.0,472.0,472.0,472.0,2000
468.0,468.0,468.0,468.0,468.0,1000
510.0,510.0,525.0,462.0,472.0,2100
505.0,505.0,520.0,472.0,500.0,4000
484.0,484.0,510.0,480.0,510.0,1100
484.0,484.0,484.0,484.0,484.0,0
484.0,484.0,484.0,484.0,484.0,0
484.0,484.0,484.0,484.0,484.0,0
484.0,484.0,484.0,484.0,484.0,0
484.0,484.0,484.0,484.0,484.0,0
490.0,490.0,490.0,484.0,484.0,500
490.0,490.0,490.0,490.0,490.0,0
488.0,488.0,515.0,470.0,515.0,4300
496.0,496.0,505.0,488.0,488.0,8300
520.0,520.0,520.0,505.0,505.0,400
490.0,490.0,505.0,490.0,505.0,2900
490.0,490.0,490.0,490.0,490.0,0
486.0,486.0,486.0,470.0,470.0,2200
468.0,468.0,494.0,468.0,494.0,700
468.0,468.0,468.0,468.0,468.0,0
472.0,472.0,484.0,468.0,468.0,2500
470.0,470.0,484.0,470.0,484.0,12500
478.0,478.0,490.0,470.0,490.0,400
468.0,468.0,468.0,468.0,468.0,800
468.0,468.0,468.0,468.0,468.0,0
470.0,470.0,470.0,470.0,470.0,3100
470.0,470.0,470.0,470.0,470.0,1400
468.0,468.0,470.0,468.0,470.0,1000
468.0,468.0,468.0,468.0,468.0,0
468.0,468.0,468.0,468.0,468.0,0
468.0,468.0,468.0,468.0,468.0,0
468.0,468.0,468.0,468.0,468.0,0
468.0,468.0,468.0,468.0,468.0,0
500.0,500.0,500.0,500.0,500.0,100
500.0,500.0,500.0,500.0,500.0,0
480.0,480.0,480.0,480.0,480.0,200
480.0,480.0,482.0,480.0,480.0,400
480.0,480.0,480.0,480.0,480.0,0
480.0,480.0,480.0,480.0,480.0,0
480.0,480.0,480.0,480.0,480.0,0
458.0,458.0,460.0,458.0,460.0,700
458.0,458.0,458.0,458.0,458.0,1200
458.0,458.0,458.0,458.0,458.0,0
458.0,458.0,458.0,458.0,458.0,0
458.0,458.0,458.0,458.0,458.0,0
458.0,458.0,458.0,458.0,458.0,300
458.0,458.0,458.0,458.0,458.0,0
418.0,418.0,418.0,418.0,418.0,200
418.0,418.0,418.0,418.0,418.0,3500
418.0,418.0,418.0,418.0,418.0,6200
418.0,418.0,418.0,418.0,418.0,0
418.0,418.0,418.0,418.0,418.0,0
418.0,418.0,418.0,418.0,418.0,0
418.0,418.0,418.0,418.0,418.0,0
432.0,432.0,432.0,432.0,432.0,6700
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,11500
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,300
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
432.0,432.0,432.0,432.0,432.0,0
434.0,434.0,434.0,434.0,434.0,1000
434.0,434.0,434.0,434.0,434.0,0
434.0,434.0,434.0,434.0,434.0,0
434.0,434.0,434.0,434.0,434.0,0
434.0,434.0,434.0,434.0,434.0,0
434.0,434.0,434.0,434.0,434.0,0
434.0,434.0,434.0,434.0,434.0,0
434.0,434.0,434.0,434.0,434.0,0
434.0,434.0,434.0,434.0,434.0,0
420.0,420.0,420.0,420.0,420.0,5100
420.0,420.0,420.0,420.0,420.0,4500
420.0,420.0,420.0,420.0,420.0,0
420.0,420.0,420.0,420.0,420.0,0
420.0,420.0,420.0,420.0,420.0,0
420.0,420.0,420.0,420.0,420.0,0
420.0,420.0,420.0,420.0,420.0,0
420.0,420.0,420.0,420.0,420.0,0
420.0,420.0,420.0,420.0,420.0,0
420.0,420.0,420.0,420.0,420.0,0
420.0,420.0,420.0,420.0,420.0,0
400.0,400.0,400.0,400.0,400.0,4700
400.0,400.0,400.0,400.0,400.0,100
400.0,400.0,400.0,400.0,400.0,0
400.0,400.0,400.0,400.0,400.0,0
400.0,400.0,400.0,400.0,400.0,400
400.0,400.0,400.0,400.0,400.0,2000
400.0,400.0,400.0,400.0,400.0,0
400.0,400.0,400.0,400.0,400.0,0
398.0,398.0,400.0,398.0,400.0,6100
398.0,398.0,398.0,398.0,398.0,9000
398.0,398.0,398.0,398.0,398.0,0
398.0,398.0,398.0,398.0,398.0,0
398.0,398.0,398.0,398.0,398.0,0
398.0,398.0,398.0,398.0,398.0,1100
418.0,418.0,420.0,418.0,420.0,300
420.0,420.0,420.0,420.0,420.0,200
420.0,420.0,420.0,420.0,420.0,0
420.0,420.0,420.0,420.0,420.0,0
420.0,420.0,420.0,420.0,420.0,0
420.0,420.0,420.0,420.0,420.0,0
418.0,418.0,418.0,418.0,418.0,1800
