Adj Close,Close,High,Low,Open,Volume
PADI.JK,PADI.JK,PADI.JK,PADI.JK,PADI.JK,PADI.JK
9.0,9.0,9.0,9.0,9.0,13900
9.0,9.0,9.0,9.0,9.0,33400
9.0,9.0,9.0,9.0,9.0,2800
9.0,9.0,9.0,9.0,9.0,70900
9.0,9.0,9.0,9.0,9.0,531100
9.0,9.0,10.0,9.0,10.0,113700
10.0,10.0,10.0,9.0,9.0,631800
9.0,9.0,9.0,9.0,9.0,5063200
10.0,10.0,10.0,9.0,9.0,37400
10.0,10.0,10.0,10.0,10.0,156500
9.0,9.0,10.0,9.0,10.0,200100
9.0,9.0,9.0,9.0,9.0,367800
9.0,9.0,9.0,9.0,9.0,301600
10.0,10.0,10.0,9.0,9.0,36700
10.0,10.0,10.0,10.0,10.0,143300
10.0,10.0,10.0,10.0,10.0,18500
9.0,9.0,9.0,9.0,9.0,241700
9.0,9.0,9.0,9.0,9.0,548500
9.0,9.0,10.0,9.0,10.0,25800
9.0,9.0,9.0,9.0,9.0,43200
9.0,9.0,9.0,9.0,9.0,31700
9.0,9.0,9.0,9.0,9.0,176200
8.0,8.0,8.0,8.0,8.0,830100
9.0,9.0,9.0,8.0,8.0,13500
9.0,9.0,9.0,9.0,9.0,60800
9.0,9.0,9.0,9.0,9.0,40300
9.0,9.0,9.0,9.0,9.0,47400
9.0,9.0,9.0,9.0,9.0,5500
9.0,9.0,9.0,9.0,9.0,48400
9.0,9.0,9.0,9.0,9.0,14200
9.0,9.0,9.0,9.0,9.0,12300
8.0,8.0,8.0,8.0,8.0,429900
9.0,9.0,9.0,9.0,9.0,352500
9.0,9.0,9.0,9.0,9.0,12800
8.0,8.0,8.0,8.0,8.0,135300
8.0,8.0,8.0,8.0,8.0,46400
8.0,8.0,8.0,8.0,8.0,52600
7.0,7.0,7.0,7.0,7.0,690300
7.0,7.0,7.0,7.0,7.0,1446500
7.0,7.0,7.0,7.0,7.0,806800
7.0,7.0,7.0,7.0,7.0,25200
8.0,8.0,8.0,7.0,7.0,897400
9.0,9.0,9.0,8.0,8.0,411800
9.0,9.0,9.0,9.0,9.0,234600
9.0,9.0,9.0,9.0,9.0,52200
8.0,8.0,9.0,8.0,9.0,54600
8.0,8.0,8.0,8.0,8.0,384200
7.0,7.0,8.0,7.0,8.0,171000
7.0,7.0,7.0,7.0,7.0,3199700
7.0,7.0,7.0,7.0,7.0,8094600
8.0,8.0,8.0,7.0,7.0,749000
8.0,8.0,8.0,8.0,8.0,49000
8.0,8.0,8.0,8.0,8.0,178100
7.0,7.0,7.0,7.0,7.0,782900
7.0,7.0,7.0,7.0,7.0,7102700
7.0,7.0,7.0,7.0,7.0,33200
7.0,7.0,7.0,7.0,7.0,40200
7.0,7.0,7.0,7.0,7.0,1156400
8.0,8.0,8.0,7.0,7.0,125900
8.0,8.0,8.0,8.0,8.0,134200
8.0,8.0,8.0,8.0,8.0,19800
8.0,8.0,8.0,8.0,8.0,11600
8.0,8.0,8.0,8.0,8.0,447500
7.0,7.0,8.0,7.0,8.0,844200
8.0,8.0,8.0,7.0,7.0,117500
8.0,8.0,8.0,8.0,8.0,235200
7.0,7.0,7.0,7.0,7.0,68300
7.0,7.0,7.0,7.0,7.0,594900
7.0,7.0,7.0,7.0,7.0,232000
7.0,7.0,7.0,7.0,7.0,13800
8.0,8.0,8.0,8.0,8.0,29100
8.0,8.0,8.0,8.0,8.0,111100
7.0,7.0,8.0,7.0,8.0,39100
7.0,7.0,7.0,7.0,7.0,405200
8.0,8.0,8.0,7.0,7.0,365500
8.0,8.0,8.0,8.0,8.0,9800
9.0,9.0,9.0,8.0,8.0,95600
8.0,8.0,9.0,8.0,9.0,539700
7.0,7.0,8.0,7.0,8.0,1061300
8.0,8.0,8.0,8.0,8.0,830400
8.0,8.0,8.0,8.0,8.0,1013900
8.0,8.0,8.0,8.0,8.0,141500
9.0,9.0,9.0,8.0,8.0,63400
9.0,9.0,9.0,9.0,9.0,4283700
9.0,9.0,9.0,9.0,9.0,346000
10.0,10.0,10.0,10.0,10.0,2600
9.0,9.0,9.0,9.0,9.0,284100
8.0,8.0,8.0,8.0,8.0,1203900
9.0,9.0,9.0,8.0,8.0,2074600
9.0,9.0,9.0,8.0,8.0,536700
9.0,9.0,9.0,8.0,8.0,565400
8.0,8.0,8.0,8.0,8.0,435900
9.0,9.0,9.0,7.0,8.0,1495200
