Adj Close,Close,High,Low,Open,Volume
PALM.JK,PALM.JK,PALM.JK,PALM.JK,PALM.JK,PALM.JK
430.0,430.0,438.0,426.0,438.0,198000
442.0,442.0,478.0,426.0,430.0,216100
456.0,456.0,462.0,442.0,442.0,17700
452.0,452.0,456.0,446.0,456.0,28200
444.0,444.0,452.0,444.0,452.0,142100
440.0,440.0,442.0,438.0,442.0,129400
440.0,440.0,446.0,434.0,438.0,2900
432.0,432.0,446.0,428.0,432.0,123300
432.0,432.0,434.0,420.0,432.0,70000
438.0,438.0,446.0,434.0,434.0,16400
428.0,428.0,442.0,428.0,430.0,126200
430.0,430.0,438.0,424.0,428.0,46800
430.0,430.0,436.0,430.0,432.0,7100
430.0,430.0,434.0,428.0,432.0,327700
428.0,428.0,432.0,426.0,432.0,176700
535.0,535.0,535.0,450.0,452.0,2199300
515.0,515.0,665.0,498.0,550.0,12536100
474.0,474.0,515.0,470.0,515.0,1894600
476.0,476.0,490.0,454.0,476.0,905000
458.0,458.0,486.0,456.0,476.0,380600
444.0,444.0,458.0,436.0,458.0,484600
448.0,448.0,450.0,440.0,446.0,215100
515.0,515.0,545.0,442.0,448.0,4685800
530.0,530.0,570.0,500.0,515.0,1880900
530.0,530.0,560.0,510.0,525.0,610000
570.0,570.0,595.0,510.0,520.0,1363600
635.0,635.0,665.0,570.0,570.0,14905900
650.0,650.0,660.0,600.0,640.0,4083600
655.0,655.0,660.0,645.0,650.0,714000
645.0,645.0,670.0,615.0,665.0,665200
600.0,600.0,645.0,600.0,635.0,341000
625.0,625.0,650.0,595.0,600.0,1022700
645.0,645.0,645.0,625.0,635.0,560500
630.0,630.0,645.0,625.0,635.0,406300
630.0,630.0,660.0,625.0,630.0,1998300
625.0,625.0,650.0,610.0,640.0,1503500
595.0,595.0,675.0,595.0,630.0,2397100
580.0,580.0,620.0,575.0,600.0,1827900
570.0,570.0,605.0,565.0,580.0,764300
550.0,550.0,580.0,540.0,560.0,605400
530.0,530.0,565.0,530.0,550.0,335400
530.0,530.0,600.0,525.0,540.0,1619000
515.0,515.0,555.0,515.0,545.0,1235800
498.0,498.0,520.0,496.0,520.0,1575900
488.0,488.0,505.0,470.0,498.0,1023000
498.0,498.0,515.0,450.0,488.0,908700
484.0,484.0,500.0,482.0,498.0,219600
490.0,490.0,498.0,478.0,492.0,3758300
490.0,490.0,492.0,478.0,490.0,392100
474.0,474.0,490.0,470.0,488.0,196100
474.0,474.0,480.0,470.0,480.0,60000
484.0,484.0,490.0,474.0,474.0,247700
482.0,482.0,492.0,480.0,488.0,32800
478.0,478.0,498.0,470.0,488.0,217800
470.0,470.0,484.0,470.0,476.0,151300
478.0,478.0,484.0,470.0,484.0,113700
460.0,460.0,480.0,454.0,476.0,976000
462.0,462.0,462.0,450.0,460.0,933200
474.0,474.0,480.0,458.0,462.0,84300
440.0,440.0,462.0,436.0,460.0,783300
408.0,408.0,458.0,388.0,440.0,4273100
438.0,438.0,450.0,408.0,408.0,682800
434.0,434.0,456.0,430.0,442.0,821200
444.0,444.0,460.0,428.0,436.0,630400
450.0,450.0,470.0,428.0,446.0,439900
448.0,448.0,468.0,420.0,450.0,397300
442.0,442.0,450.0,420.0,448.0,350200
446.0,446.0,456.0,438.0,438.0,518300
450.0,450.0,458.0,442.0,446.0,551200
448.0,448.0,458.0,442.0,456.0,696500
440.0,440.0,456.0,432.0,448.0,82500
434.0,434.0,448.0,434.0,438.0,96200
438.0,438.0,450.0,430.0,434.0,46000
440.0,440.0,448.0,430.0,444.0,120800
420.0,420.0,440.0,410.0,440.0,916800
420.9432373046875,420.9432373046875,424.80511474609375,407.4267272949219,413.2195129394531,683400
428.6669616699219,428.6669616699219,432.5288391113281,409.357666015625,419.0122985839844,268574
449.9072265625,449.9072265625,465.35467529296875,419.0122985839844,430.597900390625,1015053
432.5288391113281,432.5288391113281,449.9072265625,430.597900390625,444.11444091796875,239573
430.597900390625,430.597900390625,436.3907165527344,417.0813903808594,432.5288391113281,1148667
470.0,470.0,480.0,410.0,440.0,2164100
464.0,464.0,470.0,436.0,470.0,1200500
446.0,446.0,464.0,432.0,464.0,1341200
444.0,444.0,458.0,420.0,442.0,1987300
420.0,420.0,440.0,420.0,430.0,1742500
418.0,418.0,426.0,416.0,422.0,266500
422.0,422.0,422.0,416.0,422.0,789000
414.0,414.0,422.0,414.0,422.0,657700
416.0,416.0,426.0,414.0,422.0,838000
416.0,416.0,428.0,416.0,418.0,1686500
376.0,376.0,418.0,336.0,414.0,5032300
378.0,378.0,390.0,360.0,376.0,570600
360.0,360.0,388.0,360.0,376.0,2214200
422.0,422.0,448.0,366.0,366.0,12276800
418.0,418.0,428.0,408.0,428.0,922900
444.0,444.0,462.0,396.0,418.0,6965000
438.0,438.0,458.0,436.0,444.0,2709700
464.0,464.0,484.0,436.0,438.0,4634600
460.0,460.0,476.0,458.0,464.0,3916600
454.0,454.0,468.0,454.0,460.0,1400900
460.0,460.0,462.0,450.0,458.0,909500
450.0,450.0,466.0,446.0,460.0,803000
446.0,446.0,456.0,432.0,456.0,1182700
428.0,428.0,456.0,426.0,440.0,1173400
424.0,424.0,440.0,412.0,434.0,1220100
422.0,422.0,434.0,416.0,424.0,805600
398.0,398.0,422.0,396.0,422.0,1584400
398.0,398.0,410.0,394.0,400.0,1536500
402.0,402.0,424.0,396.0,398.0,946800
400.0,400.0,408.0,396.0,402.0,752400
400.0,400.0,416.0,392.0,400.0,628800
396.0,396.0,404.0,394.0,400.0,219800
396.0,396.0,408.0,396.0,404.0,225700
390.0,390.0,398.0,370.0,396.0,1361300
380.0,380.0,390.0,374.0,390.0,664500
394.0,394.0,400.0,380.0,380.0,887400
404.0,404.0,414.0,394.0,394.0,777500
408.0,408.0,424.0,404.0,410.0,929600
396.0,396.0,408.0,386.0,408.0,910200
396.0,396.0,400.0,388.0,396.0,309800
400.0,400.0,410.0,388.0,406.0,513600
396.0,396.0,404.0,396.0,398.0,353800
392.0,392.0,400.0,392.0,396.0,529700
388.0,388.0,402.0,388.0,392.0,787800
408.0,408.0,410.0,388.0,388.0,811100
400.0,400.0,414.0,396.0,410.0,220700
390.0,390.0,396.0,386.0,396.0,872500
382.0,382.0,388.0,380.0,388.0,753900
388.0,388.0,388.0,382.0,388.0,170700
380.0,380.0,388.0,376.0,382.0,428600
382.0,382.0,386.0,378.0,384.0,70200
372.0,372.0,382.0,370.0,378.0,567500
396.0,396.0,396.0,366.0,368.0,801000
384.0,384.0,392.0,368.0,392.0,916600
390.0,390.0,414.0,372.0,374.0,1006300
400.0,400.0,422.0,374.0,388.0,1614000
398.0,398.0,418.0,394.0,400.0,908000
406.0,406.0,416.0,398.0,398.0,866600
396.0,396.0,410.0,390.0,406.0,557600
400.0,400.0,414.0,392.0,404.0,817000
412.0,412.0,416.0,400.0,406.0,934000
410.0,410.0,410.0,402.0,410.0,647000
406.0,406.0,410.0,400.0,404.0,207700
398.0,398.0,410.0,398.0,410.0,187100
396.0,396.0,408.0,392.0,408.0,914000
400.0,400.0,400.0,396.0,396.0,54100
394.0,394.0,400.0,388.0,400.0,897800
396.0,396.0,398.0,392.0,394.0,94400
412.0,412.0,412.0,394.0,396.0,624300
402.0,402.0,412.0,400.0,412.0,707600
400.0,400.0,406.0,396.0,400.0,628600
396.0,396.0,400.0,396.0,400.0,750800
398.0,398.0,402.0,392.0,396.0,79000
396.0,396.0,398.0,394.0,396.0,205800
398.0,398.0,400.0,390.0,396.0,765100
398.0,398.0,400.0,392.0,398.0,135800
388.0,388.0,400.0,388.0,396.0,502900
382.0,382.0,410.0,382.0,400.0,3096700
380.0,380.0,388.0,380.0,384.0,988800
384.0,384.0,386.0,378.0,382.0,580300
400.0,400.0,400.0,382.0,382.0,649800
396.0,396.0,400.0,390.0,400.0,570000
390.0,390.0,394.0,386.0,394.0,224200
386.0,386.0,392.0,386.0,390.0,157000
388.0,388.0,396.0,384.0,396.0,177000
386.0,386.0,392.0,382.0,392.0,294400
386.0,386.0,386.0,380.0,386.0,618300
370.0,370.0,386.0,368.0,386.0,521000
374.0,374.0,378.0,366.0,370.0,607700
372.0,372.0,378.0,368.0,374.0,196000
376.0,376.0,378.0,372.0,374.0,205400
378.0,378.0,378.0,372.0,376.0,66500
378.0,378.0,380.0,376.0,378.0,19400
380.0,380.0,380.0,376.0,378.0,58800
374.0,374.0,380.0,372.0,380.0,311700
374.0,374.0,378.0,370.0,378.0,428400
376.0,376.0,376.0,368.0,374.0,243300
372.0,372.0,376.0,366.0,376.0,516600
376.0,376.0,376.0,372.0,374.0,135700
374.0,374.0,376.0,372.0,376.0,1369100
376.0,376.0,378.0,372.0,374.0,242800
378.0,378.0,378.0,374.0,376.0,140700
380.0,380.0,380.0,374.0,378.0,212200
374.0,374.0,382.0,372.0,376.0,443300
376.0,376.0,380.0,374.0,376.0,300400
370.0,370.0,378.0,370.0,376.0,360600
386.0,386.0,396.0,370.0,370.0,1080200
384.0,384.0,390.0,378.0,390.0,853800
380.0,380.0,386.0,380.0,384.0,421500
382.0,382.0,388.0,376.0,378.0,361400
384.0,384.0,384.0,374.0,384.0,318700
382.0,382.0,386.0,378.0,386.0,217500
394.0,394.0,408.0,376.0,380.0,1345300
382.0,382.0,396.0,380.0,396.0,489000
382.0,382.0,388.0,376.0,382.0,473800
394.0,394.0,402.0,374.0,380.0,3075600
390.0,390.0,398.0,390.0,398.0,512700
394.0,394.0,404.0,390.0,392.0,794100
396.0,396.0,400.0,394.0,396.0,411300
396.0,396.0,402.0,394.0,396.0,421000
396.0,396.0,400.0,392.0,398.0,523400
396.0,396.0,400.0,392.0,398.0,737200
406.0,406.0,410.0,396.0,396.0,553100
428.0,428.0,430.0,406.0,406.0,2446700
436.0,436.0,444.0,416.0,432.0,2320900
428.0,428.0,438.0,424.0,438.0,662600
418.0,418.0,428.0,416.0,426.0,616600
416.0,416.0,426.0,410.0,420.0,1223400
410.0,410.0,420.0,408.0,414.0,667300
418.0,418.0,424.0,406.0,410.0,774500
426.0,426.0,426.0,410.0,418.0,626300
430.0,430.0,438.0,420.0,424.0,850400
426.0,426.0,434.0,418.0,432.0,1261300
422.0,422.0,428.0,410.0,426.0,852500
410.0,410.0,422.0,410.0,422.0,354200
416.0,416.0,418.0,412.0,412.0,77700
420.0,420.0,422.0,416.0,416.0,309600
422.0,422.0,424.0,418.0,420.0,484700
424.0,424.0,424.0,422.0,422.0,290000
428.0,428.0,442.0,426.0,440.0,1756100
422.0,422.0,432.0,422.0,430.0,1445000
420.0,420.0,422.0,414.0,422.0,1763900
434.0,434.0,434.0,424.0,424.0,1467100
422.0,422.0,434.0,422.0,434.0,1107200
422.0,422.0,428.0,416.0,422.0,1252500
412.0,412.0,428.0,408.0,424.0,1840200
408.0,408.0,412.0,408.0,412.0,292600
404.0,404.0,412.0,390.0,408.0,1334500
406.0,406.0,406.0,394.0,404.0,200900
394.0,394.0,400.0,394.0,400.0,758600
394.0,394.0,404.0,392.0,396.0,523400
398.0,398.0,400.0,384.0,394.0,1104400
398.0,398.0,400.0,392.0,398.0,714600
400.0,400.0,404.0,394.0,398.0,819900
398.0,398.0,400.0,392.0,396.0,425600
398.0,398.0,398.0,390.0,398.0,116400
398.0,398.0,400.0,390.0,396.0,553200
392.0,392.0,398.0,388.0,398.0,649400
