Adj Close,Close,High,Low,Open,Volume
PDES.JK,PDES.JK,PDES.JK,PDES.JK,PDES.JK,PDES.JK
284.0,284.0,344.0,274.0,290.0,1039100
296.0,296.0,342.0,284.0,284.0,487900
288.0,288.0,296.0,280.0,296.0,209600
288.0,288.0,288.0,284.0,284.0,38800
282.0,282.0,298.0,276.0,286.0,42700
288.0,288.0,288.0,276.0,282.0,41300
284.0,284.0,288.0,270.0,288.0,11800
280.0,280.0,284.0,272.0,284.0,5500
276.0,276.0,282.0,274.0,282.0,4700
268.0,268.0,276.0,266.0,276.0,26300
278.0,278.0,286.0,250.0,268.0,440200
266.0,266.0,278.0,266.0,278.0,7600
268.0,268.0,272.0,262.0,266.0,27300
268.0,268.0,268.0,252.0,252.0,121800
266.0,266.0,268.0,250.0,266.0,12800
264.0,264.0,266.0,250.0,266.0,14000
260.0,260.0,264.0,250.0,264.0,8600
260.0,260.0,260.0,246.0,260.0,5200
260.0,260.0,260.0,246.0,258.0,22300
258.0,258.0,260.0,258.0,258.0,19400
240.0,240.0,258.0,240.0,258.0,39100
234.0,234.0,240.0,228.0,240.0,14800
232.0,232.0,236.0,230.0,236.0,19700
232.0,232.0,232.0,220.0,222.0,23900
226.0,226.0,232.0,216.0,232.0,17200
224.0,224.0,232.0,222.0,232.0,12900
224.0,224.0,226.0,220.0,220.0,17500
224.0,224.0,230.0,216.0,230.0,8000
224.0,224.0,224.0,224.0,224.0,100
224.0,224.0,224.0,212.0,224.0,22000
230.0,230.0,278.0,218.0,224.0,2035100
220.0,220.0,236.0,218.0,230.0,330100
220.0,220.0,228.0,220.0,220.0,70400
222.0,222.0,222.0,218.0,218.0,7600
218.0,218.0,222.0,218.0,222.0,3400
222.0,222.0,226.0,216.0,218.0,27400
220.0,220.0,222.0,214.0,222.0,47200
220.0,220.0,222.0,218.0,220.0,9100
220.0,220.0,222.0,216.0,218.0,27100
218.0,218.0,218.0,212.0,218.0,25900
218.0,218.0,218.0,216.0,218.0,16400
216.0,216.0,218.0,212.0,216.0,26800
216.0,216.0,216.0,214.0,214.0,18300
216.0,216.0,218.0,210.0,214.0,30400
218.0,218.0,222.0,214.0,214.0,38800
214.0,214.0,218.0,214.0,218.0,6900
216.0,216.0,216.0,208.0,214.0,7400
216.0,216.0,216.0,210.0,212.0,39900
214.0,214.0,216.0,212.0,216.0,21400
214.0,214.0,214.0,214.0,214.0,200
214.0,214.0,214.0,210.0,210.0,22700
210.0,210.0,216.0,204.0,210.0,19600
218.0,218.0,218.0,208.0,212.0,45200
220.0,220.0,220.0,206.0,206.0,45800
220.0,220.0,220.0,210.0,210.0,5500
220.0,220.0,220.0,210.0,220.0,1000
218.0,218.0,220.0,218.0,218.0,4500
218.0,218.0,218.0,206.0,214.0,16400
218.0,218.0,218.0,204.0,204.0,7800
212.0,212.0,218.0,200.0,216.0,17100
214.0,214.0,214.0,208.0,208.0,15800
212.0,212.0,212.0,206.0,206.0,8500
214.0,214.0,214.0,210.0,212.0,28900
212.0,212.0,216.0,212.0,212.0,1400
212.0,212.0,214.0,212.0,212.0,1700
214.0,214.0,218.0,212.0,214.0,32500
216.0,216.0,216.0,212.0,212.0,26700
218.0,218.0,218.0,210.0,218.0,5700
220.0,220.0,224.0,210.0,212.0,35500
224.0,224.0,226.0,212.0,212.0,69200
238.0,238.0,278.0,226.0,226.0,701800
234.0,234.0,240.0,218.0,236.0,93700
232.0,232.0,234.0,224.0,234.0,1900
226.0,226.0,232.0,214.0,232.0,19100
214.0,214.0,224.0,208.0,218.0,40000
214.0,214.0,216.0,212.0,212.0,21000
216.0,216.0,216.0,212.0,214.0,3700
220.0,220.0,220.0,208.0,212.0,49400
212.0,212.0,222.0,212.0,222.0,22500
214.0,214.0,214.0,212.0,212.0,11200
212.0,212.0,216.0,212.0,214.0,40700
212.0,212.0,214.0,212.0,212.0,800
212.0,212.0,212.0,210.0,212.0,10500
212.0,212.0,214.0,210.0,212.0,34800
214.0,214.0,214.0,210.0,212.0,34200
216.0,216.0,216.0,210.0,214.0,4300
216.0,216.0,218.0,216.0,218.0,700
212.0,212.0,218.0,208.0,218.0,35400
206.0,206.0,220.0,206.0,212.0,67200
200.0,200.0,208.0,195.0,208.0,74600
202.0,202.0,202.0,194.0,200.0,29700
202.0,202.0,204.0,190.0,202.0,34700
202.0,202.0,204.0,198.0,202.0,21200
202.0,202.0,204.0,196.0,202.0,11500
202.0,202.0,204.0,202.0,202.0,5300
200.0,200.0,204.0,199.0,202.0,12500
200.0,200.0,202.0,190.0,190.0,11500
202.0,202.0,202.0,198.0,200.0,10800
202.0,202.0,204.0,202.0,202.0,1100
202.0,202.0,204.0,196.0,202.0,7700
186.0,186.0,204.0,174.0,202.0,164600
185.0,185.0,186.0,182.0,186.0,24100
185.0,185.0,186.0,182.0,185.0,2800
208.0,208.0,244.0,186.0,186.0,517800
204.0,204.0,208.0,186.0,208.0,189100
204.0,204.0,206.0,186.0,188.0,39800
204.0,204.0,204.0,198.0,204.0,9400
194.0,194.0,206.0,194.0,204.0,45800
190.0,190.0,195.0,183.0,194.0,59700
187.0,187.0,190.0,187.0,190.0,19800
187.0,187.0,188.0,184.0,187.0,11600
188.0,188.0,188.0,181.0,187.0,7300
188.0,188.0,188.0,185.0,188.0,8400
188.0,188.0,189.0,188.0,188.0,20300
189.0,189.0,189.0,188.0,188.0,3600
189.0,189.0,190.0,189.0,189.0,2500
187.0,187.0,190.0,180.0,189.0,29400
193.0,193.0,193.0,187.0,187.0,39900
192.0,192.0,194.0,187.0,190.0,81000
190.0,190.0,193.0,184.0,184.0,26500
189.0,189.0,190.0,185.0,190.0,1000
189.0,189.0,190.0,180.0,190.0,500
189.0,189.0,190.0,180.0,189.0,1200
187.0,187.0,190.0,175.0,189.0,63200
186.0,186.0,187.0,180.0,180.0,10500
180.0,180.0,187.0,179.0,186.0,221900
179.0,179.0,181.0,176.0,181.0,7000
185.0,185.0,185.0,172.0,179.0,55000
185.0,185.0,186.0,185.0,185.0,5100
185.0,185.0,191.0,180.0,185.0,57500
186.0,186.0,186.0,185.0,185.0,2900
190.0,190.0,190.0,185.0,186.0,49500
196.0,196.0,200.0,190.0,190.0,208700
197.0,197.0,197.0,190.0,196.0,225000
197.0,197.0,197.0,195.0,197.0,223400
200.0,200.0,200.0,195.0,197.0,58300
204.0,204.0,204.0,200.0,200.0,69600
204.0,204.0,204.0,202.0,202.0,66200
212.0,212.0,212.0,204.0,204.0,216900
216.0,216.0,216.0,208.0,212.0,111300
212.0,212.0,216.0,212.0,216.0,104200
210.0,210.0,212.0,208.0,208.0,120500
214.0,214.0,214.0,210.0,210.0,178600
214.0,214.0,214.0,210.0,214.0,34100
218.0,218.0,218.0,210.0,214.0,129500
218.0,218.0,218.0,210.0,218.0,89100
222.0,222.0,222.0,214.0,218.0,145900
228.0,228.0,230.0,218.0,222.0,229900
232.0,232.0,232.0,224.0,228.0,102700
232.0,232.0,234.0,228.0,228.0,43500
238.0,238.0,238.0,228.0,232.0,535700
238.0,238.0,240.0,234.0,240.0,63100
240.0,240.0,240.0,232.0,240.0,152800
242.0,242.0,242.0,234.0,236.0,113700
242.0,242.0,244.0,236.0,242.0,112000
240.0,240.0,246.0,238.0,242.0,160500
240.0,240.0,242.0,240.0,240.0,15500
242.0,242.0,242.0,234.0,240.0,138600
236.0,236.0,242.0,234.0,242.0,233500
238.0,238.0,238.0,232.0,232.0,16300
238.0,238.0,240.0,238.0,238.0,1100
240.0,240.0,240.0,226.0,238.0,435000
238.0,238.0,242.0,230.0,242.0,345300
240.0,240.0,240.0,234.0,238.0,12900
240.0,240.0,242.0,236.0,240.0,2100
240.0,240.0,242.0,232.0,240.0,222900
246.0,246.0,246.0,236.0,240.0,111100
240.0,240.0,250.0,238.0,250.0,249200
236.0,236.0,242.0,236.0,240.0,43200
232.0,232.0,238.0,228.0,236.0,359500
234.0,234.0,234.0,228.0,232.0,10600
234.0,234.0,234.0,230.0,234.0,2700
234.0,234.0,234.0,230.0,234.0,7600
234.0,234.0,234.0,230.0,230.0,700
236.0,236.0,236.0,230.0,230.0,10200
232.0,232.0,236.0,232.0,236.0,4000
232.0,232.0,232.0,228.0,230.0,1200
234.0,234.0,234.0,230.0,230.0,400
236.0,236.0,236.0,234.0,234.0,200
246.0,246.0,248.0,236.0,236.0,696800
256.0,256.0,260.0,244.0,246.0,1393300
256.0,256.0,258.0,254.0,258.0,139400
256.0,256.0,258.0,252.0,256.0,145000
262.0,262.0,264.0,256.0,256.0,739700
264.0,264.0,270.0,258.0,258.0,1237000
264.0,264.0,266.0,262.0,264.0,197600
266.0,266.0,266.0,260.0,264.0,168000
268.0,268.0,268.0,262.0,266.0,88900
266.0,266.0,268.0,262.0,268.0,181300
268.0,268.0,268.0,264.0,268.0,54200
270.0,270.0,270.0,264.0,268.0,213500
270.0,270.0,270.0,268.0,270.0,2800
270.0,270.0,270.0,266.0,270.0,18700
270.0,270.0,270.0,266.0,270.0,156000
268.0,268.0,270.0,268.0,268.0,1400
268.0,268.0,270.0,266.0,268.0,22000
270.0,270.0,270.0,260.0,266.0,520200
266.0,266.0,268.0,264.0,268.0,276900
268.0,268.0,268.0,264.0,268.0,7100
270.0,270.0,270.0,262.0,264.0,533800
270.0,270.0,270.0,266.0,270.0,21400
270.0,270.0,270.0,266.0,266.0,300
266.0,266.0,270.0,262.0,270.0,362900
262.0,262.0,266.0,256.0,266.0,514200
264.0,264.0,264.0,262.0,262.0,3800
250.0,250.0,260.0,250.0,260.0,892800
252.0,252.0,252.0,246.0,250.0,36200
254.0,254.0,254.0,248.0,248.0,10800
254.0,254.0,256.0,246.0,250.0,163400
256.0,256.0,256.0,250.0,250.0,12800
258.0,258.0,258.0,252.0,256.0,3000
260.0,260.0,260.0,258.0,258.0,78600
260.0,260.0,260.0,258.0,258.0,3300
260.0,260.0,260.0,260.0,260.0,1100
260.0,260.0,260.0,256.0,260.0,1000
260.0,260.0,260.0,256.0,260.0,500
260.0,260.0,260.0,256.0,260.0,7700
260.0,260.0,260.0,260.0,260.0,600
262.0,262.0,262.0,260.0,260.0,25900
262.0,262.0,262.0,258.0,262.0,1600
262.0,262.0,262.0,258.0,262.0,300
262.0,262.0,262.0,258.0,262.0,51600
264.0,264.0,264.0,258.0,262.0,43400
266.0,266.0,266.0,260.0,264.0,143200
266.0,266.0,266.0,264.0,266.0,254300
266.0,266.0,266.0,262.0,266.0,149600
268.0,268.0,268.0,262.0,266.0,136800
268.0,268.0,268.0,264.0,268.0,2600
268.0,268.0,268.0,266.0,266.0,1100
268.0,268.0,268.0,264.0,268.0,27500
268.0,268.0,268.0,268.0,268.0,100
268.0,268.0,268.0,264.0,264.0,62300
268.0,268.0,268.0,268.0,268.0,600
268.0,268.0,268.0,262.0,264.0,47700
268.0,268.0,268.0,260.0,264.0,127700
270.0,270.0,270.0,262.0,268.0,96500
270.0,270.0,270.0,262.0,270.0,123000
266.0,266.0,266.0,266.0,266.0,47000
