Adj Close,Close,High,Low,Open,Volume
PKPK.JK,PKPK.JK,PKPK.JK,PKPK.JK,PKPK.JK,PKPK.JK
350.0,350.0,354.0,338.0,338.0,2312100
348.0,348.0,348.0,340.0,340.0,1905400
346.0,346.0,348.0,340.0,348.0,33100
348.0,348.0,350.0,336.0,346.0,283500
348.0,348.0,348.0,344.0,348.0,148900
346.0,346.0,352.0,346.0,352.0,552300
350.0,350.0,352.0,344.0,344.0,190900
352.0,352.0,352.0,348.0,352.0,107600
348.0,348.0,354.0,348.0,352.0,126600
350.0,350.0,352.0,346.0,348.0,482000
354.0,354.0,354.0,350.0,354.0,459400
354.0,354.0,354.0,350.0,354.0,96500
358.0,358.0,358.0,352.0,354.0,353200
370.0,370.0,378.0,354.0,358.0,738100
368.0,368.0,384.0,360.0,370.0,93600
370.0,370.0,376.0,364.0,368.0,41200
370.0,370.0,370.0,362.0,366.0,53100
366.0,366.0,372.0,364.0,372.0,82800
366.0,366.0,366.0,358.0,366.0,332400
366.0,366.0,368.0,350.0,366.0,608600
366.0,366.0,366.0,362.0,366.0,239500
366.0,366.0,366.0,364.0,366.0,155000
360.0,360.0,368.0,356.0,366.0,373400
366.0,366.0,366.0,360.0,360.0,297900
362.0,362.0,366.0,356.0,364.0,294300
364.0,364.0,364.0,354.0,364.0,406000
360.0,360.0,364.0,352.0,352.0,55200
364.0,364.0,364.0,356.0,358.0,280600
360.0,360.0,370.0,360.0,364.0,438100
360.0,360.0,360.0,360.0,360.0,38200
362.0,362.0,368.0,358.0,358.0,178400
360.0,360.0,360.0,358.0,358.0,199500
364.0,364.0,370.0,358.0,360.0,126700
364.0,364.0,364.0,360.0,364.0,137100
362.0,362.0,364.0,358.0,364.0,375100
362.0,362.0,366.0,362.0,366.0,101100
368.0,368.0,398.0,364.0,364.0,2058800
362.0,362.0,374.0,356.0,368.0,222400
368.0,368.0,372.0,362.0,362.0,48100
364.0,364.0,374.0,364.0,370.0,69000
364.0,364.0,378.0,360.0,378.0,194400
372.0,372.0,372.0,358.0,362.0,508600
366.0,366.0,372.0,364.0,372.0,227100
368.0,368.0,370.0,360.0,366.0,5400
368.0,368.0,368.0,360.0,366.0,47500
362.0,362.0,368.0,360.0,360.0,60100
360.0,360.0,364.0,356.0,362.0,83600
360.0,360.0,362.0,356.0,362.0,374600
358.0,358.0,360.0,352.0,356.0,263600
