Adj Close,Close,High,Low,Open,Volume
POLI.JK,POLI.JK,POLI.JK,POLI.JK,POLI.JK,POLI.JK
810.0,810.0,810.0,810.0,810.0,0
805.0,805.0,805.0,805.0,805.0,500
805.0,805.0,805.0,805.0,805.0,0
805.0,805.0,805.0,805.0,805.0,0
805.0,805.0,805.0,805.0,805.0,100
805.0,805.0,805.0,805.0,805.0,100
810.0,810.0,845.0,695.0,800.0,3600
810.0,810.0,810.0,810.0,810.0,0
810.0,810.0,810.0,810.0,810.0,0
850.0,850.0,850.0,750.0,805.0,3000
850.0,850.0,850.0,850.0,850.0,0
840.0,840.0,840.0,800.0,800.0,300
845.0,845.0,845.0,825.0,835.0,9800
845.0,845.0,845.0,800.0,800.0,9100
845.0,845.0,845.0,790.0,790.0,4000
840.0,840.0,840.0,795.0,795.0,2400
830.0,830.0,830.0,800.0,800.0,2300
830.0,830.0,830.0,830.0,830.0,0
825.0,825.0,825.0,800.0,800.0,300
795.0,795.0,800.0,795.0,800.0,3400
805.0,805.0,805.0,805.0,805.0,100
805.0,805.0,805.0,805.0,805.0,200
805.0,805.0,805.0,805.0,805.0,0
805.0,805.0,805.0,805.0,805.0,0
805.0,805.0,805.0,805.0,805.0,0
805.0,805.0,805.0,805.0,805.0,0
805.0,805.0,805.0,805.0,805.0,0
805.0,805.0,805.0,805.0,805.0,0
805.0,805.0,805.0,805.0,805.0,0
805.0,805.0,805.0,800.0,800.0,197100
805.0,805.0,805.0,805.0,805.0,0
805.0,805.0,805.0,805.0,805.0,0
805.0,805.0,805.0,800.0,800.0,1200
825.0,825.0,825.0,785.0,785.0,300
825.0,825.0,830.0,800.0,800.0,300
705.0,705.0,815.0,705.0,770.0,15300
870.0,870.0,880.0,760.0,760.0,699100
780.0,780.0,950.0,750.0,870.0,107600
765.0,765.0,765.0,730.0,730.0,7200
740.0,740.0,795.0,740.0,765.0,16200
765.0,765.0,765.0,730.0,735.0,4900
750.0,750.0,770.0,750.0,770.0,4400
765.0,765.0,765.0,750.0,750.0,2000
765.0,765.0,765.0,765.0,765.0,0
780.0,780.0,950.0,765.0,770.0,49300
825.0,825.0,875.0,735.0,770.0,43200
800.0,800.0,825.0,775.0,825.0,7000
735.0,735.0,820.0,735.0,820.0,12400
710.0,710.0,750.0,710.0,740.0,7800
760.0,760.0,765.0,735.0,745.0,4400
780.0,780.0,780.0,730.0,730.0,300
785.0,785.0,785.0,730.0,730.0,800
755.0,755.0,755.0,700.0,740.0,12100
730.0,730.0,750.0,725.0,750.0,3400
750.0,750.0,755.0,735.0,750.0,3600
755.0,755.0,755.0,745.0,745.0,600
760.0,760.0,760.0,705.0,705.0,6900
720.0,720.0,755.0,720.0,730.0,7400
765.0,765.0,885.0,750.0,750.0,85400
755.0,755.0,810.0,720.0,770.0,6100
765.0,765.0,765.0,730.0,730.0,1200
765.0,765.0,765.0,735.0,735.0,2600
750.0,750.0,765.0,715.0,715.0,15100
750.0,750.0,750.0,720.0,720.0,33500
760.0,760.0,760.0,730.0,745.0,300
755.0,755.0,760.0,755.0,760.0,10100
800.0,800.0,800.0,765.0,765.0,300
800.0,800.0,800.0,800.0,800.0,0
780.0,780.0,785.0,720.0,785.0,300
725.0,725.0,725.0,725.0,725.0,500
760.0,760.0,760.0,725.0,725.0,400
760.0,760.0,760.0,760.0,760.0,0
775.0,775.0,775.0,755.0,755.0,1400
730.0,730.0,765.0,665.0,665.0,13500
755.0,755.0,755.0,730.0,730.0,1400
745.0,745.0,745.0,720.0,725.0,1700
720.0,720.0,745.0,720.0,745.0,500
745.0,745.0,785.0,725.0,765.0,14100
750.0,750.0,770.0,720.0,720.0,4700
750.0,750.0,750.0,735.0,735.0,2400
745.0,745.0,760.0,725.0,760.0,12600
745.0,745.0,745.0,745.0,745.0,600
755.0,755.0,840.0,725.0,770.0,7500
755.0,755.0,755.0,755.0,755.0,0
730.0,730.0,755.0,725.0,725.0,4100
745.0,745.0,745.0,745.0,745.0,200
775.0,775.0,775.0,740.0,775.0,300
725.0,725.0,755.0,665.0,755.0,32600
725.0,725.0,740.0,680.0,715.0,2700
735.0,735.0,735.0,735.0,735.0,100
745.0,745.0,745.0,720.0,720.0,3300
745.0,745.0,745.0,740.0,740.0,4300
745.0,745.0,745.0,705.0,705.0,2600
745.0,745.0,745.0,700.0,700.0,11300
745.0,745.0,745.0,745.0,745.0,100
745.0,745.0,745.0,695.0,695.0,1500
695.0,695.0,745.0,690.0,700.0,122000
690.0,690.0,700.0,685.0,695.0,15800
705.0,705.0,730.0,690.0,730.0,4800
700.0,700.0,700.0,700.0,700.0,1900
700.0,700.0,700.0,690.0,700.0,2400
700.0,700.0,710.0,690.0,690.0,4100
695.0,695.0,695.0,695.0,695.0,200
700.0,700.0,700.0,700.0,700.0,100
705.0,705.0,705.0,700.0,700.0,800
710.0,710.0,710.0,710.0,710.0,100
700.0,700.0,700.0,655.0,670.0,900
700.0,700.0,700.0,670.0,700.0,4700
700.0,700.0,700.0,700.0,700.0,0
690.0,690.0,690.0,690.0,690.0,5200
685.0,685.0,690.0,660.0,660.0,12000
695.0,695.0,695.0,680.0,680.0,4400
695.0,695.0,695.0,695.0,695.0,400
695.0,695.0,695.0,695.0,695.0,0
690.0,690.0,690.0,690.0,690.0,1700
690.0,690.0,690.0,690.0,690.0,0
690.0,690.0,690.0,690.0,690.0,0
690.0,690.0,690.0,690.0,690.0,0
685.0,685.0,685.0,685.0,685.0,200
685.0,685.0,685.0,685.0,685.0,0
685.0,685.0,685.0,685.0,685.0,0
685.0,685.0,685.0,685.0,685.0,0
685.0,685.0,685.0,685.0,685.0,100
685.0,685.0,685.0,685.0,685.0,100
685.0,685.0,685.0,685.0,685.0,100
